Samples	ID83A	ID83B	ID83C
SP124389	2.28E+00	2.61E+00	1.11E+00
SP124362	4.57E+00	5.63E+00	1.79E+00
SP124394	2.25E+00	2.59E+00	1.07E+00
SP124334	2.69E+00	3.10E+00	1.32E+00
SP124339	1.88E+00	2.47E+00	1.04E+00
SP124454	3.87E+00	4.94E+00	1.61E+00
SP124380	3.22E+00	3.76E+00	1.40E+00
SP124273	5.71E+00	1.30E+01	7.53E+00
SP124357	3.70E+00	4.84E+00	1.84E+00
SP124399	7.54E+00	9.12E+00	2.15E+00
SP124311	2.94E+00	3.39E+00	1.48E+00
SP124355	3.46E+00	4.80E+00	1.63E+00
SP124434	3.04E+00	3.57E+00	1.37E+00
SP124428	9.51E+00	1.19E+01	3.17E+00
SP124449	6.74E+00	9.01E+00	2.78E+00
SP124298	1.01E+01	1.23E+01	3.26E+00
SP124431	2.78E+00	3.22E+00	1.10E+00
SP124396	3.24E+00	4.87E+00	2.79E+00
SP124409	5.74E+00	6.80E+00	2.00E+00
SP124341	5.74E+00	7.56E+00	2.43E+00
SP124353	2.75E+00	3.16E+00	7.47E-01
SP124278	3.73E+00	7.98E+00	4.50E+00
SP124376	2.92E+00	3.29E+00	1.29E+00
SP124346	5.80E+00	1.13E+01	5.87E+00
SP124439	4.44E+00	5.85E+00	2.17E+00
SP124351	2.22E+00	2.76E+00	9.53E-01
SP124406	7.18E+00	1.13E+01	5.63E+00
SP124323	2.96E+00	4.48E+00	1.87E+00
SP124391	5.67E+00	7.14E+00	1.85E+00
SP124423	7.59E-01	8.21E-01	3.36E-01
SP124382	7.47E+00	5.12E+00	4.46E+00
SP124415	1.36E+01	1.70E+01	4.11E+00
SP124436	8.78E+00	1.08E+01	3.30E+00
SP124460	4.56E+00	5.67E+00	2.16E+00
SP124425	1.50E+00	1.74E+00	9.20E-01
SP124456	1.76E+00	1.94E+00	9.75E-01
SP124367	2.19E+00	2.29E+00	1.23E+00
SP124281	2.48E+00	4.47E+00	2.16E+00
SP124377	2.20E+00	2.26E+00	8.90E-01
SP124412	1.56E+00	1.72E+00	9.14E-01
SP124333	3.37E+00	3.78E+00	8.84E-01
SP124359	6.14E+00	9.66E+00	3.88E+00
SP124286	1.34E+00	1.79E+00	9.23E-01
SP124329	8.38E-01	8.88E-01	4.41E-01
SP124326	4.44E+00	5.85E+00	2.14E+00
SP124458	2.79E+00	2.80E+00	1.75E+00
SP124401	7.96E+00	1.00E+01	3.64E+00
SP124264	8.79E+00	1.03E+01	2.34E+00
SP124384	9.00E+00	9.86E+00	6.25E+00
SP124403	9.81E-01	1.04E+00	4.31E-01
SP124462	3.53E+00	3.96E+00	1.71E+00
SP124271	1.35E+01	2.02E+01	7.23E+00
SP124336	6.34E+00	1.27E+01	6.51E+00
SP124452	2.35E+00	2.64E+00	1.10E+00
SP124386	4.21E+00	5.00E+00	1.52E+00
SP124441	5.12E+00	6.65E+00	2.83E+00
SP124418	2.09E+00	2.43E+00	1.02E+00
SP124291	3.75E+00	6.14E+00	2.79E+00
SP124319	1.63E+00	1.42E+00	1.11E+00
SP124305	5.75E+00	7.53E+00	2.22E+00
SP124447	7.07E+00	8.76E+00	5.31E+00
SP124344	4.11E+00	4.85E+00	1.28E+00
SP124369	4.04E+00	4.70E+00	1.58E+00
SP124348	4.28E+00	6.42E+00	2.33E+00
SP124295	5.43E+00	8.45E+00	3.76E+00
SP124444	4.15E+00	7.38E+00	3.53E+00
SP124365	2.79E+00	3.63E+00	1.80E+00
SP124420	4.32E+00	4.95E+00	1.39E+00
SP124364	2.76E+01	6.36E+01	4.38E+01
SP124307	2.64E+00	3.39E+00	1.92E+00
SP82445	4.94E+00	6.37E+00	2.93E+00
SP83242	2.62E+00	2.85E+00	1.17E+00
SP103894	1.40E+02	2.19E+02	1.60E+02
SP83382	2.94E+00	3.87E+00	1.67E+00
SP82451	5.02E+00	7.15E+00	3.40E+00
SP104330	1.04E+00	1.14E+00	2.99E-01
SP83312	1.72E+00	1.89E+00	1.21E+00
SP82614	1.84E+00	2.12E+00	9.73E-01
SP82431	4.25E+00	3.28E+00	3.09E+00
SP82459	3.29E+00	3.91E+00	1.08E+00
SP113197	2.82E+00	3.85E+00	1.43E+00
SP82532	5.69E+00	6.68E+00	1.71E+00
SP82636	4.24E+00	6.28E+00	2.66E+00
SP82796	3.49E+00	4.48E+00	1.61E+00
SP83482	2.63E+00	2.85E+00	1.43E+00
SP104530	1.36E+01	2.34E+01	1.06E+01
SP82429	3.84E+00	4.59E+00	1.28E+00
SP82644	3.13E+00	3.27E+00	1.63E+00
