Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,232800.0%,28.02%,120.97%,27.74%,95.24,0.1784,1.4169,0.086,0.674,0.881,0.228
3,1.0,1.0,NO,N/A,49700.0%,23.67%,107.28%,21.9%,88.47,0.1461,0.8581,0.057,0.514,0.919,0.426
4,0.87,0.53,NO,N/A,32100.0%,22.88%,114.65%,20.03%,84.81,0.1225,0.9925,0.046,0.457,0.934,0.506
5,0.95,0.87,YES,6.98e-05,24200.0%,21.24%,83.21%,18.71%,67.96,0.1069,0.678,0.035,0.257,0.949,0.614
6,0.82,0.35,NO,N/A,23400.0%,20.84%,83.19%,18.49%,67.48,0.1083,0.6752,0.033,0.255,0.953,0.617
7,0.8,0.1,NO,N/A,22700.0%,20.57%,83.4%,17.82%,66.53,0.1019,0.6669,0.031,0.248,0.956,0.627
8*,0.87,0.58,YES,Most Stab Sigs,23400.0%,18.87%,83.5%,16.53%,65.54,0.0963,0.6535,0.029,0.243,0.958,0.632
9,0.74,-0.41,NO,N/A,22500.0%,19.11%,81.56%,16.19%,65.28,0.0958,0.6356,0.028,0.241,0.96,0.635
10,0.64,-0.2,NO,N/A,24900.0%,18.71%,82.52%,15.87%,59.26,0.0946,0.641,0.026,0.194,0.963,0.71
11,0.6,-0.41,NO,N/A,28800.0%,18.4%,79.51%,15.62%,58.23,0.0924,0.5898,0.025,0.187,0.964,0.722
12,0.58,-0.41,NO,N/A,25700.0%,17.86%,80.35%,15.2%,56.99,0.0914,0.616,0.024,0.178,0.966,0.736
13,0.54,-0.38,NO,N/A,22000.0%,17.47%,78.81%,14.75%,56.6,0.0885,0.6166,0.023,0.176,0.967,0.739
14,0.5,-0.48,NO,N/A,22700.0%,17.16%,75.33%,14.2%,54.51,0.087,0.6023,0.022,0.161,0.968,0.762
15,0.47,-0.42,NO,N/A,25700.0%,16.73%,75.53%,13.98%,56.24,0.0858,0.5971,0.021,0.173,0.97,0.743
16,0.43,-0.39,NO,N/A,28700.0%,16.2%,74.07%,13.46%,56.2,0.0856,0.5785,0.02,0.173,0.971,0.744
17,0.41,-0.36,NO,N/A,27200.0%,16.13%,70.16%,13.28%,52.44,0.0828,0.5549,0.019,0.148,0.972,0.78
18,0.39,-0.29,NO,N/A,22500.0%,15.86%,71.52%,12.98%,53.28,0.0826,0.5813,0.019,0.154,0.973,0.774
19,0.37,-0.31,NO,N/A,18400.0%,15.62%,68.08%,12.62%,53.16,0.0818,0.5534,0.018,0.153,0.974,0.775
20,0.35,-0.34,NO,N/A,20200.0%,15.54%,66.39%,12.41%,51.48,0.0812,0.549,0.017,0.142,0.975,0.787
