Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,628.0%,25.61%,117.6%,17.42%,155.57,0.1052,1.1639,0.026,0.716,0.973,0.184
3,1.0,1.0,NO,N/A,355.0%,19.92%,93.84%,10.88%,99.0,0.078,0.7307,0.012,0.537,0.987,0.323
4,1.0,1.0,YES,1.58e-04,320.0%,14.78%,87.45%,6.6%,75.87,0.0542,0.5954,0.006,0.347,0.993,0.544
5*,0.88,0.47,YES,Most Stab Sigs,296.0%,13.78%,64.59%,5.84%,62.68,0.0487,0.324,0.005,0.215,0.994,0.729
6,0.68,-0.26,NO,N/A,329.0%,16.16%,55.17%,7.31%,52.48,0.0551,0.2893,0.005,0.134,0.995,0.836
7,0.76,0.43,NO,N/A,344.0%,11.91%,48.12%,5.05%,51.29,0.0379,0.2833,0.003,0.129,0.997,0.842
8,0.72,-0.07,NO,N/A,287.0%,13.94%,47.59%,5.68%,51.15,0.0477,0.2681,0.003,0.128,0.997,0.843
9,0.78,-0.14,NO,N/A,188.0%,10.41%,47.07%,4.23%,50.25,0.032,0.2858,0.002,0.125,0.998,0.847
10,0.65,-0.17,NO,N/A,202.0%,10.64%,44.25%,4.33%,50.59,0.0318,0.2403,0.002,0.127,0.998,0.844
11,0.58,-0.67,NO,N/A,183.0%,10.45%,43.09%,4.21%,47.14,0.0312,0.2156,0.002,0.112,0.998,0.862
12,0.56,-0.78,NO,N/A,339.0%,9.59%,43.25%,3.85%,48.62,0.0291,0.2132,0.002,0.121,0.998,0.851
13,0.5,-0.54,NO,N/A,215.0%,9.15%,46.92%,3.69%,48.9,0.0273,0.2095,0.001,0.126,0.998,0.842
14,0.44,-0.61,NO,N/A,190.0%,10.42%,42.47%,4.34%,31.31,0.0297,0.2071,0.002,0.05,0.998,0.935
15,0.4,-0.56,NO,N/A,118.0%,8.75%,42.27%,3.46%,30.88,0.026,0.2042,0.001,0.049,0.999,0.935
16,0.45,-0.35,NO,N/A,121.0%,8.28%,41.82%,3.29%,31.06,0.0246,0.2088,0.001,0.049,0.999,0.935
17,0.41,-0.64,NO,N/A,112.0%,8.17%,42.03%,3.21%,31.49,0.0242,0.2006,0.001,0.05,0.999,0.933
18,0.36,-0.38,NO,N/A,336.0%,8.39%,37.05%,3.33%,28.24,0.0251,0.1909,0.001,0.041,0.999,0.946
19,0.38,-0.45,NO,N/A,269.0%,8.07%,35.69%,3.19%,27.28,0.0239,0.1846,0.001,0.037,0.999,0.949
20,0.35,-0.42,NO,N/A,399.0%,7.93%,35.22%,3.17%,26.8,0.0239,0.1798,0.001,0.036,0.999,0.95
