MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	2.17E-04	1.19E-03	3.92E-04	1.56E-04	8.69E-06	8.09E-04	1.38E-04	4.05E-04	1.71E-03	2.51E-04	4.88E-04	3.92E-04	7.08E-04	2.31E-03	5.95E-04	1.49E-03	7.60E-04
1:Del:C:1	4.20E-05	4.41E-04	4.96E-05	5.86E-05	9.94E-06	1.24E-04	7.75E-06	2.61E-04	3.69E-04	6.96E-05	6.52E-04	2.14E-04	3.99E-04	7.44E-04	2.88E-04	3.11E-04	4.77E-04
1:Del:C:2	2.88E-05	1.85E-04	4.57E-05	8.30E-05	6.70E-06	1.70E-04	2.82E-05	1.29E-04	3.72E-04	1.49E-05	6.73E-04	1.98E-04	1.54E-04	1.55E-04	3.37E-04	1.77E-04	2.69E-04
1:Del:C:3	7.32E-05	8.52E-04	2.11E-04	4.19E-04	6.05E-06	9.44E-04	1.19E-04	7.32E-04	1.75E-03	1.43E-04	2.28E-04	1.87E-04	7.23E-04	6.86E-04	1.57E-04	1.06E-03	2.21E-04
1:Del:C:4	1.69E-04	1.51E-03	6.48E-04	6.78E-04	8.96E-06	2.82E-03	1.79E-04	9.50E-04	4.76E-03	3.71E-04	3.45E-04	2.20E-04	1.38E-03	5.01E-04	1.24E-04	1.76E-03	1.24E-04
1:Del:C:5	1.27E-03	2.06E-03	2.44E-03	1.49E-03	3.19E-06	7.43E-03	5.66E-04	1.80E-03	1.10E-02	2.52E-03	7.67E-04	4.66E-04	4.13E-03	3.03E-03	7.47E-05	5.72E-03	1.23E-04
1:Del:T:0	1.21E-04	9.31E-04	1.92E-04	1.23E-04	0.00E+00	3.97E-04	2.13E-04	2.65E-04	1.27E-03	1.43E-04	3.52E-04	2.29E-04	4.89E-04	2.08E-03	8.03E-04	9.85E-04	4.02E-04
1:Del:T:1	7.99E-05	1.98E-03	7.32E-05	1.39E-04	2.10E-06	2.13E-04	2.13E-04	3.15E-04	2.63E-03	8.94E-06	6.50E-04	8.07E-05	4.13E-04	5.79E-03	3.96E-03	1.97E-03	5.87E-04
1:Del:T:2	9.53E-05	3.54E-03	8.59E-05	6.38E-04	4.80E-05	2.89E-04	7.87E-05	3.16E-03	1.53E-03	4.70E-05	2.25E-04	2.78E-04	3.96E-03	1.22E-03	3.07E-04	1.21E-03	1.80E-03
1:Del:T:3	3.23E-04	4.38E-03	2.24E-04	1.10E-03	6.87E-05	1.77E-03	1.31E-04	4.11E-03	3.78E-03	6.17E-05	3.49E-04	4.50E-04	5.08E-03	2.03E-03	5.58E-04	2.57E-03	4.96E-04
1:Del:T:4	6.64E-04	4.98E-03	9.06E-04	1.46E-03	9.73E-05	3.92E-03	2.44E-04	5.34E-03	5.47E-03	1.88E-04	3.77E-04	6.01E-04	6.38E-03	2.25E-03	6.30E-04	3.38E-03	4.60E-04
1:Del:T:5	5.80E-03	1.99E-02	7.99E-03	5.43E-03	5.87E-04	1.88E-02	4.21E-03	1.06E-02	1.37E-02	8.62E-03	5.66E-05	6.84E-03	1.21E-02	5.08E-03	1.32E-03	6.15E-03	3.05E-03
1:Ins:C:0	4.79E-05	1.16E-04	7.14E-05	5.75E-05	5.84E-05	1.86E-04	1.15E-04	1.18E-04	2.26E-04	8.39E-05	2.29E-04	4.58E-05	3.09E-04	6.98E-04	2.12E-04	1.41E-04	4.01E-03
1:Ins:C:1	1.23E-05	4.15E-05	2.06E-05	2.09E-05	2.18E-05	4.10E-05	5.15E-05	2.08E-05	6.45E-05	7.59E-05	5.86E-04	1.30E-04	4.81E-05	1.66E-04	1.58E-04	6.50E-03	7.63E-04
1:Ins:C:2	2.04E-05	5.63E-05	8.14E-06	2.35E-05	1.68E-05	3.39E-05	4.03E-05	3.28E-05	5.67E-05	4.50E-05	3.25E-04	6.56E-05	6.51E-05	1.12E-04	6.30E-05	3.73E-03	4.25E-04
1:Ins:C:3	7.23E-05	1.50E-04	9.19E-06	7.97E-05	1.73E-05	1.20E-04	1.72E-04	1.41E-04	2.00E-04	4.42E-05	1.68E-04	2.16E-05	3.42E-04	1.36E-04	4.71E-05	1.81E-03	1.98E-04
1:Ins:C:4	8.74E-05	2.12E-04	5.96E-05	1.38E-04	0.00E+00	1.28E-03	1.68E-04	1.81E-04	5.28E-04	3.30E-03	5.25E-05	8.50E-05	2.67E-04	4.71E-05	1.11E-05	4.90E-04	1.38E-04
1:Ins:C:5	3.90E-04	2.62E-03	3.71E-04	1.43E-03	2.64E-04	1.42E-03	6.82E-04	2.06E-03	3.22E-03	2.57E-03	1.88E-04	5.89E-05	2.66E-03	2.14E-03	1.79E-04	2.50E-03	1.12E-05
1:Ins:T:0	1.20E-04	4.52E-04	1.42E-04	1.06E-05	6.30E-05	5.80E-04	7.58E-05	5.13E-04	6.62E-04	2.12E-05	1.23E-04	0.00E+00	7.91E-04	1.53E-03	5.34E-04	4.94E-04	4.55E-04
1:Ins:T:1	2.81E-05	1.28E-04	1.64E-05	1.50E-05	4.48E-05	7.67E-05	6.52E-05	4.60E-05	1.95E-04	9.01E-05	7.50E-04	1.74E-04	1.37E-04	5.18E-04	2.05E-04	8.62E-03	9.66E-04
1:Ins:T:2	6.70E-04	1.64E-04	1.24E-04	4.08E-05	9.93E-05	1.23E-03	1.91E-03	8.81E-04	1.30E-03	9.64E-05	9.25E-04	0.00E+00	3.42E-03	6.17E-04	8.68E-05	1.28E-02	7.47E-04
1:Ins:T:3	3.35E-04	3.88E-04	6.82E-05	1.90E-05	6.81E-05	6.16E-04	9.62E-04	5.68E-04	6.83E-04	4.37E-05	5.02E-04	8.90E-05	1.50E-03	5.73E-04	1.58E-04	6.24E-03	5.76E-04
1:Ins:T:4	5.10E-05	1.73E-03	7.17E-05	1.47E-05	2.37E-04	5.76E-04	1.86E-04	2.20E-03	6.07E-04	1.41E-03	1.96E-04	1.04E-04	3.23E-03	2.95E-04	1.76E-04	1.92E-03	9.38E-04
1:Ins:T:5	2.34E-03	2.43E-03	2.88E-03	1.47E-03	7.29E-04	8.21E-03	5.12E-03	8.82E-03	8.49E-03	7.59E-03	8.25E-04	1.47E-03	1.10E-02	1.10E-02	2.07E-03	1.41E-02	2.11E-03
2:Del:R:0	1.81E-04	1.94E-04	2.67E-04	1.23E-04	1.15E-06	6.46E-04	3.43E-05	5.71E-05	1.10E-03	3.61E-04	1.07E-04	3.32E-04	4.08E-04	6.71E-04	1.75E-04	4.82E-04	1.65E-04
2:Del:R:1	7.54E-05	1.48E-04	1.06E-04	6.22E-05	8.80E-06	2.96E-04	1.37E-04	1.56E-04	4.59E-04	1.21E-04	6.74E-05	1.08E-03	3.57E-04	2.51E-04	2.23E-04	2.78E-04	1.82E-04
