MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
2:Del:R:5	5.05E-04	4.62E-05	1.55E-04	4.48E-03	3.15E-05	3.57E-04	1.44E-04	3.70E-04	4.84E-04	0.00E+00	2.21E-04	6.01E-04	2.60E-05	4.76E-05
3:Del:R:0	2.60E-05	2.72E-05	8.88E-06	4.85E-04	3.21E-04	9.90E-05	8.30E-05	2.42E-04	3.10E-04	2.29E-04	2.23E-04	4.97E-04	1.07E-04	2.92E-04
3:Del:R:1	1.16E-04	1.92E-04	4.91E-05	1.02E-03	2.73E-04	1.94E-05	2.98E-04	7.51E-04	4.70E-04	2.86E-04	3.32E-04	1.82E-03	1.54E-04	1.97E-04
3:Del:R:2	4.54E-05	7.51E-05	2.40E-05	2.62E-04	5.71E-05	3.45E-05	1.05E-04	2.30E-04	9.95E-05	8.91E-05	1.34E-04	6.54E-04	1.20E-04	1.82E-05
3:Del:R:3	2.02E-05	3.12E-05	5.85E-06	1.59E-04	1.84E-05	1.32E-05	1.55E-05	1.14E-04	1.17E-09	1.38E-05	6.49E-05	2.59E-04	3.06E-05	2.32E-05
3:Del:R:4	1.20E-05	2.06E-05	7.91E-07	9.85E-05	2.66E-05	3.08E-05	1.16E-05	6.58E-05	1.13E-04	2.21E-05	4.95E-05	1.85E-04	1.76E-05	3.69E-05
3:Del:R:5	1.93E-05	3.19E-05	0.00E+00	1.74E-04	2.21E-05	4.37E-06	1.47E-05	8.00E-05	4.85E-05	2.62E-05	3.21E-05	2.35E-04	8.59E-06	2.64E-05
4:Del:R:0	9.77E-06	4.00E-05	3.01E-05	4.34E-04	2.34E-04	8.69E-05	7.48E-05	2.38E-04	3.27E-04	2.05E-04	1.81E-04	3.24E-04	8.22E-05	3.23E-04
4:Del:R:1	6.04E-05	1.12E-04	4.49E-05	9.66E-04	1.74E-04	2.69E-04	3.63E-04	6.63E-04	1.67E-04	2.18E-04	3.52E-04	1.55E-03	1.61E-04	1.29E-04
4:Del:R:2	2.74E-05	3.99E-05	1.31E-05	3.47E-04	3.96E-05	1.84E-04	1.61E-04	2.53E-04	1.06E-04	6.38E-06	1.32E-04	6.39E-04	3.63E-05	3.13E-05
4:Del:R:3	2.66E-05	4.21E-06	5.84E-06	2.16E-04	9.92E-06	1.08E-04	1.06E-04	2.30E-04	6.45E-05	2.86E-05	8.81E-06	3.82E-04	2.97E-05	2.60E-05
4:Del:R:4	9.15E-06	1.94E-05	5.42E-06	7.84E-05	2.77E-05	4.41E-05	6.72E-05	1.32E-04	8.03E-05	7.75E-06	5.41E-06	2.33E-04	2.23E-05	2.46E-05
4:Del:R:5	2.31E-05	1.75E-05	0.00E+00	1.28E-04	1.71E-05	2.44E-05	3.86E-05	6.58E-05	3.77E-06	1.62E-05	2.37E-05	1.65E-04	6.40E-06	3.89E-10
5:Del:R:0	1.40E-47	4.29E-05	1.86E-04	1.86E-04	1.35E-03	1.87E-03	4.36E-04	2.15E-04	1.37E-04	1.09E-03	7.69E-04	5.74E-04	4.57E-04	7.54E-04
5:Del:R:1	1.26E-05	9.99E-05	3.79E-05	5.45E-04	7.39E-06	2.69E-04	1.78E-04	5.98E-04	2.36E-04	1.71E-04	3.20E-04	9.77E-04	1.27E-04	1.07E-04
