Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP135192	0.00E+00	0.00E+00	7.09E-02	5.86E-02	2.00E-02	1.00E-01	2.81E-02	0.00E+00	2.43E-02	6.68E-02
SP135335	4.12E-01	0.00E+00	1.03E+00	5.31E-01	7.67E-01	1.22E+00	5.36E-01	1.52E-01	2.45E-01	1.03E+00
SP135278	2.44E-01	1.25E-01	3.05E-01	4.02E-01	2.23E-01	4.48E-01	0.00E+00	0.00E+00	3.00E-01	4.05E-01
SP135287	6.69E+02	1.98E+01	6.20E+02	1.04E+03	1.51E+02	1.19E+02	4.00E-02	7.22E-01	3.65E-01	4.53E+00
SP135345	2.36E+00	7.98E-01	3.53E+00	3.95E+00	2.69E+00	4.31E+00	2.94E-01	4.83E-01	6.35E-01	2.44E+00
SP85122	1.08E+03	2.63E+01	1.03E+03	1.62E+03	2.20E+02	2.00E+02	1.87E+00	2.78E+00	2.18E+00	1.09E+01
SP84384	1.65E+03	2.62E+01	1.73E+03	2.71E+03	4.24E+01	3.13E+02	1.97E+00	1.03E-01	2.26E+00	3.05E+01
SP135184	0.00E+00	0.00E+00	7.06E-02	6.00E-02	0.00E+00	2.73E-01	0.00E+00	1.26E-01	1.76E-01	2.04E-01
SP135226	1.57E+00	1.21E-01	3.29E+00	2.29E+00	2.04E+00	1.72E+00	3.83E-01	0.00E+00	4.47E-01	1.96E+00
SP135436	7.65E+00	1.65E+00	1.59E+01	1.02E+01	1.00E+01	4.51E+00	0.00E+00	9.46E-01	1.17E+00	5.18E+00
SP135262	7.62E-01	3.11E-01	1.98E+00	1.35E+00	1.35E+00	1.46E+00	1.87E-01	4.93E-01	2.69E-01	1.80E+00
SP135431	1.29E+01	1.37E+00	2.31E+01	1.62E+01	1.79E+01	4.58E+00	9.07E-01	2.25E+00	1.37E+00	5.92E+00
SP135425	6.05E+00	8.93E-01	1.03E+01	8.98E+00	7.66E+00	7.01E+00	5.12E-01	1.41E+00	1.31E+00	5.52E+00
SP135222	3.72E+00	1.15E+00	7.79E+00	7.08E+00	5.60E+00	1.87E+00	0.00E+00	4.92E-01	7.14E-01	3.00E+00
SP135230	2.63E+00	8.72E-01	3.51E+00	3.57E+00	2.30E+00	2.76E+00	0.00E+00	3.83E-01	4.87E-01	1.79E+00
SP135205	1.23E+00	5.03E-01	1.21E+00	1.53E+00	9.72E-01	1.04E+00	9.61E-02	0.00E+00	2.44E-01	8.79E-01
SP135180	0.00E+00	9.09E-02	5.06E-02	3.15E-02	3.59E-02	1.70E-01	1.63E-01	1.45E-01	0.00E+00	1.63E-01
SP135213	1.91E+00	5.71E-01	2.19E+00	2.20E+00	1.85E+00	1.95E+00	1.00E-02	3.74E-01	1.34E+00	2.31E+00
SP135217	0.00E+00	0.00E+00	1.00E-02	0.00E+00	0.00E+00	0.00E+00	3.02E-02	0.00E+00	3.38E-02	1.41E-02
SP135405	6.55E+00	1.33E+00	1.26E+01	1.23E+01	7.82E+00	5.07E+00	0.00E+00	6.23E-01	1.40E+00	4.05E+00
SP135238	1.54E-01	1.67E-01	1.23E-01	1.36E-01	0.00E+00	1.66E-01	4.00E-02	1.15E-01	0.00E+00	1.90E-01
