Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02090032T	109	45	205	31	119	301	23
CPCT02020662T	141	11	55	11	123	45	14
DRUP01080025T	673	146	186	48	347	273	231
CPCT02020891T	296	38	41	40	72	47	35
CPCT02080266TII	41	34	33	122	152	145	49
CPCT02020901T	205	36	70	104	118	47	32
CPCT02080287T	175	30	48	86	88	48	7
CPCT02011045T	107	56	38	133	74	20	35
CPCT02020897T	100	41	59	36	36	49	7
CPCT02120101T	7	31	65	136	60	41	25
CPCT02020910T	364	27	60	87	90	41	24
CPCT02120095T	227	21	250	0	178	26	7
CPCT02080294T	14	34	22	132	104	87	18
CPCT02080292T	5	9	26	55	42	16	7
CPCT02120098T	225	12	148	9	92	16	10
CPCT02120105T	305	3968	76	0	261	0	0
CPCT02020914T	310	28	49	78	64	48	10
CPCT02160035T	379	8	90	92	204	0	10
CPCT02050310T	30	92	122	77	119	79	25
CPCT02290061T	428	33	169	83	180	118	33
CPCT02050308T	112	45	89	369	255	0	23
CPCT02090035T	216	12	24	169	104	10	11
CPCT02020933T	22	49	52	32	93	99	66
CPCT02020930T	197	17	264	69	71	23	12
CPCT02020934T	469	42	135	81	221	44	10
CPCT02020939T	65	11	64	103	62	27	16
CPCT02020670T	1113	43	53	148	249	55	0
CPCT02020837TII	38	24	140	57	131	134	40
CPCT02030459T	0	84	41	347	111	35	193
CPCT02350019T	0	4	36	6	23	11	5
CPCT02050424T	3583	84	225	132	1003	499	0
CPCT02340064T	98	40	68	78	104	20	1
CPCT02011045TII	110	59	44	143	72	11	26
CPCT02120189T	289	50	396	42	137	20	35
CPCT02010754T	103	24	107	105	125	29	11
CPCT02020868T	119	14	65	94	60	22	14
CPCT02060286T	517	37	136	91	184	149	17
CPCT02060288T	128	134	85	268	87	70	42
CPCT02120193T	100	21	87	130	82	46	20
CPCT02120187T	134	77	84	82	84	47	62
CPCT02120191T	159	27	81	219	99	77	14
CPCT02080304T	15	19	35	160	69	48	23
CPCT02080307T	210	41	197	80	100	52	18
CPCT02080303T	100	13	43	35	84	23	3
CPCT02340067T	19	234	131	415	139	138	20
CPCT02030461T	2466	79	1092	241	497	9	41
CPCT02020919T	168	157	102	0	75	37	166
CPCT02050432T	45	17	43	135	74	58	6
CPCT02120110T	21	23	79	287	89	9	0
CPCT02080308T	21	26	45	83	60	2	14
CPCT02020951T	11	9	35	53	38	21	8
DRUP01060009T	21	142	148	479	372	0	34
CPCT02020949T	692	32	110	76	130	21	22
CPCT02020960T	234	49	167	150	87	78	42
WIDE01010033T	5	6	9	84	34	11	7
CPCT02340115T	383	89	82	98	129	69	26
CPCT02050322T	262	31	264	80	151	28	39
CPCT02050046T	169	27	97	147	145	34	19
CPCT02050331T	0	25	41	65	44	8	6
WIDE01010071T	145	19	26	51	46	40	726
CPCT02020895TII	24	29	117	189	61	8	14
CPCT02030468T	81	54	85	106	123	1	141
CPCT02020959T	63	80	69	97	81	40	20
CPCT02080313T	113	28	79	64	25	44	28
CPCT02080311T	99	14	72	74	119	80	29
CPCT02011108T	220	723	153	91	139	106	102
CPCT02080314T	312	39	55	28	200	78	76
CPCT02020694T	262	54	178	25	142	21	14
CPCT02020672T	7	6	43	47	188	11	6
WIDE01010123T	158	12	24	65	69	17	13
CPCT02020665T	133	29	90	45	133	79	48
CPCT02080207T	111	10	58	105	129	43	24
CPCT02060291T	816	4	181	8	166	72	13
CPCT02050441T	4	69	38	126	47	68	9
CPCT02050440T	237	171	176	73	106	46	47
CPCT02050438T	436	41	128	55	139	30	16
DRUP01230001T	965	25705	721	7639	1479	2149	625
CPCT02080205T	242	131	93	249	189	144	77
CPCT02020714T	51	21	90	46	214	5	21
WIDE01010172T	400	306	155	173	142	148	274
CPCT02340081T	0	6	43	26	246	0	5
CPCT02010801T	17	165	40	246	152	41	123
CPCT02010794T	507	71	337	176	161	294	553
CPCT02340083T	492	59	67	75	258	0	15
CPCT02050347T	19	2	87	7	150	0	5
CPCT02120198T	269	72	147	76	94	52	20
CPCT02120199T	70	94	126	137	97	37	127
WIDE01010255T	1259	20	197	181	395	199	5
CPCT02040241T	288	32	92	107	159	59	13
WIDE01010305T	605	28	99	151	181	22	19
WIDE01010314T	161	4	267	204	102	25	28
CPCT02060228T	113	42	332	196	122	46	20
WIDE01010328T	80	19	134	111	86	70	11
CPCT02030479T	537	19	339	5	250	50	12
CPCT02040246T	260	38	187	33	97	0	25
WIDE01010376T	75	23	59	107	54	7	6
WIDE01010381T	430	1590	86	431	140	31	264
WIDE01010392T	180	50	138	83	86	61	25
CPCT02080221T	13	8	94	4	153	0	15
CPCT02020723T	11	33	44	37	84	8	27
CPCT02020736T	150	14	120	256	215	1	29
CPCT02020743T	80	15	57	73	152	37	6
CPCT02020739T	506	13	251	243	435	98	25
CPCT02050365T	410	40	148	108	231	0	22
CPCT02020670TII	1131	45	39	162	293	57	0
CPCT02030490T	136	53	229	147	195	51	29
CPCT02300042T	353	68	151	181	259	70	27
CPCT02020700T	187	34	90	80	134	26	11
CPCT02220050T	60	120	365	106	138	272	76
CPCT02050370T	886	124	225	97	178	158	32
CPCT02050373T	3	2	42	47	105	16	8
CPCT02080234T	854	70	1030	141	311	490	39
CPCT02030499T	159	55	112	26	111	36	19
CPCT02020770T	385	21	96	72	189	82	35
CPCT02050376T	30	1	0	246	155	11	29
CPCT02080239T	107	7	33	55	77	26	12
CPCT02050301T	145	12	112	35	140	13	19
CPCT02080242T	300	75	96	59	195	45	9
CPCT02020789T	367	66	51	44	121	41	1453
CPCT02020796T	114	54	46	321	256	259	21
CPCT02220057T	477	47	149	124	225	75	14
CPCT02340098T	190	55	97	52	200	53	1
CPCT02340097T	304	71	101	121	101	13	7
CPCT02170038T	149	40	69	110	162	0	11
CPCT02010920T	10	6	58	0	84	75	19
CPCT02050399T	0	15	97	116	161	27	20
CPCT02050404T	9	32	42	109	85	8	24
CPCT02050402T	44	42	108	36	229	0	11
CPCT02060256T	112	36	94	125	104	62	16
CPCT02080259T	151	53	132	60	107	53	51
CPCT02020813T	189	27	108	115	108	23	40
CPCT02020785T	2284	101	322	569	546	355	28
CPCT02020810T	104	16	102	10	114	70	10
CPCT02020821T	205	62	284	106	212	17	32
CPCT02340100T	1236	631	380	177	280	140	173
CPCT02080266T	14	25	88	103	136	87	35
CPCT02010941T	592	39	393	8	213	20	23
CPCT02020822T	472	26	307	14	245	139	61
CPCT02020819T	230	3	22	148	142	29	18
CPCT02050405T	215	22	98	51	135	86	5
CPCT02020837T	7	11	66	49	121	34	10
CPCT02340102T	95	25	68	70	69	24	12
DRUP01060021T	477	139	286	477	296	159	71
DRUP01060019T	10	270	289	221	154	146	50
DRUP01060018T	8	215	270	191	137	127	51
CPCT02070394T	34	360	0	682	256	1035	27
CPCT02080269T	583	143	263	40	381	150	227
CPCT02030459TII	20	112	29	407	127	76	105
CPCT02050411T	402	53	202	91	140	47	22
CPCT02030547T	92	15	94	45	127	0	9
CPCT02020828T	46	12	68	33	89	0	7
CPCT02080270T	167	32	137	158	114	27	3
CPCT02060133T	3	11	57	6	53	10	5
CPCT02050276TII	108	40	77	47	74	47	17
CPCT02080271T	126	44	82	38	186	12	24
CPCT02050243T	31	16	51	146	143	62	4
CPCT02060126T	142	22	30	116	107	30	8
DRUP01010106T	139	119	0	0	71	2576	0
CPCT02050245T	142	37	106	433	160	15	3
CPCT02030548T	157	16	123	56	113	7	23
CPCT02050415T	240	33	174	34	134	33	30
CPCT02020853T	186	3	44	32	72	22	17
CPCT02020506TII	640	61	224	89	388	0	12
DRUP01080021T	272	169	88	295	196	184	89
CPCT02020854T	51	16	60	25	145	32	11
CPCT02010994T	213	20	84	83	73	0	11
DRUP01080022T	717	21	733	71	166	387	45
CPCT02020863T	484	75	235	56	230	94	28
CPCT02050276T	97	37	104	44	149	27	6
CPCT02030552T	238	19	68	40	126	4	19
CPCT02080275T	688	43	256	68	122	90	33
CPCT02030553T	1046	13	322	128	377	58	8
CPCT02120062T	855	18	224	53	515	194	2
CPCT02020615T	101	152	210	89	272	80	91
