MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	3.32E-05	7.00E-04	6.54E-05	3.52E-04	6.07E-04	3.11E-04	7.26E-04	8.96E-04
1:Del:C:1	0.00E+00	1.67E-04	7.97E-05	8.74E-05	3.44E-04	2.13E-04	6.07E-04	5.54E-04
1:Del:C:2	3.48E-05	1.32E-04	3.23E-05	1.19E-04	1.81E-04	9.71E-05	3.10E-04	3.04E-04
1:Del:C:3	1.46E-04	6.19E-04	3.55E-05	4.60E-04	9.06E-05	3.77E-05	1.55E-04	1.43E-04
1:Del:C:4	4.88E-04	2.25E-03	5.65E-05	1.66E-03	8.41E-05	2.47E-05	1.50E-04	9.26E-05
1:Del:C:5	1.12E-03	5.32E-03	8.45E-05	4.12E-03	1.57E-04	7.22E-05	3.31E-04	1.02E-04
1:Del:T:0	2.49E-05	9.53E-04	3.56E-05	5.29E-04	1.74E-03	1.56E-04	2.75E-04	1.15E-03
1:Del:T:1	3.57E-05	3.86E-04	1.45E-04	4.03E-04	1.72E-03	1.28E-04	2.49E-04	4.61E-04
1:Del:T:2	5.56E-05	1.61E-04	3.15E-04	1.90E-04	1.49E-03	1.10E-04	2.51E-04	5.11E-04
1:Del:T:3	2.97E-04	9.89E-04	5.36E-04	2.20E-04	3.23E-03	6.07E-05	3.26E-04	5.59E-04
1:Del:T:4	5.72E-04	2.70E-03	3.85E-04	8.94E-04	1.71E-03	1.41E-04	2.92E-04	7.89E-05
1:Del:T:5	7.53E-03	1.05E-02	6.69E-03	7.57E-03	8.00E-03	1.74E-03	3.68E-04	7.78E-04
1:Ins:C:0	3.79E-05	1.22E-04	2.09E-04	1.35E-04	2.94E-04	1.82E-03	2.02E-04	1.45E-04
1:Ins:C:1	3.54E-06	1.55E-04	1.56E-05	1.18E-04	8.59E-05	9.29E-05	7.00E-05	1.05E-04
1:Ins:C:2	3.24E-06	7.06E-05	1.14E-05	5.04E-05	5.50E-05	3.17E-05	5.33E-05	1.09E-04
1:Ins:C:3	1.54E-05	3.77E-05	1.47E-05	6.38E-05	5.55E-05	3.33E-05	4.30E-05	5.81E-05
