Samples	ID1	ID2	ID3	ID4	ID6	ID8	ID9	ID11	ID18	ID19	ID25
DRUP01050010T	0	0	72	0	0	170	0	0	78	111	0
CPCT02050161T	331	96	0	0	0	153	226	0	0	0	0
CPCT02050174T	200	0	0	0	0	101	0	0	0	104	0
CPCT02050172T	711	350	0	0	0	589	308	0	0	0	0
CPCT02050186T	485	521	349	0	0	0	0	0	0	0	0
DRUP01070016T	0	0	150	0	0	241	0	0	134	0	160
CPCT02080120T	232	0	0	0	0	0	0	159	165	0	0
CPCT02030351T	174	139	0	0	0	409	0	0	0	487	0
CPCT02060119T	128	0	0	0	0	95	0	0	0	248	0
CPCT02080136T	594	224	0	0	0	0	0	0	0	0	0
DRUP01010035T	16	0	0	0	0	44	0	0	0	101	0
CPCT02070039T	0	0	0	0	0	258	90	0	0	0	170
CPCT02030302T	221	53	0	0	0	88	0	0	0	106	0
CPCT02070053T	152	0	0	0	0	0	0	0	1358	0	0
CPCT02070065T	36	19	0	34	0	41	0	0	0	58	0
DRUP01070003T	99	0	0	0	0	72	57	0	0	0	0
CPCT02070099T	38	0	0	0	0	35	34	0	0	47	0
CPCT02020473T	56	14	0	0	0	30	39	0	0	44	0
DRUP01070009T	754	154	0	0	0	0	0	0	0	0	0
CPCT02030324T	541	411	0	0	0	288	0	0	0	0	0
CPCT02030330T	609	145	388	0	0	372	0	0	0	0	0
CPCT02050151T	141	34	0	0	0	55	0	0	0	66	0
CPCT02070128T	0	0	146	0	0	241	0	0	138	0	167
CPCT02080099T	337	187	0	0	0	304	157	0	0	0	0
DRUP01030004T	179	109	341	0	0	294	0	183	0	0	0
CPCT02070265T	455	155	0	0	299	0	0	0	0	0	0
CPCT02080040T	371	145	0	0	0	172	162	0	0	151	0
WIDE01010705T	49	42	0	0	0	39	42	0	0	81	0
