MutationType	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID11	ID19	ID21	ID23	ID83G
1:Del:C:0	0.00015989	0.00482412	0.00724972	0.02220211	0.03050680	0.03982756	0.33493988	0.00157657	0.05408908	0.00138887	0.05169788	0.04517822
1:Del:C:1	0.00077352	0.00002210	0.00273487	0.02854722	0.00549190	0.02391594	0.09999423	0.00055032	0.01500886	0.00483662	0.10619410	0.03876695
1:Del:C:2	0.00000000	0.00000311	0.00204106	0.02659693	0.00803399	0.00333055	0.00269066	0.00035734	0.00184945	0.00128434	0.05287559	0.01878623
1:Del:C:3	0.00190761	0.00247208	0.00111228	0.01415912	0.00110238	0.00540315	0.01062542	0.00000000	0.00656318	0.00279289	0.03862287	0.01178361
1:Del:C:4	0.00070599	0.00385698	0.00107568	0.00287342	0.00247817	0.00127571	0.01249690	0.00000000	0.00820689	0.00525348	0.01125206	0.01014870
1:Del:C:5	0.00337011	0.01461542	0.00224618	0.00260245	0.00132207	0.00093373	0.00004480	0.00015647	0.00033611	0.01424820	0.00573968	0.01214423
1:Del:T:0	0.00131160	0.00790597	0.00663505	0.10148115	0.00428416	0.03424369	0.10510537	0.00094421	0.01854399	0.06289173	0.21323872	0.04213794
1:Del:T:1	0.00000000	0.00000000	0.00162247	0.10609961	0.00067769	0.01045208	0.04429364	0.00025851	0.00460977	0.00591724	0.11431327	0.02234534
1:Del:T:2	0.00093645	0.00703642	0.00263341	0.11412846	0.01165966	0.00899203	0.08586196	0.00051652	0.00873799	0.00514523	0.05769072	0.03029747
1:Del:T:3	0.00229585	0.02023474	0.00030604	0.08896221	0.02224239	0.00982504	0.11325066	0.00042568	0.02264413	0.00003080	0.03864648	0.02099910
1:Del:T:4	0.00429142	0.04711993	0.00102320	0.05225953	0.01769714	0.00127378	0.09441274	0.00193245	0.02052353	0.00033607	0.01990450	0.00753156
1:Del:T:5	0.00000000	0.81469723	0.00015444	0.03061052	0.00795434	0.01062034	0.00092983	0.00653939	0.00189831	0.03423706	0.00484058	0.00177292
1:Ins:C:0	0.00000000	0.00000000	0.00000000	0.00054225	0.00208689	0.00276427	0.00000000	0.00018624	0.01628628	0.00029351	0.00228553	0.08529006
1:Ins:C:1	0.00000000	0.00022703	0.00027240	0.00124290	0.00177343	0.00216912	0.00000193	0.16348288	0.03305029	0.00147349	0.00057783	0.02771664
1:Ins:C:2	0.00000000	0.00002620	0.00006880	0.00315167	0.00024617	0.00152700	0.00035262	0.09373884	0.01540814	0.00015440	0.00147472	0.00941014
1:Ins:C:3	0.00084599	0.00043005	0.00051248	0.00060285	0.00023217	0.00011652	0.00000000	0.03617564	0.00718753	0.00021074	0.00171284	0.00776566
1:Ins:C:4	0.00178553	0.00291185	0.00000000	0.00019758	0.00037659	0.00055418	0.00000216	0.01118979	0.01028347	0.00047283	0.00010835	0.00730326
1:Ins:C:5	0.02429654	0.00901754	0.00024914	0.00043354	0.00024800	0.00048949	0.00007370	0.00341224	0.02796958	0.00182085	0.00126133	0.02440097
1:Ins:T:0	0.00228382	0.00132856	0.00033367	0.00636196	0.00639625	0.00450798	0.01261448	0.00040694	0.01808925	0.00715236	0.00623642	0.05920305
1:Ins:T:1	0.00004030	0.00000000	0.00101004	0.01346270	0.00104119	0.00486870	0.01038527	0.31427728	0.02808965	0.02205486	0.01262155	0.03733336
1:Ins:T:2	0.00019286	0.00064703	0.00001060	0.02972114	0.00073885	0.00142964	0.00231466	0.16180782	0.01156301	0.00171300	0.01057210	0.01902317
