Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,221500.0%,39.62%,94.23%,29.84%,110.91,0.1708,0.6812,0.057,0.483,0.935,0.43
3,1.0,1.0,YES,4.45e-02,78900.0%,30.59%,80.66%,18.69%,78.74,0.1284,0.6856,0.032,0.322,0.961,0.595
4,0.7,-0.01,NO,N/A,94300.0%,35.04%,82.19%,23.0%,86.36,0.1451,0.8013,0.033,0.345,0.959,0.577
5*,0.92,0.78,YES,Most Stab Sigs,26600.0%,26.66%,73.88%,15.72%,75.2,0.1009,0.5788,0.021,0.301,0.974,0.618
6,0.8,-0.05,NO,N/A,25700.0%,23.89%,71.52%,13.38%,75.71,0.0867,0.5432,0.017,0.298,0.979,0.625
7,0.75,-0.38,NO,N/A,25400.0%,22.73%,68.55%,12.76%,74.34,0.0804,0.5034,0.014,0.293,0.982,0.63
8,0.57,-0.62,NO,N/A,24800.0%,22.26%,67.78%,12.42%,71.76,0.0785,0.4506,0.014,0.273,0.982,0.654
9,0.49,-0.4,NO,N/A,25900.0%,21.38%,57.92%,11.77%,61.94,0.0748,0.3199,0.013,0.21,0.984,0.731
10,0.51,-0.44,NO,N/A,17600.0%,20.9%,58.69%,11.24%,63.43,0.0709,0.3462,0.011,0.221,0.986,0.717
11,0.59,-0.23,NO,N/A,14300.0%,19.8%,46.21%,10.89%,46.22,0.0636,0.2386,0.009,0.107,0.989,0.848
12,0.54,-0.3,NO,N/A,13200.0%,18.37%,45.85%,10.14%,45.75,0.0594,0.2321,0.007,0.103,0.991,0.853
13,0.45,-0.63,NO,N/A,19400.0%,17.93%,45.87%,9.79%,46.63,0.059,0.2368,0.007,0.107,0.991,0.849
14,0.42,-0.6,NO,N/A,21500.0%,16.97%,46.13%,9.45%,46.1,0.056,0.2385,0.006,0.106,0.992,0.849
15,0.4,-0.64,NO,N/A,23400.0%,16.5%,43.14%,9.25%,41.23,0.055,0.1944,0.006,0.08,0.993,0.889
16,0.33,-0.64,NO,N/A,46800.0%,17.1%,44.45%,8.95%,45.1,0.0571,0.2342,0.006,0.104,0.992,0.85
17,0.31,-0.6,NO,N/A,34200.0%,15.83%,30.22%,9.04%,27.65,0.0531,0.1327,0.005,0.038,0.994,0.941
18,0.29,-0.62,NO,N/A,34800.0%,15.86%,29.72%,8.82%,27.26,0.0528,0.1303,0.005,0.038,0.994,0.942
19,0.25,-0.66,NO,N/A,48300.0%,16.11%,32.42%,8.83%,29.88,0.0532,0.1394,0.005,0.045,0.994,0.924
20,0.25,-0.58,NO,N/A,61900.0%,15.33%,29.82%,8.45%,25.22,0.0514,0.1298,0.004,0.032,0.995,0.948
