Sample Names	MutationType	ID83A	ID83B	ID83C
SP85623	1:Del:C:0	0.03010521522219764	0.9698947847778024	0.0
SP85623	1:Del:C:1	0.02516401667187747	0.9748359833281226	0.0
SP85623	1:Del:C:2	0.02690554368662732	0.9730944563133728	0.0
SP85623	1:Del:C:3	0.037785108230300506	0.9622148917696995	0.0
SP85623	1:Del:C:4	0.029776745512046312	0.9702232544879537	0.0
SP85623	1:Del:C:5	0.36385816345458805	0.6361418365454119	0.0
SP85623	1:Del:T:0	0.03508223504359168	0.9649177649564084	0.0
SP85623	1:Del:T:1	0.04507716035252914	0.9549228396474708	0.0
SP85623	1:Del:T:2	0.040139975519093936	0.959860024480906	0.0
SP85623	1:Del:T:3	0.06937364805150652	0.9306263519484935	0.0
SP85623	1:Del:T:4	0.1207844776392721	0.879215522360728	0.0
SP85623	1:Del:T:5	0.9335646045852727	0.06643539541472727	0.0
SP85623	1:Ins:C:0	0.9999772468780944	2.275312190555242e-05	0.0
SP85623	1:Ins:C:1	0.19971891899317754	0.8002810810068226	0.0
SP85623	1:Ins:C:2	0.07539535104607821	0.9246046489539218	0.0
SP85623	1:Ins:C:3	0.27105355648538254	0.7289464435146175	0.0
SP85623	1:Ins:C:4	0.4978291760587883	0.5021708239412118	0.0
SP85623	1:Ins:C:5	0.19576311666701215	0.8042368833329878	0.0
SP85623	1:Ins:T:0	0.3375133006513264	0.6624866993486737	0.0
SP85623	1:Ins:T:1	0.061321331035428764	0.9386786689645713	0.0
SP85623	1:Ins:T:2	0.15786134391519788	0.8421386560848021	0.0
SP85623	1:Ins:T:3	0.08640858140035519	0.9135914185996449	0.0
SP85623	1:Ins:T:4	0.33669917573777625	0.6633008242622238	0.0
SP85623	1:Ins:T:5	0.4063519879898856	0.5936480120101143	0.0
SP85623	2:Del:R:0	0.03761665548810712	0.9623833445118929	0.0
SP85623	2:Del:R:1	0.04964889594901402	0.9503511040509859	0.0
SP85623	2:Del:R:2	0.030270176952688622	0.9697298230473113	0.0
SP85623	2:Del:R:3	0.23505952788970744	0.7649404721102925	0.0
SP85623	2:Del:R:4	0.3880982414629848	0.6119017585370152	0.0
SP85623	2:Del:R:5	0.013074130520547837	0.9869258694794522	0.0
SP85623	3:Del:R:0	0.021086113348857977	0.978913886651142	0.0
SP85623	3:Del:R:1	0.01460038725900557	0.9853996127409944	0.0
SP85623	3:Del:R:2	0.004787451134021805	0.9952125488659781	0.0
SP85623	3:Del:R:3	1.4933733387809094e-07	0.9999998506626661	0.0
SP85623	3:Del:R:4	0.0064769119891902385	0.9935230880108098	0.0
SP85623	3:Del:R:5	0.0	1.0	0.0
SP85623	4:Del:R:0	0.0546901919691638	0.9453098080308361	0.0
SP85623	4:Del:R:1	0.01296126318771981	0.9870387368122802	0.0
SP85623	4:Del:R:2	0.058947265636072554	0.9410527343639274	0.0
SP85623	4:Del:R:3	0.026487001741358276	0.9735129982586417	0.0
SP85623	4:Del:R:4	1.4015576368826124e-07	0.9999998598442362	0.0
SP85623	4:Del:R:5	0.057964856812803146	0.9420351431871969	0.0
SP85623	5:Del:R:0	0.020918581303119826	0.9790814186968801	0.0
SP85623	5:Del:R:1	0.05188257918809883	0.9481174208119012	0.0
SP85623	5:Del:R:2	0.014877215622708485	0.9851227843772914	0.0
SP85623	5:Del:R:3	0.35648667225839736	0.6435133277416027	0.0
SP85623	5:Del:R:4	0.0023106362485107094	0.9976893637514893	0.0
SP85623	5:Del:R:5	2.3536349004663212e-07	0.99999976463651	0.0
SP85623	2:Ins:R:0	0.23765741539628757	0.7623425846037125	0.0
SP85623	2:Ins:R:1	0.027903658620715206	0.9720963413792847	0.0
SP85623	2:Ins:R:2	0.03443857621912057	0.9655614237808794	0.0
SP85623	2:Ins:R:3	0.42771935506198017	0.5722806449380198	0.0
SP85623	2:Ins:R:4	0.999978706479191	2.1293520809074826e-05	0.0
SP85623	2:Ins:R:5	0.5483910581010165	0.4516089418989835	0.0
SP85623	3:Ins:R:0	0.18724649621123649	0.8127535037887634	0.0
SP85623	3:Ins:R:1	0.037007319526242845	0.9629926804737572	0.0
SP85623	3:Ins:R:2	0.16243820572254966	0.8375617942774503	0.0
SP85623	3:Ins:R:3	0.0023106362485107094	0.9976893637514893	0.0
SP85623	3:Ins:R:4	0.0005943069235976182	0.9994056930764024	0.0
SP85623	3:Ins:R:5	0.851624190411451	0.14837580958854893	0.0
SP85623	4:Ins:R:0	0.9999903179154824	9.682084517511762e-06	0.0
SP85623	4:Ins:R:1	0.07697390526018202	0.9230260947398179	0.0
SP85623	4:Ins:R:2	0.9732655066139391	0.026734493386060987	0.0
SP85623	4:Ins:R:3	0.9992297134458273	0.0007702865541726625	0.0
SP85623	4:Ins:R:4	0.9982805119763017	0.0017194880236981926	0.0
SP85623	4:Ins:R:5	0.5491205052506418	0.45087949474935823	0.0
SP85623	5:Ins:R:0	1.0	0.0	0.0
SP85623	5:Ins:R:1	0.04083707080026209	0.9591629291997379	0.0
SP85623	5:Ins:R:2	0.08258104618459221	0.9174189538154078	0.0
SP85623	5:Ins:R:3	0.09814718350895718	0.9018528164910428	0.0
SP85623	5:Ins:R:4	0.0697145516996955	0.9302854483003045	0.0
SP85623	5:Ins:R:5	0.05486877694017736	0.9451312230598227	0.0
SP85623	2:Del:M:1	0.05630906195377005	0.9436909380462299	0.0
SP85623	3:Del:M:1	0.039039451661261736	0.9609605483387382	0.0
SP85623	3:Del:M:2	0.024769139556500324	0.9752308604434998	0.0
SP85623	4:Del:M:1	0.014580476171760157	0.9854195238282398	0.0
SP85623	4:Del:M:2	0.017775282093203754	0.9822247179067962	0.0
SP85623	4:Del:M:3	0.011498998912928554	0.9885010010870714	0.0
SP85623	5:Del:M:1	0.021379336942895025	0.9786206630571048	0.0
SP85623	5:Del:M:2	0.03662176991069866	0.9633782300893015	0.0
SP85623	5:Del:M:3	0.03757743918766415	0.9624225608123359	0.0
SP85623	5:Del:M:4	0.05442489573983348	0.9455751042601666	0.0
SP85623	5:Del:M:5	0.08658443008823055	0.9134155699117695	0.0
SP85491	1:Del:C:0	0.0	1.0	0.0
SP85491	1:Del:C:1	0.0	1.0	0.0
SP85491	1:Del:C:2	0.0	1.0	0.0
SP85491	1:Del:C:3	0.0	1.0	0.0
SP85491	1:Del:C:4	0.0	1.0	0.0
SP85491	1:Del:C:5	0.0	1.0	0.0
SP85491	1:Del:T:0	0.0	1.0	0.0
SP85491	1:Del:T:1	0.0	1.0	0.0
SP85491	1:Del:T:2	0.0	1.0	0.0
SP85491	1:Del:T:3	0.0	1.0	0.0
SP85491	1:Del:T:4	0.0	1.0	0.0
SP85491	1:Del:T:5	0.0	1.0	0.0
SP85491	1:Ins:C:0	0.0	1.0	0.0
SP85491	1:Ins:C:1	0.0	1.0	0.0
SP85491	1:Ins:C:2	0.0	1.0	0.0
SP85491	1:Ins:C:3	0.0	1.0	0.0
SP85491	1:Ins:C:4	0.0	1.0	0.0
SP85491	1:Ins:C:5	0.0	1.0	0.0
SP85491	1:Ins:T:0	0.0	1.0	0.0
SP85491	1:Ins:T:1	0.0	1.0	0.0
SP85491	1:Ins:T:2	0.0	1.0	0.0
SP85491	1:Ins:T:3	0.0	1.0	0.0
