Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP109953	1.01E+00	1.25E+00	4.08E-01	9.93E-01	3.85E-01	5.83E-01	6.01E-01	6.30E-01
SP107650	9.73E-01	1.62E+00	6.29E-01	1.03E+00	1.79E-01	8.10E-01	5.81E-01	7.04E-01
SP13206	1.32E+00	1.41E+00	7.87E-01	1.11E+00	2.36E-01	8.50E-01	6.90E-01	7.63E-01
SP13078	1.10E+00	1.58E+00	9.69E-01	1.03E+00	2.00E-02	7.56E-01	7.07E-01	9.48E-01
SP107607	8.20E-01	1.33E+00	8.12E-01	1.18E+00	0.00E+00	8.18E-01	7.23E-01	8.48E-01
SP109941	6.87E-01	1.28E+00	5.64E-01	8.20E-01	4.37E-01	6.47E-01	5.78E-01	5.52E-01
SP109801	1.20E+00	1.55E+00	7.67E-01	9.58E-01	1.70E-01	6.78E-01	5.64E-01	7.82E-01
SP13072	5.43E-01	1.23E+00	8.66E-01	1.67E+00	5.95E-01	8.13E-01	9.84E-01	1.11E+00
SP107595	1.29E+00	1.96E+00	3.29E-01	2.88E+00	4.26E-01	9.64E-01	2.40E+00	7.40E-01
SP107640	8.42E-01	1.25E+00	8.30E-01	9.43E-01	6.68E-02	4.98E-01	4.87E-01	7.23E-01
SP13084	9.92E-01	1.63E+00	6.70E-01	1.25E+00	0.00E+00	8.96E-01	6.58E-01	1.01E+00
SP107603	5.81E-01	1.21E+00	8.94E-01	1.08E+00	2.83E-01	7.02E-01	6.57E-01	8.72E-01
SP109957	8.99E-01	1.91E+00	1.35E+00	2.17E+00	1.67E+00	1.15E+00	1.76E+00	1.88E+00
SP114020	1.29E+00	2.07E+00	8.87E-01	1.85E+00	9.75E-01	9.73E-01	1.16E+00	1.58E+00
SP96540	8.87E-01	1.16E+00	5.85E-01	6.31E-01	5.99E-01	4.62E-01	3.26E-01	9.91E-01
SP114032	9.70E-01	1.37E+00	7.96E-01	1.03E+00	8.30E-01	7.65E-01	3.40E-01	1.47E+00
SP107624	5.18E-01	9.83E-01	5.62E-01	1.06E+00	3.93E-01	5.83E-01	4.95E-01	4.18E-01
SP107575	1.05E+00	1.40E+00	9.97E-01	1.22E+00	2.25E-01	1.06E+00	6.19E-01	9.33E-01
SP13242	8.40E-01	1.25E+00	7.17E-01	8.62E-01	4.68E-01	8.82E-01	3.89E-01	7.62E-01
SP114016	6.92E-01	1.27E+00	7.72E-01	9.82E-01	2.29E-01	6.46E-01	6.00E-01	8.78E-01
CPCT02070011T	2.98E+00	3.90E+00	2.49E+00	3.97E+00	2.65E+00	4.85E+00	1.31E+00	3.07E+00
CPCT02020317T	5.33E-01	9.43E-01	9.40E-01	1.30E+00	1.69E+00	9.48E-01	1.15E+00	8.75E-01
CPCT02010352T	1.27E-01	5.75E-01	6.41E-01	7.06E-01	1.01E+00	4.29E-01	5.42E-01	5.36E-01
CPCT02010362T	4.80E-01	6.65E-01	7.44E-01	8.30E-01	1.05E+00	4.02E-01	6.26E-01	6.27E-01
CPCT02010366T	1.00E-01	1.48E-01	2.45E-01	6.29E-01	8.29E-01	2.37E-01	4.16E-01	3.09E-01
CPCT02010383T	3.90E-01	3.44E-01	7.14E-01	4.10E-01	9.88E-01	5.99E-01	4.17E-01	4.46E-01
CPCT02050049T	4.86E-01	8.36E-01	1.02E+00	1.47E+00	1.26E+00	3.33E-01	8.91E-01	1.04E+00
CPCT02020350T	3.92E-01	1.17E+00	1.01E+00	1.67E+00	1.45E+00	6.39E-01	7.50E-01	7.88E-01
CPCT02060023T	1.03E+00	2.25E+00	1.38E+00	3.53E+00	1.74E+00	1.27E+00	2.34E+00	2.06E+00
CPCT02080030T	2.08E+00	2.35E+00	4.66E+00	3.52E+00	3.76E+00	1.56E+00	1.98E+00	2.79E+00
CPCT02060010T	1.88E+00	2.04E+00	2.08E+00	2.64E+00	1.60E+00	1.42E+00	1.56E+00	2.32E+00
CPCT02040037T	4.74E+00	2.61E+01	1.31E+00	3.38E+00	4.36E+00	4.03E-01	3.19E+01	2.95E+00
CPCT02070018T	9.57E-01	1.95E+00	1.21E+00	3.42E+00	1.86E+00	1.13E+00	1.98E+00	2.01E+00
CPCT02080041T	7.41E-01	1.85E+00	2.58E+00	7.03E+00	3.03E+00	1.32E+00	4.86E+00	4.67E+00
CPCT02070029T	2.47E+00	2.31E+00	1.54E+00	2.27E+00	1.34E+00	1.94E+00	1.46E+00	1.95E+00
CPCT02060033T	1.06E+00	2.11E+00	1.29E+00	2.52E+00	2.18E+00	1.17E+00	1.62E+00	2.17E+00
CPCT02020399T	3.62E+00	5.09E+00	2.80E+00	3.58E+00	2.37E+00	1.35E+00	3.59E+00	5.36E+00
CPCT02140024T	3.20E+01	1.28E+01	1.82E+00	2.08E+00	1.81E+00	2.12E+00	1.15E+00	4.35E+01
CPCT02080050T	7.56E-01	9.67E-01	1.28E+00	2.23E+00	2.06E+00	7.55E-01	1.20E+00	1.41E+00
CPCT02030293T	9.72E-01	1.58E+00	1.18E+00	1.42E+00	1.57E+00	8.68E-01	8.51E-01	1.11E+00
CPCT02010441T	3.81E+02	5.44E+00	9.70E+00	5.94E+00	5.05E+00	2.15E+01	6.93E+00	3.95E+02
CPCT02090030T	2.12E+00	2.28E+00	8.26E-01	1.74E+00	1.71E+00	1.09E+00	7.12E-01	1.02E+00
CPCT02010718T	1.24E+00	1.94E+00	6.28E-01	1.55E+00	1.67E+00	9.18E-01	1.05E+00	1.10E+00
CPCT02020653T	6.98E-01	1.26E+00	9.93E-01	2.16E+00	2.18E+00	7.03E-01	1.20E+00	1.39E+00
CPCT02340008TII	7.91E-01	1.38E+00	7.16E-01	9.39E-01	1.75E+00	5.30E-01	9.29E-01	1.12E+00
CPCT02020876T	6.39E-01	8.71E-01	1.02E+00	1.50E+00	1.13E+00	5.88E-01	8.22E-01	1.08E+00
CPCT02370016T	9.32E-01	1.47E+00	1.46E+00	2.89E+00	1.91E+00	6.95E-01	1.78E+00	2.04E+00
CPCT02070275T	1.20E+00	2.16E+00	8.24E-01	1.28E+00	1.72E+00	6.97E-01	6.15E-01	2.02E+00
CPCT02011028T	2.68E+00	2.33E+00	1.86E+00	3.08E+00	1.93E+00	1.20E+00	2.16E+00	2.38E+00
CPCT02230072T	1.92E+02	6.43E+01	9.27E+00	1.16E+01	1.09E+01	9.48E+00	1.27E+01	2.59E+02
CPCT02130028T	1.50E+00	1.86E+00	6.09E-01	1.34E+00	1.62E+00	8.01E-01	9.74E-01	1.17E+00
CPCT02060182T	4.94E-01	6.86E-01	7.93E-01	9.67E-01	1.05E+00	4.80E-01	5.86E-01	3.01E-01
