MutationType	ID83A	ID83B	ID83C
1:Del:C:0	5.79E-06	5.24E-05	9.53E-05
1:Del:C:1	3.50E-06	2.50E-05	6.57E-05
1:Del:C:2	2.79E-06	1.70E-05	3.86E-05
1:Del:C:3	4.69E-06	1.33E-05	2.32E-05
1:Del:C:4	8.28E-06	8.10E-06	1.85E-05
1:Del:C:5	1.78E-05	2.08E-05	3.58E-05
1:Del:T:0	3.97E-06	4.57E-05	7.23E-05
1:Del:T:1	3.70E-06	3.98E-05	6.22E-05
1:Del:T:2	3.76E-06	2.50E-05	4.99E-05
1:Del:T:3	9.46E-06	4.19E-05	6.68E-05
1:Del:T:4	1.74E-05	3.25E-05	4.63E-05
1:Del:T:5	9.01E-05	2.61E-04	4.43E-04
1:Ins:C:0	1.07E-05	8.33E-05	3.12E-04
1:Ins:C:1	1.22E-06	1.14E-05	2.72E-05
1:Ins:C:2	8.79E-07	8.49E-06	1.53E-05
1:Ins:C:3	1.61E-06	8.74E-06	1.48E-05
1:Ins:C:4	4.62E-06	9.57E-06	1.37E-05
1:Ins:C:5	9.75E-06	2.38E-05	3.16E-05
1:Ins:T:0	2.87E-06	2.49E-05	4.59E-05
1:Ins:T:1	1.92E-06	2.35E-05	4.49E-05
1:Ins:T:2	3.40E-06	1.97E-05	3.23E-05
1:Ins:T:3	2.70E-06	1.68E-05	2.70E-05
1:Ins:T:4	4.20E-06	2.19E-05	2.38E-05
1:Ins:T:5	9.58E-05	5.25E-04	6.76E-04
2:Del:R:0	4.17E-06	2.94E-05	5.27E-05
2:Del:R:1	4.16E-06	3.40E-05	4.65E-05
2:Del:R:2	3.34E-06	1.48E-05	2.47E-05
2:Del:R:3	9.53E-06	2.01E-06	1.18E-05
2:Del:R:4	5.53E-06	2.13E-06	7.47E-06
2:Del:R:5	9.63E-06	4.36E-06	1.05E-05
3:Del:R:0	2.08E-06	1.02E-05	1.66E-05
3:Del:R:1	3.53E-06	2.56E-05	4.48E-05
3:Del:R:2	2.40E-06	1.28E-05	1.94E-05
3:Del:R:3	1.50E-06	6.49E-06	1.03E-05
3:Del:R:4	1.66E-06	4.46E-06	7.10E-06
3:Del:R:5	2.03E-06	4.56E-06	7.07E-06
4:Del:R:0	1.42E-06	1.01E-05	1.73E-05
4:Del:R:1	3.16E-06	2.26E-05	3.44E-05
4:Del:R:2	1.93E-06	1.16E-05	1.83E-05
4:Del:R:3	2.03E-06	8.82E-06	1.54E-05
4:Del:R:4	1.16E-06	4.71E-06	8.56E-06
4:Del:R:5	1.87E-06	2.78E-06	5.02E-06
5:Del:R:0	3.38E-06	4.83E-05	6.78E-05
5:Del:R:1	1.46E-06	1.62E-05	2.38E-05
5:Del:R:2	1.01E-06	7.12E-06	1.11E-05
5:Del:R:3	1.06E-06	4.08E-06	6.49E-06
5:Del:R:4	7.79E-07	1.32E-06	2.95E-06
5:Del:R:5	6.39E-07	1.37E-06	2.61E-06
2:Ins:R:0	3.03E-06	2.16E-05	3.62E-05
2:Ins:R:1	1.20E-06	1.56E-05	2.58E-05
2:Ins:R:2	1.21E-06	1.17E-05	1.99E-05
2:Ins:R:3	2.69E-06	8.98E-06	1.19E-05
2:Ins:R:4	5.01E-06	1.31E-05	1.61E-05
2:Ins:R:5	9.87E-06	3.55E-05	5.33E-05
3:Ins:R:0	1.38E-06	1.41E-05	2.44E-05
3:Ins:R:1	0.00E+00	1.22E-05	2.08E-05
3:Ins:R:2	8.17E-07	5.73E-06	8.64E-06
3:Ins:R:3	8.52E-07	3.52E-06	5.50E-06
3:Ins:R:4	8.65E-07	4.77E-06	7.36E-06
3:Ins:R:5	3.06E-06	9.97E-06	1.44E-05
4:Ins:R:0	2.44E-06	2.26E-05	3.79E-05
4:Ins:R:1	7.81E-07	1.19E-05	2.06E-05
4:Ins:R:2	8.69E-07	5.61E-06	9.19E-06
4:Ins:R:3	1.23E-06	5.81E-06	8.55E-06
4:Ins:R:4	1.48E-06	8.01E-06	1.24E-05
4:Ins:R:5	1.38E-06	1.01E-05	1.41E-05
5:Ins:R:0	5.68E-06	7.62E-05	9.77E-05
5:Ins:R:1	0.00E+00	2.71E-05	4.70E-05
5:Ins:R:2	8.26E-07	6.58E-06	1.15E-05
5:Ins:R:3	7.52E-07	4.90E-06	7.78E-06
5:Ins:R:4	4.78E-07	4.83E-06	7.13E-06
5:Ins:R:5	2.19E-07	3.02E-06	4.42E-06
2:Del:M:1	4.54E-06	2.82E-05	4.70E-05
3:Del:M:1	1.30E-06	1.02E-05	1.76E-05
3:Del:M:2	2.97E-06	2.19E-05	3.29E-05
4:Del:M:1	2.36E-06	1.23E-05	2.17E-05
4:Del:M:2	1.56E-06	1.34E-05	2.27E-05
4:Del:M:3	2.04E-06	1.68E-05	3.27E-05
5:Del:M:1	3.87E-06	3.89E-05	6.05E-05
5:Del:M:2	2.69E-06	2.82E-05	4.75E-05
5:Del:M:3	2.13E-06	2.09E-05	3.71E-05
5:Del:M:4	1.21E-06	9.13E-06	2.69E-05
5:Del:M:5	1.76E-06	2.17E-05	3.35E-05
