MutationType	ID83A	ID83B	ID83C
1:Del:C:0	0.002418772135861218	0.0058671720372512936	0.06620374709367752
1:Del:C:1	0.0005271540104877203	0.0030337668489664794	0.039217164590954784
1:Del:C:2	0.0011336634412873537	0.0007789030435378663	0.01966345462948084
1:Del:C:3	0.004032551334239543	0.0015010733983945102	0.007385287857614458
1:Del:C:4	0.010231173569336534	0.00021629224247590172	0.003543962410185486
1:Del:C:5	0.03416438236832619	0.0026165733276866374	0.0017288418347015976
1:Del:T:0	0.0013084749912377447	0.005206564348191023	0.04456250250339508
1:Del:T:1	0.001244469766970724	0.0035368433920666574	0.0343113274499774
1:Del:T:2	0.001922699362039566	0.01167544667609036	0.021987978257238864
1:Del:T:3	0.011929188575595617	0.015625336859375238	0.03194212635979057
1:Del:T:4	0.03870775785297156	0.01753858247771859	0.01049408920109272
1:Del:T:5	0.7102631235122681	0.1670199653506279	0.0010034225946895464
1:Ins:C:0	0.0002452745457986083	0.00047755284525919706	0.19037577375769615
1:Ins:C:1	9.621742596209515e-05	0.0009890819154679776	0.010196417011320591
1:Ins:C:2	9.635307083954104e-05	0.0007745783479185775	0.0028382720751687885
1:Ins:C:3	0.0003903441195143387	0.001035873414366506	0.0021036904153879732
1:Ins:C:4	0.002597947393078357	0.0017404120822902768	0.0013512028346303851
1:Ins:C:5	0.011396987605839968	0.015701685128733517	0.003149592517875135
1:Ins:T:0	0.0007318465283606201	0.006495726727880537	0.02498193919658661
1:Ins:T:1	0.00012762974947690963	0.0034550953027792275	0.02192254677414894
1:Ins:T:2	0.0019414214766584337	0.002756206353660673	0.01319495881907642
1:Ins:T:3	0.0010340261261444538	0.0058230592822656035	0.006688406467437744
1:Ins:T:4	0.001960061531281099	0.014060740089043976	0.0013517844548914582
1:Ins:T:5	0.0839000415802002	0.5684994089603425	0.02828274918720126
2:Del:R:0	0.00253577699419111	0.0008980311444611289	0.02456267410889268
2:Del:R:1	0.001931251275818795	0.008056933921761811	0.018298787996172905
2:Del:R:2	0.0018663477571681142	0.0022209690534509717	0.005041779014281929
2:Del:R:3	0.01143837220966816	1.2141151141591423e-05	0.0001328303553578003
2:Del:R:4	0.00484041752293706	9.621033329239027e-06	0.00041382689218153243
2:Del:R:5	0.013683424722403288	3.7227126010748176e-05	0.00018938520772479706
3:Del:R:0	0.0010209433548152447	0.0005926708897459321	0.005104412049986422
3:Del:R:1	0.0015469421667512505	0.00802377101033926	0.010177861796692014
3:Del:R:2	0.0008165315887890757	0.0017936676426324994	0.002732081920839846
3:Del:R:3	0.00035323264630278574	0.0005674566313973628	0.0007030418235808611
3:Del:R:4	0.0003232178339385428	0.00027340731452568434	0.00026999619796697516
3:Del:R:5	0.0006726757006254047	0.00015832456811040174	0.00022296793380519376
4:Del:R:0	0.0004241210507461801	0.0005718464292294812	0.003746349294669926
4:Del:R:1	0.0008556866232538596	0.0037348662968724965	0.008186703938990831
4:Del:R:2	0.0006268139911117032	0.0013014390983153135	0.002482712005730718
4:Del:R:3	0.0009307644516229629	0.0004221107790363021	0.001126941271359101
4:Del:R:4	0.0002237411391979549	0.00013835249719704735	0.0005251756738289259
4:Del:R:5	0.0005145541788078845	2.9315994104877064e-05	0.00021136017101525795
5:Del:R:0	4.904007600089244e-05	0.0029975705000106247	0.03804720163345337
5:Del:R:1	0.00020500478203757666	0.002511017727665603	0.005865201414562762
5:Del:R:2	0.00022466345864813775	0.0005705827500787564	0.0012286853924160822
5:Del:R:3	0.00016010334351449274	0.00017400980104866903	0.0003073654035688378
5:Del:R:4	8.828972167975734e-05	1.2438827806207087e-05	0.00010621899344187113
5:Del:R:5	6.203566488693468e-05	1.8793326143793366e-05	5.530569736947655e-05
2:Ins:R:0	0.0014037861628457904	0.007516509294509888	0.01615643985569477
2:Ins:R:1	8.702427621756214e-05	0.002410739113111049	0.005755596356466413
2:Ins:R:2	0.0002540698682423681	0.0017173640558030456	0.0027229648362845182
2:Ins:R:3	0.0010882529558148236	0.0013059303548652679	0.0013363351719453932
2:Ins:R:4	0.003875314767938107	0.00429252034984529	0.000449587440743926
2:Ins:R:5	0.01292533447034657	0.02734833087772131	0.005304655400104821
