De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID2 (100.00%), 23.09,  6.87, 0.769, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (100.00%), 24.77,  3.98, 0.889, 1.00, 1.00
Signature 83-ID83C, Signature ID6 (72.40%) & Signature ID8 (27.60%), 6.41,  3.94, 0.020, 1.00, 1.00
Signature 83-ID83D, Signature ID5 (46.50%) & Signature ID8 (53.50%), 40.43,  27.02, 0.154, 0.96, 0.95
Signature 83-ID83E, Signature ID4 (41.06%) & Signature ID5 (20.08%) & Signature ID21 (38.86%), 33.05,  25.35, 0.157, 0.97, 0.96
Signature 83-ID83F, Signature ID3 (41.58%) & Signature ID9 (58.42%), 30.04,  21.49, 0.176, 0.98, 0.97
Signature 83-ID83G, Signature ID8 (17.34%) & Signature ID19 (82.66%), 70.23,  34.20, 0.374, 0.94, 0.94
Signature 83-ID83H, Signature ID2 (18.88%) & Signature ID14 (81.12%), 98.60,  53.70, 0.933, 0.84, 0.86
