Samples	ID83A	ID83B	ID83C	ID83D
SP18310	122159	11769	0	54
SP17172	34642	4980	0	258
SP96133	69957	6708	524	199
SP110242	100822	23600	0	73
SP114330	99	911	250	28
SP21017	98201	14059	0	119
SP22383	73064	5497	672	55
SP81312	2528	8285	0	776
SP22031	0	3309	0	185
SP96112	74	491	181	7
SP19215	67307	5228	1163	33
SP96120	257	1223	307	228
SP16886	0	6838	0	825
SP96124	440	1066	113	18
SP19295	314	3807	0	157
SP19670	152	876	104	18
SP17905	3944	16328	4038	1356
SP16934	348	768	122	296
SP20993	320	1364	135	185
SP19983	688	1113	171	300
SP18121	71475	28340	0	215
SP96122	767	1480	158	69
SP119755	897	1069	299	146
SP96126	604	2594	51	51
SP19606	132	420	283	165
SP96118	7096	1818	551	0
SP21528	119	1000	128	55
SP21400	229	9768	0	554
SP23078	59	370	220	404
SP17430	33	355	213	25
SP96110	337	615	205	88
SP18946	5112	10439	743	507
SP21057	824	921	254	133
SP22750	151	859	148	68
SP19750	124	1020	63	25
SP17016	544	726	220	22
SP16958	363	1382	509	27
SP17329	132	481	206	44
SP96116	220	936	123	40
SP96129	520	901	251	35
SP21193	260	568	187	26
SP18787	327	1755	149	28
SP96114	92	950	257	128
SP19582	37	279	216	50
SP17294	558	1301	136	270
SP80367	0	393	109	591
SP82087	76	662	165	143
SP80615	302	16067	592	2378
SP80271	307	830	183	53
SP81172	256	360	437	250
SP81840	658	1498	179	29
SP80657	39	472	139	32
SP81494	90	559	438	98
SP81711	247	1564	462	156
SP80423	286	473	339	49
SP80754	211	614	479	16
SP81440	3	317	121	36
SP80950	248	413	118	10
SP82103	0	1348	122	8
SP81137	0	995	8	1651
DRUP01010006T	335	1070	335	78
CPCT02020319T	449	911	257	194
CPCT02040021T	346	1017	320	186
CPCT02110003T	64	932	162	38
CPCT02140012T	561	675	1281	78
CPCT02040027T	949	1006	369	161
CPCT02100013T	843	945	1344	80
CPCT02050048T	310	789	415	101
CPCT02060015T	676	954	312	230
CPCT02010397T	593	1294	351	59
CPCT02040040T	314	1121	344	232
CPCT02110008T	455	950	722	50
CPCT02050057T	438	1732	330	73
CPCT02050061T	129	658	342	67
CPCT02110011T	392	845	170	66
CPCT02020383T	261	725	440	223
CPCT02010414T	679	526	445	511
CPCT02210001T	590	1046	229	105
CPCT02210003T	461	1513	453	115
CPCT02330007T	116	867	362	429
CPCT02050068T	224	251	489	18
CPCT02050075T	573	826	573	589
CPCT02040058T	535	954	434	305
CPCT02330009T	212	607	202	34
DRUP01010007T	2452	1087	327	420
DRUP01070001T	95760	7504	1738	180
CPCT02040021TII	567	1278	367	188
CPCT02340048T	180	1036	468	655
CPCT02330131T	162	456	573	98
CPCT02190027T	260	655	544	101
CPCT02050300T	434	885	416	173
DRUP01070063T	286	557	1222	2085
CPCT02060160T	409	613	857	146
CPCT02030443T	455	561	709	508
CPCT02020651T	422	1331	403	381
DRUP01090009T	390	598	412	158
CPCT02070273T	327	1149	521	344
CPCT02210041T	612	592	346	245
CPCT02010750TII	444	1005	367	298
CPCT02160059T	90	1146	295	52
DRUP01340003T	0	0	341	3155
CPCT02080283T	310	1063	580	464
DRUP01330002T	758	868	781	166
CPCT02330078T	128	1517	689	136
CPCT02010730T	651	746	598	226
CPCT02050307T	283	711	588	62
DRUP01340004T	1076	1536	893	225
CPCT02120078T	13	798	878	96
CPCT02100139T	476	795	252	109
CPCT02230077T	322	611	1568	143
CPCT02230078T	260	826	306	368
CPCT02010735T	184	779	279	30
DRUP01010051TII	437	1424	385	200
CPCT02440004T	1275	1638	660	77
CPCT02220032T	730	932	1510	324
CPCT02130031T	442	1018	595	159
DRUP01020018T	427	989	896	114
CPCT02310005T	410	609	928	26
CPCT02250005T	35993	253	1517	92
CPCT02330080T	573	957	507	203
CPCT02100144T	709	874	345	664
CPCT02330085T	637	1152	809	416
CPCT02010742T	358	739	302	91
DRUP01010123T	171389	22852	2210	339
DRUP01220007T	318	803	1013	326
CPCT02300033T	61	439	421	557
DRUP01010059T	588	529	477	15
DRUP01010070T	278	772	413	245
CPCT02160038T	191	567	401	60
CPCT02440024T	0	179	167	4
CPCT02030442T	372	1098	1698	60
CPCT02330089T	516	1344	433	119
CPCT02210042T	335	400	354	51
DRUP01070039T	343	60	698	19
CPCT02220067T	340	899	789	248
CPCT02340057T	523	874	435	37
CPCT02010743T	464	536	478	221
CPCT02030454T	577	690	482	96
CPCT02320001T	932	1057	564	1243
CPCT02390017T	481	789	531	232
CPCT02370012T	705	1544	1536	112
CPCT02240007TII	252	803	509	156
CPCT02010747T	88	914	289	62
CPCT02010750T	412	925	282	114
CPCT02330092T	184	297	365	17
DRUP01340017T	182941	6872	3756	1504
CPCT02060259T	598	1078	431	176
CPCT02080197T	402	1057	564	49
CPCT02110059T	702	376	440	58
CPCT02220076T	179	943	311	24
CPCT02010751T	6	564	276	24
CPCT02220077T	295	310	247	367
DRUP01060010T	1070	677	507	437
CPCT02140061T	819	315	375	41
CPCT02270018T	237	744	238	63
CPCT02310007T	238	1105	307	211
CPCT02230087T	483	1362	432	100
CPCT02150048T	691	1134	1843	335
