SigPro.all-CH476A	SigPro.all-CH476B	SigPro.all-CH476C	SigPro.all-CH476D	SigPro.all-CH476E	SigPro.all-CH476F	SigPro.all-CH476G	SigPro.all-CH476H	SigPro.all-CH476I	SigPro.all-CH476J	SigPro.all-CH476K	SigPro.all-CH476L	SigPro.all-CH476M	SigPro.all-CH476N	SigPro.all-CH476O	SigPro.ID476.Biliary-CH476A	SigPro.ID476.Biliary-CH476B	SigPro.ID476.Biliary-CH476C	SigPro.ID476.Biliary-CH476D	SigPro.ID476.Biliary-CH476E	SigPro.ID476.Biliary-CH476F	SigPro.ID476.Bladder-CH476A	SigPro.ID476.Bladder-CH476B	SigPro.ID476.Bladder-CH476C	SigPro.ID476.Bladder-CH476D	SigPro.ID476.Bone.SoftTissue-CH476A	SigPro.ID476.Bone.SoftTissue-CH476B	SigPro.ID476.Bone.SoftTissue-CH476C	SigPro.ID476.Bone.SoftTissue-CH476D	SigPro.ID476.Bone.SoftTissue-CH476E	SigPro.ID476.Bone.SoftTissue-CH476F	SigPro.ID476.Bone.SoftTissue-CH476G	SigPro.ID476.Bone.SoftTissue-CH476H	SigPro.ID476.Bone.SoftTissue-CH476I	SigPro.ID476.Breast-CH476A	SigPro.ID476.Breast-CH476B	SigPro.ID476.Breast-CH476C	SigPro.ID476.Breast-CH476D	SigPro.ID476.Breast-CH476E	SigPro.ID476.Breast-CH476F	SigPro.ID476.Breast-CH476G	SigPro.ID476.Breast-CH476H	SigPro.ID476.Breast-CH476I	SigPro.ID476.Breast-CH476J	SigPro.ID476.Breast-CH476K	SigPro.ID476.CNS-CH476A	SigPro.ID476.CNS-CH476B	SigPro.ID476.CNS-CH476C	SigPro.ID476.CNS-CH476D	SigPro.ID476.CNS-CH476E	SigPro.ID476.CNS-CH476F	SigPro.ID476.CNS-CH476G	SigPro.ID476.CNS-CH476H	SigPro.ID476.Colon-CH476A	SigPro.ID476.Colon-CH476B	SigPro.ID476.Colon-CH476C	SigPro.ID476.Colon-CH476D	SigPro.ID476.Colon-CH476E	SigPro.ID476.Colon-CH476F	SigPro.ID476.Colon-CH476G	SigPro.ID476.Colon-CH476H	SigPro.ID476.Colon-CH476I	SigPro.ID476.Colon-CH476J	SigPro.ID476.Esophagus-CH476A	SigPro.ID476.Esophagus-CH476B	SigPro.ID476.Esophagus-CH476C	SigPro.ID476.Esophagus-CH476D	SigPro.ID476.Esophagus-CH476E	SigPro.ID476.Esophagus-CH476F	SigPro.ID476.Esophagus-CH476G	SigPro.ID476.Esophagus-CH476H	SigPro.ID476.Esophagus-CH476I	SigPro.ID476.Esophagus-CH476J	SigPro.ID476.Esophagus-CH476K	SigPro.ID476.Head-CH476A	SigPro.ID476.Head-CH476B	SigPro.ID476.Head-CH476C	SigPro.ID476.Head-CH476D	SigPro.ID476.Head-CH476E	SigPro.ID476.Head-CH476F	SigPro.ID476.Kidney-CH476A	SigPro.ID476.Kidney-CH476B	SigPro.ID476.Kidney-CH476C	SigPro.ID476.Kidney-CH476D	SigPro.ID476.Kidney-CH476E	SigPro.ID476.Liver-CH476A	SigPro.ID476.Liver-CH476B	SigPro.ID476.Liver-CH476C	SigPro.ID476.Liver-CH476D	SigPro.ID476.Liver-CH476E	SigPro.ID476.Liver-CH476F	SigPro.ID476.Lung-CH476A	SigPro.ID476.Lung-CH476B	SigPro.ID476.Lung-CH476C	SigPro.ID476.Lung-CH476D	SigPro.ID476.Lung-CH476E	SigPro.ID476.Lung-CH476F	SigPro.ID476.Lymphoid-CH476A	SigPro.ID476.Lymphoid-CH476B	SigPro.ID476.Lymphoid-CH476C	SigPro.ID476.Lymphoid-CH476D	SigPro.ID476.Myeloid-CH476A	SigPro.ID476.Myeloid-CH476B	SigPro.ID476.Myeloid-CH476C	SigPro.ID476.Other-CH476A	SigPro.ID476.Other-CH476B	SigPro.ID476.Other-CH476C	SigPro.ID476.Other-CH476D	SigPro.ID476.Other-CH476E	SigPro.ID476.Other-CH476F	SigPro.ID476.Other-CH476G	SigPro.ID476.Other-CH476H	SigPro.ID476.Other-CH476I	SigPro.ID476.Ovary-CH476A	SigPro.ID476.Ovary-CH476B	SigPro.ID476.Ovary-CH476C	SigPro.ID476.Ovary-CH476D	SigPro.ID476.Ovary-CH476E	SigPro.ID476.Ovary-CH476F	SigPro.ID476.Ovary-CH476G	SigPro.ID476.Ovary-CH476H	SigPro.ID476.Pancreas-CH476A	SigPro.ID476.Pancreas-CH476B	SigPro.ID476.Pancreas-CH476C	SigPro.ID476.Pancreas-CH476D	SigPro.ID476.Pancreas-CH476E	SigPro.ID476.Pancreas-CH476F	SigPro.ID476.Pancreas-CH476G	SigPro.ID476.Prostate-CH476A	SigPro.ID476.Prostate-CH476B	SigPro.ID476.Prostate-CH476C	SigPro.ID476.Prostate-CH476D	SigPro.ID476.Prostate-CH476E	SigPro.ID476.Prostate-CH476F	SigPro.ID476.Skin-CH476A	SigPro.ID476.Skin-CH476B	SigPro.ID476.Skin-CH476C	SigPro.ID476.Skin-CH476D	SigPro.ID476.Skin-CH476E	SigPro.ID476.Skin-CH476F	SigPro.ID476.Skin-CH476G	SigPro.ID476.Skin-CH476H	SigPro.ID476.Skin-CH476I	SigPro.ID476.Stomach-CH476A	SigPro.ID476.Stomach-CH476B	SigPro.ID476.Stomach-CH476C	SigPro.ID476.Stomach-CH476D	SigPro.ID476.Stomach-CH476E	SigPro.ID476.Stomach-CH476F	SigPro.ID476.Stomach-CH476G	SigPro.ID476.Stomach-CH476H	SigPro.ID476.Stomach-CH476I	SigPro.ID476.Stomach-CH476J	SigPro.ID476.Stomach-CH476K	SigPro.ID476.Thymus-CH476A	SigPro.ID476.Thymus-CH476B	SigPro.ID476.Thymus-CH476C	SigPro.ID476.Uterus-CH476A	SigPro.ID476.Uterus-CH476B	SigPro.ID476.Uterus-CH476C	SigPro.ID476.Uterus-CH476D	SigPro.ID476.Uterus-CH476E
G[Del(C):R1]G	0.00020797	5.308e-05	0.00014256	4.878e-05	0.00014397	2.33e-06	0.00042879	0.00430885	1.434e-05	2.955e-05	0.00044658	0.00069103	0.00094454	0.00040251	8.62e-06	0.00010119	4.172e-05	1.841e-05	0.00011618	0.00142029	0.00075657	0.0001462	0.00039339	0.00182792	0.00040577	0.00132405	0.00017587	0.00113969	0.00148155	0.00048137	0.00130675	0.00131704	0.00110061	0.00063723	0.00011604	7.939e-05	0.0002758	0.00054012	6.25e-05	0.00038365	0.00113761	0.000872	0.00074458	0.00076692	0.00238796	3.3e-07	0.00021388	1.85e-06	0.00072318	0.00019675	0.00047224	0.00052568	0.00080199	0.00015263	9.326e-05	2.244e-05	5.092e-05	0.0002784	0.00044752	2.03e-06	6.063e-05	0.00133357	0.00034947	1e-05	0.00017599	0.00051825	4.545e-05	0.00015311	0.0009299	0.00032475	0.00015129	6.105e-05	0.00078137	0.00260472	0.00013327	0.00014542	0.00104332	0.00018399	0.00406711	0.0001514	0.00065457	0.0001604	0.00100489	0.00031146	0.00047844	0.00151891	0.00014363	0.00099815	3.798e-05	0.00064332	0.00094962	0.0042343	0.00012481	0.00010605	0.00061268	0.00080573	0.00072304	0.00010753	0.0001636	0.00020104	0.00053621	2e-08	0.00244669	0.00136276	0.00012399	3.735e-05	0.00019984	0.00414327	0.00035017	0.00092398	0.00067962	1.134e-05	0.00011431	0.00024943	0.00016036	3.523e-05	0.0016764	0.00165414	0.00024938	0.00086202	0.00089894	0.00017019	7.445e-05	1.798e-05	0.00083491	0.00050862	0.00044561	7.39e-06	0.00019283	0.00010945	2.696e-05	0.00112994	0.00042994	0.00032543	0.00055968	0.00016586	0.0006788	7.668e-05	0.00017917	0.00046862	0.00038602	0.00326645	0.00016846	5.166e-05	0.00011317	4.351e-05	5.44e-06	0.000122	7.959e-05	0.00053465	1.657e-05	0.00040306	0.000243	0.0003092	0.00020926	4.9e-07	0.00065623	5.613e-05	0.00020625	2.598e-05	4.6e-05	0.0015142
G[Del(C):R1]T	1.458e-05	1e-08	2.729e-05	0.00013214	0.0009266	6.592e-05	0.00949399	0.01184064	0.00056912	0.00054474	0.00807808	0.00549815	0.00154387	0.00360631	0.01166653	9.2e-06	9.033e-05	0.00104801	0.00437103	0.00560426	0.00317246	4.15e-06	0.00108814	0.00662465	0.00483855	0.0056737	0.00121783	0.03034188	0.00372627	0.00169501	0.00299058	0.00953134	0.00617156	0.0069251	6.12e-05	0.00014655	0.0001257	0.00231332	5.372e-05	0.00890341	0.00780609	0.00142372	0.00386113	4.47e-05	0.01043073	4.176e-05	0.00033142	0.00052694	0.0026849	0.01650249	0.00077389	0.00538365	0.00528401	6.8e-06	0.0001892	9.92e-06	6.304e-05	0	0.00036605	0.00098348	0.00475282	0.04448188	0.00170643	0.00049204	0.00012946	0.00140182	0.00172824	0.00087778	0.00910751	0.00231002	0.00928328	0.00053731	0.00640649	0.01312749	8.318e-05	0.00367485	0.0026682	0.00774956	0.01054314	0.00172922	0.00826134	0.00016358	0.00469873	0.00162876	0.00272788	0.00759698	0.00364722	0.00458183	1.26e-06	0.00545451	0.00085779	0.01068351	1.059e-05	0.00052977	0.00547641	0.01146946	0.00193138	0.00375728	0.00118292	0.00024087	0.0115518	0.00199482	0.01467724	0.00957394	1.534e-05	0.00030496	0.00128217	0.00938829	0.00464967	0.01436663	0.00267416	0.00023021	0.01204837	0.00620055	0.00747253	0.00036157	0.00159189	0.03740936	0.00062609	0.00566764	0.00786563	8.87e-06	2.261e-05	0.00015745	0.00960569	0.00140373	0.00710439	0.00010236	4.573e-05	5.405e-05	0.00016236	0.00681368	0.0032839	0.00656326	0.00549979	0.00010274	0.00504506	0.00048614	0.00400524	0.00175785	0.00057967	0.01589408	0.0003137	2.031e-05	2.852e-05	8.874e-05	2.811e-05	1.237e-05	0.00017306	0.00253131	0.00022058	0.00917035	0.00453832	0.00578916	0.00190209	0.00578261	0.00075591	2.112e-05	0.00011437	0.00014042	0.0001455	0.00810571
G[Del(C):R2]A	2.23e-06	3.68e-06	5.892e-05	0.00017493	0.0001269	4.028e-05	0.00299932	0.03555905	7.999e-05	0.00010884	0.00196847	0.00181058	0.00135524	0.00029773	0.00239857	4.994e-05	0.00015077	0.0010988	0.00032881	0.00978473	0.00180988	7.784e-05	1.931e-05	0.01268959	0.00148818	0.00618465	0.00221292	0.00835561	0.00315921	0.00163637	0.00108436	0.00195156	0.0043317	0.00215693	2.53e-06	0.00020072	5.445e-05	0.0026074	0.00101835	0.00169141	0.0049491	0.00288822	0.00140011	0.00074278	0.01633926	2.13e-06	5.02e-05	0.00015105	0.00120967	0.0038871	0.00212871	0.0058975	0.00268783	2.897e-05	3.756e-05	7.239e-05	5.646e-05	9.4e-07	0.0003074	2.491e-05	0.00167525	0.02288458	0.00119509	0.0002375	0.00013799	0.00035755	0.00064744	0.00058808	0.00450108	0.00045914	0.00147045	0.00048877	0.00301925	0.0232137	0.0001037	0.00106241	0.00316697	0.00074628	0.03083363	0.00074043	0.00536101	0.00014514	0.0044983	0.00095331	0.00300995	0.0201557	0.00091754	0.0134227	0.00023273	0.00236215	0.00375862	0.03414615	9.48e-06	0.00023471	0.00220165	0.00446833	0.00333631	0.00106432	0.00054419	0.00019446	0.00416906	0.00207449	0.00449681	0.00236875	4.687e-05	8.227e-05	0.001005	0.03150807	0.00204399	0.00127518	0.00267516	0.0006088	0.00136558	0.00289969	0.00276329	0.00024016	0.00076444	0.00975664	0.00157842	0.00130034	0.0045883	7.92e-06	4.693e-05	0.00041233	0.00583033	0.00138657	0.00207469	3.746e-05	7.583e-05	6.99e-05	0.00018087	0.00801588	0.00102864	0.0019933	0.00098981	0.00012225	0.00154489	0.00020344	0.00135256	0.00141295	0.00281843	0.0231003	0.000545	1.13e-06	5.383e-05	5.309e-05	2.362e-05	0.00040634	1.55e-06	0.00134328	0.00046873	0.00380814	0.00168223	0.002185	0.00198992	0.0062481	0.0019136	7.575e-05	4.339e-05	2.529e-05	0.00011789	0.00398363
G[Del(C):R2]G	3.65e-06	1.05e-05	2.289e-05	2.702e-05	4.202e-05	7.55e-06	0.00030265	0.00683754	9.09e-06	1.468e-05	0.00039629	0.00018966	0.00051894	0.00010695	9.734e-05	1.51e-06	4.203e-05	9.06e-06	0.00012458	0.00104528	0.00119582	1.86e-06	9.8e-05	0.00215356	0.00048038	0.00180749	0.00018386	0.00029227	0.00137141	0.00012112	0.00059029	0.00072066	0.00068895	0.00099911	3.67e-06	5.117e-05	2.51e-05	0.00058416	3.827e-05	0.00032427	0.00103318	0.00081783	0.00046121	0.00041515	0.00358672	5.46e-06	2.877e-05	1.03e-06	0.00059104	0.00020165	0.0001151	0.00086834	0.00037234	9.74e-06	9.21e-06	1.314e-05	3.363e-05	1.498e-05	0.00015272	2.86e-05	9.782e-05	0.00284724	0.00023787	0.00017721	1.687e-05	9.7e-05	4.104e-05	4.061e-05	0.0002188	0.00013376	0.00016619	0.0001764	0.00015001	0.00403574	4.521e-05	2.552e-05	0.0005409	1.884e-05	0.00595497	0.0002051	0.00082975	1.71e-05	0.00120784	0.00041381	0.00172231	0.00231408	9.185e-05	0.00190946	5.972e-05	0.00055782	0.00085356	0.00677124	3.43e-06	6.369e-05	0.00053318	0.00025257	0.00031919	0.00012282	4.781e-05	6.86e-06	0.00045459	3e-08	0.0012715	0.00052448	1.798e-05	8.4e-07	0.00021783	0.0064633	0.00026214	0.00021601	0.00041869	3.7e-07	3.54e-05	0.00064775	3.533e-05	0	0.00098374	0.00210741	0.00012077	0.00013793	0.00085064	1.877e-05	0	8.944e-05	0.00064975	3.101e-05	0.00063696	1.429e-05	1.754e-05	5.278e-05	6.575e-05	0.00153152	0.00025649	0.00029708	0.00017399	2.364e-05	0.00030249	6.147e-05	0.00033336	0.00066429	9.263e-05	0.00431517	0.00012233	5.34e-06	1.586e-05	8.2e-07	1.324e-05	5.102e-05	2.883e-05	0.00026931	0.00016253	0.00042602	5.7e-07	0.00042108	0	0.00148433	6.656e-05	3.8e-05	2.701e-05	3.16e-06	0	0.00097188
G[Del(C):R2]T	1.015e-05	4.519e-05	5.509e-05	0.00016029	0.00013671	5.82e-06	0.00505388	0.02112337	7.813e-05	0.00012944	0.00184698	0.00135687	0.00092093	0.00163511	0.00190874	2.49e-05	0.00025516	0.00018256	0.0012444	0.00606662	0.00201059	6.039e-05	8.271e-05	0.00633495	0.00298759	0.00829944	0.00058726	0.01116045	8.749e-05	0.00239713	0.00266095	0.00251204	0.00187304	0.00231275	1.545e-05	0.00011497	4.352e-05	0.0022062	4.517e-05	0.00144468	0.00737523	0.00110544	0.00187559	0.0004418	0.00912784	8.16e-06	0.00012825	0.0002531	0.00151354	0.00614643	0.00144792	0.00637807	0.00323076	4.217e-05	2.87e-05	0.00012324	6.787e-05	1.423e-05	0.00020398	7.75e-05	0.00126856	0.01771932	0.00176318	0.00041116	4.533e-05	7.001e-05	0.00025978	0.00037417	0.00446941	0.00047655	0.0027246	0.00041288	0.00261028	0.01396343	8.528e-05	0.00146424	0.00201489	0.00117219	0.02003017	0.00015458	0.00676959	6.009e-05	0.00207299	0.00199125	0.00268269	0.00959666	0.00167501	0.00575512	0.00028798	0.00255447	0.0035388	0.02080766	2.517e-05	0.00013082	0.00176424	0.00389994	0.00188253	0.00037245	0.00074023	0.00013446	0.00619972	0.00079889	0.00713268	0.00814752	9.574e-05	8.328e-05	0.00046515	0.01840142	0.00334916	0.0029629	0.00202098	0.00050023	0.00212821	0.00242861	0.00241758	8.996e-05	0.00246948	0.01105848	0.0024612	0.00051572	0.00250195	3.957e-05	7.642e-05	9.627e-05	0.00557331	0.00049852	0.00183692	6.556e-05	8.356e-05	8.258e-05	0.0002363	0.00551471	0.00057309	0.00168715	0.00241728	2.844e-05	0.00268964	0.00031435	0.00041264	0.00105877	0.0013218	0.01773087	7.4e-07	5.899e-05	8.19e-06	0.00020766	4.65e-06	0.00012228	4.952e-05	0.0011353	0.00011044	0.00294709	0.00196392	0.00227727	0.00057141	0.00667245	0.0009508	0.00011053	8.318e-05	6.111e-05	7.338e-05	0.00400224
G[Del(C):R3]A	4.233e-05	7.442e-05	1.52e-06	0.00033249	0.00013769	7.78e-06	0.00112465	0.02370335	4.131e-05	6.839e-05	0.00174121	0.00025211	0.00048844	2.223e-05	0.00093568	3.418e-05	0.00040792	0.00016108	0.0005579	0.00547573	0.00172892	4.954e-05	2.248e-05	0.00793685	0.00098217	0.00332824	0.00090065	0.00503757	0.00171872	0.00028022	0.00084683	0.00387212	0.00121446	0.00293582	7.98e-05	0.00029243	6.6e-07	0.00206734	9.029e-05	0.00145628	0.00336781	0.00069468	0.00048752	0.0012624	0.00957667	2.3e-06	7.775e-05	0	0.00130094	0.00186425	0.00026764	0.00335567	0.00117267	3.226e-05	3.417e-05	0.00021164	4.86e-05	2.073e-05	0.00038587	9.42e-05	0.00052608	0.01144622	0.00120615	0.00066945	0.00010183	0.00029436	0.000801	0.00036942	0.0018787	0.00095431	2.27e-06	0.00045304	0.00153211	0.01146906	0.00014787	0.00060241	0.00093397	0.00157451	0.0171481	0.00082452	0.00310744	9.278e-05	0.00143665	0.00170989	0.00303832	0.01196504	0.00108734	0.00770069	0.00045864	0.00076716	0.00067125	0.02305516	7.356e-05	0.00011886	0.00194306	0.00254646	0.00093378	0.00033991	0.00028681	0	0.00318492	0.00175384	0.00365304	0.00227533	0.00013317	9.077e-05	0.00052792	0.02128306	0.00127633	0.00043066	0.00121265	0	0.00034883	0.00138729	0.00167337	4.611e-05	0.00061211	0.00412121	0.00077787	0.00122031	0.00230764	1.772e-05	0.00012585	8.05e-05	0.00359509	0.00062476	0.00159105	2.374e-05	0.00013139	0.00011814	2.025e-05	0.00416285	0.00078205	0.00222064	0.00032126	4.147e-05	0.00092488	0.00019671	1.427e-05	0.00062434	0.00033687	0.01585285	0.00030027	1.459e-05	0.00010267	5.488e-05	1.113e-05	0.00056125	7.83e-06	0.0009833	0.00054	0.00205405	0.00030116	0.00280685	0.0011969	0.00482793	0.00099928	0.00014386	0.00011259	5.22e-06	1.317e-05	0.00253631
G[Del(C):R3]G	3.15e-06	2.325e-05	2.688e-05	9.978e-05	1.458e-05	8.8e-07	0.00021102	0.0056938	6.86e-06	1.059e-05	0.00040661	0.00014125	0.00023532	0.00012661	6.939e-05	1.734e-05	0.00012371	8.8e-06	1.99e-06	0.0008999	0.00048215	1.91e-05	3.178e-05	0.00137362	0.0008019	0.00122753	0.0003691	0.00019902	0.00023336	0.00016588	3.847e-05	0.00130247	0.00056265	0.00022341	4.84e-06	0.00011002	1.456e-05	0.00048468	0.00010499	0.00025956	0.00076914	0.00045394	0.00043691	8.187e-05	0.00244766	0	5.285e-05	4.311e-05	0.00048683	0.00021501	6.286e-05	0.00059034	0.00059503	2.379e-05	8.37e-06	3.518e-05	3.396e-05	9.47e-06	0.0001548	0	0.00012994	0.00186085	0.00011984	9.32e-06	7.69e-06	5.572e-05	0	4.999e-05	0.00061421	0.00046905	0.00036592	9.8e-06	0.00031959	0.00192764	0	2.828e-05	0.00036631	0.00029056	0.00460053	5.424e-05	0.00067125	3.105e-05	0.00048635	0.00050061	0.00125293	0.00308709	0.00013911	0.0011652	0.0001099	0	0.00097361	0.0055006	9.07e-06	0	0.00054722	0.00036741	0.00075225	7.416e-05	7.908e-05	6.939e-05	0.00062697	0.00047116	0.00116421	0.00081432	3.19e-05	9.14e-06	1.869e-05	0.00605775	0.00023818	7.393e-05	9.652e-05	8e-07	0.00040922	0.00032692	0.0005816	0	0.00026345	0.00085804	0.00068689	0.00021113	0.00042406	1.87e-06	1.372e-05	7.66e-05	0.00080155	0.0001308	0.00035655	1.424e-05	2.173e-05	7.319e-05	2.868e-05	0.00104436	0.00014036	0.00038989	0.00016828	7.71e-06	0.00051101	9.214e-05	0.00022275	0.00021314	8.66e-06	0.00388005	0.00024123	8.01e-06	3.072e-05	1.803e-05	8.29e-06	0.00015249	2.846e-05	0.0001584	9.492e-05	0.00036499	0.00019861	0.00111809	0.0003972	0.00101213	0.00021492	5.552e-05	1.486e-05	6.45e-06	0	0.00067552
G[Del(C):R3]T	5.444e-05	0.00011687	1.698e-05	0.00028791	1.158e-05	8.46e-06	0.00255592	0.00927081	2.331e-05	4.765e-05	0.00087958	0.00058732	0.00047442	0.00041065	0.00039329	0.00011312	0.00022062	0.0004635	0.00074439	0.00192761	0.00040285	9.67e-05	0	0.00358578	0.00097276	0.00223892	0.00019459	0.00501401	0.00076288	0.00043253	0.00079115	0.00089107	0.00123075	0.00032663	1.111e-05	0.00016987	0.00016512	0.00092497	0.00020418	0.00083137	0.00263139	0.00062523	0.00054469	0.00065208	0.00423701	1.016e-05	0.00021403	0	0.00052718	0.00243587	0.00055974	0.00262223	0.0018227	4.475e-05	7.387e-05	0.00015527	1.884e-05	1.373e-05	9.78e-05	5.33e-06	0.00031559	0.00669033	0.00057681	0.00024128	2.37e-05	2.76e-05	0.00029225	0.00023489	0.00099813	0.00068826	0.0005743	0.00046578	0.00085851	0.00658113	6.481e-05	0.00029428	0.00115983	0.00161088	0.00782145	0.00028574	0.0041765	0.00016238	0.00137483	0.00041311	0.00105055	0.00558456	0.00073884	0.00246619	0.00016676	0.00070424	0.00151097	0.00914001	4.863e-05	0.00023822	0.00013125	0.00174256	0.00129342	0.0003218	0.00035355	0.00017911	0.00147621	0.00058866	0.00513193	0.00348229	8.203e-05	0.00012451	0.00044614	0.0090962	0.00079454	0.00077328	0.00086668	0.0001104	0.00052175	0.00082473	0.00097148	0	0.00055811	0.00413581	0.00179596	0.00093468	0.00120705	5.739e-05	0.00014229	0.00011696	0.00216184	0.00034336	0.00091955	2.807e-05	8.075e-05	0.00026461	6.985e-05	0.00277624	0.00030175	0.00120768	0.00048833	7.285e-05	0.00169087	0.00022699	0.00051864	0.00067246	0.00047574	0.00543749	0.00054224	1.439e-05	2.25e-05	0.00015628	6.139e-05	0.00029681	4.441e-05	0.00056159	0.00024683	0.00207824	0.00083952	0.0014867	0.00047132	0.00239432	0.00123722	0.0001487	8.895e-05	4.798e-05	2.424e-05	0.0015562
G[Del(C):R4]A	0.00011576	0.00030346	0.00023645	0.00278209	1.9e-06	8.357e-05	0.0011523	0.00778776	4.552e-05	5.706e-05	0.00055522	0.00051754	0.00027086	0.00016708	0.00020377	0.00016587	0.00107349	0.0001469	0.000415	0.00202739	0.00123162	0.00032879	0	0.00437584	0.00058865	0.00104877	0.00028889	0.00373052	0.00058014	0.00038592	0.00112362	0.00080114	0.00043027	0.00130706	4.593e-05	0.0024558	0.00028351	0.00108447	0.00022435	0.00040918	0.00103894	0.00091296	0.00059455	0.00026181	0.00312222	3.51e-06	0.00018111	6.08e-06	0.00055291	0.00090479	0.00012597	0.0021615	0.00042566	0.00034972	0.00010872	0.00093096	0.00031127	8.87e-06	0.00023919	0.00012705	0.00028253	0.00353284	0.00049696	3.384e-05	0.00038396	0.00012724	0.00037521	0.00026214	0.00099148	0.00026729	0.00071352	0.00116511	0.00034228	0.00480798	0.0001625	0.00130813	0.00043898	0.00112687	0.00587511	0.0011907	0.00168551	0.00022527	0.00067372	0.00097428	0.00081979	0.00525984	0.00035179	0.00350231	0.00112363	0.00025064	0.00078866	0.00735842	0.00037767	0.00075156	0.00035196	0.00108596	0.00068591	0.00045054	1.491e-05	0.00235708	0.00138469	2e-08	0.00160148	0.00101847	0.00040001	0.00019371	0.00017989	0.00659679	0.00053336	0.00028672	0.00082197	0.00040662	0.00032769	0.00051072	0.00071067	5.279e-05	0.00075242	0.00166579	0.00084226	0.00033246	0.00132043	0.00028834	0.00050993	6.82e-05	0.0019493	0.00029629	0.00078152	3.598e-05	0.00043342	0.00093292	0.00022292	0.00206733	0.00026302	0.00062917	0.00012483	0.00010261	0.00086617	0.00075461	0.00080048	0.00024128	0.00044698	0.0057506	0.00057012	5.25e-06	0.00018572	0.0004788	4.045e-05	0.0024595	0.00010611	0.00011688	0.00034121	0.00151393	0.00053414	0.00072408	0.00050189	0.00116945	0.00029852	0.00050373	0.00038873	0.0001631	1.45e-06	0.00106749
G[Del(C):R4]G	4.454e-05	0.00019615	0.0001562	0.00114275	3.08e-06	1.77e-06	0.00036303	0.00171078	4.4e-06	3.34e-05	0.00019978	0.00011179	0.00013538	0.00027341	0	0.00014548	0.00046641	2.594e-05	8.581e-05	0.00060957	0.00023814	0.0001824	4.54e-06	0.00109974	0.00012281	0.00029981	0.00044923	0.00034152	6.389e-05	0.00082514	0.00016951	0.00046983	0.00012064	0.00071355	9.412e-05	0.00125262	4.016e-05	0.00018529	5.11e-05	0.00011569	0.00047054	6.889e-05	0.00032647	0.00010638	0.00062049	6.94e-06	5.058e-05	4.1e-06	0.00010736	0.00034891	0.00042531	0.00046935	7.142e-05	0.00018001	9.421e-05	0.00034775	1.637e-05	8.94e-06	0.0001634	3.29e-06	1.01e-05	0.00065868	8.694e-05	5.815e-05	0.0001812	3.015e-05	0.000109	1.807e-05	0.00039913	6.538e-05	8.611e-05	2.272e-05	0.00032187	0.00055293	5.865e-05	0.00039427	0.00043446	0.00025789	0.00066992	3.104e-05	0.00040258	8.213e-05	0.00039496	0.00093489	0.00010298	0.00089093	0.00033697	0.00037447	0.00040163	0.00021971	0.0002391	0.00167291	0.00020148	0.00016165	0.00011171	0.00033066	8.402e-05	4.92e-06	4.5e-07	0.00059756	0.00036268	0.00044689	0.00100114	0.00031417	0.00021453	3.99e-05	0.00011827	0.00140566	0.00021981	0.00048537	0.00029833	2.048e-05	2.389e-05	0.00012556	0.00025892	0	5.804e-05	0.00100105	0.00055106	0.00016658	0.00025503	0.00018831	0.00014028	9.67e-06	0.00055235	0.00011049	0.00023627	3.27e-06	9.836e-05	0.00065657	0.00024665	0.00057226	5.957e-05	0.0001734	0.00017873	0.00022727	0.0005651	0.00016231	0.00024526	0.00019163	0	0.00146049	9.845e-05	9.49e-06	4.959e-05	0.00027103	5.335e-05	0.00123122	1.564e-05	9.36e-06	3.128e-05	0.00015056	0.00017271	0.00083045	0.00025184	0.00044666	0.00034301	0.00026939	0.00016474	3.059e-05	0	0.00020237
