all-hdp.1	all-hdp.2	all-hdp.3	all-hdp.4	all-hdp.5	all-hdp.6	all-hdp.7	all-hdp.8	all-hdp.9	all-hdp.10	all-hdp.11	all-hdp.12	all-hdp.13	all-hdp.14	all-hdp.15	all-hdp.16	all-hdp.17	all-hdp.18	all-hdp.19	all-hdp.20	all-hdp.21	all-hdp.22	all-hdp.23	all-hdp.24	all-hdp.25	all-hdp.26	all-hdp.27	all-hdp.28	all-hdp.29	all-hdp.30	Biliary-hdp.1	Biliary-hdp.2	Biliary-hdp.3	Biliary-hdp.4	Bladder-hdp.1	Bladder-hdp.2	Bladder-hdp.3	Bladder-hdp.4	Bladder-hdp.5	Bladder-hdp.6	Bladder-hdp.7	Bladder-hdp.8	Bladder-hdp.9	Bladder-hdp.10	Bone-hdp.1	Bone-hdp.2	Bone-hdp.3	Bone-hdp.4	Bone-hdp.5	Bone-hdp.6	Bone-hdp.7	Bone-hdp.8	Bone-hdp.9	Breast-hdp.1	Breast-hdp.2	Breast-hdp.3	Breast-hdp.4	Breast-hdp.5	Breast-hdp.6	Breast-hdp.7	Breast-hdp.8	Breast-hdp.9	Breast-hdp.10	Breast-hdp.11	Breast-hdp.12	Breast-hdp.13	Breast-hdp.14	Breast-hdp.15	Breast-hdp.16	Breast-hdp.17	CNS-hdp.1	CNS-hdp.2	CNS-hdp.3	CNS-hdp.4	CNS-hdp.5	CNS-hdp.6	CNS-hdp.7	CNS-hdp.8	CNS-hdp.9	Colon-hdp.1	Colon-hdp.2	Colon-hdp.3	Colon-hdp.4	Colon-hdp.5	Colon-hdp.6	Colon-hdp.7	Colon-hdp.8	Colon-hdp.9	Colon-hdp.10	Colon-hdp.11	Colon-hdp.12	Colon-hdp.13	Colon-hdp.14	Colon-hdp.15	Colon-hdp.16	Esophagus-hdp.1	Esophagus-hdp.2	Esophagus-hdp.3	Esophagus-hdp.4	Esophagus-hdp.5	Esophagus-hdp.6	Esophagus-hdp.7	Esophagus-hdp.8	Head-hdp.1	Head-hdp.2	Head-hdp.3	Head-hdp.4	Head-hdp.5	Head-hdp.6	Head-hdp.7	Head-hdp.8	Head-hdp.9	Kidney-hdp.1	Kidney-hdp.2	Kidney-hdp.3	Kidney-hdp.4	Kidney-hdp.5	Kidney-hdp.6	Liver-hdp.1	Liver-hdp.2	Liver-hdp.3	Liver-hdp.4	Liver-hdp.5	Liver-hdp.6	Liver-hdp.7	Lung-hdp.1	Lung-hdp.2	Lung-hdp.3	Lung-hdp.4	Lung-hdp.5	Lung-hdp.6	Lung-hdp.7	Lung-hdp.8	Lung-hdp.9	Lung-hdp.10	Lung-hdp.11	Lung-hdp.12	Lymphoid-hdp.1	Lymphoid-hdp.2	Lymphoid-hdp.3	Lymphoid-hdp.4	Lymphoid-hdp.5	MSI-hdp.1	MSI-hdp.2	MSI-hdp.3	MSI-hdp.4	MSI-hdp.5	MSI-hdp.6	MSI-hdp.7	MSI-hdp.8	MSI-hdp.9	MSI-hdp.10	MSI-hdp.11	MSI-hdp.12	MSI-hdp.13	MSI-hdp.14	MSI-hdp.15	MSI-hdp.16	MSI-hdp.17	Myeloid-hdp.1	Other-hdp.1	Other-hdp.2	Other-hdp.3	Other-hdp.4	Other-hdp.5	Other-hdp.6	Other-hdp.7	Other-hdp.8	Other-hdp.9	Other-hdp.10	Other-hdp.11	Ovary-hdp.1	Ovary-hdp.2	Ovary-hdp.3	Ovary-hdp.4	Ovary-hdp.5	Ovary-hdp.6	Ovary-hdp.7	Ovary-hdp.8	Pancreas-hdp.1	Pancreas-hdp.2	Pancreas-hdp.3	Pancreas-hdp.4	Pancreas-hdp.5	Pancreas-hdp.6	Pancreas-hdp.7	Pancreas-hdp.8	Pancreas-hdp.9	Pancreas-hdp.10	Pancreas-hdp.11	Prostate-hdp.1	Prostate-hdp.2	Prostate-hdp.3	Prostate-hdp.4	Prostate-hdp.5	Prostate-hdp.6	Prostate-hdp.7	Prostate-hdp.8	Prostate-hdp.9	Prostate-hdp.10	Prostate-hdp.11	Prostate-hdp.12	Prostate-hdp.13	Prostate-hdp.14	Skin-hdp.1	Skin-hdp.2	Skin-hdp.3	Skin-hdp.4	Skin-hdp.5	Skin-hdp.6	Skin-hdp.7	Skin-hdp.8	Skin-hdp.9	Skin-hdp.10	Skin-hdp.11	Skin-hdp.12	Skin-hdp.13	Stomach-hdp.1	Stomach-hdp.2	Stomach-hdp.3	Stomach-hdp.4	Stomach-hdp.5	Stomach-hdp.6	Thymus-hdp.1	Thymus-hdp.2	Thymus-hdp.3	Thymus-hdp.4	Uterus-hdp.1	Uterus-hdp.2	Uterus-hdp.3	Uterus-hdp.4	Uterus-hdp.5	Uterus-hdp.6	Uterus-hdp.7	Uterus-hdp.8	Uterus-hdp.9
[Del(C):R1]A	0.00108628606000739	0.0636434953322243	0.00513418770682069	0.0136420560805014	0.00159212451516434	0.00034831366058451	0.121749171348367	0.0037180530597518	0.0100473347504912	0.0170349758585239	0.0186604598635907	0.0425123386123756	0.0353680121349423	0.00886044677935648	0.0271649209664408	0.0070705021459831	0.0275933773710271	0.000273197707468126	0.0113520492609484	0.00295125621359545	0.0225007933228355	0.000439245256612797	0.00541205997756567	0.000902923155111722	0.00110390744809682	0.0126331600498128	0.00882941953074792	0.00493689394100992	0.00680041729624618	0.00503013964258327	0.00324974408207085	0.0127990264662035	0.00308587609063481	0.00662473401657687	0.0100958157729107	0.00610099929985107	0.0410185787353411	0.00602890535622385	0.00701814579335813	0.00111249834796739	0.00167368256876231	0.00521448536724107	0.0134858049559609	0.00126364926838851	0.0152851730492473	0.0261652705436894	0.0132530355909965	0.00395318158409545	0.0339887432421725	0.00631103310549224	0.0114380201337425	0.00345874451860238	0.0137815180988128	0.00795210446437857	0.0256958726685128	0.00318297651989247	0.0150092195772315	0.00618363081741755	0.00242687223185999	0.0100648811336304	0.194144680875965	0.0223998657002253	0.000946153970390941	0.00117408383422429	0.0101635620801612	0.00441836195132705	0.0504746716509267	0.0124965043482914	0.00305516492376587	0.0320843663652927	0.0037833484584158	0.0114359996884355	0.00152250040378404	0.0302020681907671	0.0248794727550667	0.00518303348892367	0.00225117789026781	0.0163356854364334	0.0772386129940719	0.00330507822992281	0.00487157229252368	0.0056120205010966	0.00161529766220672	0.00546453377291004	0.0709503546480848	0.00116276827583441	0.00155353367205838	0.000726813579733537	0.00591775841374427	0.00415811253787952	0.00467086078215779	0.0605340855686324	0.0200225554793193	0.000888285660296715	0.0040752734604996	0.00454703328919724	0.00304516039739648	0.00556781239504229	0.0625461248204137	0.00358006879558598	0.0023178681751455	0.0206197090418068	0.0139131982455279	0.0383349554477679	0.0289224059729611	0.00471089720383015	0.00275677103183872	0.0147340246082268	0.00680682505907275	0.00786474776092628	0.00453458055548987	0.0121860581596804	0.0233414575468992	0.0072854425113727	0.018952878201626	0.00165049329204589	0.0188131879226108	0.00552420279200634	0.00693887361395449	0.0255584383325879	0.0444387255376418	0.000903881121480672	0.00393897289221949	0.00987849122857976	0.0262821116433872	0.067457791139467	0.00636147920756245	0.0161843526458573	0.00656126330143703	0.0109568442638994	0.00437465154884063	0.00297713765197552	0.00570007376597964	0.0218797546645843	0.019556384739744	0.00708748455165132	0.0154949035651508	0.00505097681952302	0.00226743945857332	0.00397107742101091	0.0325100115891113	0.00113307186077557	0.00125950519239928	0.00162860054772398	0.00134943870472682	0.000506010644165916	0.000847472253070239	0.00100020355685935	0.00054007752346087	0.0022314877140024	0.00695747355394141	0.0579024866099292	0.0115410350991985	0.000213118319834632	0.00564059870042194	0.000138848502122316	0.0295383214894627	0.00266501801921471	0.000832331320082846	0.0447870499001106	0.00241313743158285	0.00418311831496967	0.020774494200187	0.00698518277817129	0.00877308641401075	0.0612803535546	0.00520940408934624	0.00287159046721541	0.0205164194484418	0.00357698632777596	0.00188044103236101	0.0105146393208892	0.00905161703050712	0.000773216900824021	0.00599067052892583	0.00957543297143914	0.0157073288595683	0.0259531771569072	0.0345815948521824	0.0012147204118218	0.00126845517790586	0.0059251442278368	0.00240724566037999	0.0315472931449014	0.00780979058598035	0.00518803705698074	0.00496901618488734	0.00427913528197389	0.000866539235275875	0.0179264757789353	0.0018026626500469	0.00776717553209538	0.00309887156105013	0.0218749750217662	0.00996365537253611	0.0110128613344838	0.0167396735770994	0.0248379311450486	0.0170521418810023	0.0629487563541114	0.00159570107990112	0.0136194609174467	0.0210671316449887	0.115319277445333	0.00162093739088727	0.0104312864353049	0.0244751952682044	0.0138355599800029	0.0024899389750057	0.00820410777310974	0.0664364260454224	0.019653960857671	0.000978164744722337	0.00322295776585031	0.017887573438053	0.00567757928894325	0.00814841465575889	0.00055946984369162	0.00987201505602398	0.00386461473990444	0.000506759262453044	0.0114849652382361	0.00663970030498844	0.0360220114500518	0.00585117120699727	0.00751860418421662	0.00446257637234372	0.0243542771240245	0.00661151653808618	0.00014449020696089	0.000576625535318247	0.000905816422133833	0.00039618305814256	0.00377873786380655	0.00280962997771966	0.0149739305701897
[Del(C):R1]T	0.00130305144176157	0.0351673214182659	0.00484593872595583	0.0170444229557641	0.001157083995675	0.000717191994310943	0.194070694012318	0.00552076555939581	0.0228656047166898	0.0272904317401725	0.0416789115965941	0.128857732244663	0.0218759052871747	0.00898996614761408	0.0256536163768481	0.021642293230427	0.0298960480678256	0.000240947325258761	0.00324919699318528	0.00920743790248885	0.0282195270893114	0.00155764462541481	0.00623471953206314	0.000473015791837102	0.00617849401156845	0.0292663105769648	0.0153102227751409	0.00329135051762412	0.0129130000349044	0.011470211462699	0.00429000492168647	0.0229018520436907	0.00608218017419337	0.0109469580024012	0.011821829702312	0.00567435420919053	0.0280158618924075	0.012416086969995	0.00836341182950153	0.000781269493314135	0.00365551766766097	0.0106039736419672	0.0197769222829538	0.00186785497447866	0.0174384609897798	0.0261830284525694	0.0144144639953085	0.0376830796013514	0.14017948383954	0.00470602835459551	0.0362888311275697	0.00845243482948393	0.0161460639105999	0.0230102787345436	0.0225520162004083	0.00135798687768034	0.0186393370840659	0.00615516398694037	0.00221456288167142	0.00428220464027287	0.18419508197081	0.019188522419513	0.000835827612799283	0.000706323375422595	0.0189168083004273	0.0119779846088719	0.02644400480359	0.0143953044830229	0.0146897067490962	0.12649756640332	0.00456543309700498	0.0215826154075664	0.00142736242943096	0.0402011206316834	0.0252299432151498	0.00222170948983245	0.00256756506965175	0.0189337579461664	0.0727844771927649	0.00303059977929463	0.0060928389399065	0.0137962575929954	0.00159671511543149	0.0100335827419901	0.146588186932982	0.00375198587913779	0.00461992494446959	0.00049456893217146	0.0127092091123026	0.0204957735951528	0.00749053237947161	0.0330091969951665	0.0145947402460438	0.000344478191881878	0.0215721910150266	0.00515726356869746	0.00323913486402757	0.0149619108297037	0.0282506470042929	0.008026328368914	0.0034770474337897	0.0348212648079414	0.0138246088330474	0.0310747406272919	0.0281430943161665	0.00126235709789685	0.00268449054775179	0.0277637007173593	0.00656792707690645	0.00605797058684419	0.00904339594738683	0.0196097750690796	0.0301421622575688	0.00901330937581282	0.0152246316615917	0.00123596040249582	0.0127542422059948	0.00986239207091754	0.0078531806361464	0.0245191071588446	0.0263705345913899	0.000385538412395965	0.00873537728911333	0.0188148790977467	0.0323078671586622	0.0373872867240935	0.00921717039754094	0.0287672257578563	0.00660586863990987	0.0140077471976482	0.00310377503068352	0.00149465629682637	0.0149437822629279	0.0234171032237343	0.0385248190161591	0.0108959628475036	0.00853446061442333	0.008492968603357	0.00194517352142823	0.0132192104537108	0.0478314374045444	0.0014168336270824	0.000877383886909333	0.00119261650545239	0.00165100682531041	0.000285919309644671	0.0013903868933317	0.000929213730584001	0.000370583538514703	0.00723469691937332	0.0140262969428532	0.0389401599760826	0.0237067888416132	0.000365836480895327	0.00340230135126896	0.000193658609128661	0.0121763206915826	0.0157556008555118	0.00047289046136156	0.04535649536239	0.00376405639282658	0.00313908667139294	0.0248831831603929	0.0212417823247192	0.0128094933249408	0.0342328033464939	0.00359716473758544	0.00047842615022673	0.0229274411952885	0.00727993890436136	0.0012642806420749	0.0248042723385334	0.00379700913158613	0.000944072060685592	0.0202262656741541	0.00795089044347254	0.0279828154323026	0.0364906138412461	0.131952205071585	0.00141342311713103	0.00020839472297298	0.0077662025033298	0.00209845138633352	0.0458045289144572	0.021466045558552	0.00345505582630881	0.00647958796377592	0.00521862605028462	0.00102417936731417	0.0160867658541281	0.00167500134052668	0.0206663552243398	0.00307332628849792	0.0258922983705162	0.0113838221724711	0.0132531663557568	0.0123414656397844	0.0308416080665516	0.00634343247893078	0.0248589577166372	0.00884088174198666	0.0109547699236208	0.012462914061357	0.0175860410491583	0.00299120852365401	0.00862984185126336	0.0262819974152901	0.0228321524930946	0.00544180787212657	0.00381484096366747	0.0400409873123464	0.0321227679540836	0.00465911413705217	0.00594030118022835	0.0304231457944034	0.0145588393825187	0.00806590069141989	0.00034336570237493	0.0263749807462557	0.00373638365250824	0.000395387200952313	0.00989054701779897	0.0108147984598145	0.0268834100855728	0.00524672390992887	0.00286858299780181	0.00907104267478262	0.0447250422598198	0.0282105864245201	0.000547662867372352	0.000540333299685001	0.000299857662939399	0.000411241941843263	0.00828294871741787	0.00434492819168604	0.0249341147285421
[Del(C):R2]A	0.000172912906275804	0.0979359290296561	0.00380244789798543	0.00808982782870386	0.000537696675347847	0.00022094263950646	0.0622613856256118	0.000616906588920879	0.00553540390165074	0.00871249859579789	0.0182498956604918	0.0184169813139437	0.0560751262480105	0.00535784968162018	0.0201513543249241	0.00368544030672643	0.0153003317453324	0.000479932968833874	0.00402556975755273	0.00211721957569775	0.0168748946451295	0.000530041794186879	0.00202131021657537	0.000706659194928114	0.00732567118987388	0.003508385745937	0.00361305424841496	0.00348061345555075	0.00418758164779509	0.00219814131267634	0.000481543320593104	0.00269314440478414	0.00410636439543796	0.00510070557541202	0.00686919090204192	0.00289612709711668	0.0699686177402154	0.0013596196229054	0.0114916218807606	0.000247825779092948	0.00110496829318949	0.00464058342741454	0.00640324157588618	0.000510156297258701	0.0121259918177622	0.0193568309955295	0.0098856385980632	0.00246297927462822	0.011758646794416	0.00241246593843645	0.00409914274588546	0.00414338826444162	0.00543223755318007	0.00413093900185662	0.0179144052025975	0.00437913384013424	0.00985064087314413	0.00308908141379907	0.000779677260620614	0.00633104647262256	0.0317768278580065	0.0144557321850684	0.000736035380947822	0.000142184548161199	0.00338355044182762	0.000799611898905731	0.0942786122115284	0.00662906288190262	0.00256176395746786	0.0142493255122286	0.00278623810119662	0.00866348677295943	0.000403551116729889	0.0122637478391465	0.0239949729525152	0.0040036704729391	0.000759802091794983	0.00505212311452249	0.000166116452062668	0.00132391384122957	0.00250193273346408	0.00410897332501505	0.00136229786649941	0.00326711718588354	0.0676005565507095	0.00573942303642162	0.00132963428658749	0.000125258576807872	0.00237122509397663	0.00404351023919834	0.00291787158181103	0.0853141592499007	0.0127989491419897	0.000291408664233673	0.0127103822303411	0.000949559946482234	0.00192086145508437	0.00339504334708383	0.0805618832619071	0.00278237789198363	0.00267212472417863	0.0127851125308885	0.00741832874767616	0.0807130087187384	0.0223196318103165	0.00264202542247809	3.97874224331766e-06	0.00396770868875731	0.0041521902884779	0.00563265150898591	0.00210833157153733	0.00925285627012052	0.0172822206856296	0.00865083163992781	0.0155765092282984	0.000641326614065694	0.0674162171271764	0.00164277574210534	0.00402825122820783	0.0270495682534997	0.0741059208133338	0.000769684989368117	0.00344346534938773	0.00404681645092582	0.0168461055054826	0.100582081839303	0.00113292707777674	0.00854434188679968	0.00252410588005158	0.00845257814629196	0.00174615729382591	0.00170532221601454	0.00415102048751426	0.0103239294534954	0.01252416690021	0.00557416017780741	0.0051660325542425	0.00189339078245693	0.000564460426320731	0.00232435018305303	0.0153830904650792	0.000501089895560647	0.000276813107124217	0.000746967238665756	0.000593710735459287	0.000322239409592127	0.000605650070206332	0.000267624657697931	0.00012764778458116	0.00731858788709442	0.00705486683690634	0.0798943052162326	0.00453376135144116	0.000106186189724852	0.00585686409790502	0.000422990428696729	0.00753161518826403	0.0102367413065377	0.00029120061452004	0.0204845035957011	0.000420382104798916	0.0017995878236557	0.0187494950751379	0.00263384178161334	0.0102943327677489	0.0920307257330126	0.00271022808442831	0.000709715220451558	0.0125813246136181	0.00129910781715841	0.000737564964853376	0.00609116092576161	0.00723277938133653	0.000308031757295758	0.0018360230829124	0.00424656549962955	0.00650418393852091	0.0126035678550186	0.0236973749592232	0.000486555890998776	1.71626949550126e-06	0.00347935075093228	0.000547879946362939	0.0207070493672519	0.00402446795841327	0.00369630510566872	0.00668536024850053	0.00151884618917541	0.000609952716145734	0.00252425315264244	0.000706237624254631	0.00467487615211713	0.00299060222316254	0.0196480082097349	0.00722626704290886	0.00323158043943617	0.0114630484312284	0.020065002884294	0.0111695965470896	0.0901547103361594	0.00516601591388069	0.00387200078834926	0.0134378815024812	0.00806442592696158	0.000472000710082004	0.00642082300079816	0.0112680613813183	0.00692117987919824	0.00250668716732979	0.00194028231670394	0.0846486591471351	0.0105886642525218	0.000972820449622426	0.00123277935729009	0.0101593163328987	0.00704809777019087	0.00828127416854121	0.000259679961802837	0.00571670832299932	0.000536609403743412	9.50490099622443e-05	0.00361935695991859	0.00282914484771819	0.0235258674663091	0.00449788037387381	0.00743452141816575	0.00300562470500198	0.0132190802516097	0.00439128679289933	0.000907970570392793	0.000352681302077659	0.00015785514461227	0.000262501336029623	0.00387435701417503	0.00115778779644467	0.00447812963971654
[Del(C):R2]T	0.000363717028793851	0.056058157259909	0.00343773458514695	0.00891532755145307	0.000344775317785204	0.000174962652965485	0.0710616288605685	0.0013844666329732	0.0104491501661351	0.0156932506178385	0.0184919218547984	0.0500368474637463	0.0264326090710639	0.00657607818718794	0.022648267561616	0.00740128450723561	0.0193697660365222	0.000206550829754466	0.00685338345437305	0.00320354531221582	0.0237022298323189	0.000989096038874794	0.00211725044528413	0.000614441006480261	0.000848891590637929	0.018520403138793	0.0063080097935204	0.0021195445149304	0.00489197895183453	0.00377054715303622	0.00160668837922907	0.00807348398669862	0.00290612524498293	0.00700378452012068	0.0147435654210338	0.00338148276105584	0.031572658103107	0.00471423311835621	0.0101273316356751	0.000180631906132833	0.00122249377999	0.00441019985300389	0.00650791349505929	0.00048808467692852	0.014917034136567	0.0240980780993291	0.00890523094679981	0.00399615153738267	0.0504329531689916	0.00369524815931671	0.0164418384164678	0.00316835980519511	0.00440185695901288	0.00767986002052332	0.0220969493500358	0.00124150184131733	0.0115944570934602	0.00389147801376687	0.000759904680563116	0.00584902496414593	0.0440880477612639	0.01384732370275	0.000469591926465577	0.000175342473058353	0.00477688105032082	0.00365527704336835	0.0511645880678189	0.00645399013752801	0.00110892684064497	0.0554350975809467	0.00291007214496414	0.00914884669077917	0.00062803308027759	0.0242111915581569	0.0206066982850763	0.0034442974951845	0.000728672057953878	0.0131387256009719	0.000147289920828899	0.00160809434168605	0.00266292907555356	0.00572141505202118	0.00151604391074142	0.00391375612438973	0.0687603466405743	0.0008327614179825	0.00290087156862846	6.48193109482766e-05	0.00416060155612006	0.00648683124708111	0.00778058203598552	0.0543388430909387	0.0119465628418769	0.000196181914848097	0.00526399476410414	0.00196209888059408	0.00163868378957491	0.00754213771267587	0.0482250136237889	0.00475099994189939	0.00216490229218155	0.0195940851430949	0.00540385371979611	0.0585638641220628	0.021906021601252	0.00140347745795402	0.0015759134902074	0.00682784149947812	0.00618625981152196	0.00688156440934857	0.000710836157207028	0.00826823048242086	0.0237533326973841	0.00396506857745965	0.0146969763686383	0.000553303444170068	0.0417228094191044	0.0020256900424328	0.00420688480298858	0.0192404853055177	0.0331583091965168	0.000689329690900029	0.00353266967637716	0.00829532530550294	0.0256085817964122	0.0576835625008322	0.00291834096604354	0.00986345885022379	0.00211312592548508	0.00655446635778574	0.00367876072932314	0.000717574813269222	0.00954277687286371	0.0241848852907264	0.0162592654549855	0.00807530348042037	0.0120385537664126	0.00319860577032412	0.00194734843508254	0.00423259958970859	0.023045658716198	0.000389782951737743	0.000387282490706762	0.000469066491510185	0.000513863618550329	0.000225562292239278	0.000487431861177278	0.000211757645897528	0.000401757270439844	0.00158567760478598	0.00490748678240771	0.0479297816175973	0.0104361466594777	0.000174928273366853	0.00636064541598232	0.000193036730658244	0.0158915174966025	0.00410723965655053	0.000399248263765053	0.0327059243835372	0.000731656586656841	0.00256133754201404	0.0208527148606978	0.00944375268671869	0.00910527491834178	0.0524185824488755	0.00207498578239826	0.00202918835910855	0.0150241716388328	0.00134078421687078	0.000722249970817858	0.0113255109327619	0.00648810946792774	0.000270103659279067	0.00592876128161794	0.00617937968735828	0.0138362537493539	0.0216104684855346	0.0492262222015943	0.000370876826375722	0.000483129862983605	0.00548160389539693	0.000563972251230394	0.0265153692349509	0.00643312679767966	0.00304756991749455	0.00372215287654707	0.00104198510340378	0.000725317944112673	0.00584000941246938	0.000596694858756396	0.00693244002220675	0.00231254477768759	0.0191725244016991	0.00797370058122761	0.00609206867321878	0.00452761383805981	0.021793123601173	0.00910786286909099	0.0476231755456888	0.00902503149514019	0.00290831281371653	0.00366542187428796	0.00632224148537554	0.000573276394334537	0.00614016864234174	0.0101505551559626	0.0211615579585954	0.00151825647377155	0.00489811482202193	0.0514201373339263	0.0159912158669169	0.00134903765913102	0.0032755158692881	0.015519417259261	0.00872876015859482	0.00797248539146869	0.00029762631982078	0.0125688562686211	0.00132569944300256	0.000313235784632705	0.00683681988629316	0.0070329379807706	0.0266583493883373	0.00283339690456587	0.00538775151344618	0.00692359402916399	0.0229661210863626	0.00716039927780599	0.000309636280448089	0.000439441595192087	0.000165701804832518	0.00052948673296594	0.00143178363225472	0.00192174473917428	0.00921659052565993
[Del(C):R3]A	0.000266751957022352	0.0969521508411239	0.002142093510398	0.00466965555100444	0.000742414731215118	0.000124218399364998	0.0237471338016866	0.000894557451958418	0.00243943774518173	0.00327151052435375	0.0134831363911273	0.0122999293400962	0.0348585712871791	0.00263024419898828	0.0132864598032904	0.00534489164067418	0.00852980728224652	0.00103930985422794	0.00147847655752239	0.00089038250668632	0.0133917051198852	0.000669338655314889	0.00196424839959229	0.000424966234730004	0.00118576179457163	0.00354491029997837	0.00120771789494208	0.00104864534748958	0.00579748166493613	0.00147258223611333	0.00113365419844362	0.00605713245262204	0.00103510742728839	0.00243339905407183	0.00561413775992086	0.0022281163163107	0.0614153394313172	0.00418116147455092	0.00456105409385375	0.00018360461936065	0.000321787597841507	0.00784000367094707	0.00312989828353414	0.000503138854915713	0.00669089373922584	0.0128833858058537	0.00271503107784464	0.00682112831520766	0.00937312936095054	0.00344513277246367	0.0105745732997535	0.000239799078491915	0.00889751408246029	0.0041741639300832	0.0128555102312467	0.00102990140470548	0.00682489915798488	0.00323978396799554	0.000757157546798695	0.00136586380140387	0.00921815946217376	0.00823092823108729	0.000829286078613722	0.000246478491103196	0.00408740747824292	0.0012858275408259	0.0896305194731765	0.000503838100349547	0.00133847265443593	0.0130939134187362	0.00209193714527216	0.00199239894214773	0.000327286344339973	0.00496436755941568	0.0128929242495182	0.00261819374743658	0.000369548249832958	0.00331417081428568	0.00343861055769723	0.000444332841879545	0.0015674214473398	0.00179940917825989	0.000768467430081575	0.00207133101642421	0.0303726571986537	0.000700467233548698	0.0016305554360493	0.00019184305323102	0.00106255795594622	0.00525121591439799	0.00208916463264896	0.090787376831459	0.00970910254035664	0.00112487142237954	0.00511262467391065	0.00125749266052416	0.00101401744229792	0.00268835271830748	0.0809763096889681	0.001740094188058	0.00189444208552779	0.00900046800426672	0.00339528465274808	0.0794446266709279	0.0147792551917738	0.00315084710058365	0.000516573367924076	0.00487415841965915	0.000707660401756101	0.00219855382192488	0.00215483239761083	0.00411899654362717	0.0136782729625861	0.00728867498408834	0.00995899840389186	0.000631438721578162	0.0338193010237258	0.00238914425407532	0.00264524317610936	0.0167646707931914	0.0475002211488158	0.00139888738995946	0.00562133164430081	0.00207039015592427	0.0133194054405425	0.0990623641637301	0.000624472988633639	0.00228009775145503	0.000821341083671976	0.00432730928301652	0.00172714523708551	0.000484727560201009	0.00502550354920868	0.00826698687615451	0.00550877346646361	0.00443041303264446	0.0143451965479538	0.00298598879959323	0.00046525839456617	0.00146787492450421	0.00920002948374836	0.00059996139727187	0.000193030747102031	0.000984034285350796	0.000243439718526737	0.000754621551823744	0.000642235664547975	0.000242031160549266	0.000146756986965584	0.00165280240634175	0.00198315417697097	0.0813125001142454	0.00623953110034565	4.36007408091556e-05	0.0040182146401441	0.000491707999677867	0.0148482189867355	0.00374487361081409	0.000636151881012733	0.0110027736444828	0.000361972795224787	0.00107638231664318	0.0122484422045089	0.00545200643897858	0.00326741818661057	0.0914397571231861	0.000879311731402492	0.000709944901752675	0.00809060076528965	0.000998894950707841	0.000810793801880347	0.00491898906090778	0.00261168725149718	0.00032780996966467	0.00248688519554932	0.00223964879340463	0.00793356379876215	0.00826438636199891	0.0161442542742504	0.00021480934574231	0.000246152651874008	0.00197318932971676	0.000559522766013586	0.0129242058383749	0.00479332808776345	0.00187540770789047	0.00346718424639753	0.002088204979636	0.000382929740409459	0.00774389526488614	0.000500169613353846	0.0056136313742348	0.00208609578763529	0.0117718715335762	0.00461856807918967	0.00165829533704036	0.00172888771970105	0.0110001912267984	0.00373455609386096	0.0984760008354088	0.00268976061886963	0.00454928219682461	0.00863379839160353	0.00479615234047313	0.00107036756914996	0.00256402621768448	0.00512611636130769	0.0037776932105666	0.000379543593697392	0.00265680156976513	0.0930383147584099	0.0052609147721515	0.00106838279566638	0.000749758883842544	0.00775541456304677	0.00286922253533043	0.00339365251894682	0.000393658017727524	0.00662116287766747	0.00120990811357716	9.36490402135055e-05	0.00365032619591395	0.00244737457467371	0.0144318190452955	0.00292165888253732	0.0110577559635527	0.00151075504581656	0.00601563401464051	0.00277012442304066	0.000794322961008784	0.000743457904848171	0.000209751565619709	0.000233244676343319	0.00153375813400721	0.00153182008822025	0.00580413339747634
