MutationType	ID1	ID2	ID3	ID8	ID9	ID12	ID14	ID19	ID21	ID23
1:Del:C:0	0.00015989	0.00482412	0.12472711	0.03982756	0.33493988	0.05278774	0.01201601	0.05408908	0.00138887	0.05169788
1:Del:C:1	0.00077352	0.00002210	0.20887617	0.02391594	0.09999423	0.01467466	0.00194623	0.01500886	0.00483662	0.10619410
1:Del:C:2	0.00000000	0.00000311	0.17632422	0.00333055	0.00269066	0.00056193	0.00068370	0.00184945	0.00128434	0.05287559
1:Del:C:3	0.00190761	0.00247208	0.06404276	0.00540315	0.01062542	0.00099558	0.00048747	0.00656318	0.00279289	0.03862287
1:Del:C:4	0.00070599	0.00385698	0.04398981	0.00127571	0.01249690	0.00224005	0.00207192	0.00820689	0.00525348	0.01125206
1:Del:C:5	0.00337011	0.01461542	0.02241749	0.00093373	0.00004480	0.02941081	0.00237028	0.00033611	0.01424820	0.00573968
1:Del:T:0	0.00131160	0.00790597	0.03759923	0.03424369	0.10510537	0.04513512	0.01830980	0.01854399	0.06289173	0.21323872
1:Del:T:1	0.00000000	0.00000000	0.01330982	0.01045208	0.04429364	0.00000000	0.00085256	0.00460977	0.00591724	0.11431327
1:Del:T:2	0.00093645	0.00703642	0.01650185	0.00899203	0.08586196	0.01096920	0.01085642	0.00873799	0.00514523	0.05769072
1:Del:T:3	0.00229585	0.02023474	0.02014148	0.00982504	0.11325066	0.02210937	0.01718395	0.02264413	0.00003080	0.03864648
1:Del:T:4	0.00429142	0.04711993	0.01581436	0.00127378	0.09441274	0.04407796	0.01334790	0.02052353	0.00033607	0.01990450
1:Del:T:5	0.00000000	0.81469723	0.00806631	0.01062034	0.00092983	0.00034851	0.03861700	0.00189831	0.03423706	0.00484058
1:Ins:C:0	0.00000000	0.00000000	0.00208309	0.00276427	0.00000000	0.00000000	0.45438696	0.01628628	0.00029351	0.00228553
1:Ins:C:1	0.00000000	0.00022703	0.00157889	0.00216912	0.00000193	0.00016770	0.01277743	0.03305029	0.00147349	0.00057783
1:Ins:C:2	0.00000000	0.00002620	0.00174795	0.00152700	0.00035262	0.00159659	0.00065885	0.01540814	0.00015440	0.00147472
1:Ins:C:3	0.00084599	0.00043005	0.00617765	0.00011652	0.00000000	0.00045032	0.00156440	0.00718753	0.00021074	0.00171284
1:Ins:C:4	0.00178553	0.00291185	0.00710445	0.00055418	0.00000216	0.00439393	0.00153950	0.01028347	0.00047283	0.00010835
1:Ins:C:5	0.02429654	0.00901754	0.00735110	0.00048949	0.00007370	0.01705149	0.00229300	0.02796958	0.00182085	0.00126133
1:Ins:T:0	0.00228382	0.00132856	0.01872237	0.00450798	0.01261448	0.00426530	0.03261201	0.01808925	0.00715236	0.00623642
1:Ins:T:1	0.00004030	0.00000000	0.04311903	0.00486870	0.01038527	0.00249652	0.00316588	0.02808965	0.02205486	0.01262155
1:Ins:T:2	0.00019286	0.00064703	0.04015704	0.00142964	0.00231466	0.00000000	0.00177461	0.01156301	0.00171300	0.01057210
1:Ins:T:3	0.00424327	0.00108288	0.02512543	0.00108729	0.00160089	0.00010567	0.00117384	0.00679258	0.00274180	0.00581943
1:Ins:T:4	0.01664913	0.00348746	0.00656331	0.00082262	0.00158536	0.00033648	0.00478500	0.00670159	0.00054391	0.00330097
1:Ins:T:5	0.89090647	0.00313258	0.02618124	0.02016125	0.00577248	0.00016655	0.23274755	0.01073388	0.01635929	0.00027934
2:Del:R:0	0.00068605	0.00016381	0.00689755	0.00876922	0.01317475	0.00626811	0.00066200	0.00238233	0.00597477	0.02385067
2:Del:R:1	0.00121997	0.00356888	0.00847465	0.01030715	0.00319854	0.00027843	0.00660004	0.00151209	0.05832799	0.05613034
2:Del:R:2	0.00047275	0.00184957	0.01180064	0.00053203	0.00118970	0.00139817	0.00270193	0.00476235	0.00820925	0.02322644
2:Del:R:3	0.00042672	0.00073904	0.00667112	0.00002710	0.00009590	0.00067331	0.00039280	0.00052995	0.00312839	0.00668162
2:Del:R:4	0.00005460	0.00088193	0.00282253	0.00027403	0.00000000	0.01198074	0.00000141	0.00004580	0.00192576	0.00180121
2:Del:R:5	0.00000000	0.00000000	0.00010124	0.00083308	0.00000000	0.25151984	0.00004370	0.00000684	0.00276651	0.00049256
3:Del:R:0	0.00012804	0.00001250	0.00058912	0.01096410	0.00285810	0.00759986	0.00114666	0.00086808	0.01713037	0.00495202
3:Del:R:1	0.00501109	0.00500326	0.00037239	0.00134887	0.00430191	0.00056943	0.00484016	0.00500577	0.14873369	0.00300516
3:Del:R:2	0.00076938	0.00228989	0.00009630	0.00037657	0.00127572	0.00268034	0.00105348	0.00133307	0.03457285	0.00049782
