MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	1.29E-03	4.73E-04	3.92E-04	1.04E-03	1.97E-03	2.87E-03	3.77E-04	2.10E-03	1.09E-03	6.17E-04	2.52E-04	1.58E-03	2.74E-03	1.66E-03	1.16E-03	2.00E-03	1.06E-03	2.10E-03
1:Del:C:1	4.75E-04	1.40E-47	3.07E-04	2.76E-04	9.28E-04	8.23E-04	1.97E-04	8.79E-04	1.74E-04	5.06E-04	1.79E-04	1.85E-04	1.80E-03	4.35E-04	4.28E-04	8.07E-04	1.83E-03	7.20E-04
1:Del:C:2	1.59E-04	1.17E-04	9.85E-05	9.01E-05	3.25E-04	2.48E-04	8.47E-05	2.79E-04	1.63E-04	5.96E-05	1.90E-04	1.73E-04	1.14E-03	4.61E-05	4.75E-04	4.41E-04	2.26E-03	9.51E-05
1:Del:C:3	3.13E-04	4.71E-04	9.32E-05	1.51E-04	1.16E-03	3.44E-04	3.54E-05	5.99E-04	2.08E-04	2.04E-04	4.13E-05	2.82E-04	4.08E-04	2.18E-04	3.70E-04	3.08E-04	6.88E-04	2.75E-04
1:Del:C:4	8.25E-04	1.44E-03	6.94E-05	8.16E-05	4.53E-03	5.75E-04	4.51E-05	2.05E-03	0.00E+00	1.20E-04	2.16E-05	8.54E-04	1.16E-04	3.25E-05	1.27E-03	1.23E-04	5.51E-04	2.13E-04
1:Del:C:5	1.42E-03	3.90E-03	9.65E-05	6.27E-04	8.57E-03	1.96E-03	6.81E-05	2.42E-03	5.88E-04	3.33E-05	6.96E-05	2.25E-03	9.36E-05	1.24E-04	3.04E-03	1.93E-04	5.67E-04	1.18E-04
1:Del:T:0	4.78E-04	3.26E-04	4.40E-05	5.02E-04	2.47E-04	7.90E-04	5.37E-04	2.18E-03	5.10E-04	5.95E-04	3.05E-03	3.05E-04	1.20E-03	4.60E-04	2.81E-03	1.30E-03	1.34E-03	1.14E-02
1:Del:T:1	4.73E-04	1.53E-04	1.02E-04	1.89E-04	5.14E-04	7.26E-04	2.13E-04	7.36E-04	8.23E-04	5.83E-04	2.60E-03	6.76E-04	4.40E-04	6.04E-04	2.64E-03	9.21E-04	6.94E-04	1.34E-03
1:Del:T:2	1.80E-03	3.79E-04	9.86E-04	3.36E-04	4.03E-03	3.53E-03	1.14E-04	2.95E-03	6.59E-04	3.60E-04	1.30E-03	6.47E-04	3.25E-04	9.50E-04	1.16E-03	2.04E-03	5.92E-04	9.66E-04
1:Del:T:3	2.83E-03	1.29E-03	1.23E-03	4.26E-04	5.12E-03	5.55E-03	1.23E-04	3.81E-03	6.15E-04	1.85E-04	2.95E-03	1.25E-03	2.66E-04	6.72E-04	1.37E-03	2.57E-03	8.26E-04	8.58E-04
1:Del:T:4	4.39E-03	1.19E-03	1.59E-03	3.01E-04	9.21E-03	6.09E-03	2.02E-04	6.60E-03	7.02E-05	3.37E-04	2.20E-03	1.35E-03	4.25E-04	7.06E-04	4.28E-04	2.71E-03	3.36E-04	1.01E-03
1:Del:T:5	2.26E-02	2.08E-02	2.92E-03	5.96E-03	1.27E-02	2.74E-02	2.36E-03	1.14E-02	6.86E-03	1.42E-03	7.12E-03	6.41E-03	5.21E-03	4.72E-03	2.15E-03	6.19E-03	1.14E-03	6.39E-03
1:Ins:C:0	4.25E-04	1.46E-04	5.98E-04	1.94E-04	1.30E-03	5.39E-04	2.63E-03	1.36E-03	7.22E-04	3.01E-04	5.85E-04	7.55E-05	1.25E-03	8.17E-04	4.28E-04	4.82E-04	2.01E-04	1.09E-03
1:Ins:C:1	3.28E-04	3.47E-05	3.32E-05	1.84E-04	4.72E-04	5.18E-04	1.25E-04	4.14E-04	3.78E-04	1.90E-04	6.66E-05	2.90E-04	8.89E-05	5.04E-04	3.70E-04	4.84E-04	1.34E-04	6.42E-04
1:Ins:C:2	4.53E-05	1.40E-05	2.65E-05	7.89E-05	1.79E-04	9.06E-05	4.31E-05	9.43E-05	5.94E-05	1.24E-04	1.75E-05	1.53E-04	7.32E-05	2.77E-04	2.36E-04	1.93E-04	1.07E-04	2.62E-04
1:Ins:C:3	9.43E-05	3.73E-05	2.69E-05	1.25E-04	1.21E-04	1.07E-04	4.45E-05	1.27E-04	1.85E-04	1.41E-04	2.74E-05	1.35E-04	1.99E-06	1.94E-04	1.56E-04	1.22E-04	1.20E-04	5.10E-04
1:Ins:C:4	2.38E-04	1.85E-04	3.42E-05	3.85E-04	5.91E-04	2.70E-04	4.18E-05	3.54E-04	2.15E-04	6.54E-05	2.03E-05	7.05E-05	2.62E-05	1.83E-04	2.78E-04	1.21E-04	1.03E-04	4.08E-04
1:Ins:C:5	1.26E-03	7.39E-04	2.40E-04	2.85E-03	1.74E-03	1.17E-03	1.15E-04	2.00E-03	1.37E-04	4.24E-04	1.53E-04	3.15E-04	1.68E-04	6.40E-04	2.41E-03	5.22E-04	2.28E-04	1.18E-03
1:Ins:T:0	1.96E-03	7.80E-05	2.32E-04	9.77E-04	2.63E-03	3.25E-03	3.51E-04	2.76E-03	1.99E-03	5.35E-04	1.76E-04	1.20E-03	9.20E-05	1.84E-03	4.56E-04	3.92E-03	9.41E-04	1.92E-03
1:Ins:T:1	2.87E-03	3.00E-05	5.24E-05	1.26E-03	4.48E-03	5.77E-03	4.42E-04	4.83E-03	1.90E-03	4.47E-04	2.93E-04	2.20E-03	4.20E-04	3.39E-03	1.14E-03	6.40E-03	2.29E-03	3.54E-03
1:Ins:T:2	1.96E-03	1.63E-04	8.57E-05	9.64E-04	2.81E-03	4.03E-03	2.98E-04	3.07E-03	1.48E-03	1.08E-04	2.17E-04	1.24E-03	2.09E-04	2.33E-03	6.84E-04	4.32E-03	1.73E-03	2.47E-03
1:Ins:T:3	9.10E-04	6.79E-05	3.91E-04	3.51E-04	1.39E-03	1.81E-03	1.26E-04	1.17E-03	6.22E-04	2.93E-04	1.39E-04	6.65E-04	1.37E-04	1.02E-03	6.53E-04	1.89E-03	5.13E-04	9.70E-04
1:Ins:T:4	2.24E-03	2.43E-04	1.51E-03	2.49E-04	4.28E-03	3.78E-03	7.18E-06	4.32E-03	1.45E-04	4.86E-21	1.94E-04	2.01E-04	3.68E-05	1.47E-03	3.01E-04	2.90E-03	3.27E-04	8.10E-05
1:Ins:T:5	6.81E-03	9.82E-04	7.38E-03	1.22E-02	1.03E-02	4.28E-03	2.05E-03	1.79E-02	1.79E-02	7.03E-03	6.50E-03	1.15E-02	6.18E-03	1.83E-02	3.60E-03	9.04E-03	1.37E-03	1.45E-02
2:Del:R:0	3.55E-04	3.98E-04	3.01E-05	3.81E-04	6.45E-04	5.99E-04	1.18E-04	4.80E-04	3.52E-04	4.78E-04	3.96E-04	8.10E-04	1.28E-03	3.17E-04	1.30E-03	8.07E-04	3.50E-04	5.99E-04
