Samples	ID1	ID2	ID4	ID5	ID8	ID9	ID10	ID19	ID21	ID23
SP24708	98	72	0	0	0	116	0	0	139	0
SP24301	192	102	0	0	0	133	0	0	214	0
SP27201	115	136	106	0	0	140	0	0	0	0
SP28791	35	30	28	0	0	74	0	0	0	0
SP23739	53	29	0	0	0	85	0	0	86	0
SP24702	167	74	0	0	0	102	0	0	140	0
SP25332	38	22	0	0	0	27	0	0	67	0
SP28335	46	44	0	0	0	117	0	0	105	0
SP26709	129	38	0	0	0	0	0	0	0	65
SP25350	65	61	0	0	0	101	0	0	216	0
SP25380	118	123	110	0	0	153	0	0	0	0
SP24565	16	19	0	0	0	81	0	0	121	0
SP25833	130	42	0	0	0	124	0	0	115	0
SP25905	25	29	46	0	0	108	0	0	0	0
SP26439	40	27	0	0	0	31	0	0	0	63
SP24236	121	146	122	0	0	214	0	0	0	0
SP23925	0	120	704	0	0	0	0	0	933	0
SP24815	125	122	0	0	0	165	0	0	164	0
SP27957	87	83	87	0	0	118	0	0	0	0
SP27603	60	53	0	0	0	136	0	0	130	0
SP27825	108	108	0	0	0	133	0	0	169	0
SP24135	71	95	0	0	268	118	0	0	212	300
SP26499	64	41	0	0	0	79	0	0	65	0
SP25518	111	110	0	0	0	206	0	0	130	0
SP28659	120	99	0	253	297	158	0	0	264	0
SP23622	65	64	0	0	0	113	0	0	150	0
SP27939	66	36	0	0	0	71	0	0	76	67
SP23754	21	24	0	0	0	48	0	0	36	0
SP29697	97	55	0	0	0	66	0	0	95	0
SP27339	76	48	0	0	0	97	0	0	91	0
SP29559	67	0	0	311	342	94	0	0	0	0
SP29331	75	95	0	0	0	159	0	0	124	0
SP26475	127	70	0	0	0	107	0	0	103	0
SP23775	90	103	142	0	322	150	0	0	0	213
SP28275	66	25	0	0	0	66	0	0	131	0
SP28581	92	82	0	0	0	108	0	0	139	0
SP23639	97	77	0	0	0	129	0	0	170	0
SP24391	102	63	0	0	0	133	0	0	128	0
SP28041	143	136	120	0	0	138	0	0	0	0
SP25494	198	180	254	442	471	411	0	0	0	0
SP26649	84	57	0	0	0	85	0	0	210	0
SP78927	63	0	0	0	0	0	0	0	0	0
SP78913	51	0	0	0	0	0	0	0	0	0
SP107375	92	18	0	0	0	0	0	0	0	85
SP107408	255	65	0	0	0	0	0	0	0	0
SP107439	67	0	0	0	0	220	0	0	0	0
SP78816	44	0	0	0	0	0	0	0	0	0
SP78663	211	0	0	0	0	0	0	0	0	0
SP78709	131	0	0	0	0	0	0	0	0	0
SP107462	223	0	0	0	0	0	0	0	0	0
SP78951	72	11	0	0	0	30	0	0	0	0
SP107435	113	22	0	64	0	0	0	0	0	0
SP78679	103	66	0	0	0	50	0	0	0	0
SP107360	236	62	0	0	0	0	0	0	0	0
SP78819	12	4	0	19	0	0	0	0	0	0
SP78821	82	12	0	0	0	47	0	0	0	0
SP107552	71	0	0	0	0	0	0	0	0	0
SP78865	36	0	0	0	0	0	29	0	0	0
SP107470	108	36	0	0	0	0	0	0	0	0
SP78673	5	5	0	0	0	16	0	0	21	0
SP78824	51	0	0	0	0	0	0	0	0	0
SP107550	49	13	0	0	0	0	0	0	0	0
SP78718	237	37	0	0	0	0	0	0	0	0
SP107451	90	0	0	0	0	0	0	0	0	0
SP107557	79	0	0	0	0	0	0	0	0	0
SP107358	34	9	24	0	0	26	0	0	0	0
SP78731	64	0	0	0	0	0	0	0	0	0
SP107455	58	0	0	0	0	0	0	0	0	0
SP107549	48	8	0	0	0	0	0	0	0	0
SP78814	52	0	0	0	0	31	30	0	0	0
SP107357	379	117	0	0	0	0	0	0	0	0
SP78919	112	0	0	0	0	0	0	0	0	0
SP107453	80	20	0	0	0	0	0	0	0	0
SP78719	8	6	0	0	0	0	0	0	0	0
SP78662	16	5	0	0	0	14	0	0	0	0
SP107457	185	0	0	0	0	0	0	0	0	0
SP107404	198	81	0	0	0	0	0	0	0	0
SP78714	52	16	0	0	0	16	0	0	0	0
SP107454	69	0	0	0	0	0	0	0	0	0
SP107359	270	86	0	0	0	0	0	0	0	0
SP78664	113	0	0	0	0	0	0	0	0	0
SP78931	90	13	0	0	0	0	0	0	0	0
