Samples	ID83A	ID83B	ID83C
SP18310	3.73E+01	3.73E+01	4.87E+00
SP17172	1.53E+01	1.51E+01	2.52E+00
SP96133	2.33E+01	2.35E+01	4.46E+00
SP110242	3.28E+01	3.25E+01	6.67E+00
SP114330	2.10E+00	2.81E+00	2.11E+00
SP21017	3.39E+01	3.42E+01	5.40E+00
SP22383	2.05E+01	2.04E+01	3.95E+00
SP81312	8.70E+00	1.07E+01	5.48E+00
SP22031	2.06E+00	2.66E+00	2.05E+00
SP96112	1.52E+00	2.15E+00	1.65E+00
SP19215	2.41E+01	2.38E+01	2.97E+00
SP96120	2.81E+00	4.03E+00	2.56E+00
SP16886	1.35E+00	4.87E+00	4.81E+00
SP96124	2.78E+00	3.61E+00	1.83E+00
SP19295	4.20E+00	4.92E+00	2.69E+00
SP19670	2.12E+00	2.81E+00	1.58E+00
SP17905	1.62E+01	2.04E+01	1.21E+01
SP16934	2.73E+00	3.25E+00	2.39E+00
SP20993	3.62E+00	4.20E+00	2.35E+00
SP19983	3.32E+00	3.65E+00	2.53E+00
SP18121	3.31E+01	3.52E+01	1.06E+01
SP96122	3.46E+00	4.36E+00	2.18E+00
SP119755	3.54E+00	4.09E+00	2.57E+00
SP96126	3.75E+00	4.46E+00	2.08E+00
SP19606	1.94E+00	2.60E+00	2.04E+00
SP96118	6.33E+00	6.34E+00	9.64E-02
SP21528	2.27E+00	2.58E+00	1.59E+00
SP21400	8.12E+00	9.60E+00	5.62E+00
SP23078	1.88E+00	2.99E+00	2.27E+00
SP17430	1.40E+00	2.13E+00	1.55E+00
SP96110	2.35E+00	2.81E+00	1.92E+00
SP18946	1.05E+01	1.18E+01	6.16E+00
SP21057	3.64E+00	4.57E+00	2.57E+00
SP22750	2.03E+00	2.66E+00	1.95E+00
SP19750	2.68E+00	3.01E+00	1.28E+00
SP17016	2.72E+00	3.36E+00	1.96E+00
SP16958	3.00E+00	4.38E+00	2.97E+00
SP17329	1.63E+00	2.31E+00	1.71E+00
SP96116	2.19E+00	2.81E+00	1.73E+00
SP96129	3.28E+00	4.01E+00	2.22E+00
SP21193	2.28E+00	2.84E+00	1.61E+00
SP18787	3.19E+00	3.98E+00	2.13E+00
SP96114	2.18E+00	3.00E+00	2.45E+00
SP19582	1.51E+00	2.36E+00	1.68E+00
SP17294	3.27E+00	4.25E+00	2.47E+00
SP80367	1.38E+00	2.31E+00	1.91E+00
SP82087	1.79E+00	2.61E+00	1.94E+00
SP80615	8.49E+00	1.29E+01	1.05E+01
SP80271	2.47E+00	3.23E+00	1.90E+00
SP81172	2.54E+00	2.81E+00	2.17E+00
SP81840	3.64E+00	4.27E+00	2.46E+00
SP80657	1.66E+00	2.51E+00	1.53E+00
SP81494	1.97E+00	2.72E+00	2.20E+00
SP81711	3.09E+00	4.26E+00	2.99E+00
SP80423	2.43E+00	2.87E+00	2.00E+00
SP80754	2.24E+00	3.13E+00	2.64E+00
SP81440	9.32E-01	1.60E+00	1.22E+00
SP80950	2.26E+00	2.85E+00	1.52E+00
SP82103	1.78E+00	2.59E+00	1.72E+00
SP81137	2.43E+00	4.46E+00	3.36E+00
DRUP01010006T	2.65E+00	3.87E+00	2.47E+00
CPCT02020319T	2.71E+00	3.54E+00	2.40E+00
CPCT02040021T	2.69E+00	3.75E+00	2.54E+00
CPCT02110003T	1.95E+00	2.59E+00	1.74E+00
CPCT02140012T	3.29E+00	4.79E+00	4.45E+00
CPCT02040027T	3.37E+00	3.91E+00	2.39E+00
CPCT02100013T	3.89E+00	5.28E+00	4.21E+00
CPCT02050048T	2.79E+00	3.39E+00	2.66E+00
CPCT02060015T	3.53E+00	3.66E+00	2.12E+00
CPCT02010397T	3.38E+00	3.86E+00	2.86E+00
CPCT02040040T	2.91E+00	4.04E+00	2.84E+00
CPCT02110008T	3.40E+00	4.02E+00	3.15E+00
CPCT02050057T	3.52E+00	4.52E+00	2.72E+00
CPCT02050061T	2.00E+00	3.09E+00	2.09E+00
CPCT02110011T	3.35E+00	3.79E+00	1.70E+00
CPCT02020383T	2.92E+00	3.66E+00	2.61E+00
CPCT02010414T	3.51E+00	3.95E+00	2.73E+00
CPCT02210001T	3.65E+00	4.00E+00	2.30E+00
CPCT02210003T	3.28E+00	4.13E+00	3.19E+00
CPCT02330007T	2.40E+00	3.36E+00	2.59E+00
CPCT02050068T	1.91E+00	2.61E+00	2.15E+00
CPCT02050075T	3.25E+00	4.28E+00	3.43E+00
CPCT02040058T	2.94E+00	3.85E+00	3.02E+00
CPCT02330009T	2.47E+00	3.24E+00	1.70E+00
