Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP97749	48	84	3	153	26	40	9
SP49235	122	100	20	85	55	30	15
SP50177	35	107	7	290	2	59	1
SP97775	168	161	59	218	139	235	26
SP97685	12	86	13	167	139	77	7
SP97747	179	96	22	116	83	73	16
SP97771	177	99	27	226	85	51	11
SP97681	162	85	50	228	55	113	2
SP98082	114	162	32	205	72	39	17
SP49334	77	122	14	177	40	50	4
SP49124	0	91	40	340	809	0	0
SP115501	77	349	41	46	31	23	13
SP98305	241	526	65	96	70	151	12
SP49247	292	228	52	187	79	57	8
SP49328	253	140	32	43	82	2	16
SP98092	83	135	36	166	68	39	24
SP120755	0	12	0	115	12	0	0
SP49417	95	173	42	214	80	69	1
SP49175	108	413	0	121	0	0	0
SP49223	0	134	0	63	88	0	0
SP49187	208	39	28	15	51	72	4
SP49157	407	79	30	69	54	64	7
SP49379	135	270	20	132	36	54	4
SP49541	275	201	71	42	153	80	12
SP98164	364	148	36	168	71	89	6
SP49481	0	0	11	105	39	27	0
SP98078	225	71	19	250	128	74	18
SP106677	55	139	37	150	43	74	0
SP106743	40	79	20	51	30	29	18
SP98359	62	273	54	130	85	79	19
SP98192	61	381	0	0	0	0	0
SP98053	220	202	42	159	55	62	21
SP106631	50	43	15	39	47	226	5
SP49551	233	107	24	40	19	55	4
SP49651	0	124	0	0	674	0	0
SP98265	79	310	48	263	80	60	8
SP98297	328	50	38	199	73	57	9
SP98060	19	0	4	67	0	0	0
SP98289	152	146	27	186	101	134	12
SP115498	380	247	87	111	3	57	37
SP98096	232	222	46	55	65	94	21
SP49114	335	65	33	334	189	116	24
SP98090	855	898	126	0	0	0	0
SP49286	175	94	22	166	64	67	15
SP49469	26	216	68	188	118	60	6
SP49205	19	153	35	53	76	26	8
SP98327	136	129	22	194	43	70	16
SP49449	41	302	23	0	29	0	0
SP49391	11	81	7	153	48	24	8
SP49531	343	381	99	148	68	38	18
SP49322	61	323	54	137	16	33	9
SP49433	0	149	21	145	0	65	0
