MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
5:Del:R:2	1.88E-05	4.27E-05	8.49E-05	1.14E-04	9.84E-05	1.17E-04	3.39E-04	1.48E-04	3.45E-04
5:Del:R:3	1.82E-05	5.29E-05	2.69E-05	2.76E-06	4.49E-05	6.82E-05	1.10E-04	1.04E-05	1.16E-04
5:Del:R:4	7.08E-10	3.30E-06	1.23E-05	4.54E-09	1.02E-05	1.28E-08	5.48E-05	2.58E-05	6.21E-05
5:Del:R:5	1.03E-05	6.14E-07	1.84E-09	7.80E-06	1.27E-05	1.26E-09	2.23E-08	1.27E-06	5.52E-09
2:Ins:R:0	1.27E-04	3.61E-04	4.49E-05	1.51E-05	5.41E-04	1.51E-04	3.44E-03	2.52E-03	2.92E-04
2:Ins:R:1	1.25E-04	2.83E-04	1.51E-04	7.33E-05	3.24E-04	1.56E-04	1.41E-03	8.42E-04	4.46E-04
2:Ins:R:2	7.46E-05	1.99E-04	7.36E-05	8.32E-05	1.80E-04	1.53E-04	6.27E-04	2.89E-04	2.50E-04
2:Ins:R:3	2.16E-05	1.09E-04	4.77E-05	3.66E-05	1.40E-04	1.02E-04	2.60E-04	1.24E-04	2.28E-04
2:Ins:R:4	4.54E-05	1.64E-04	1.59E-04	2.16E-05	1.23E-04	8.90E-05	3.11E-04	5.64E-05	2.77E-04
2:Ins:R:5	1.81E-05	4.62E-04	4.75E-04	5.49E-06	3.24E-04	1.14E-04	1.16E-03	4.66E-04	3.23E-04
3:Ins:R:0	5.12E-05	1.34E-04	1.56E-04	6.33E-08	3.40E-04	1.46E-04	1.31E-03	8.92E-04	3.68E-04
3:Ins:R:1	7.20E-05	1.24E-04	1.92E-04	1.03E-04	2.31E-04	1.19E-04	6.67E-04	3.36E-04	3.42E-04
3:Ins:R:2	1.69E-05	1.86E-05	5.25E-05	9.26E-05	5.64E-05	6.83E-05	2.44E-04	1.60E-04	6.19E-05
3:Ins:R:3	5.78E-06	1.75E-06	3.76E-09	3.32E-06	3.33E-05	9.09E-06	4.60E-05	9.32E-06	2.66E-05
3:Ins:R:4	9.20E-06	4.66E-06	2.36E-05	2.82E-05	1.91E-05	8.40E-06	5.88E-05	4.99E-05	2.57E-05
3:Ins:R:5	2.00E-05	8.09E-05	7.83E-05	5.45E-05	1.09E-06	3.83E-05	1.90E-04	8.25E-05	1.98E-04
4:Ins:R:0	7.73E-09	1.58E-04	9.99E-05	8.08E-09	4.97E-04	1.48E-04	1.80E-03	1.37E-03	2.47E-04
4:Ins:R:1	9.25E-05	2.29E-04	2.37E-04	1.31E-04	2.17E-04	1.47E-04	1.04E-03	6.99E-04	1.67E-04
4:Ins:R:2	1.36E-05	2.84E-05	4.37E-05	2.72E-05	7.93E-05	5.11E-05	2.14E-04	5.33E-05	1.07E-04
4:Ins:R:3	2.64E-06	2.22E-05	4.91E-05	6.79E-05	5.34E-05	2.46E-05	1.06E-04	2.21E-05	1.02E-04
4:Ins:R:4	1.00E-05	4.63E-05	3.77E-05	1.40E-05	4.27E-05	2.33E-05	1.70E-04	3.85E-05	1.18E-04
4:Ins:R:5	2.29E-05	7.85E-05	5.47E-05	5.97E-05	2.18E-05	0.00E+00	1.20E-04	4.04E-05	1.72E-04
5:Ins:R:0	4.06E-09	2.04E-08	4.70E-08	2.66E-08	2.32E-03	1.88E-08	2.11E-03	8.13E-06	3.09E-08
5:Ins:R:1	5.37E-05	2.95E-04	3.35E-04	3.44E-04	3.25E-04	3.78E-04	1.28E-03	6.43E-04	1.07E-03
5:Ins:R:2	1.59E-05	8.60E-05	8.12E-05	4.35E-05	8.36E-05	8.82E-05	3.60E-04	9.63E-05	2.23E-04
5:Ins:R:3	2.30E-05	4.78E-05	3.72E-05	4.08E-05	2.84E-05	0.00E+00	1.09E-04	5.21E-05	7.28E-05
5:Ins:R:4	4.76E-06	7.34E-06	4.58E-05	4.94E-05	2.13E-10	2.12E-05	7.20E-05	3.13E-05	4.29E-05
5:Ins:R:5	0.00E+00	1.70E-05	3.07E-05	9.65E-06	5.51E-06	2.90E-05	7.67E-05	1.60E-05	5.70E-05
2:Del:M:1	3.32E-04	1.20E-04	3.96E-04	2.97E-04	2.73E-04	2.16E-04	7.08E-04	4.40E-04	3.34E-03
3:Del:M:1	1.96E-04	1.23E-04	1.84E-04	1.31E-04	2.93E-05	1.56E-04	3.59E-04	1.70E-04	3.35E-04
3:Del:M:2	1.48E-04	2.06E-04	2.29E-04	2.11E-04	7.60E-05	2.28E-04	1.61E-03	2.11E-04	1.11E-03
4:Del:M:1	2.08E-04	1.86E-04	9.22E-05	1.16E-04	8.39E-05	2.43E-04	6.59E-04	3.79E-04	4.88E-04
4:Del:M:2	1.47E-04	1.54E-04	1.08E-04	2.31E-04	1.42E-04	2.48E-04	9.02E-04	3.32E-05	5.79E-04
4:Del:M:3	1.55E-04	2.49E-04	1.77E-04	1.39E-04	7.11E-05	2.19E-04	2.55E-03	1.17E-04	1.83E-03
5:Del:M:1	7.52E-04	4.04E-04	4.66E-04	5.52E-04	7.75E-04	1.14E-03	7.62E-04	1.67E-03	4.09E-04
5:Del:M:2	6.73E-04	2.57E-04	5.11E-04	3.48E-04	4.40E-04	1.39E-03	2.16E-04	9.02E-04	1.32E-04
5:Del:M:3	5.18E-04	5.19E-06	3.50E-04	1.21E-04	1.10E-04	1.55E-03	5.71E-04	3.58E-04	4.64E-04
5:Del:M:4	3.25E-04	1.77E-04	2.66E-05	2.54E-04	1.44E-04	8.15E-04	3.10E-04	3.23E-04	4.53E-04
5:Del:M:5	9.29E-05	2.21E-04	3.00E-04	2.60E-04	3.56E-04	1.00E-03	8.85E-04	4.13E-04	4.55E-04
