Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP101845	161	35	206	64	25	50	64	2	83	98	0	0	36	0	0	0
SP101682	12	43	22	19	63	31	49	4	0	61	0	100	1	16	2	0
SP61553	3	45	0	67	42	0	0	2	0	34	12	3	0	61	1	0
SP101724	60	51	48	108	79	0	101	3	121	0	23	18	47	0	6	0
SP102103	7	6	23	0	22	0	30	0	20	150	0	15	25	0	0	0
SP102174	43	18	6	51	38	0	60	4	77	15	85	19	26	0	0	0
SP101622	350	1	188	0	23	224	63	0	0	92	0	0	0	0	1	0
SP102161	84	11	28	39	27	0	78	4	0	0	66	44	4	9	4	0
SP101654	38	83	10	35	95	0	138	2	0	0	27	187	0	0	0	0
SP102074	22	18	28	10	12	0	9	1	30	53	0	13	29	8	0	0
SP101694	56	0	41	73	32	0	151	2	0	0	22	58	49	0	11	0
SP101616	73	87	26	119	25	0	177	0	64	0	0	20	0	0	10	0
SP101666	116	0	116	52	13	44	40	0	0	77	0	0	46	0	11	0
SP101558	152	37	107	0	6	138	0	0	11	0	82	0	0	0	0	0
SP102096	15	66	46	31	10	0	0	2	61	63	0	51	19	17	5	0
SP102084	92	36	35	120	84	0	49	4	35	0	0	46	26	0	0	0
SP101580	100	26	93	41	17	0	59	3	0	13	20	22	21	47	12	0
SP102064	244	27	226	24	21	0	64	2	11	0	12	26	34	0	14	0
SP101564	23	22	1	40	23	41	36	2	18	0	15	41	0	0	0	0
SP101921	11	35	8	56	23	0	45	0	66	48	0	41	26	0	2	0
SP101648	168	2	36	33	0	161	6	0	0	0	90	7	0	0	10	0
SP101628	15	42	13	23	13	0	42	1	0	81	53	17	0	0	6	0
SP101708	21	27	0	20	48	35	47	4	0	95	0	17	0	5	14	0
SP102055	16	26	0	14	17	2	17	1	12	45	0	21	0	30	1	0
SP101634	259	2	134	11	2	43	27	1	25	42	0	0	37	0	3	0
SP101588	27	26	19	36	56	0	53	3	44	0	17	72	0	40	10	0
SP101584	21	18	6	26	28	48	57	0	54	11	50	91	6	0	4	0
SP101686	7	7	6	20	27	0	35	0	0	95	0	37	15	0	2	0
SP101532	217	7	188	9	18	0	65	0	33	0	4	7	31	60	3	0
SP101732	241	0	107	54	26	293	98	6	0	0	36	26	7	0	0	0
SP101528	19	0	5	23	10	46	70	0	71	32	0	0	0	14	0	0
SP101536	3	24	0	13	2	32	1	0	0	53	36	66	0	0	1	17
SP101576	51	19	32	66	37	9	108	4	12	35	24	16	26	42	12	10
SP102015	287	16	308	0	24	0	169	3	0	0	26	5	115	0	0	0
SP102168	0	35	5	26	4	60	41	0	0	16	16	36	0	13	2	8
SP101716	48	61	0	155	107	108	85	0	21	0	71	72	0	0	20	0
SP101592	22	9	13	48	17	23	37	7	88	53	0	5	0	0	6	0
SP101658	0	9	0	19	7	21	2	0	0	33	1	0	11	0	0	0
SP102045	939	13	201	46	28	485	70	11	0	0	153	38	0	0	13	0
SP101552	524	22	326	0	29	220	189	0	112	0	0	4	0	0	9	0
SP101519	48	126	36	43	2	0	43	0	5	14	31	10	16	29	5	0
SP101690	88	44	29	13	30	0	96	0	0	35	111	83	26	0	11	0
SP102123	10	28	27	86	21	15	59	1	0	0	38	49	1	0	2	0
SP101662	291	19	43	0	13	53	57	2	24	78	0	0	7	0	0	0
SP101600	0	74	8	24	6	0	8	0	12	14	37	0	16	0	9	0
SP101544	36	34	7	68	30	0	101	4	0	70	14	15	23	7	5	0
SP102133	0	16366	0	2108	1611	0	0	13	0	0	0	0	0	0	1	0
SP101881	268	6	175	15	30	0	33	2	64	0	93	0	48	16	5	0
SP102035	544	11	182	45	16	37	6	0	23	0	89	20	7	0	3	13
SP101642	588	98	313	0	69	0	108	9	115	76	37	40	0	0	29	8
SP101596	13	38	9	50	22	0	45	0	0	118	36	34	0	23	7	0
SP101670	502	57	186	26	19	115	103	4	41	0	148	0	0	0	10	0
SP101674	174	2	48	5	0	87	24	2	0	0	92	0	0	0	7	0
SP101572	4	15	9	38	9	0	0	0	25	29	18	19	0	0	0	0
SP101678	258	14	252	61	22	0	107	2	0	83	51	0	41	0	11	0
SP101740	967	43	719	24	35	0	117	14	0	0	130	43	19	0	10	0
SP101700	194	15	195	20	13	47	48	0	7	0	0	11	0	48	4	0
SP101891	365	0	231	0	65	227	114	4	0	50	13	48	0	0	9	0
SP102143	487	19	150	18	10	25	53	6	0	0	131	0	0	0	5	0
SP102113	170	1	127	22	0	36	61	3	10	0	82	1	0	12	11	0
SP101521	8	38	0	65	53	43	34	1	0	68	22	10	0	0	7	0
SP101526	57	24	44	36	48	61	91	5	0	21	75	76	4	0	0	0
SP101540	0	44	0	132	25	78	3	1	12	27	21	42	0	0	5	14
SP101604	146	1	78	0	17	0	8	1	24	165	0	0	0	6	0	0
SP101548	321	0	75	22	10	0	46	0	38	54	0	17	0	23	12	0
SP101523	259	0	131	30	18	215	12	0	0	19	0	0	0	0	1	0
SP102090	12	28	4	21	34	4	84	1	13	10	39	54	20	44	8	0
SP101795	256	5	252	39	13	0	22	0	63	29	28	14	10	0	0	0
SP102187	172	0	105	25	26	0	146	5	0	74	8	0	0	0	23	0
SP101515	137	0	112	0	8	23	27	0	0	84	0	0	19	0	4	0
SP101931	246	48	105	27	70	125	84	3	69	0	58	50	9	0	0	0
SP101610	182	9	198	19	10	65	33	6	23	7	0	7	0	16	0	0
SP61703	18	34	57	114	15	32	78	2	17	0	33	39	0	123	0	0
SP59707	0	14	13	26	3	0	11	2	0	17	0	0	0	103	0	0
SP68659	163	12	184	26	1	0	20	1	1	9	21	6	0	37	0	0
SP62616	790	6	186	33	50	120	56	5	139	51	0	0	0	0	0	0
SP59761	40	41	30	41	30	0	59	3	16	8	0	40	0	50	7	0
SP66960	3	108	5	28	10	37	0	0	0	90	51	16	9	17	0	0
SP61453	15	0	26	19	22	0	13	3	43	54	3	6	0	44	3	16
SP63796	3	5	11	33	6	10	39	0	36	0	20	22	0	0	0	0
SP69155	3	7	9	17	4	0	12	0	6	64	3	0	0	0	3	0
SP59950	231	10	42	31	68	258	257	0	0	129	12	113	0	0	7	0
SP59938	235	10	113	13	7	22	70	0	0	31	0	0	15	6	4	0
SP64976	45	7	0	45	49	15	76	2	0	91	16	11	13	0	0	0
SP64296	337	25	228	53	50	231	32	0	14	0	0	0	0	31	0	0
SP65807	563	66	164	22	26	0	0	12	137	0	107	0	0	0	23	0
SP59803	30	83	47	0	17	0	20	4	112	84	49	78	9	29	10	0
SP66159	548	2	157	0	35	0	90	23	7	0	116	29	55	175	22	0
SP63356	10	46	39	30	0	0	27	4	35	0	80	21	2	81	0	0
SP68348	369	49	125	110	81	0	18	23	134	0	176	0	0	0	15	0
SP62450	20	0	14	28	8	2	0	0	11	59	35	7	5	0	4	0
SP67428	360	0	104	20	22	0	29	19	46	60	53	27	0	66	13	0
SP61713	311	0	258	0	20	0	17	2	8	0	13	0	15	103	1	0
SP68725	173	14	71	21	4	0	0	7	46	26	21	18	0	10	6	0
SP67609	777	0	251	0	45	0	83	26	25	0	84	66	0	109	41	0
SP62110	11	41	38	17	59	30	87	3	50	0	42	150	0	0	2	2
SP64546	230	0	151	52	0	4	46	1	0	45	0	0	30	0	9	0
SP63546	27	0	5	23	30	0	112	2	28	118	27	12	0	24	18	0
SP60322	152	11	34	2	14	75	10	0	44	0	37	0	9	14	0	0
SP60243	166	2	187	6	11	41	7	0	31	0	0	14	0	47	0	0
SP63966	14	46	15	135	77	0	53	0	0	0	76	86	19	0	0	0
SP60362	7	28	10	57	18	0	36	2	13	0	0	0	0	80	6	0
SP69077	563	12	532	0	37	52	101	2	46	0	0	7	0	75	0	0
SP67346	61	13	35	0	47	0	105	0	89	302	2	0	0	0	0	0
SP66687	13	31	9	179	64	0	74	2	30	0	0	40	0	0	3	0
SP63716	10	0	6	110	12	24	61	1	0	4	5	14	0	0	1	0
SP65376	490	25	322	20	41	394	38	0	0	0	0	0	0	0	0	0
SP61343	2	10	6	54	31	0	44	2	57	2	43	13	3	0	6	0
SP60001	518	26	111	0	26	12	101	5	5	55	78	24	52	10	1	0
SP59860	46	36	41	22	51	38	51	3	62	25	35	106	0	85	0	0
SP60610	0	12	4	49	12	31	39	0	0	1	0	10	24	32	0	0
SP64036	229	47	277	72	17	0	2	8	69	0	51	0	0	0	18	0
SP60842	113	30	48	19	22	217	66	8	5	0	37	0	3	5	4	0
CPCT02020307T	11	63	24	117	33	0	93	57	4	0	0	30	0	0	7	85
CPCT02020333T	472	25	244	26	18	57	138	96	0	0	0	32	87	16	36	45
CPCT02080024T	54	41	10	81	18	14	37	70	61	28	31	41	14	0	28	74
CPCT02030259TII	170	58	44	33	45	360	42	71	0	0	0	0	0	0	24	0
CPCT02040038T	566	13	218	86	36	1	17	84	60	0	9	53	28	0	15	0
CPCT02030250T	6	31	0	40	30	38	0	61	112	5	57	96	0	34	6	142
CPCT02050058T	72	96	77	0	259	0	61	120	27	103	47	80	5	42	16	46
CPCT02020393T	19	228	57	0	41	0	4	68	65	22	116	7	55	0	5	54
CPCT02030280T	570	141	177	205	127	169	126	85	91	0	0	48	11	0	23	0
CPCT02030278T	799	59	135	31	40	120	42	40	58	0	0	0	48	66	30	43
CPCT02100030T	122	112	37	27	34	0	81	87	184	67	0	16	69	12	63	0
CPCT02060056T	148	37	30	70	17	177	5	72	0	0	72	7	88	16	11	0
CPCT02030296T	471	11	105	60	16	221	0	108	20	12	0	42	60	0	24	27
CPCT02060046T	0	65	0	65	4	32	13	33	0	44	0	6	0	0	18	0
CPCT02130056T	36	139	9	0	103	85	32	56	0	30	0	59	121	0	18	3
CPCT02180051T	4	53	18	46	16	45	0	70	35	36	20	8	28	26	21	7
CPCT02070434T	51	3	94	0	29	0	82	27	189	222	22	0	11	0	37	38
