Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP116536	14	10	5	0	12	26	0	0	11	0	0	7	15	0
SP116539	0	0	0	0	3	14	3	0	3	0	0	0	0	0
SP116542	3	0	3	0	2	9	0	0	1	0	2	10	0	0
SP116545	1	0	16	0	5	5	0	1	0	0	1	0	0	0
SP116548	7	0	3	0	4	11	1	0	7	0	3	4	0	0
SP116550	1	1	2	0	0	0	0	0	0	0	2	0	0	0
SP116553	12	3	7	0	1	0	0	5	0	0	0	7	0	0
SP116557	0	0	0	1	0	3	2	1	0	0	0	2	0	0
SP116559	5	0	9	0	3	12	0	0	4	1	1	5	0	0
SP116562	15	9	2	2	0	0	0	0	6	0	2	6	4	0
SP116564	4	2	1	0	7	2	4	11	2	0	6	6	1	0
SP116571	2	1	3	0	10	3	1	0	2	0	3	1	0	0
SP116393	0	0	0	0	0	0	0	2	0	0	0	0	0	0
SP116442	0	0	2	0	0	0	0	0	0	0	0	2	0	0
SP116446	1	0	0	0	1	3	0	4	0	0	1	0	0	0
SP116419	1	2	26	0	10	13	1	0	20	4	0	16	38	0
SP116383	48	127	40	3	106	26	43	0	21	0	23	52	0	14
SP116385	51	27	17	0	13	6	16	11	5	14	12	44	0	10
SP116440	24	14	0	0	15	23	5	0	19	21	3	44	10	1
SP116450	84	117	35	3	43	15	0	0	23	48	17	41	18	0
SP116493	24	0	14	0	2	18	2	0	4	9	3	5	0	2
SP116391	13	0	0	0	18	9	0	0	1	0	0	0	33	0
SP116401	11	19	7	1	2	10	0	0	5	0	6	4	0	1
SP116409	35	10	14	0	13	0	2	0	8	0	17	33	4	8
SP116416	1	0	6	0	3	12	2	0	1	0	2	0	2	2
SP116424	2	3	5	0	1	0	2	0	7	0	4	10	0	0
SP116515	0	17	23	1	9	13	12	6	10	0	1	2	0	0
SP116499	10	9	55	6	39	0	18	2	8	0	2	0	7	2
SP116505	141	4	28	2	67	0	7	0	2	4	2	12	5	4
SP116509	13	18	38	2	37	18	16	0	8	16	4	8	0	4
SP116437	6	8	13	0	3	13	0	0	12	0	0	7	3	0
SP116512	29	18	77	0	17	0	6	0	4	0	193	25	17	0
SP116465	3	0	2	1	40	0	10	0	1	0	48	85	0	2
SP116496	45	143	47	0	39	111	43	0	18	0	20	34	43	9
SP116525	20	42	49	0	34	59	4	0	10	0	6	26	4	0
SP116481	9	0	5	1	4	0	2	0	0	0	0	0	20	0
SP116586	2	4	23	0	4	15	9	0	3	4	2	7	0	2
SP116528	170	29	24	0	16	32	6	16	7	50	13	9	0	3
SP116589	60	72	90	7	41	0	42	0	13	55	6	8	1	0
SP116406	7	14	38	0	24	0	3	5	0	4	9	13	0	0
SP116484	3	0	15	2	4	0	0	0	1	0	3	2	13	0
SP116453	7	10	25	1	7	12	0	0	2	18	5	9	0	3
SP116469	22	155	70	0	10	58	35	0	22	0	31	10	8	11
SP116578	14	341	30	0	22	82	120	0	22	28	30	22	6	2
SP116531	32	0	18	0	4	9	2	0	6	18	7	2	0	0
SP116593	2	0	35	1	4	1	0	0	7	7	0	5	0	0
SP116487	4	2	2	0	1	0	5	0	0	6	3	0	7	0
SP116456	2	0	4	0	2	12	0	0	4	0	1	4	5	15
SP116472	39	17	23	3	52	3	35	0	4	4	5	25	16	13
SP116518	111	16	118	3	141	24	11	5	6	88	15	29	0	0
SP116412	24	5	36	0	26	0	0	0	6	0	4	1	0	1
SP116534	9	10	9	0	16	12	14	0	5	0	0	5	8	1
SP116596	21	71	61	0	9	31	17	0	38	0	17	11	111	11
SP116490	21	0	39	0	44	0	18	0	7	15	3	10	0	0
SP116459	30	19	39	1	30	19	7	0	3	0	12	13	27	1
SP116475	32	2	30	0	21	3	1	0	4	2	0	13	2	3
SP116520	20	15	76	0	35	20	9	0	14	0	5	7	51	0
SP116431	52	21	98	4	27	2	1	0	16	6	20	6	18	13
SP116582	104	46	51	0	51	44	37	0	6	0	6	12	25	11
SP116599	37	0	17	0	53	19	1	4	8	0	7	0	12	1
SP116478	22	0	73	2	32	0	5	0	1	0	4	4	20	6
SP116462	26	5	4	0	15	10	3	0	3	0	5	6	25	0
SP116523	41	11	8	0	25	5	3	0	2	4	0	0	26	2
SP116434	5	10	0	0	1	2	0	0	1	7	1	0	0	0
SP122725	68	28	32	0	45	25	15	6	4	3	34	15	20	0
SP122476	13	17	61	7	15	17	27	0	26	12	7	1	76	0
SP122372	0	140	51	0	0	36	4	0	34	0	15	7	0	0
SP122489	30	5	42	0	21	48	4	0	9	0	8	5	2	7
SP122560	40	20	13	1	20	0	12	0	0	3	4	0	60	10
SP122590	12	22	55	0	22	8	5	0	5	6	7	8	41	2
SP122714	14	16	39	0	7	18	7	12	1	0	6	24	0	4
SP121870	45	0	30	1	54	45	8	0	10	9	10	13	0	1
SP123010	64	30	25	1	15	39	7	0	0	27	15	53	0	2
SP121865	15	35	41	3	30	36	4	0	13	16	10	11	0	0
SP122676	128	7	77	4	38	0	17	0	18	16	11	7	45	3
SP122412	14	26	20	4	3	28	18	0	4	41	9	21	0	0
SP122392	123	65	125	4	68	57	162	0	15	5	39	88	0	9
SP122634	27	28	28	0	21	29	10	0	9	0	12	17	29	7
SP122702	29	0	53	7	22	47	9	0	41	0	15	1	52	0
