Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP85623	7	0	6	0	0	19	0	0	0	31	5
SP85491	2	0	0	0	0	19	7	0	18	52	0
SP87582	1	0	0	0	14	0	21	12	0	0	15
SP89090	2	12	4	0	0	11	0	7	0	36	0
SP85511	0	0	7	17	26	0	0	0	77	27	3
SP85952	0	8	0	0	0	0	0	0	46	0	1
SP85840	7	2	0	0	0	8	0	1	35	21	18
SP87675	0	9	0	11	0	7	0	15	13	0	12
SP85836	0	9	1	6	0	19	0	32	0	79	9
SP120767	6	0	5	0	0	5	25	46	45	2	4
SP105708	13	5	0	0	0	30	0	0	36	1	11
SP85818	0	0	0	0	0	0	0	0	0	0	2
SP105922	2	0	0	0	0	17	0	42	0	0	0
SP86118	11	0	0	3	0	49	0	0	29	0	2
SP86306	6	10	0	0	74	59	0	0	0	10	0
SP87099	18	0	1	0	21	33	0	19	0	0	11
SP87434	5	9	0	0	0	0	0	0	23	24	9
SP85864	0	4	2	3	0	0	0	0	0	0	15
SP105807	5	13	2	0	0	21	0	24	0	39	0
SP89291	3	7	0	0	0	20	0	13	0	0	9
SP88050	0	11	0	0	0	23	0	0	0	0	8
SP88593	3	5	0	0	0	7	0	16	23	0	18
SP88158	1	2	0	0	0	18	0	6	0	0	2
SP87534	5	1	2	0	102	0	21	5	17	18	14
SP88776	0	10	0	0	0	0	0	57	18	17	1
SP85725	0	12	0	4	0	0	0	0	0	68	0
SP86660	0	14	0	4	36	0	0	62	28	0	18
SP87903	0	7	0	0	0	2	0	0	16	23	0
SP88098	0	6	0	0	0	9	98	7	1	0	0
SP85487	0	46	0	28	75	0	0	0	74	11	7
SP105759	11	0	2	0	6	0	0	3	26	2	10
SP86775	0	0	2	0	0	0	0	0	4	11	3
SP88322	2	18	0	0	0	41	0	17	0	15	0
SP85582	5	13	2	0	0	0	0	27	11	8	21
SP87446	0	1	0	16	117	38	0	4	0	0	25
SP87337	2	1	0	0	0	0	0	30	0	2	5
SP86929	2	5	4	0	57	38	23	10	0	15	3
SP86130	7	7	1	0	0	0	0	8	12	18	20
SP86425	18	11	0	0	0	107	0	0	0	0	0
SP85495	4	0	0	0	0	1	3	4	0	1	16
SP85787	0	0	3	0	0	0	0	11	8	0	19
SP86836	0	0	0	0	0	0	0	0	0	0	16
SP89245	0	2	0	7	0	0	0	16	0	7	0
SP86989	0	1	0	13	0	11	41	38	36	0	11
SP88757	0	3	4	0	0	0	4	48	0	0	0
SP85733	5	0	5	0	0	49	0	28	6	0	6
SP85737	0	0	1	0	0	0	0	0	23	0	1
SP85647	2	5	0	0	0	27	0	0	3	12	18
CPCT02011098T	13	38	70	0	0	0	33	0	0	34	0
WIDE01010618T	0	766	70	139	0	12	0	23	4	0	2
WIDE01010310T	0	32	65	607	0	0	0	53	0	0	0
CPCT02080230T	9	118	185	0	13	15	0	0	3	46	0
CPCT02010914T	4	10	157	0	49	0	0	0	0	9	1
DRUP01010057T	20	30	206	140	0	4	267	0	16	0	18
CPCT02010635T	69	0	485	52	0	32	107	0	0	0	4
WIDE01010556T	3152	618	156	0	0	0	0	0	0	0	0
WIDE01010540T	0	88	31	74	238	0	70	0	10	0	0
