MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.45E-05	1.01E-04	5.12E-04	3.61E-04	9.94E-04
1:Del:C:1	8.10E-06	4.80E-05	2.56E-04	2.61E-04	6.38E-04
1:Del:C:2	7.22E-06	3.19E-05	1.58E-04	1.21E-04	4.35E-04
1:Del:C:3	6.54E-06	3.62E-05	9.60E-05	9.07E-05	1.45E-04
1:Del:C:4	5.42E-06	5.24E-05	9.74E-05	1.07E-04	4.73E-05
1:Del:C:5	8.73E-06	1.23E-04	1.08E-04	1.98E-04	2.69E-04
1:Del:T:0	9.22E-06	5.21E-05	2.75E-04	2.79E-04	7.56E-04
1:Del:T:1	8.34E-06	3.26E-05	2.36E-04	1.35E-04	7.09E-04
1:Del:T:2	1.18E-05	4.08E-05	1.75E-04	1.72E-04	6.11E-04
1:Del:T:3	2.12E-05	5.66E-05	2.20E-04	2.29E-04	5.81E-04
1:Del:T:4	2.63E-05	9.78E-05	2.14E-04	1.98E-04	3.72E-04
1:Del:T:5	2.17E-04	9.84E-04	7.81E-04	1.21E-03	1.92E-03
1:Ins:C:0	2.18E-05	3.34E-05	1.36E-04	6.69E-05	3.35E-04
1:Ins:C:1	1.54E-05	1.97E-05	8.37E-05	7.81E-05	1.56E-04
1:Ins:C:2	1.36E-05	7.19E-06	6.60E-05	6.97E-05	1.13E-04
1:Ins:C:3	1.50E-05	1.46E-05	5.62E-05	5.64E-05	1.10E-04
1:Ins:C:4	2.31E-05	3.21E-05	4.70E-05	3.43E-05	9.01E-05
1:Ins:C:5	7.27E-05	9.08E-05	2.50E-05	3.55E-05	1.69E-04
1:Ins:T:0	3.34E-05	4.74E-05	1.64E-04	3.72E-05	5.07E-04
1:Ins:T:1	2.63E-05	9.89E-07	1.58E-04	1.79E-04	2.74E-04
1:Ins:T:2	2.60E-05	4.09E-05	7.82E-05	6.44E-05	1.42E-04
1:Ins:T:3	3.19E-05	3.71E-05	7.19E-05	7.35E-05	1.19E-04
1:Ins:T:4	5.47E-05	2.03E-05	5.15E-05	2.46E-05	8.99E-05
1:Ins:T:5	2.90E-04	1.13E-03	1.32E-03	8.98E-04	7.42E-04
2:Del:R:0	5.64E-06	3.47E-05	1.99E-04	1.98E-04	3.57E-04
2:Del:R:1	5.39E-06	5.51E-05	2.00E-04	3.78E-04	2.80E-04
2:Del:R:2	4.66E-06	2.88E-05	1.02E-04	1.90E-04	1.70E-04
2:Del:R:3	8.46E-06	3.84E-05	6.76E-05	1.28E-04	1.90E-04
2:Del:R:4	7.52E-06	5.88E-05	7.60E-05	1.60E-04	2.82E-04
2:Del:R:5	0.00E+00	8.98E-05	9.94E-05	2.06E-04	4.54E-04
3:Del:R:0	3.10E-06	1.70E-05	1.12E-04	9.62E-05	2.13E-04
3:Del:R:1	3.07E-06	4.90E-05	1.77E-04	3.96E-04	2.53E-04
3:Del:R:2	5.88E-07	2.45E-05	3.59E-05	1.65E-04	7.55E-05
3:Del:R:3	6.81E-07	1.53E-05	7.66E-06	7.05E-05	6.57E-05
3:Del:R:4	1.72E-06	5.27E-06	2.53E-05	5.83E-05	5.86E-06
3:Del:R:5	1.67E-06	1.51E-05	2.96E-05	5.78E-05	6.39E-05
4:Del:R:0	4.25E-06	5.81E-06	1.26E-04	1.02E-04	2.22E-04
4:Del:R:1	5.07E-07	4.87E-05	1.61E-04	3.89E-04	3.58E-04
4:Del:R:2	5.91E-07	2.39E-05	2.43E-05	1.59E-04	2.32E-04
4:Del:R:3	4.75E-07	2.21E-05	1.30E-05	1.10E-04	1.52E-04
4:Del:R:4	2.44E-06	1.16E-05	1.65E-05	7.70E-05	6.29E-05
4:Del:R:5	1.86E-06	1.18E-05	1.94E-05	6.26E-05	7.57E-05
5:Del:R:0	3.27E-10	3.26E-10	7.41E-04	6.42E-05	8.35E-04
5:Del:R:1	1.23E-06	9.88E-06	1.18E-04	2.18E-04	2.44E-04
5:Del:R:2	5.34E-06	1.41E-05	2.97E-05	6.71E-05	1.09E-04
5:Del:R:3	5.22E-07	8.19E-06	3.90E-05	5.58E-05	4.31E-05
5:Del:R:4	3.03E-07	3.13E-06	9.74E-06	2.33E-05	2.65E-05
5:Del:R:5	1.73E-06	5.55E-06	3.76E-06	1.70E-05	1.43E-05
