Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP112931	11	42	112	0	0	0	42
SP112865	16	83	53	0	48	0	63
SP113003	16	17	148	0	0	0	0
SP113001	31	111	125	0	0	0	0
SP112879	9	31	105	20	7	1	38
SP112945	20	71	250	0	0	0	0
SP112935	16	111	103	20	2	1	8
SP112863	5	228	137	4	28	3	23
SP112983	31	123	166	35	40	4	52
SP112809	38	196	156	0	0	0	73
SP112923	18	96	75	0	62	0	43
SP112853	20	62	90	8	16	1	36
SP113005	5	12	26	12	21	1	20
SP112957	0	61	127	0	47	0	28
SP112783	41	95	93	9	30	1	22
SP112943	8	29	68	0	32	0	18
SP112861	0	14	52	0	116	0	41
SP112917	48	62	148	0	0	0	0
SP112787	15	110	198	0	0	0	50
SP112995	27	73	112	0	63	0	48
SP112811	27	90	122	0	0	0	52
SP112797	26	174	114	12	33	1	22
SP112909	26	82	96	0	60	0	33
SP112781	27	58	136	0	0	0	41
SP112991	36	186	276	0	0	0	0
SP112907	0	1441	0	0	0	0	0
SP112817	305	0	478	0	312	0	0
SP112993	13	75	109	18	39	0	42
SP112827	17	75	96	14	36	0	0
SP112855	22	17	142	0	0	0	0
SP112969	14	12	135	13	51	1	8
SP112883	10	84	44	10	45	6	26
SP112929	26	137	150	0	0	0	66
SP112833	9	23	56	0	26	0	32
SP112777	360	0	0	0	0	0	242
SP112887	13	20	197	15	0	0	0
SP112877	0	0	0	0	19	0	0
SP112871	14	50	113	0	35	0	0
SP112875	15	128	105	22	60	6	46
SP112913	4	30	69	26	68	2	17
SP112849	12	85	205	0	0	0	0
SP112881	0	46	84	0	41	0	34
SP112951	0	4	8	0	14	0	0
SP112845	22	44	112	4	36	3	20
SP114910	107	533	227	0	0	0	0
SP114906	43	382	180	0	0	0	0
SP114921	126	219	703	132	0	0	0
SP114901	62	388	170	38	73	30	214
SP114926	56	311	185	0	0	0	0
SP114974	74	376	223	18	24	1	13
SP114958	501	292	468	0	0	0	0
SP114935	50	287	178	0	0	0	0
SP114900	53	389	159	35	82	26	208
SP114941	104	218	719	164	0	0	0
SP114937	88	230	704	154	0	0	0
SP114945	100	269	712	159	0	0	0
SP114943	112	282	725	156	0	0	0
SP114949	12	406	176	29	13	4	38
SP114960	456	288	445	61	0	0	0
SP114962	45	341	450	1792	0	101	0
SP114996	52	91	439	691	0	68	0
SP114987	50	90	440	745	0	67	0
SP114966	49	369	526	1893	0	127	0
SP114903	59	457	199	20	88	24	176
SP114914	64	482	203	0	0	0	0
SP114944	92	239	717	156	0	0	0
SP114930	57	244	394	55	0	0	0
SP114946	7	408	145	16	28	6	24
SP114951	9	359	162	21	24	9	25
SP114953	432	284	397	65	86	2	17
SP114924	73	152	617	115	0	0	0
SP114957	478	280	458	0	0	0	0
SP114986	74	372	281	0	0	0	0
SP114971	86	376	276	0	0	0	0
SP114991	47	98	442	670	0	69	0
SP114992	44	100	480	780	0	0	0
SP114920	94	531	219	0	0	0	0
SP114898	55	458	156	26	82	32	173
SP114932	45	301	197	0	0	0	0
SP114934	43	273	178	0	0	0	0
SP114968	54	358	549	1932	0	148	0
SP114982	81	350	245	40	0	0	0
SP114973	92	379	259	0	0	0	0
SP114908	54	432	186	0	0	0	0
SP114904	100	497	152	0	0	0	73
SP114918	53	390	198	0	0	0	0
SP114984	84	309	256	0	0	0	0
SP114994	42	98	458	761	0	0	0
SP114978	96	308	279	0	0	0	0
SP114912	93	493	201	0	0	0	0
SP114917	99	529	196	0	0	0	0
SP114980	102	388	261	48	0	0	0
SP114976	97	361	223	44	0	0	0
SP114916	71	484	219	0	0	0	0
SP125579	0	0	1	0	0	0	0
SP111131	28	133	129	21	0	0	0
SP111126	0	0	239	23	0	0	0
SP111146	19	40	143	14	16	4	6
SP111123	14	35	175	21	5	5	12
SP111127	60	142	116	0	0	0	51
SP111121	2	3	16	3	1	2	1
SP111156	6	27	180	0	0	0	0
SP111122	25	103	181	0	0	0	0
SP111129	31	114	250	0	0	0	0
SP111152	31	64	124	14	45	4	2
SP111154	10	115	204	22	27	7	68
SP111124	8	44	78	0	0	0	18
SP111128	14	53	113	0	0	0	0
SP111125	42	203	194	11	23	11	21
SP111130	0	50	81	13	0	0	0
SP106835	9	10	33	5	13	1	4
SP106834	0	25	72	11	0	0	47
SP106825	55	157	261	0	0	0	73
SP106841	3	4	43	11	0	0	18
SP106827	32	115	162	0	0	0	36
SP106833	6	30	69	7	9	1	35
SP106839	26	86	145	0	0	0	38
SP106840	8	29	99	0	0	0	34
SP106828	11	23	65	0	0	0	32
SP106829	37	108	124	0	0	0	44
SP106836	3	2	18	0	0	0	0
SP106837	7	13	75	0	0	0	0
SP80037	19	94	86	0	112	0	0
SP102690	16	46	121	0	0	0	45
SP80213	0	1	0	0	6	0	3
SP79939	0	0	0	3	9	0	11
SP109649	4	0	78	0	0	0	0
SP79988	4	3	19	8	0	0	30
SP80183	7	49	128	0	0	0	0
SP79971	0	53	103	0	32	0	0
SP80217	0	0	0	0	9	0	0
SP79968	14	178	135	17	52	4	24
SP80160	0	8	0	0	8	0	0
SP80244	8	8	35	5	20	1	12
SP79998	0	2	0	0	5	0	0
SP80216	5	0	58	15	0	0	17
SP80042	10	6	62	6	13	6	16
SP79907	22	26	177	7	21	3	8
SP79958	33	118	117	17	21	7	44
SP80205	17	74	78	6	14	1	34
SP80014	0	12	30	0	0	0	23
CPCT02070032T	203	377	145	92	53	80	20
CPCT02060045T	40	114	374	136	0	91	0
CPCT02020310T	126	378	234	47	59	56	80
CPCT02020323T	14621	0	0	0	0	0	0
CPCT02140007T	44	274	175	42	8	92	11
CPCT02140011T	111	201	151	13	70	124	51
CPCT02020348T	131	184	122	19	19	63	40
CPCT02020357T	132	442	386	90	54	92	77
CPCT02020351T	39	187	136	17	67	51	44
CPCT02140020T	317	121	199	56	112	102	98
CPCT02010399T	0	108	530	506	0	77	0
CPCT02020370T	72	75	978	222	0	81	0
CPCT02140023T	52	152	100	18	59	163	32
CPCT02140022T	11525	3605	0	0	0	0	0
CPCT02020378T	108	522	150	50	53	110	41
CPCT02010415T	69	343	259	166	6	155	57
CPCT02070021T	113	511	155	49	14	78	121
