Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP117956	4	15	11	29	44	14	2	8
SP117975	5	23	0	31	18	7	0	4
SP2149	27	18	307	189	13	54	0	0
SP117113	6	125	9	19	25	24	0	1
SP117245	3	22	5	52	45	25	0	7
SP117402	13	21	0	24	36	23	3	0
SP117136	10	65	8	7	48	9	0	5
SP117378	6	38	21	7	34	35	0	0
SP116947	7	31	5	25	42	35	1	8
SP117369	1	29	6	0	8	112	1	0
SP117244	5	54	0	13	8	17	4	3
SP117162	9	13	6	8	35	49	2	4
SP117079	0	22	8	30	41	24	1	2
SP117344	8	69	372	30	37	28	9	23
SP118074	118	191	24	35	46	42	3	21
SP117598	0	34	21	338	48	87	0	13
SP117312	5	30	0	13	55	14	0	3
SP118038	1	62	15	0	25	29	2	6
SP117552	7	23	2	12	23	13	3	8
SP118073	2	49	4	35	36	21	0	5
SP117933	5	22	10	10	24	12	0	1
SP118012	5	22	12	16	50	38	3	7
SP117108	6	48	0	34	25	11	0	0
SP117812	12	16	9	18	17	33	0	4
SP117354	19	59	37	31	42	31	8	15
SP117370	7	67	6	8	32	20	0	4
SP116991	15	44	9	50	25	14	3	13
SP117629	2	15	466	18	51	25	14	15
SP124199	24	65	4	39	33	21	0	0
SP124195	13	93	11	19	32	22	2	0
SP117850	13	30	0	45	18	17	2	1
SP117127	10	55	8	17	26	7	0	14
SP117614	12	10	0	46	45	53	0	13
SP116948	11	113	9	52	65	33	0	9
SP117409	14	39	475	30	81	66	7	16
SP117593	8	37	8	24	50	7	0	13
SP117372	9	21	9	16	25	61	2	0
SP118077	14	23	29	18	59	19	0	6
SP117840	11	90	0	51	21	18	0	10
SP117363	27	87	88	90	41	159	12	0
SP117887	3	25	628	49	110	44	35	7
SP116946	15	42	6	56	34	37	0	1
SP117901	9	25	161	95	0	70	4	0
SP117454	11	39	8	21	52	27	0	0
SP124197	28	35	659	63	61	210	34	5
SP117919	27	39	673	0	63	54	15	15
SP117250	3	44	4	22	32	48	0	0
SP117983	20	77	17	38	28	25	3	5
SP117676	4	14	3	7	41	15	0	0
SP117011	9	42	24	16	35	56	4	0
SP117057	11	26	2	12	20	29	0	0
SP117126	6	62	1	50	51	18	2	4
SP117728	5	72	13	31	26	11	0	1
SP117618	9	45	9	4	15	11	2	6
SP117257	5	18	8	9	27	18	1	4
SP116963	11	28	3	21	28	6	0	4
SP117078	17	148	14	40	62	40	0	0
SP117944	10	36	262	55	45	53	11	0
SP117639	66	74	33	55	105	47	3	6
SP117834	29	53	6	70	58	37	0	8
SP117105	27	77	9	47	39	22	1	3
SP117785	12	7	0	37	52	40	4	0
SP117882	6	42	0	8	44	3	3	2
SP117778	17	85	10	64	68	53	3	4
SP117032	4	52	19	22	47	14	1	7
SP117710	5	22	21	184	79	94	0	2
SP117538	27	58	814	18	79	79	26	25
SP124207	342	303	32	30	52	90	0	0
SP117800	17	51	5	21	38	36	4	0
SP117724	21	71	15	24	63	19	1	0
SP124193	8	16	0	14	23	20	1	0
SP2293	6	47	20	0	16	237	7	0
SP2357	43	27	237	71	20	117	2	11
SP2144	2	18	234	110	0	17	0	0
SP2145	14	44	592	0	62	44	0	23
SP2147	30	114	878	0	63	106	0	5
SP2146	6	8	194	73	2	30	2	1
SP2148	5	17	190	79	6	28	0	0
SP2150	10	35	11	9	51	23	0	2
SP2152	3	44	6	4	29	15	2	0
SP2349	48	56	28	58	84	34	2	4
SP2155	26	33	552	0	78	101	0	0
SP2154	20	23	877	0	146	96	24	32
SP2158	31	103	10	26	47	29	3	0
SP2156	1	13	8	27	24	10	0	9
SP2159	16	37	6	13	21	64	1	2
SP2153	114	311	50	12	123	92	1	0
SP2160	15	48	24	17	48	15	1	6
SP2151	5	17	13	15	18	16	5	0
SP116341	10	17	435	0	25	90	0	13
SP116331	37	213	30	53	33	51	5	0
SP116351	40	55	26	9	99	36	0	0
SP116371	0	83	12	132	248	11	1	9
SP116361	15	9	234	103	0	26	0	0
SP116343	57	104	21	50	100	60	8	6
SP116333	46	86	83	0	62	86	0	0
SP116373	22	2	371	93	0	75	8	12
SP116363	7	3	198	80	0	18	5	0
SP116353	93	359	33	87	127	115	3	27
SP116345	21	127	5	41	102	15	2	0
SP116365	0	1	387	272	0	0	8	0
SP116375	110	152	24	38	96	68	2	7
SP116335	62	31	81	22	312	0	1	0
SP116355	7	4	172	117	0	71	2	0
SP116347	5	48	9	20	39	28	0	7
SP116367	48	51	60	75	56	95	2	7
SP116339	33	201	14	40	55	48	2	0
SP116349	9	47	13	34	61	20	3	13
SP116357	11	0	184	103	0	34	0	0
SP116359	10	15	357	180	0	53	5	10
SP116369	55	123	913	45	79	78	29	21
SP116377	54	160	42	39	134	117	5	16
SP116379	30	114	21	47	64	16	0	0
SP7692	166	209	76	47	222	111	10	0
SP5052	14	0	858	502	0	116	26	0
SP7785	55	264	638	4	107	159	21	0
SP3415	12	19	224	95	31	62	3	15
SP2799	11	60	18	26	42	33	1	4
SP9979	7	7	10	59	40	24	2	9
SP5393	104	92	51	33	252	53	0	0
SP11292	0	4	89	34	2	24	0	4
SP13036	227	311	35	96	148	102	0	36
SP7421	55	94	62	58	76	69	0	30
SP4875	25	15	562	296	153	68	19	0
SP8795	107	358	41	41	191	49	5	14
SP4820	37	82	923	6	129	88	49	38
SP4593	16	25	6	53	31	30	1	2
SP8085	48	71	24	21	120	29	4	5
SP11235	38	78	23	16	48	23	2	14
SP6730	63	223	19	80	78	27	0	10
SP10635	6	37	4	36	16	36	3	7
SP5381	7	21	11	6	53	9	2	0
SP10084	93	30	59	69	219	203	2	3
SP9251	18	35	28	41	53	56	1	0
SP3016	92	66	196	26	220	59	7	47
SP11045	5	34	14	17	25	20	0	3
SP2826	18	25	82	193	0	0	9	0
SP11171	10	32	255	174	0	31	8	18
SP5784	71	90	43	56	88	106	1	0
SP8564	30	82	38	55	174	52	2	3
SP5844	91	81	33	61	239	51	5	22
SP6519	10	61	28	30	43	16	3	1
SP6766	7	47	36	19	29	30	7	11
SP5448	43	141	9	64	73	74	6	19
SP12049	29	0	852	433	0	72	5	0
SP2714	37	23	638	314	0	66	15	21
SP2801	33	111	32	105	126	65	0	2
SP8891	33	38	402	83	27	64	0	19
SP9481	12	31	5	48	37	10	1	0
SP5808	61	159	321	148	96	80	10	0
SP6429	68	43	378	136	88	52	29	23
SP5017	56	326	14	44	39	37	0	16
SP8229	22	65	16	53	40	39	0	14
SP8157	10	29	50	24	80	16	1	3
SP5279	230	230	50	44	227	84	2	0
SP8660	9	30	629	14	78	34	7	10
SP11878	16	42	32	66	73	85	3	13
SP9433	25	52	16	8	46	66	1	0
SP2881	118	198	66	53	93	221	19	16
SP7378	29	37	33	44	37	17	2	0
SP9816	12	11	323	318	0	54	7	11
SP4265	11	27	96	85	14	35	2	3
SP2793	149	177	1210	308	6	18	37	18
SP6825	209	380	93	73	164	59	0	1
SP4523	27	127	22	47	30	57	3	0
SP9930	35	36	485	215	0	43	8	0
SP5820	18	155	0	50	67	45	1	5
SP10470	17	0	518	172	0	70	3	14
SP9648	21	11	509	216	0	100	25	147
SP4535	6	17	13	55	41	35	0	10
SP11808	51	124	0	53	60	34	9	9
SP96163	10	22	500	209	0	4	0	0
SP11948	0	43	541	319	0	0	4	0
SP4557	10	92	32	41	87	29	3	16
SP96147	18	45	10	59	48	69	3	4
SP10150	116	125	24	24	102	66	1	0
SP4472	15	54	547	191	0	0	9	2
SP6813	42	96	42	25	127	99	6	3
SP96511	32	12	929	0	79	129	11	19
SP5636	44	98	13	28	65	11	1	6
SP5559	2	53	31	170	1016	0	1	0
SP3631	7	43	12	35	28	192	6	0
SP5473	98	58	54	60	92	99	3	18
SP8394	36	50	2	54	88	53	4	9
SP6115	18	79	12	40	41	33	5	16
SP7291	42	103	10	53	89	2	8	12
SP2997	10	64	26	43	52	42	7	0
SP8831	57	155	1592	0	91	0	39	112
SP2731	14	62	15	26	30	42	2	0
SP6223	14	31	224	172	27	64	0	19
SP7171	35	87	18	57	94	48	0	16
SP10563	22	114	20	45	49	48	2	0
SP8987	43	91	758	61	83	60	5	19
SP5980	24	0	677	340	0	56	10	4
SP12186	49	62	11	28	62	61	2	0
SP10944	51	104	44	74	111	116	7	0
SP2766	25	25	470	206	0	54	6	0
SP6673	51	154	1482	166	183	255	93	14
SP117698	17	62	18	44	37	31	0	2
SP124201	10	24	0	218	39	85	0	0
SP2143	5	17	0	48	24	10	5	3
SP124191	3	59	3	47	26	25	0	9
SP117247	4	72	17	44	30	31	3	0
SP117362	10	64	26	31	25	5	0	11
SP117470	24	29	579	3	68	34	6	9
SP117586	4	22	12	19	26	23	3	0
SP117709	12	32	4	35	34	31	1	7
SP2157	6	13	1	19	6	6	1	1
SP3368	37	110	27	37	48	14	4	0
SP5666	17	70	11	24	36	54	0	0
SP2781	13	43	11	37	42	26	0	5
SP8532	19	53	25	35	45	60	2	1
SP12856	6	38	23	0	16	138	5	0
SP7456	12	98	20	36	55	36	5	0
CPCT02100011T	5	120	0	58	46	24	69	20
CPCT02020314T	30	118	18	52	101	43	54	38
CPCT02080016T	23	152	34	25	94	24	34	28
CPCT02010359T	169	114	941	310	24	60	127	33
CPCT02020322T	37	65	24	11	47	65	28	0
CPCT02010351T	75	164	317	305	88	100	79	25
CPCT02110004T	12	96	40	69	48	32	73	9
CPCT02040031T	137	231	129	78	148	80	41	40
CPCT02020341T	28	71	22	35	65	22	41	31
CPCT02080025T	67	119	39	462	140	166	91	27
CPCT02080022T	4	36	10	29	59	46	45	16
CPCT02100017T	101	216	82	57	177	59	115	7
CPCT02100021T	80	126	16	107	86	46	117	29
CPCT02020345T	34	94	16	79	27	27	111	0
CPCT02020344T	31	115	41	0	80	235	127	0
CPCT02020347T	38	181	9	36	42	45	90	16
CPCT02100020T	27	94	353	202	0	25	163	39
CPCT02100024T	39	178	22	55	102	105	76	27
CPCT02100023T	47	119	25	88	46	111	113	19
CPCT02080027T	19	119	55	40	45	30	60	56
CPCT02160001T	27	117	28	34	30	119	44	33
CPCT02160003T	549	72	1808	139	97	258	169	118
CPCT02160004T	446	598	52	52	141	89	89	45
CPCT02030261T	81	106	52	212	100	84	58	11
CPCT02040035T	34	91	9	36	69	38	52	39
CPCT02160005T	33	74	40	156	40	91	61	25
CPCT02100027T	58	79	8	34	45	46	35	15
CPCT02010401T	24	64	34	37	70	17	70	16
CPCT02030265T	25	110	15	11	38	103	22	6
CPCT02080031T	1	37	9	58	22	17	117	0
CPCT02030264T	4	30	5	15	50	17	60	13
CPCT02100028T	29	76	30	10	53	45	45	22
CPCT02100029T	61	73	64	160	115	74	90	18
CPCT02020371T	27	67	37	84	68	86	42	14
CPCT02020369T	30	158	1127	0	73	66	144	82
CPCT02040036T	12	169	96	103	65	147	50	47
CPCT02080036T	143	32	266	637	229	200	114	38
CPCT02030271T	198	357	67	51	71	26	193	95
CPCT02020377T	29	25	30	115	77	41	60	17
CPCT02030274T	43	125	15	26	96	42	71	15
CPCT02010419T	107	117	1335	0	146	29	152	34
CPCT02050053T	181	278	61	47	112	128	95	49
CPCT02050060T	124	273	40	98	77	45	59	23
CPCT02030276T	27	155	58	129	128	42	79	31
CPCT02020382T	29	105	1299	0	139	33	89	49
CPCT02020385T	292	338	310	105	164	149	64	169
CPCT02190002T	38	70	39	86	67	55	23	13
CPCT02080039T	22	203	64	177	68	62	59	18
CPCT02040047T	101	424	106	59	98	224	58	50
CPCT02080047T	34	226	64	122	81	26	51	246
CPCT02010422T	46	315	953	31	190	73	215	40
CPCT02060011T	133	157	29	39	115	60	59	17
CPCT02010434T	52	237	48	220	40	117	66	6
CPCT02080049T	293	224	50	29	148	55	68	21
CPCT02020401T	185	450	109	256	78	48	64	36
CPCT02160008T	13	27	8	11	26	9	32	1
CPCT02040055T	95	124	97	257	87	171	71	33
CPCT02160012T	152	76	75	47	160	130	148	0
CPCT02030289T	208	669	64	131	71	516	81	0
CPCT02050071T	41	95	26	43	125	53	59	26
CPCT02050074T	38	109	22	18	60	55	61	30
CPCT02050082T	18	94	10	62	37	15	62	17
CPCT02080053T	1	114	21	39	41	76	60	7
CPCT02300001T	17	153	12	64	65	18	26	23
CPCT02010382TII	11	48	4	9	42	26	21	5
CPCT02340049T	137	151	108	99	74	44	179	93
CPCT02160058T	61	147	23	103	164	199	39	89
CPCT02010720T	3	53	0	41	38	8	85	6
CPCT02470003T	26	61	18	23	40	29	28	28
CPCT02210076T	94	214	46	53	98	32	64	48
CPCT02120087T	132	109	57	46	176	32	79	42
CPCT02030447T	39	36	61	316	30	16	530	0
CPCT02011013T	55	78	53	77	96	136	56	76
DRUP01120002T	115	172	29	0	118	119	103	419
CPCT02230120T	19	113	24	17	76	28	23	40
CPCT02070424T	142	261	18	12	77	63	34	30
CPCT02011030T	43	121	14	30	62	40	29	27
CPCT02180050T	62	137	15	61	35	11	158	26
CPCT02460005T	19	33	536	224	0	9	73	42
CPCT02030448T	43	60	28	21	97	73	52	20
CPCT02010726T	10	94	18	31	54	36	51	16
CPCT02380034T	9	51	26	59	106	44	77	27
CPCT02080285T	12	91	37	54	75	100	30	40
