Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP117216	144	186	15	66	19	71	0	0	32	12
SP125784	64	103	31	99	47	18	1	33	0	2
SP117323	190	287	33	218	30	72	0	66	9	6
SP118046	138	457	13	87	34	23	0	0	1	12
SP77888	11	43	17	64	0	25	1	0	0	3
SP125766	43	178	0	0	0	88	0	41	154	5
SP125737	63	137	50	163	22	42	2	25	11	7
SP125763	143	595	31	138	145	44	40	54	0	9
SP125802	80	190	15	72	67	22	1	31	0	4
SP117656	53	139	169	146	0	44	14	0	0	8
SP77872	3	49	4	21	0	29	0	0	22	6
SP117309	94	476	12	28	44	107	4	0	0	13
SP117201	151	338	36	104	41	50	0	0	0	14
SP125685	57	190	9	53	0	75	0	32	18	9
SP117463	184	212	12	48	91	37	0	8	8	5
SP117568	163	316	21	160	15	47	0	37	20	9
SP125717	133	148	8	47	25	36	29	23	0	8
SP125707	0	0	2	0	0	0	10	16	0	0
SP125794	65	343	3	60	27	44	8	22	11	10
SP125756	163	92	510	116	0	80	53	30	139	1
SP117441	68	183	11	78	49	81	8	0	2	8
SP125780	108	302	17	96	99	16	6	53	0	0
SP125764	197	450	969	78	58	76	26	6	4	10
SP117690	65	161	8	50	24	69	7	2	0	1
SP125742	20	144	105	111	9	156	28	26	0	0
SP125804	38	281	735	142	27	128	84	9	71	11
SP125695	34	131	31	40	18	65	1	40	9	7
SP77986	9	25	12	23	0	28	7	3	0	2
SP125689	106	473	71	154	98	122	4	5	65	18
SP117523	33	218	18	70	50	42	7	7	4	8
SP125694	66	219	30	36	78	45	12	21	24	0
SP125745	54	191	8	67	42	28	0	0	0	1
SP117001	85	202	9	36	37	83	3	0	7	4
SP117949	367	283	25	58	62	60	2	49	9	0
SP117653	41	87	9	38	24	50	0	2	0	7
SP117522	43	228	19	67	65	45	8	0	2	10
SP125710	43	249	21	46	43	30	8	40	0	25
SP117214	87	317	28	61	31	72	2	3	2	4
SP125768	359	764	30	107	66	42	2	72	0	10
SP117722	92	196	8	50	28	68	3	8	28	14
SP125699	245	167	10	72	32	101	0	7	0	0
SP125771	269	490	48	325	164	0	20	57	40	18
SP125719	32	127	11	100	0	23	0	0	22	6
SP117648	23	78	25	80	30	45	5	0	0	12
SP125760	59	159	18	40	27	56	2	42	2	5
SP125770	6910	7949	987	0	5796	0	0	0	0	90
SP77956	0	10	0	0	12	4	0	0	0	5447
SP125785	120	132	27	55	0	60	6	36	38	0
SP125706	70	286	738	123	0	42	50	33	72	0
SP125705	142	186	13	73	7	56	0	0	20	0
SP125715	4	27	7	44	7	11	3	24	0	0
SP116962	20	122	14	9	10	70	4	0	29	11
SP117660	51	245	27	45	61	50	13	0	37	5
SP117643	139	234	1049	96	109	96	22	0	0	10
SP125713	177	135	1098	251	39	140	16	44	8	0
SP117760	50	147	20	67	61	28	7	16	0	4
SP116968	67	452	25	66	25	56	2	0	0	4
SP125775	39	143	12	47	50	14	10	47	20	10
SP125731	50	222	19	73	8	11	0	0	59	5
SP125733	61	202	11	64	14	0	7	35	27	13
