MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	2.24E-04	1.52E-04	1.62E-03	5.44E-04	2.97E-04	1.35E-03	3.57E-04	1.09E-03	1.32E-03	6.58E-04	1.32E-03	2.74E-03	4.58E-04	7.91E-04	3.00E-03
1:Del:C:1	1.14E-04	2.78E-05	6.08E-04	6.06E-04	2.46E-04	3.45E-04	2.03E-04	4.37E-04	8.51E-04	3.60E-04	4.57E-04	1.57E-03	4.21E-04	4.36E-04	4.78E-03
1:Del:C:2	8.13E-05	5.68E-05	3.31E-04	2.16E-04	8.16E-05	1.12E-04	6.59E-05	1.48E-04	3.28E-04	1.74E-04	3.03E-04	1.65E-03	1.25E-04	3.71E-04	4.57E-03
1:Del:C:3	2.59E-04	2.29E-04	1.15E-03	1.56E-04	7.35E-05	1.43E-04	3.85E-05	2.02E-04	2.90E-04	7.87E-05	1.59E-04	5.37E-04	1.99E-04	1.83E-04	1.53E-03
1:Del:C:4	6.71E-04	8.70E-04	3.61E-03	7.11E-05	6.99E-05	2.41E-05	4.73E-05	1.09E-04	9.49E-04	6.59E-05	6.18E-05	3.45E-04	1.32E-04	1.23E-04	1.15E-03
1:Del:C:5	9.71E-04	2.13E-03	5.69E-03	4.35E-04	1.44E-04	4.86E-04	7.61E-05	7.94E-05	2.14E-03	5.75E-05	2.55E-04	8.66E-05	2.82E-05	5.65E-05	6.23E-04
1:Del:T:0	1.00E-04	8.02E-05	8.91E-03	3.01E-04	2.93E-03	5.63E-03	4.20E-04	6.50E-03	9.77E-03	6.47E-03	8.26E-03	8.57E-04	7.54E-04	8.21E-04	9.03E-03
1:Del:T:1	1.18E-04	5.14E-05	8.26E-04	2.98E-04	2.25E-04	7.51E-04	1.75E-04	1.58E-03	2.00E-03	2.33E-03	8.21E-04	6.75E-04	5.31E-04	7.86E-04	7.91E-04
1:Del:T:2	7.45E-04	1.35E-04	2.64E-03	2.10E-03	5.87E-04	5.82E-04	1.19E-04	5.79E-04	4.06E-03	2.87E-03	8.30E-04	4.74E-04	4.09E-04	4.80E-04	6.72E-04
1:Del:T:3	1.76E-03	6.11E-04	4.24E-03	2.77E-03	7.09E-04	7.77E-04	1.57E-04	9.46E-04	6.72E-03	5.98E-03	7.79E-04	4.04E-04	2.68E-04	6.36E-04	8.81E-04
1:Del:T:4	3.06E-03	1.43E-03	8.76E-03	3.24E-03	1.01E-03	2.26E-04	1.75E-04	1.10E-03	5.80E-03	3.25E-03	7.79E-04	2.83E-04	3.79E-04	1.58E-04	3.76E-04
1:Del:T:5	9.74E-03	1.04E-02	1.01E-02	8.31E-03	2.78E-03	6.96E-03	2.69E-03	6.19E-03	1.73E-02	5.93E-03	3.84E-03	5.18E-03	2.33E-03	1.77E-03	2.94E-03
1:Ins:C:0	4.48E-05	5.40E-05	3.45E-04	1.00E-03	6.40E-04	8.00E-04	3.47E-03	4.25E-04	9.50E-04	5.75E-04	4.75E-04	1.13E-03	2.86E-04	1.71E-04	2.55E-04
1:Ins:C:1	3.01E-05	1.54E-05	3.13E-04	1.71E-04	8.95E-05	4.00E-04	1.27E-04	2.54E-04	3.36E-04	1.11E-04	4.66E-04	9.50E-05	1.71E-04	1.37E-04	3.95E-04
1:Ins:C:2	9.99E-06	1.01E-05	9.61E-05	7.52E-05	5.59E-05	1.26E-04	3.68E-05	1.36E-04	1.11E-04	4.67E-05	2.31E-04	8.76E-05	1.22E-04	1.20E-04	1.33E-04
1:Ins:C:3	3.96E-05	1.21E-05	2.14E-04	1.10E-04	7.62E-05	2.72E-04	3.90E-05	1.68E-04	2.33E-04	1.17E-04	2.20E-04	7.93E-05	1.23E-04	6.27E-05	1.90E-04
1:Ins:C:4	1.23E-04	1.02E-04	5.43E-04	2.92E-04	8.76E-05	3.05E-04	3.86E-05	1.50E-04	3.64E-04	4.12E-05	2.05E-04	4.71E-05	9.17E-05	8.78E-05	1.39E-04
1:Ins:C:5	2.19E-04	3.35E-04	1.26E-03	2.89E-03	8.91E-04	1.19E-03	1.22E-04	3.17E-04	2.78E-03	2.88E-04	1.52E-03	1.68E-04	3.42E-04	3.30E-04	4.48E-04
1:Ins:T:0	1.01E-04	7.30E-05	6.62E-04	4.37E-04	1.87E-04	1.45E-03	2.74E-04	5.57E-04	7.31E-04	4.29E-04	9.84E-04	5.42E-04	4.93E-04	2.80E-04	7.50E-04
1:Ins:T:1	6.36E-05	2.49E-05	1.41E-03	2.36E-04	2.79E-04	1.17E-03	2.18E-04	1.26E-03	1.36E-03	5.26E-04	2.07E-03	9.16E-04	3.39E-04	1.18E-04	1.78E-03
1:Ins:T:2	1.57E-04	1.02E-04	7.49E-04	2.33E-04	1.70E-04	7.88E-04	1.59E-04	8.21E-04	6.90E-04	2.31E-04	1.27E-03	1.01E-03	8.97E-05	1.54E-04	1.99E-03
