MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.35E-04	5.43E-05	4.35E-04	6.48E-04	7.92E-04
1:Del:C:1	6.34E-04	3.99E-05	3.39E-04	5.12E-04	1.07E-03
1:Del:C:2	2.49E-04	3.24E-05	2.29E-04	3.18E-04	4.86E-04
1:Del:C:3	1.23E-04	4.11E-05	2.90E-04	2.41E-04	3.84E-04
1:Del:C:4	6.09E-05	5.30E-05	2.65E-04	2.18E-04	1.62E-04
1:Del:C:5	3.42E-05	1.19E-04	1.87E-04	1.27E-04	1.73E-04
1:Del:T:0	1.24E-03	4.23E-05	3.80E-04	6.31E-04	1.77E-03
1:Del:T:1	3.25E-04	4.32E-05	4.10E-04	4.88E-04	1.20E-03
1:Del:T:2	2.30E-04	4.78E-05	4.51E-04	7.16E-04	1.41E-03
1:Del:T:3	4.13E-04	6.56E-05	3.35E-04	6.86E-04	1.36E-03
1:Del:T:4	2.56E-04	9.93E-05	3.39E-04	3.77E-04	7.73E-04
1:Del:T:5	3.31E-04	1.65E-03	3.83E-04	2.46E-05	1.09E-03
1:Ins:C:0	4.01E-05	2.49E-05	3.93E-04	4.60E-04	7.73E-04
1:Ins:C:1	7.41E-05	1.65E-05	1.52E-04	2.08E-04	2.75E-04
1:Ins:C:2	7.40E-05	1.40E-05	5.72E-05	1.24E-04	1.77E-04
1:Ins:C:3	2.37E-05	1.66E-05	1.43E-04	7.69E-05	1.90E-04
1:Ins:C:4	1.61E-05	2.62E-05	1.20E-04	1.05E-04	1.36E-04
1:Ins:C:5	2.58E-05	7.49E-05	3.11E-04	2.40E-04	2.66E-04
1:Ins:T:0	4.98E-05	3.02E-05	3.93E-04	3.21E-04	5.27E-04
1:Ins:T:1	1.15E-04	3.29E-05	2.99E-04	4.86E-04	4.86E-04
1:Ins:T:2	2.55E-04	4.61E-05	2.67E-04	2.74E-04	7.01E-04
1:Ins:T:3	1.88E-04	4.63E-05	2.98E-04	2.53E-04	4.27E-04
1:Ins:T:4	1.16E-04	5.33E-05	3.08E-04	1.66E-04	2.76E-04
1:Ins:T:5	2.89E-04	1.56E-03	6.49E-03	1.59E-03	1.65E-03
2:Del:R:0	1.28E-04	2.56E-05	7.62E-05	3.67E-04	3.95E-04
2:Del:R:1	4.53E-04	6.37E-05	4.36E-04	7.99E-04	8.72E-04
2:Del:R:2	1.51E-04	3.84E-05	2.31E-04	2.97E-04	3.52E-04
2:Del:R:3	3.39E-05	2.70E-05	1.26E-04	1.60E-04	1.41E-04
2:Del:R:4	8.64E-06	2.65E-05	9.95E-05	5.51E-05	1.29E-04
2:Del:R:5	4.94E-06	4.47E-05	1.77E-04	1.19E-04	3.10E-04
3:Del:R:0	5.97E-05	1.32E-05	6.68E-05	1.99E-04	2.43E-04
3:Del:R:1	5.31E-05	6.19E-05	2.79E-04	7.25E-04	3.87E-04
3:Del:R:2	2.52E-05	3.12E-05	1.13E-04	2.14E-04	5.80E-05
3:Del:R:3	1.01E-05	1.79E-05	8.55E-05	1.06E-04	7.33E-05
3:Del:R:4	6.68E-06	7.38E-06	3.24E-05	5.88E-05	2.69E-05
3:Del:R:5	3.73E-06	1.16E-05	3.86E-05	4.78E-05	4.10E-05
4:Del:R:0	5.06E-05	1.67E-05	6.00E-05	1.87E-04	2.05E-04
4:Del:R:1	5.24E-05	4.61E-05	1.91E-04	8.28E-04	4.05E-04
4:Del:R:2	9.14E-06	1.98E-05	1.26E-04	2.42E-04	1.53E-04
4:Del:R:3	9.78E-06	1.31E-05	8.73E-05	1.26E-04	1.02E-04
4:Del:R:4	4.82E-06	1.12E-05	6.15E-05	8.13E-05	6.11E-05
4:Del:R:5	8.47E-07	7.57E-06	3.05E-05	1.72E-05	4.06E-05
5:Del:R:0	4.84E-04	6.21E-06	9.69E-04	6.46E-04	1.40E-03
5:Del:R:1	2.67E-05	2.08E-05	1.64E-04	3.50E-04	2.65E-04
5:Del:R:2	3.34E-06	9.00E-06	4.23E-05	8.15E-05	6.42E-05
5:Del:R:3	2.54E-06	4.53E-06	1.01E-05	4.87E-05	8.62E-06
5:Del:R:4	4.88E-10	1.46E-06	1.15E-05	9.24E-06	1.91E-05
5:Del:R:5	2.89E-07	4.15E-06	5.66E-06	7.94E-07	1.36E-06
2:Ins:R:0	7.20E-05	3.05E-05	5.17E-04	3.82E-04	9.50E-04
2:Ins:R:1	1.89E-04	2.44E-05	2.16E-04	1.84E-04	3.39E-04
2:Ins:R:2	8.65E-05	1.75E-05	1.45E-04	1.00E-04	1.70E-04
2:Ins:R:3	2.26E-05	1.15E-05	5.31E-05	8.66E-05	1.16E-04
2:Ins:R:4	8.39E-06	2.88E-05	1.12E-04	8.28E-05	1.31E-04
2:Ins:R:5	0.00E+00	7.46E-05	3.57E-04	3.68E-09	2.64E-04
3:Ins:R:0	4.40E-05	1.44E-05	1.83E-04	2.33E-04	3.34E-04
3:Ins:R:1	7.46E-05	7.02E-06	1.21E-04	1.57E-04	1.88E-04
3:Ins:R:2	2.17E-05	5.37E-06	1.76E-05	4.73E-05	5.46E-05
3:Ins:R:3	2.91E-06	1.30E-06	4.29E-06	3.17E-05	2.22E-05
3:Ins:R:4	1.38E-06	6.00E-06	1.85E-05	1.51E-05	1.21E-05
3:Ins:R:5	0.00E+00	1.77E-05	6.59E-05	4.24E-05	5.99E-05
4:Ins:R:0	2.95E-05	1.89E-05	3.20E-04	2.01E-04	5.41E-04
4:Ins:R:1	3.46E-05	8.76E-06	9.88E-05	1.37E-04	1.37E-04
4:Ins:R:2	9.00E-06	5.85E-06	3.37E-05	4.34E-05	4.72E-05
4:Ins:R:3	1.27E-11	5.02E-06	3.82E-05	2.51E-05	2.59E-05
4:Ins:R:4	5.65E-07	7.15E-06	3.57E-05	3.37E-05	1.08E-05
4:Ins:R:5	7.38E-06	7.87E-06	6.70E-05	8.53E-05	4.14E-05
5:Ins:R:0	1.84E-05	2.69E-05	3.22E-03	5.04E-10	5.37E-03
5:Ins:R:1	9.76E-05	6.41E-07	2.66E-04	3.19E-04	2.81E-04
5:Ins:R:2	1.27E-05	2.51E-06	6.10E-05	6.40E-05	7.22E-05
5:Ins:R:3	2.05E-06	1.61E-06	2.73E-05	4.36E-05	4.35E-05
5:Ins:R:4	7.36E-07	1.11E-06	1.99E-05	3.17E-05	7.65E-06
5:Ins:R:5	1.39E-06	7.28E-07	1.65E-05	2.22E-05	8.66E-06
2:Del:M:1	3.48E-04	6.03E-05	4.31E-04	9.04E-04	9.25E-04
3:Del:M:1	4.37E-05	1.14E-05	5.39E-05	2.19E-04	2.55E-04
3:Del:M:2	8.90E-05	3.66E-05	9.64E-05	4.18E-04	2.57E-04
4:Del:M:1	5.59E-05	2.09E-05	1.31E-04	1.90E-04	1.66E-04
4:Del:M:2	3.80E-05	2.59E-05	1.79E-04	3.76E-04	2.35E-04
4:Del:M:3	5.23E-05	2.78E-05	1.23E-04	6.36E-04	3.33E-04
5:Del:M:1	3.94E-04	1.41E-05	6.13E-04	6.41E-04	9.46E-04
5:Del:M:2	2.58E-04	8.55E-06	2.89E-04	5.84E-04	6.50E-04
5:Del:M:3	1.26E-04	9.08E-06	2.33E-04	5.36E-04	4.87E-04
5:Del:M:4	7.76E-05	1.46E-05	1.17E-04	3.12E-04	2.69E-04
5:Del:M:5	4.81E-05	0.00E+00	2.79E-04	3.06E-04	4.24E-04
