MutationType	ID1	ID2	ID3	ID4	ID8	ID9	ID13	ID19	ID21	ID22	ID25	ID83H	ID83I	ID83J
1:Del:C:0	0.00015989	0.00482412	0.12472711	0.00724972	0.03982756	0.33493988	0.06554837	0.05408908	0.00138887	0.00256992	0.03316423	0.03303632	0.06849109	0.01622922
1:Del:C:1	0.00077352	0.00002210	0.20887617	0.00273487	0.02391594	0.09999423	0.01753646	0.01500886	0.00483662	0.00173093	0.01537897	0.01049352	0.01061643	0.02016620
1:Del:C:2	0.00000000	0.00000311	0.17632422	0.00204106	0.00333055	0.00269066	0.00512022	0.00184945	0.00128434	0.00079875	0.01384408	0.00205646	0.00059434	0.01031681
1:Del:C:3	0.00190761	0.00247208	0.06404276	0.00111228	0.00540315	0.01062542	0.00535052	0.00656318	0.00279289	0.00153291	0.00689178	0.00746566	0.00231689	0.00939733
1:Del:C:4	0.00070599	0.00385698	0.04398981	0.00107568	0.00127571	0.01249690	0.00434601	0.00820689	0.00525348	0.00242153	0.00438559	0.00295441	0.00252111	0.00088230
1:Del:C:5	0.00337011	0.01461542	0.02241749	0.00224618	0.00093373	0.00004480	0.00084306	0.00033611	0.01424820	0.00532924	0.00642889	0.00061712	0.00294294	0.00189795
1:Del:T:0	0.00131160	0.00790597	0.03759923	0.00663505	0.03424369	0.10510537	0.05369876	0.01854399	0.06289173	0.00318728	0.26254261	0.08778819	0.04081885	0.04066416
1:Del:T:1	0.00000000	0.00000000	0.01330982	0.00162247	0.01045208	0.04429364	0.49822416	0.00460977	0.00591724	0.00236556	0.01134398	0.00014304	0.00736880	0.02245478
1:Del:T:2	0.00093645	0.00703642	0.01650185	0.00263341	0.00899203	0.08586196	0.02377780	0.00873799	0.00514523	0.00184639	0.01532400	0.04685719	0.01567689	0.01285981
1:Del:T:3	0.00229585	0.02023474	0.02014148	0.00030604	0.00982504	0.11325066	0.06278095	0.02264413	0.00003080	0.00010264	0.01790305	0.04395893	0.01008863	0.02849219
1:Del:T:4	0.00429142	0.04711993	0.01581436	0.00102320	0.00127378	0.09441274	0.02300438	0.02052353	0.00033607	0.00038330	0.01025024	0.03774466	0.00620398	0.00375228
1:Del:T:5	0.00000000	0.81469723	0.00806631	0.00015444	0.01062034	0.00092983	0.00607958	0.00189831	0.03423706	0.00872547	0.04611943	0.00051136	0.01521029	0.02051345
1:Ins:C:0	0.00000000	0.00000000	0.00208309	0.00000000	0.00276427	0.00000000	0.00285043	0.01628628	0.00029351	0.00507568	0.00112228	0.00195924	0.20039453	0.01116683
1:Ins:C:1	0.00000000	0.00022703	0.00157889	0.00027240	0.00216912	0.00000193	0.00165226	0.03305029	0.00147349	0.00155061	0.00494242	0.02158306	0.03743154	0.00339456
1:Ins:C:2	0.00000000	0.00002620	0.00174795	0.00006880	0.00152700	0.00035262	0.00082125	0.01540814	0.00015440	0.00175219	0.00230421	0.01360042	0.00904016	0.00077770
1:Ins:C:3	0.00084599	0.00043005	0.00617765	0.00051248	0.00011652	0.00000000	0.00037556	0.00718753	0.00021074	0.01402603	0.01107799	0.01647841	0.00494089	0.00108672
1:Ins:C:4	0.00178553	0.00291185	0.00710445	0.00000000	0.00055418	0.00000216	0.00014858	0.01028347	0.00047283	0.02110355	0.00302963	0.01650082	0.00268797	0.00068116
1:Ins:C:5	0.02429654	0.00901754	0.00735110	0.00024914	0.00048949	0.00007370	0.00070698	0.02796958	0.00182085	0.01139551	0.02183345	0.06601176	0.01431578	0.00175294
1:Ins:T:0	0.00228382	0.00132856	0.01872237	0.00033367	0.00450798	0.01261448	0.04113701	0.01808925	0.00715236	0.00331705	0.01448952	0.00087674	0.15949329	0.00049240
1:Ins:T:1	0.00004030	0.00000000	0.04311903	0.00101004	0.00486870	0.01038527	0.00474885	0.02808965	0.02205486	0.00796016	0.01618837	0.05408242	0.02207133	0.00849780
1:Ins:T:2	0.00019286	0.00064703	0.04015704	0.00001060	0.00142964	0.00231466	0.00305417	0.01156301	0.00171300	0.00463592	0.00597962	0.00225458	0.02328170	0.00559422
1:Ins:T:3	0.00424327	0.00108288	0.02512543	0.00017394	0.00108729	0.00160089	0.00927186	0.00679258	0.00274180	0.00227939	0.00563053	0.00025015	0.01135982	0.00279857
1:Ins:T:4	0.01664913	0.00348746	0.00656331	0.00001600	0.00082262	0.00158536	0.01209864	0.00670159	0.00054391	0.00051992	0.00357056	0.00677930	0.01275934	0.00135685
1:Ins:T:5	0.89090647	0.00313258	0.02618124	0.00083293	0.02016125	0.00577248	0.01109979	0.01073388	0.01635929	0.01787561	0.34213643	0.03794266	0.06056618	0.02519987
2:Del:R:0	0.00068605	0.00016381	0.00689755	0.07172421	0.00876922	0.01317475	0.02218440	0.00238233	0.00597477	0.00311733	0.00488513	0.02073204	0.01879903	0.00729090
2:Del:R:1	0.00121997	0.00356888	0.00847465	0.23051288	0.01030715	0.00319854	0.00433321	0.00151209	0.05832799	0.00151639	0.01295105	0.00034927	0.00398891	0.00801845
