Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP123975	1967	11	0	0	0	0	10	32	4	0	53	78	56
SP124044	0	8	16	9	0	0	6	0	0	0	6	16	6
SP123972	49	33	80	0	0	15	60	97	0	0	0	32	47
SP123850	6	4	0	0	0	30	3	22	5	0	7	64	0
SP123902	7	0	22	0	18	18	9	25	1	0	22	35	2
SP123884	7	0	10	0	106	0	6	13	6	0	15	56	0
SP123964	5	16	39	0	0	2	3	3	3	3	12	51	0
SP123995	1	50	0	0	0	0	4	8	0	0	13	54	8
SP123846	3	11	10	0	0	9	5	5	2	7	41	75	8
SP124003	7	4	0	1	0	20	7	14	5	0	2	33	0
SP123876	5	16	42	0	0	18	7	2	0	0	0	43	0
SP123878	5	23	24	0	0	1	7	5	5	0	7	8	6
SP123842	1	49	10	0	2	0	1	14	2	0	0	20	0
SP123900	2	44	0	23	19	14	2	3	2	7	6	16	5
SP123978	3	6	13	1	0	0	0	8	0	22	5	3	4
SP123897	3	15	4	0	0	16	12	7	0	0	16	19	0
SP124013	2	43	0	0	0	10	6	9	2	0	0	53	0
SP124021	1	21	16	0	0	9	5	0	0	0	6	29	2
SP123852	10	0	0	31	10	14	6	0	4	0	14	29	3
SP123998	1	0	23	15	21	0	23	23	8	1	12	25	18
SP123967	4	9	28	7	0	21	0	9	0	0	8	9	1
SP123988	12	81	0	31	0	55	5	40	0	18	24	21	4
SP123984	7	19	24	3	0	5	3	7	2	0	4	28	1
SP123858	0	0	0	9	0	0	10	13	1	0	14	32	9
SP123890	0	17	0	5	0	18	5	20	1	0	0	32	0
SP123950	5	5	50	0	0	11	5	9	0	0	25	26	5
SP123886	4	0	28	0	0	0	6	5	2	0	5	12	0
SP124033	3	0	2	10	0	0	3	7	5	2	7	42	6
SP123892	10	56	9	0	0	5	13	24	2	3	4	54	0
SP123840	0	0	29	0	4	20	6	4	7	0	12	37	3
SP123969	3	23	9	12	0	3	8	30	0	20	9	26	0
SP123953	10	0	0	12	5	23	5	16	4	21	0	21	0
SP123955	2	17	0	0	0	15	2	38	2	0	8	11	0
SP123882	5	31	25	3	0	8	7	10	2	0	28	91	2
SP123894	11	18	40	0	0	0	8	4	4	0	7	97	9
SP124017	4	0	0	0	20	0	5	0	3	0	3	12	0
SP123856	0	5	2	0	0	9	4	12	0	12	8	18	3
SP123854	6	0	49	22	0	0	5	2	0	0	2	30	1
SP123888	0	0	9	0	15	0	5	14	6	10	5	40	4
SP123870	4	5	8	0	0	5	2	2	4	0	16	45	0
SP123958	0	0	0	22	0	5	2	6	0	8	0	21	0
SP123844	0	31	0	1	0	12	3	3	2	30	2	29	3
SP123872	4	0	22	0	37	0	21	6	1	6	32	29	0
SP123874	6	9	10	0	0	31	11	11	1	0	5	26	5
SP123836	5	0	0	17	12	10	17	11	0	0	15	90	1
