	InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_N	InsDel_O	InsDel_P	InsDel15	InsDel16	InsDel_M	InsDel_N_beta	InsDel_N_alpha
A[Del(C):R4]G	5.92E-05	7.29E-06	0.000116198	5.00E-05	0.000413388	0.00011925	0.002746134	0.001546804	0.000404359	0.00078392	0.000815575	0.000686038	6.02E-05	0.00016124	0.000257549	0.000687047	0.000344151	5.65E-06	0.000560412	0.000469933	0.000215001	4.41E-06	9.33E-05	0.000291773	9.54E-05	0.00028884	0.000232222	0.000769243	0.000802859	3.31E-05	5.16E-06	0.000278046	6.69E-05	0.000486543	0.000992881	3.38E-06	0.000844355	1.73E-05	0.000119857	0.000122155	5.96E-06	7.88E-05	0.005073358	0	9.35E-05	0.000197167	4.45E-05
A[Del(C):R4]T	0.000286189	0.00017477	0.000338465	0.000282422	0.00084808	0.000218305	0.005221207	0.002873791	0.000273759	0.00238912	0.002494501	0.001021229	0.000346909	0.000484259	0.000929135	0.002185131	0.000681936	3.96E-06	0.000901764	0.000462779	0.000254136	0.00021618	0.000163249	0.001373365	0.000524335	0.003105029	0.00095887	0.001018728	0.001227742	3.78E-05	3.88E-06	0.001448884	0.000288834	0.001679997	0.001040294	2.36E-05	0.001176307	0.000577263	0.000120453	0.000511389	3.71E-06	0.000330603	0.009735363	0	0.000141135	0.0002432	0.000147448
A[Del(C):R5]A	0.000157713	0.000234109	0.000570692	0.000582768	0.004203322	0.00039783	0.00967135	0.006470111	0.000391012	0.00089052	0.003591515	0.001437021	0.000616728	0.001612957	0.000729893	0.002565903	0.000781921	2.75E-06	0.000430037	0.000674848	0.000273074	0.000231825	0.000179369	0.001276583	0.000352974	0.000469365	0.001436526	0.001663838	0.000735437	5.00E-05	0.000256393	0.000162675	0.000146766	0.000568099	0.001109326	1.01E-05	0.002861238	0.001481632	0.000163195	0.001773111	0.000322254	0.000997895	0.013986014	0	0.001462559	0.000632941	0.00084912
A[Del(C):R5]G	3.99E-05	2.84E-05	5.62E-05	0.00013677	0.00077481	0.000123379	0.001115062	0.000913114	0.000249135	0.000303017	0.000276231	9.65E-05	0.000180008	0.000422696	0.000165526	0.000300248	0.000338478	1.83E-06	0.000249485	7.63E-05	6.98E-05	4.30E-06	5.89E-05	0.000172234	0.000115995	0.00137199	7.12E-05	0.000367226	0.000349457	2.50E-05	7.21E-05	0.000267222	6.37E-05	0.000236194	0.000548974	6.75E-06	0.001440489	5.07E-05	2.44E-05	0.000217326	8.40E-05	6.94E-05	0.002193885	0	0.00083192	4.88E-05	0.000100548
A[Del(C):R5]T	6.22E-05	5.96E-05	0.000260172	0.000592148	0.002727232	0.00061246	0.004588859	0.002754099	0.000517967	0.00090166	0.001880725	0.000627537	0.000283568	0.001781224	0.000423556	0.001443487	0.000907523	1.79E-06	0.000531306	0.000218942	0.000705353	0.000233725	0.000328429	0.000380539	0.000354019	0.001480305	0.000587904	0.000337193	0.000727922	5.27E-05	0.000356242	0.00019234	0.000349637	0.001127857	0.000408675	1.01E-05	0.003588495	0.000216849	0.000272927	0.000894966	0.00044303	0.000490415	0.00740436	0	0.000372786	0.000557169	0.000648975
A[Del(C):R6]A	0.000713499	0.000139935	0.000522408	0.001195434	0.004202387	0.000858344	0.003390112	0.002742619	0.000261061	0.000154723	0.001074886	0.000649893	0.000144657	0.00270704	0.000409738	0.00124199	0.000329643	2.90E-06	0.001435979	0.000239114	0.00089788	1.93E-05	0.000116351	0.000351488	0.000282259	0.00122757	0.000128332	0.001436336	0.000187867	3.99E-05	0.000596429	0.000623033	0.000239172	0.00086534	0.000712452	0	0.008903846	0.000639769	0.00035061	0.002313299	0.000759948	0.001177952	0.002331002	0	0.000156618	0.000724381	0.001206196
A[Del(C):R6]G	4.06E-05	2.46E-05	6.82E-05	0.000165276	0.001206135	0.000175882	0.000584409	0.000373723	8.73E-05	5.70E-05	0.000121805	6.33E-05	2.50E-05	0.000678912	7.84E-05	0.000146003	0.000317506	2.03E-06	0.000325842	4.55E-05	0.000113209	7.82E-07	5.38E-05	5.68E-05	1.64E-05	0.000902625	8.27E-05	0.000429243	1.93E-05	1.42E-05	0.000111188	6.94E-05	5.08E-06	0.000299829	0.000593352	3.38E-06	0.00398546	0.000131149	8.82E-05	0.000316274	0.000141915	5.54E-05	0.000274236	0	2.86E-05	5.79E-05	0.000114385
A[Del(C):R6]T	0.000536014	3.61E-05	0.00046579	0.000668964	0.002378005	0.00056048	0.00213526	0.001042343	0.00051903	0.000175409	0.000698703	0.000427036	0.000178023	0.00117575	0.000211241	0.000510922	0.00053742	1.16E-06	0.000489439	0.00012314	0.001053879	3.97E-06	0.000157654	0.000146088	0.000115874	0.00043326	0.000238271	0.00027218	0.00012936	0.001991767	0.000256187	6.25E-05	0.000363354	0.000340944	0.000587704	6.75E-06	0.005294903	0.000211844	0.000360423	0.001030485	0.000325179	0.000593385	0.001919649	0	4.17E-05	0.000768839	0.000679958
A[Del(C):R7]A	0.000440563	0.00012447	0.000466288	0.001171407	0.003189445	0.000691374	0.001453505	0.000698223	0.000333124	3.58E-05	0.000173961	0.000318524	4.98E-05	0.003075582	4.00E-05	0.000337612	0.000300151	0.000194916	0.000384071	4.61E-05	0.000342144	2.96E-06	0.000114017	0.000249743	6.78E-05	0.000902625	6.92E-05	0.00050217	4.80E-05	2.97E-05	0.000456786	0.000568387	0.000194234	0.000606193	0.00060865	1.69E-05	0.007653307	0.000381306	0.000353248	0.001051567	0.000572872	0.000938494	0	0	0.000515707	0.000376667	0.002181568
A[Del(C):R7]G	3.36E-05	3.08E-05	8.53E-05	0.000133701	0.000722078	0.000336929	0.00034493	9.67E-05	0.000148336	3.23E-06	1.14E-05	3.12E-05	1.68E-05	0.000663173	6.99E-05	2.15E-05	8.19E-05	8.69E-07	0.000152667	2.17E-05	4.39E-05	4.25E-06	2.73E-05	1.47E-05	2.22E-05	0	5.94E-05	8.24E-05	4.11E-05	1.42E-05	9.52E-05	9.32E-05	3.58E-06	0.000434066	0.000449302	0	0.003952649	9.41E-06	8.88E-05	0.000136052	0.000115994	9.61E-05	0	0	2.50E-05	2.34E-05	0.000182358
