	InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_N	InsDel_O	InsDel_P	InsDel15	InsDel16	InsDel_M	InsDel_N_beta	InsDel_N_alpha
A[Del(T):R6]C	0.002128364	0.005427446	0.002319834	0.006720967	0.011515814	0.010819664	0.001436116	0.000628596	0.001155064	0.002520375	0.001697501	0.000733394	0.000374379	0.004590518	0.000979402	0.00401936	0.002545019	0.000579826	0.001815244	0.001015239	0.001235049	6.93E-06	0.010320431	0.00042624	0.000249705	0.000613785	0.000889992	0.003187504	0.001052757	0.003474609	0.002125953	0.000337751	0.000864134	0.000672138	0.00134858	1.01E-05	0.003619526	0.022572679	0.002505748	0.019137831	0.002680014	0.010439272	0.007678596	0	0.000210809	0.008416468	0.010843158
A[Del(T):R6]G	0.001344051	0.002684219	0.000778261	0.00742356	0.022677209	0.005238054	0.002274246	0.001021261	0.000743017	0.003390516	0.00191955	0.00242616	0.00098056	0.007737544	0.001461775	0.006330403	0.003716813	0.001163416	0.001039661	0.000497864	0.002470068	5.25E-06	0.011787835	0.001388429	0.001496258	0.003321659	0.001631023	0.001231954	0.000921484	0.001274677	0.001339982	0.000429747	0.0012567	0.001256414	0.001696567	3.71E-05	0.004081019	0.021589618	0.00254727	0.027903191	0.001691863	0.008609507	0.00493624	0	0.002299838	0.00646427	0.017816924
A[Del(T):R7]A	0.005377355	0.009373162	0.004782461	0.02238303	0.044745991	0.009861626	0.002396976	0.000364257	0.005738701	0.001578324	0.002274516	0.00253915	0.001826474	0.02386982	0.001226442	0.005328199	0.003143805	0.000570705	0.000801748	0.001970673	0.000712395	0.000644014	0.006857299	0.000910865	0.000976693	0.00129978	0.003811209	0.001185172	0.001665182	0.002986636	0.006550458	0.000262883	0.001334304	0.001659355	0.001205963	0.00303937	0.002491333	0.026396408	0.00393638	0.048885682	0.00822759	0.031283602	0.001782531	0	0.000764628	0.017386368	0.030149489
A[Del(T):R7]C	0.006045306	0.008721332	0.004086412	0.016635002	0.023183112	0.029409901	0.002312916	0.000459869	0.003843946	0.001754979	0.001723063	0.002656262	0.001265175	0.012884867	0.001143703	0.005944966	0.001448288	0.000182031	0.001342247	0.000899882	0.00138104	0.000205843	0.005804605	0.001660767	0.000709626	0.000830415	0.001004813	0.00266966	0.001873516	5.95E-05	0.005426272	0.000449173	0.0012667	0.00242523	0.002077089	3.38E-06	0.007498516	0.022654166	0.004900572	0.028951108	0.006834278	0.0226303	0.004113534	0	0.000163168	0.016513054	0.01490804
A[Del(T):R7]G	0.002639911	0.004456173	0.002825201	0.01553646	0.030866856	0.010493021	0.001002611	0.000458224	0.00250259	0.001211332	0.000920608	0.001680922	0.000669563	0.01757187	0.000388294	0.004097509	0.000804105	1.30E-06	0.00041832	0.000394084	0.002723065	0.000214336	0.005341279	0.000786605	0.000353083	0.00036105	0.000502707	0.001127225	0.000394942	0.003265092	0.003937432	0.00069805	0.000799947	0.001541137	0.00190278	0.010563499	0.008890258	0.023344521	0.004171217	0.036469456	0.004968577	0.018459118	0.001371178	0	0.002666073	0.011793809	0.026142734
A[Del(T):R8]A	0.006629387	0.017477074	0.006203588	0.037208448	0.006971091	0.014013654	0.00088647	0.000459922	0.010424959	0.000280662	0.000828327	0.001804712	0.001389602	0.035607673	0.002072225	0.002835609	0.002527772	0.000753556	0.00089781	0.001193841	0.00046617	6.82E-06	0.004934236	0.001495123	0.00047211	0	0.003145327	0.001357328	0.000806896	0.00108138	0.00843114	0.000669872	0.000632189	0.002121188	0.000699598	0	0.003301009	0.003911184	0.004773425	0.02530869	0.010559609	0.049461993	0	0	0.000168528	0.028088442	0.02852884
A[Del(T):R8]C	0.004477137	0.007231721	0.004917918	0.026736006	0.00140703	0.043708666	0.000848901	0.000201711	0.002867735	0.000514956	0.000993521	0.001113896	0.000661588	0.021851197	0.001220589	0.004038176	0.001787989	0.000765669	0.000354884	0.000558595	0.003215844	0.000420012	0.001968102	0.001218831	0.000286783	0.001119255	0.003029199	0.003345453	0.001176073	0.001247642	0.007052079	0.001243348	0.000981953	0.002051608	0.001793246	0.003025862	0.003537942	0.004014447	0.010832015	0.007882564	0.008814185	0.035106871	0	0	0.000304898	0.017972823	0.007749151
A[Del(T):R8]G	0.002305604	0.002191601	0.003299305	0.019857179	0.003326528	0.010307912	0.000703797	0.000182555	0.002072793	0.000372044	0.000490484	0.000471192	0.000609236	0.020693137	0.000556996	0.001550158	0.000685768	0.000779519	0.000571116	0.000180051	0.001066045	5.03E-06	0.002048763	0.000480738	0.000265902	0.0007221	0.000556969	0.001053353	0.000280261	0.003215754	0.005319463	0.000425529	0.000712945	0.001279342	0.002149746	3.38E-06	0.005782722	0.004747222	0.003142558	0.007075012	0.006699197	0.022481203	0	0	0.000856335	0.010254435	0.009384084
"A[Del(T):R(9,)]A"	0.004641528	0.00691765	0	0.054825305	0.009120028	0.019206707	0.001007844	0.000270985	0.015504948	2.28E-05	0.000434137	0.001204519	0.001269493	0.055092122	0.001340682	0.002218922	0.001650218	0	0.000711087	0.001553753	0.001365308	0.000426828	0.002885241	0.000676898	0.000123176	0.000252735	0.00508917	0.002847338	0.000392328	3.31E-05	0.014235932	0.000471632	0.001789879	0.004422098	0.004099686	0.002806352	0.008060585	0.00356927	0.006457159	0.007479962	0	0	0	0	0.000905167	0.030863216	0.013741806
"A[Del(T):R(9,)]C"	0.004093602	0.002228159	0	0.038973969	0.00090088	0.036119161	0.000764985	0.000261398	0.007947545	0.00011024	0.000417007	0.000898939	0.001282604	0.033605398	0.000959175	0.002336055	0.001826413	0	0.000369108	0.000496708	0.000939741	0.00020277	0.002109575	0.00084538	0.000257348	0.00173304	0.003264603	0.003284835	0.000642833	0.001150994	0.009965326	0.000436788	0.00092406	0.004277196	0.001307532	3.38E-06	0.004578589	0.005332688	0.011341281	0.002381697	0	0	0	0	0.003291948	0.026865945	0.003869369
"A[Del(T):R(9,)]G"	0.001670494	0.001039412	0	0.025254066	0.001788743	0.011168465	0.000386086	5.35E-05	0.005010452	7.55E-05	0.000101697	0.000420547	0.000826297	0.029331385	0.000256249	0.000333706	0.001253438	0	0.000421277	7.04E-05	0.001103441	0.000204446	0.000456342	0.000134051	0.000138046	0.000397155	0.003642421	0.00079482	0.000184227	0.001275352	0.006458815	0.000332887	0.000952475	0.001265766	0.001232262	1.35E-05	0.017064202	0.004040786	0.002490858	0.001275629	0	0	0	0	0.08770766	0.011666308	0.003703537
C[Del(T):R1]A	0.000729847	5.69E-05	0.000916168	0.00053544	0.000291146	0.000117365	0.010104169	0.007970156	0.001365166	0.007721548	0.006950473	0.0066952	0.001291654	2.93E-05	0.00376971	0.007648781	0.001510953	0.000189945	0.00674097	0.009239635	0.005096016	0.004315665	0.000375065	0.004877503	0.002938126	0.058273459	0.003296444	0.002328359	0.003987525	0.026140332	0.000208859	0.000796532	9.64E-05	0.002648762	0.001005862	0.018506386	0.000538135	0.000148804	0.000142774	0.000117441	0.000260432	0.000980939	0.000685589	0	0.003299689	0.001977877	5.08E-05
C[Del(T):R1]C	0.000687583	8.39E-05	0.000480554	0.001255201	0.000207054	0.000373088	0.003244396	0.00221922	0.001327692	0.006949034	0.006141666	0.005315024	0.001518324	0.000243327	0.00424867	0.00850075	0.002338087	0.000190283	0.006609293	0.002097027	0.003408401	0.001067602	0.000495304	0.005202953	0.003393986	0.000830415	0.007894985	0.000629465	0.009206691	0.00103407	0.000308741	0.002566848	0.000960188	0.000868409	0.002724175	0.003346684	0.002026124	0.000167213	0.00012865	0.000241164	0.000390647	0.001146027	0.004387769	0	0.011974996	0.001238584	5.24E-05
C[Del(T):R1]G	0.000533171	3.84E-05	0.000837729	0.000226557	0.00024088	0.000142292	0.009907702	0.004266734	0.001387871	0.00940741	0.010742178	0.007408115	0.000936297	4.22E-05	0.004417627	0.008386317	0.001714941	0.000383703	0.012843177	0.002561441	0.001840498	0.00221991	0.000237584	0.007376239	0.003329467	0.014622522	0.005241734	0.00113162	0.011302777	0.002239132	0.000214918	0.000919094	0.000203044	0.001798684	0.003926893	0.003127174	0.000199305	2.21E-05	0.000135797	5.28E-05	0.000271438	0.00038049	0.005896065	0	0.001553671	0.001508542	1.40E-05
C[Del(T):R2]A	0.00043597	8.64E-05	0.00050596	0.000540721	0.000280032	0.000160615	0.006834478	0.007983895	0.000645571	0.005807682	0.005520732	0.00448343	0.000859927	9.28E-05	0.001942272	0.004323466	0.003277289	2.75E-06	0.001265874	0.022288151	0.001941451	0.000196177	0.000920985	0.003340511	0.001091816	0.010867603	0.002087322	0.001753898	0.00563427	0.028037478	7.44E-06	0.001038938	8.35E-05	0.001535649	0.001862869	0.003620227	0.000348877	0.001207866	3.87E-05	0.000347983	8.36E-06	0.000613096	0.003427945	0	0.000233438	0.00059558	4.64E-05
C[Del(T):R2]C	0.0005168	0.000217184	0.000309801	0.000397762	0.000575829	0.0003357	0.004805572	0.004886056	0.001254042	0.008026576	0.005820029	0.004428929	0.000430272	5.22E-05	0.002504217	0.004398746	0.001275666	3.09E-06	0.003141532	0.00258013	0.000407498	0.000893384	0.001345409	0.003567874	0.00114171	0.000830415	0.001836097	0.000898793	0.009363449	0.002866333	0.000106657	0.001995654	0.000165772	0.002026272	0.001673725	1.69E-05	0.000432131	0.001553316	4.65E-05	0.000522889	0.000135539	0.000375762	0.017276841	0	0.003350903	0.001088346	9.29E-05
C[Del(T):R2]G	8.99E-05	7.62E-05	0.000211018	0.000320426	0.000548151	0.000110803	0.005972649	0.008931274	0.000970993	0.005620867	0.005419717	0.003936204	0.000702015	4.83E-05	0.001958946	0.004114659	0.002219826	1.93E-06	0.002115291	0.000843985	0.000261297	0.000646026	0.000162743	0.00267986	0.00155671	0.007040474	0.003678935	0.00047315	0.003340235	7.64E-05	0.000106559	0.000843056	0.0004415	0.00101455	0.000402016	0	0.000379467	0.000584816	3.34E-05	0.000416341	0.000133293	0.000238529	0.014123132	0	0.000132797	0.00056938	7.02E-05
C[Del(T):R3]A	0.00053176	0.00021489	0.000553491	0.00065671	0.000155234	0.000165506	0.003227274	0.003788156	0.000612487	0.008068026	0.004408031	0.004438785	0.001970098	0.000137858	0.003249879	0.009650903	0.004250291	0.000192407	0.002187952	0.006037338	0.003074468	0.000651948	0.00152724	0.003166098	0.001070398	0.004152074	0.001543181	0.001031997	0.003948528	7.57E-05	0.000150495	0.000737083	0.000672244	0.003431451	0.001354438	0.003377078	0.000673765	0.002694386	4.36E-05	0.000922192	0.000187298	0.001169283	0.008364185	0	0.001945513	0.001131668	1.00E-04
C[Del(T):R3]C	0.000179389	0.000262507	0.000291987	0.000455939	0.000489699	0.00049749	0.002687217	0.002202923	0.000819483	0.009427336	0.004751481	0.004218706	0.000609108	0.000176543	0.002995224	0.006521216	0.001099698	3.19E-06	0.00216362	0.001005955	0.000814816	0.000197462	0.001084715	0.004313741	0.001221969	0.00238293	0.000781719	0.000970819	0.006117498	5.20E-05	0.00019623	0.000722355	0.000135636	0.001763863	0.00151838	0.00725734	0.000963217	0.001987209	0.000146489	0.000959306	0.00024797	0.000724831	0.015357192	0	0.000135775	0.000472022	0.000217664
C[Del(T):R3]G	0.000272222	7.84E-05	0.000430203	0.000687499	0.000552779	8.67E-05	0.004224673	0.004801396	0.000840642	0.008322974	0.004177622	0.004531697	0.001697966	5.13E-05	0.003545047	0.010404557	0.001345293	0.000193854	0.001446683	0.001163566	0.000887362	0.000645914	0.000857949	0.003231194	0.001324604	0.00115536	0.00252473	0.000547809	0.00404951	4.12E-05	0.000255656	0.000963336	9.64E-05	0.002611041	0.000664997	1.01E-05	0.000363793	0.001062949	3.33E-05	0.000564712	0.000321381	0.000835874	0.02413273	0	0.001600716	0.00124975	0.000179855
C[Del(T):R4]A	0.000327901	0.000315363	0.000667241	0.001311086	0.004996564	0.000906531	0.004488292	0.004639336	0.000784604	0.006447533	0.004912472	0.003977237	0.001304081	0.001540824	0.002307068	0.012791892	0.002733384	0.000190476	0.00567381	0.011242328	0.000865607	5.42E-06	0.000311407	0.002453492	0.001196729	0.000758205	0.001384626	0.000450002	0.003487075	0.011502503	0.000396069	0.000609957	0.000271214	0.000835876	0.00207279	0.003356815	0.002245107	0.005406726	0.000436518	0.005889943	0.000499849	0.001631139	0.006581654	0	0.001476255	0.001642861	0.002743745
C[Del(T):R4]C	0.000217932	0.000292244	0.000320212	0.001082595	0.005529852	0.001715672	0.003353972	0.00343534	0.000431715	0.007132794	0.003654888	0.003571324	0.000988838	0.001815387	0.000807005	0.007694533	0.002290048	2.46E-06	0.003039347	0.001119305	0.003345863	0.000419844	0.000642725	0.002894285	0.001242796	0.001841355	0.001582078	0.002079994	0.004164494	0.007169549	0.000553968	0.000627371	0.000577252	0.001615159	0.000656273	0.003508784	0.000777252	0.004539213	0.000236397	0.004655254	0.000694355	0.001520021	0.022075963	0	0.000247134	0.001315974	0.001501915
C[Del(T):R4]G	0.000225459	7.06E-05	0.000406257	0.001307213	0.004943844	0.000620915	0.005648921	0.006508513	0.000807654	0.005960303	0.004518264	0.00222947	0.001712106	0.001407546	0.001835026	0.014119162	0.000813514	3.04E-06	0.00316061	0.000947967	0.002203227	7.26E-06	0.000913336	0.003392413	0.000995402	0.001985775	0.003161153	0.000604645	0.001870085	4.87E-05	0.000396763	0.000837546	0.000846733	0.000461966	0.002384112	1.35E-05	0.001476028	0.001960415	0.000194988	0.002673438	0.000502233	0.001598434	0.018099548	0	0.000129224	0.001426015	0.001102429
C[Del(T):R5]A	0.000317613	0.000656812	0.000734076	0.001562342	0.014508102	0.001772482	0.004767359	0.002828577	0.000795715	0.003536419	0.003563819	0.003411956	0.001175961	0.003403529	0.001581284	0.006971557	0.002484238	0.000189945	0.002184385	0.003671164	0.001759681	0.000208078	0.000694389	0.001650061	0.001144252	0.001263675	0.000457306	0.000518018	0.001771134	0.005451507	0.000406118	0.001658158	0.000380304	0.001966935	0.001504304	1.01E-05	0.001258357	0.004640397	0.000337223	0.011357977	0.00050958	0.002291598	0.00493624	0	0.000221528	0.001964992	0.004185828
C[Del(T):R5]C	0.000597536	0.000238143	0.000732311	0.002198482	0.014253	0.005441563	0.004704603	0.001864751	0.000802962	0.003666944	0.003325392	0.001663167	0.00079602	0.004293254	0.001374125	0.004413544	0.000819501	0.000191345	0.0083742	0.000946141	0.001308224	5.87E-06	0.000495012	0.001968276	0.000323959	0.000974835	0.000630603	0.000307379	0.002057906	0.005806334	0.000930872	0.000212532	0.000655559	0.000726493	0.003367342	1.01E-05	0.001485473	0.003118697	0.000234922	0.007534789	0.001181105	0.00202367	0.021116139	0	0.000310258	0.002123344	0.001759875
C[Del(T):R5]G	0.000542311	3.38E-05	0.000491804	0.00174235	0.009230525	0.001484524	0.004262732	0.002620188	0.001488049	0.003088747	0.002608688	0.002022769	0.000911926	0.002631007	0.000759377	0.005738791	0.000894585	1.64E-06	0.002635668	0.00029491	0.001241342	4.53E-06	0.000314668	0.001300886	0.000479237	0.00108315	0.000897387	0.000210419	0.000560311	0.003630057	0.000663834	0.000280223	0.000532428	0.001555653	0.001363499	1.01E-05	0.002217421	0.002208894	0.000241275	0.00358229	0.000835383	0.001964144	0.013437543	0	0.000244157	0.001702608	0.00139183
C[Del(T):R6]A	0.001239439	0.003870044	0.000917278	0.005067303	0.02364314	0.003430282	0.003993206	0.001341747	0.002463556	0.00167751	0.001567363	0.002206103	0.000503068	0.006285748	0.000538626	0.004927451	0.001871236	0.000190814	0.000856746	0.002001965	0.002270379	1.23E-05	0.000444305	0.00106041	0.000551602	0.00057768	0.001063303	0.000749718	0.000578421	0.003471905	0.00147167	0.000570084	0.000150831	0.002363822	0.002034987	2.36E-05	0.001984517	0.010790077	0.000618545	0.02077097	0.00185324	0.005983526	0.005073358	0	0.003456902	0.00394976	0.009554146
C[Del(T):R6]C	0.001747688	0.001671208	0.000809135	0.003388415	0.008534009	0.011120688	0.003430055	0.001238038	0.001277037	0.001760322	0.002046399	0.001933413	0.000449116	0.003395819	0.000411368	0.004534742	0.001380859	2.94E-06	0.001453031	0.000541378	0.001020887	4.53E-06	0.000863879	0.001171408	0.000591727	0.00043326	0.000610917	0.000499961	0.000581059	0.007652115	0.001190507	0.00042754	0.000687554	0.000945512	0.000949725	1.01E-05	0.000313324	0.003543646	0.000592821	0.009336532	0.001498646	0.004345003	0.00863842	0	0.000264999	0.004307648	0.004967849
C[Del(T):R6]G	0.000171502	0.000192167	0.000329414	0.002262168	0.010675289	0.001683068	0.003146968	0.001088898	0.000897302	0.001613095	0.001443344	0.001756123	0.000597514	0.002929437	0.000342928	0.005180421	0.00109868	2.03E-06	0.002171993	0.000389606	0.001258961	0.000448564	0.000220282	0.000822004	0.000523428	0.00151641	0.000553579	0.000467295	0.001408422	0.001758594	0.000394248	0.000140637	8.59E-05	0.000436979	0.001085557	0.003579702	0.000510079	0.00418582	0.000365217	0.00757459	0.00049619	0.00262882	0.006307418	0	0.000110168	0.001984253	0.003725367
C[Del(T):R7]A	0.002848223	0.014745302	0.003280029	0.014316523	0.031723303	0.006905249	0.002210837	0.00058561	0.004961605	0.000540194	0.001222711	0.001194419	0.000522085	0.016144481	0.000629415	0.002252322	0.00074707	0.000771557	0.001229133	0.000453682	0.001921434	0.000215007	0.000412552	0.000276037	0.000156541	0.00021663	0.001540319	0.000654815	0.000969792	0.007593991	0.003655456	0.00043281	0.000718776	0.002429201	0.001736773	2.36E-05	0.001305588	0.00546424	0.001556332	0.027916762	0.004583225	0.018096395	0.001508296	0	0.000217955	0.00962109	0.015449118
C[Del(T):R7]C	0.002442354	0.002550827	0.001542609	0.013707477	0.026846503	0.05309498	0.002210079	0.000585168	0.003467248	0.000891251	0.001561648	0.001865768	0.000351669	0.015487201	0.000468998	0.004361741	0.000495195	0.000186085	0.001235916	0.000593486	0.001880202	4.64E-06	0.000723942	0.001040235	0.000148622	0.000613785	0.001849323	0.001486923	0.000317134	0.003302264	0.003225098	0.000441592	0.000601395	0.002186808	0.001515262	1.69E-05	0.005514309	0.007679778	0.004260528	0.020506628	0.004046393	0.014354215	0.00370218	0	0.001750187	0.011187463	0.009465666
C[Del(T):R7]G	0.000988823	0.001362184	0.001679344	0.012614084	0.036020952	0.009374941	0.001674941	0.000474507	0.001194014	0.000773042	0.001061787	0.000742116	0.000445815	0.016320894	0.000161237	0.003254643	0.000772891	2.22E-06	0.000695529	0.000235506	0.001041473	1.75E-05	0.00022211	0.000603639	0.000454158	0.000397155	0.000651281	0.000420967	0.000671982	0.003564499	0.002825983	0.000768519	0.000189846	0.002003079	0.001178696	2.03E-05	0.002681936	0.010243651	0.001115077	0.02066384	0.003567253	0.01378302	0.001645413	0	0.000728897	0.009555267	0.011935077
C[Del(T):R8]A	0.003738072	0.007568142	0.005129457	0.024550845	0.004243397	0.011895889	0.000264926	0.000249511	0.004278546	0.000235747	0.000757079	0.000533348	0.000413762	0.030744806	0.000107388	0.000770722	0.001298066	0.000571091	0.000811166	0.000651619	0.000583754	0.000204558	0.000739336	0.000629354	0.000122937	0.000469365	0.004387283	0.000874948	0.000312537	4.73E-05	0.006013346	0.000773338	0.00102867	0.000678277	0.001214308	6.75E-06	0.001816915	0.001204551	0.002129016	0.006535751	0.007568707	0.029536351	0	0	0.001173739	0.012998369	0.011151585
C[Del(T):R8]C	0.002028348	0.001832807	0.002368489	0.024172997	0.002417202	0.059489622	0.000947216	0.000405344	0.005895401	0.000313176	0.000773104	0.000821083	0.00034594	0.027291248	0.000741072	0.002291955	0.000702517	0.000383896	0.001111712	0.000303583	0.004387816	6.98E-06	0.001012488	0.000669326	0.000199993	0.00108315	0.000575212	0.000860257	0.000633451	0.001472704	0.005145684	0.000316118	9.23E-05	0.001051621	0.000823587	3.38E-06	0.003848309	0.001591941	0.004812593	0.002045106	0.006481542	0.023494369	0	0	0.000297157	0.014845433	0.004702832
C[Del(T):R8]G	0.001674552	0.000402692	0.002821595	0.020882668	0.011425292	0.013191942	0.000213727	0.000211777	0.002737923	0.000166759	0.000313505	0.001117352	0.000348195	0.027757738	0.000207687	0.00047794	0.001347382	0.000186857	0.000581257	7.75E-05	0.001059692	0.000226349	0.000343587	0.000196712	0.000246804	3.61E-05	0.000675025	0.00069758	0.000185627	5.81E-05	0.005501623	0.000708589	0.000403663	0.000605748	0.000644051	1.01E-05	0.007484293	0.001972649	0.001280796	0.001959813	0.006969928	0.019895963	0	0	0.027246108	0.010681965	0.002770622
"C[Del(T):R(9,)]A"	0.002336262	0.003765696	0	0.030833156	0.005855398	0.010161786	0.000157015	0.000326729	0.006896111	4.17E-05	0.000221542	0.000338758	0.000435273	0.037559265	0.001215489	0.000404496	0.000732887	0	0.000634713	0.000317867	0.000800732	0.000433645	0.002641081	0.000245533	0.000513752	0.00036105	0.004198969	0.00138149	0.000920527	0.001261159	0.006854342	0.000475175	0.001087557	0.000481476	0.000997222	5.07E-05	0.001612687	0.000800131	0.000936709	0.001342819	0	0	0	0	0.004810484	0.013840409	0.005014904
"C[Del(T):R(9,)]C"	0.003896205	0.001041566	0	0.043912217	0.002428373	0.055182476	0.000212512	0.000365024	0.008928104	6.90E-05	0.000404442	0.00049337	0.000552793	0.047624113	0.000945573	0.000273144	0.002323135	0	0.000508468	0.000385221	0.001326143	6.59E-06	0.000759759	0.000404089	0.000129106	0.00079431	0.002237102	0.001487286	0.001084356	5.34E-05	0.009288397	0.000476676	0.000191289	0.003569287	0.001249794	3.38E-06	0.002835837	0.000835596	0.004627135	0.000333322	0	0	0	0	0.018725633	0.022072397	0.001947608
"C[Del(T):R(9,)]G"	0.001546393	0.000602828	0	0.028109379	0.009251864	0.013177321	0.000139921	0.000115086	0.006199843	8.26E-05	0.000131903	0.00071436	0.000235001	0.042435594	0.000606896	8.35E-05	0.000898255	0	0.000311088	6.79E-05	0.0014413	8.10E-06	0.000461144	0.000380485	0.000441478	0.00115536	0.001179606	0.000496277	0.000343762	4.60E-05	0.004950158	0.000658132	0.001599848	0.000826151	0.000745114	0.003424357	0.005130867	0.001383556	0.000614575	0.000312467	0	0	0	0	0.144675983	0.011801099	0.000286353
G[Del(T):R1]A	8.00E-05	4.51E-05	0.000237793	0.000361656	9.23E-05	5.35E-05	0.002895046	0.003302478	0.000368334	0.005332844	0.002991496	0.002572139	0.000829202	8.66E-06	0.00215799	0.005798441	0.000684794	0.000193854	0.002867313	0.002246184	0.000866896	0.002297296	0.000711996	0.002812579	0.000927926	0.046719861	0.001355217	0.000374602	0.005514759	0.0431403	0.000104326	0.000746045	7.22E-05	0.00073812	0.000835429	0.010830288	0.000380098	2.56E-05	1.95E-05	6.74E-05	0.000131339	0.000526863	0.00123406	0	0.003555161	0.00066578	7.59E-06
G[Del(T):R1]C	0.000148252	9.60E-05	0.000163158	0.000744748	8.57E-05	0.000161553	0.002038263	0.001124734	0.000379997	0.00554991	0.002571819	0.001790645	0.001244609	1.90E-05	0.002812769	0.005685156	0.00083926	1.98E-06	0.000992329	0.001014697	0.001297587	0.000658318	0.00070982	0.001562505	0.000581833	0.00108315	0.00168316	0.000376334	0.005465166	5.00E-05	0.000206062	0.000352598	8.43E-05	0.002299128	0.002684433	2.70E-05	6.34E-05	0.000168682	3.57E-05	3.91E-05	0.000261305	0.000635067	0.001645413	0	9.11E-05	0.00122984	1.47E-05
G[Del(T):R1]G	0.000417502	0.000105606	0.000450241	0.000741156	0.000258446	0.00025467	0.002445889	0.002276145	0.000643446	0.005301006	0.003306839	0.003935015	0.001051835	0.000300291	0.002936501	0.006901293	0.000860534	0.0001926	0.00448423	0.001325802	0.001158128	0.001321553	0.000260152	0.004973465	0.001245262	0.014297577	0.003408456	0.000519077	0.005683583	0.001337532	5.41E-05	0.000582619	0.000159999	0.000996761	0.001847318	3.38E-06	0.001521821	6.05E-06	0.000126693	9.33E-05	6.82E-05	0.000695723	0.003976416	0	0.000167932	0.00043848	3.54E-05
G[Del(T):R2]A	0.000261352	6.30E-05	0.000120131	0.00221249	9.23E-05	0.000393049	0.002694108	0.001143234	0.000818945	0.004534988	0.003385425	0.003211121	0.000525093	3.53E-05	0.00137256	0.003365509	0.001146686	2.90E-06	0.002639027	0.082254632	0.003285993	0.001802412	0.001890372	0.001027391	0.001363928	0.023215511	0.002850145	0.000644996	0.004395676	0.021608674	5.31E-05	0.000367701	0.000512765	0.001539055	0.001765347	6.75E-06	0.000292883	0.000275195	2.23E-05	0.000212675	6.69E-05	0.001851431	0.003427945	0	0.004002384	0.001033217	0.00012363
G[Del(T):R2]C	0.000210319	8.18E-05	0.000251579	0.00046044	0.000100217	0.000439831	0.000492239	0.000536294	0.000295125	0.005128889	0.002559847	0.002222048	0.000225573	7.20E-05	0.001802309	0.002832847	0.00106659	3.72E-06	0.001868378	0.001195487	0.001090197	6.48E-06	0.000580171	0.001154031	0.000611747	0.000830415	0.000917329	0.001539477	0.005457348	6.22E-05	0.000207233	0.000721575	0.000166592	0.00057626	0.002317355	0.007348521	0.000106696	0.000193877	2.56E-05	0.000182145	0.000257521	0.000670676	0.010832305	0	0.000214977	0.000436038	5.70E-05
G[Del(T):R2]G	0.000399325	4.13E-05	0.000274215	0.000803725	0.00018236	0.000397054	0.00226516	0.003417027	0.000164692	0.004117356	0.002656117	0.002350293	0.000711918	6.38E-05	0.000993447	0.003631434	0.000593145	2.36E-06	0.001429422	0.001452105	0.002241733	0.000650496	0.000736892	0.00216913	0.001155366	0.009206773	0.001284198	0.000635245	0.004287366	0.003329974	5.49E-05	0.000260662	0.000309479	0.000917817	0.001713551	6.75E-06	0.00016071	2.75E-05	3.61E-05	7.65E-05	6.75E-05	0.000832858	0.012340601	0	0.001903232	0.000851954	2.44E-05
G[Del(T):R3]A	0.000135719	0.001361311	0.000297722	0.000595555	0.000820346	0.001322847	0.00293725	0.001443277	0.000516159	0.005569254	0.00316987	0.002686051	0.001652237	0.000247189	0.00272132	0.005479286	0.002125471	2.94E-06	0.002320899	0.003522913	0.001671194	3.24E-06	0.001223244	0.001085547	0.000782971	0.004729754	0.000721888	0.000684198	0.002757216	0.007568984	0.000148717	0.0006073	6.78E-05	0.000864654	0.001555004	2.36E-05	0.000508096	0.006431259	4.20E-05	0.003017076	0.000184844	0.00068415	0.004113534	0	0.003971418	0.001217826	0.001577038
G[Del(T):R3]C	0.000474191	0.001331109	0.000243406	0.000570591	0.000744328	0.006893119	0.001677128	0.000769279	0.000408196	0.006751758	0.003059621	0.002094258	0.000410858	0.000280212	0.00221954	0.003966673	0.003010354	3.67E-06	0.003102333	0.001310347	0.00032833	0.000213833	0.000683449	0.00090258	0.000901522	0.0014442	0.00063608	0.000760498	0.003350177	0.001620718	0.000100955	0.000699626	0.000272807	0.002382682	0.001572789	0.003525669	0.001015236	0.00426875	0.000137328	0.003314694	0.000127554	0.000429281	0.012751954	0	0.000421617	0.000906226	0.002515207
