	C_ID1	C_ID2	C_ID3	C_ID4	C_ID5	C_ID6	C_ID7	C_ID8	C_ID9	C_ID10	C_ID11	C_ID12	C_ID13	C_ID14	C_ID15	C_ID16	C_ID17	C_ID18	C_ID19	C_ID23	ID_A	ID_B	ID_C	ID_D	ID_E	ID_F	ID_G	ID_H	ID_I	ID_J	ID_K	ID_L	ID_M	ID_N
DEL:T:1:4	0.010072935	0.033436159	0.017129582	0.00730203	0.040531107	0.012007229	0.101092396	0.003352725	0.061841612	0.008042716	0.002315479	0.010277585	0.023624541	0.011336018	0.098176333	0	0.000955053	0.091771635	0.010171576	0.006151392	0.012371398	0.013675886	0.014856802	0.009619377	0.004938929	0.014197596	0.00402623	0.007482458	0.005750095	0.003957461	0.478249168	0.022222438	0.001164921	0.02485338
DEL:T:1:5+	0.088882064	0.591759329	0.021903488	0.061549509	0.033946235	0.023831353	0.011486904	0.014092054	0.097164764	0.026540131	0.009493563	0.004962325	0.034247961	0.051891018	0.068970245	0	0.002588872	0.077877124	0.009513655	0.007195709	0.017028354	0.023875162	0.013088842	0.0150377	0.020744621	0.024888364	0.014333046	0.023510976	0.022972156	0.019496554	0.015879621	0.014923424	0.125993982	0.396385414
INS:C:1:0	0.005805601	0.002358431	0.007638563	0.000496397	0.00239077	0.003655991	0.000934527	0.003991844	0.006551657	0.016465606	0.000493113	0.002114944	0.014942223	0.55455429	0	0.353917051	0.006528984	0.006762449	0.005806588	0.002655991	0.026484711	0.004025522	0.017791634	0.017386898	0.246557182	0.004006949	0.00562549	0.011498489	0.142655411	0.003763527	0.000387178	0.021117884	0.009932393	0.005629335
INS:C:1:1	0.001247407	0.000592727	0.005098416	0.000348108	0.006261487	0.002056808	0.000675505	0.0020321	0.004777912	0.008374388	0.22893773	0.002962704	0.004100716	0.018557776	0	0.144700461	0.008476373	0.000974652	0.00561572	0.001820472	0.005562592	0.003541583	0.0046484	0.00589163	0.055159575	0.002384871	0.00376546	0.003453658	0.003411296	0.001866694	0.000380157	0.005774281	0.005416795	0.001298614
INS:C:1:2	0.001282329	0.000748413	0.004427531	0.000457175	0.006531421	0.000898652	0.000977636	0.001641406	0.002690259	0.009452806	0.116634442	0.003783981	0.002456063	0.003015367	0	0.055299539	0.011439986	0.000200911	0.003523741	0.002316788	0.002422572	0.00450483	0.002699453	0.004800238	0.01108261	0.001992911	0.003786442	0.001848685	0.00048921	0.000690507	0.000498339	0.004143571	0.005527699	0.000328127
INS:C:1:3	0.001069392	0.00101159	0.006412519	0.000744464	0.002265296	0.000549023	0.001992982	0.000730186	0.00102664	0.008552502	0.041943579	0.001927948	0.001062621	0.000941463	0	0.010138249	0.020467081	0.000239244	0.003853535	0.005988008	0.000925524	0.002403917	0.010265567	0.011286831	0.013165413	0.003154286	0.003463346	0.00171596	0.000264361	0.00172158	0.001421819	0.007061684	6.64E-05	0.0005647
INS:C:1:4	0.001494338	0.002170696	0.006520661	0.000314302	0.00070732	0.000126645	0.004419951	0.000691164	0.000977669	0.005719279	0.014905962	0.001211548	0.000686355	0.000895514	0	0.004608295	0.007190353	0.000341258	0.002982469	0.000110941	0.002864079	0.001371626	0.007084157	0.050866533	0.008596552	0.00183146	0.002428732	0.0013127	0.000220144	0.000898414	0.002039509	0.068096517	9.26E-05	0.001457388
INS:C:1:5+	0.021030842	0.011666692	0.007812163	0.001534583	0.001930169	0.000916779	0.007792842	0.00039225	0.000987472	0.019233259	0.004151023	0.002047726	0.003287396	0.001811511	0	0	0.00217522	0.000520853	0.005022847	0.001988073	0.002358682	0.002803356	0.015914943	0.285539157	0.024422339	0.003540254	0.003106926	0.002551669	0.000422414	0.005691365	0.004326237	0.428131952	0.000138847	0.017791161
INS:T:1:0	0.008039639	0.001531044	0.018697641	0.000597718	0.007950946	0.006987644	0.004477666	0.005926591	0.009306129	0.004270825	0.000502421	0.004041678	0.029507046	0.0423097	0	0.300460829	0.0077532	0.002151207	0.00784998	0.011271984	0.005811437	0.003822949	0.020162014	0.007222224	0.087004529	0.004983853	0.045742327	0.003472978	0.212884277	0.008602738	0.003800856	0.004401798	0.004029195	0.004773483
INS:T:1:1	0.007409108	0.000765804	0.038952518	0.001893358	0.027984554	0.004439427	0.000878005	0.004581999	0.011735179	0.024805094	0.238157757	0.011992298	0.014243912	0.020619249	0	0.080184332	0.039779985	0.00369862	0.015968705	0.018887345	0.010191208	0.007661618	0.025975527	0.005713161	0.023909572	0.011553521	0.248694854	0.007889635	0.038511147	0.00381328	0.001771553	0.01648398	0.027945006	0.002201493
