InDel89	InDel83	BestMatch83_1	CosSim83_1	BestMatch83_2	CosSim83_2	BestMatch83_3	CosSim83_3	BestMatch89_1	CosSim89_1	BestMatch89_2	CosSim89_2	BestMatch89_3	CosSim89_3	BestMatch476_1	CosSim476_1	BestMatch476_2	CosSim476_2	BestMatch476_3	CosSim476_3
InsDel1a	C_ID1	SP107784	0.9986181437895	SP116968	0.998299591094351	SP117290	0.998128252599273	CPCT02050439T	0.983074166206997	CPCT02030532T	0.971144454094216	SP117290	0.969200336683367	CPCT02050439T	0.977133137680596	SP117290	0.958412825984539	CPCT02010523T	0.952979982029916
InsDel1b	C_ID1	SP107784	0.9986181437895	SP116968	0.998299591094351	SP117290	0.998128252599273	SP21400	0.984963987993242	SP16886	0.983132903068587	SP22031	0.97090040792038	SP16886	0.971399962918932	SP21400	0.970117178871699	SP80615	0.958923343157165
InsDel1c	C_ID1	SP107784	0.9986181437895	SP116968	0.998299591094351	SP117290	0.998128252599273	SP112907	0.967513714201868	SP49229	0.967276600866046	CPCT02050439T	0.952252004833431	SP125809	0.90821311843689	SP125807	0.904269477659549	SP112907	0.900924071642789
InsDel2a	C_ID2	DRUP01080031T	0.999575040979855	DRUP01070038T	0.999511360598688	CPCT02330125T	0.999509351683793	SP17172	0.971029412189185	SP123975	0.970304493936174	DRUP01070038T	0.969811209278693	CPCT02011050T	0.980234172421836	WIDE01010075T	0.978641821400536	CPCT02040169T	0.97679946349961
InsDel2b	C_ID2	DRUP01080031T	0.999575040979855	DRUP01070038T	0.999511360598688	CPCT02330125T	0.999509351683793	SP96118	0.964494916609992	SP99301	0.893603723343383	SP93227	0.875494139474319	SP96118	0.965908195186572	SP99301	0.861284616344918	SP93227	0.815188503289776
InsDel2c	C_ID2	DRUP01080031T	0.999575040979855	DRUP01070038T	0.999511360598688	CPCT02330125T	0.999509351683793	DRUP01330020T	0.974439597175431	CPCT02330076T	0.972217585822281	CPCT02120032T	0.960294929630727	DRUP01330020T	0.985468874889204	CPCT02330076T	0.97019333233258	CPCT02120032T	0.905061454185507
InsDel3a	C_ID3	CPCT02020815T	0.99730031971518	CPCT02080086T	0.997112251466011	CPCT02220023T	0.996666362569468	CPCT02050436T	0.973836073710126	CPCT02020958T	0.966686813328831	CPCT02120107T	0.955742293245856	CPCT02040317T	0.939627381129929	CPCT02040194T	0.933434343692828	CPCT02390002T	0.93244757461168
InsDel3b	C_ID3	CPCT02020815T	0.99730031971518	CPCT02080086T	0.997112251466011	CPCT02220023T	0.996666362569468	CPCT02080086T	0.995211832210858	CPCT02020815T	0.994718820530685	CPCT02010373T	0.994444556272753	CPCT02020815T	0.992475622206605	CPCT02390032T	0.988739427501091	CPCT02010780T	0.987728069982818
InsDel4	C_ID4	SP23925	0.985571289594258	SP48008	0.97622990469754	CPCT02100089T	0.933306385852253	SP48008	0.984487609190074	SP23925	0.983007337741878	CPCT02100089T	0.97964665547513	SP23925	0.951369987522172	CPCT02100089T	0.94442890984436	SP48008	0.944193811511174
InsDel5a	C_ID5	SP102755	0.994799526803795	SP97161	0.993891073048625	SP103694	0.993130130916355	SP97194	0.990772393970387	SP39298	0.989933693663488	SP103706	0.989479444736298	SP97194	0.971762017147498	SP102755	0.966264827289455	SP103694	0.964137895556705
InsDel5b	C_ID5	SP102755	0.994799526803795	SP97161	0.993891073048625	SP103694	0.993130130916355	SP112290	0.982577764655484	SP107047	0.978137829451726	SP50147	0.977599072725298	SP112290	0.944499434339349	SP112168	0.932236808600857	SP50147	0.931077525462889
InsDel5c	C_ID5	SP102755	0.994799526803795	SP97161	0.993891073048625	SP103694	0.993130130916355	SP8564	0.93439271726825	SP10944	0.934292008362166	SP59803	0.933736439647612	SP28659	0.907751105617293	SP23775	0.901151250067482	SP25494	0.899856053518902
InsDel6	C_ID6	SP67609	0.995324627330793	SP102045	0.995003608942141	SP102035	0.992535120940806	SP102035	0.994938158413937	SP67609	0.994364174305185	SP62616	0.993575138769184	SP67609	0.993925182660969	CPCT02030278T	0.992621306292821	DRUP01020002T	0.992238602901561
InsDel7	C_ID7	SP13539	0.389411641372967	WES::TCGA-EW-A2FV-01A-11D-A17D-09	0.380065920370238	SP48263	0.379440284895142	WIDE01010075T	0.996684575925649	CPCT02010441T	0.99645801043141	CPCT02010786T	0.995566155816521	WIDE01010075T	0.995235009006846	CPCT02050211T	0.995216846791431	DRUP01010022T	0.994238417877283
InsDel8	C_ID8	CPCT02070336T	0.970244651996843	SP116365	0.952341320411853	CPCT02240008T	0.938218044635639	CPCT02070336T	0.991418420322135	SP975	0.979010935408161	SP49124	0.975958595145124	CPCT02070336T	0.997890073511085	WIDE01010565T	0.984908982976984	CPCT02010639T	0.965149362206265
InsDel9	C_ID9	SP102617	0.948672769079141	SP121790	0.938824620964939	SP48850	0.935672208255546	SP102617	0.925869317999378	SP48850	0.917789408413317	SP121761	0.917179340679138	SP116520	0.844528457168803	SP121761	0.832560427868899	SP121781	0.828695078974467
