InDel89	InDel83	BestMatch83_1	CosSim83_1	BestMatch83_2	CosSim83_2	BestMatch83_3	CosSim83_3	BestMatch89_1	CosSim89_1	BestMatch89_2	CosSim89_2	BestMatch89_3	CosSim89_3	BestMatch476_1	CosSim476_1	BestMatch476_2	CosSim476_2	BestMatch476_3	CosSim476_3
InsDel10	C_ID10	SP109957	0.64229259145145	CPCT02020350T	0.632822935180134	CPCT02140107T	0.608489498881134	SP109957	0.845720421013182	CPCT02050117T	0.831283465077687	CPCT02020350T	0.824826702673985	SP109957	0.796363383376025	SP114020	0.724766144801643	CPCT02050117T	0.698172395121567
InsDel11	C_ID11	SP77956	0.998961052298812	SP99317	0.540177906080219	CPCT02020922T	0.521165676459691	SP77956	0.999995230749492	WES::TCGA-13-0889-01A-01W-0420-08	0.964923004249162	DRUP01340014T	0.827167730464148	SP77956	0.999851336491643	CPCT02130184T	0.33450629120512	SP106631	0.310867819912879
InsDel12	C_ID12	SP112985	0.957725008345408	SP112959	0.941001085515421	SP112947	0.740722621263675	SP112947	0.970118693726864	SP112985	0.949838694173454	SP112959	0.936380120912626	SP112947	0.947101463255207	SP112985	0.946706026023197	SP112959	0.927095052710605
InsDel13	C_ID13	CPCT02050424T	0.991277552763297	SP124439	0.990914118163772	CPCT02060291T	0.989949787179752	CPCT02060291T	0.990794528992823	CPCT02020670T	0.990125465706571	CPCT02050424T	0.988574244838887	CPCT02050424T	0.995274202264568	CPCT02020670T	0.987050211318451	CPCT02020670TII	0.985843350199336
InsDel14	C_ID14	CPCT02340014T	0.996518621641004	DRUP01340003T	0.995598094639742	CPCT02050104T	0.981033554211124	CPCT02340014T	0.994521225326853	DRUP01340003T	0.992771237323073	CPCT02050104T	0.992101913407387	CPCT02050104T	0.983947390916094	SP81137	0.979284965751572	CPCT02340014T	0.977530389706925
InsDel15	C_ID15	WES::TCGA-EW-A2FV-01A-11D-A17D-09	0.99811613478244	WES::TCGA-D8-A27V-01A-12D-A17D-09	0.996525568757139	CPCT02390002T	0.736636110051798	WES::TCGA-EW-A2FV-01A-11D-A17D-09	0.997152554293266	WES::TCGA-D8-A27V-01A-12D-A17D-09	0.994381752914738	CPCT02020872T	0.744246354639328	WES::TCGA-EW-A2FV-01A-11D-A17D-09	0.994716043533508	WES::TCGA-D8-A27V-01A-12D-A17D-09	0.990544274945614	CPCT02390002T	0.628463364522258
InsDel16	C_ID16	WES::TCGA-13-0889-01A-01W-0420-08	1	CPCT02340014T	0.748111354164747	DRUP01340003T	0.74683907088667	WES::TCGA-13-0889-01A-01W-0420-08	1	SP77956	0.965288343604444	DRUP01340014T	0.847706720595181	WES::TCGA-13-0889-01A-01W-0420-08	1	SP107439	0.407242461618128	DRUP01340015T	0.320125160699962
InsDel17	C_ID17	CPCT02250003T	0.996899575066974	SP123969	0.533714677265341	CPCT02080036T	0.508742962082689	CPCT02250003T	0.999914468410852	WIDE01010018T	0.609567589181277	CPCT02060261T	0.603193578905734	CPCT02250003T	0.999835057913585	CPCT02060261T	0.592340020290397	WIDE01010018T	0.55998669634783
InsDel18	C_ID18	CPCT02070053T	0.985825843801974	CPCT02020717T	0.958149063516925	CPCT02160021T	0.844147803085538	CPCT02070053T	0.995835062831407	CPCT02160021T	0.966016282084191	CPCT02020717T	0.960104719466576	CPCT02070053T	0.986804557901822	CPCT02160021T	0.952257777097956	CPCT02020717T	0.944857034344549
InsDel19a	C_ID19	CPCT02080139T	0.989493745149078	CPCT02060224T	0.988216158327858	CPCT02340081T	0.986734355832431	CPCT02010408TII	0.949421224357304	CPCT02110035T	0.946437699790712	CPCT02010458T	0.946242373583286	CPCT02010408T	0.875144430541776	CPCT02060033T	0.872402227416095	CPCT02340026T	0.860949567398371
InsDel19b	C_ID19	CPCT02080139T	0.989493745149078	CPCT02060224T	0.988216158327858	CPCT02340081T	0.986734355832431	CPCT02050192T	0.99220397390673	CPCT02060224T	0.990671366578342	CPCT02030471T	0.987514374464334	CPCT02340081T	0.986756133912914	CPCT02060224T	0.981197842686132	CPCT02030447T	0.9809766665241
InsDel23	C_ID23	SP102957	0.966402041535507	SP103507	0.920391497139166	SP103535	0.881061216490809	SP102957	0.96057484601985	SP103507	0.925479753214067	SP103535	0.914504490093472	SP102957	0.926005386424851	SP103507	0.869882699195704	SP103535	0.818181864692416
InsDel_A_alpha	ID_A	SP2293	0.822699200368759	SP3631	0.792969306245495	SP116593	0.777333474801149	CPCT02120078T	0.809677297640414	SP1132	0.800105624956476	SP116893	0.786882015190081	CPCT02120078T	0.763564608542275	CPCT02220006T	0.731388190287215	CPCT02070232T	0.730777865155622
InsDel_A_beta	ID_A	SP2293	0.822699200368759	SP3631	0.792969306245495	SP116593	0.777333474801149	SP2293	0.936066840683912	SP117369	0.901313991708819	SP3631	0.879700405695184	SP2293	0.94202084114112	CPCT02080153T	0.92551618159828	CPCT02020436T	0.903009732719006
InsDel_B	ID_B	SP116578	0.983005770991429	WIDE01010040T	0.969167990317567	CPCT02020413T	0.965867187929797	CPCT02020413T	0.987166551716017	SP29559	0.98555391427544	WIDE01010040T	0.982771998815775	CPCT02020413T	0.971914957765226	CPCT02080045T	0.96469275945853	WIDE01010040T	0.960945346790235
InsDel_C	ID_C	CPCT02010772T	0.8267456708621	SP102957	0.746012551287737	SP103507	0.742343005288694	CPCT02010772T	0.971347929011293	SP82445	0.935800465027213	SP124439	0.933775478911159	CPCT02010772T	0.958339841141185	CPCT02020796T	0.72929638162372	SP102973	0.556581220241897
InsDel_D	ID_D	SP116834	0.43129577199813	SP70106	0.409194542424139	CPCT02050149T	0.403745246584407	CPCT02100101T	0.987890980723224	SP102133	0.976727403214997	CPCT02130146T	0.917072517381042	SP102133	0.999743108498999	CPCT02100101T	0.958707590298968	WIDE01010443T	0.925758451488085
InsDel_E	ID_E	DRUP01340015T	0.898847174806932	DRUP01340003T	0.876269758586363	CPCT02340014T	0.873298182009655	DRUP01340014T	0.977612988537665	DRUP01340015T	0.958148697937785	DRUP01080024T	0.947343815478868	DRUP01340014T	0.937108255191131	DRUP01340015T	0.894228938690982	DRUP01080024T	0.883685804930336
InsDel_F	ID_F	SP5559	0.968303600220815	DRUP01030028T	0.959248629031228	CPCT02130170T	0.956094903166342	DRUP01030028T	0.992503948289454	CPCT02130170T	0.987617770624831	CPCT02340010T	0.982825858427463	DRUP01030028T	0.989916401342424	CPCT02130170T	0.989227349599332	CPCT02340010T	0.987959930114898
InsDel_G	ID_G	SP77956	0.732165023258778	SP99317	0.703798038300632	DRUP01030015T	0.656908688833949	DRUP01030015T	0.954658409557154	DRUP01270004T	0.886634070290869	CPCT02070394T	0.878951228547911	DRUP01030015T	0.89551888167525	DRUP01270004T	0.801912360592001	CPCT02070394T	0.790150249067695
InsDel_H	ID_H	CPCT02010648T	0.814121696364027	SP2714	0.769539338227838	CPCT02070360T	0.757239712249672	CPCT02010648T	0.820571179664792	CPCT02070484T	0.743531814794645	CPCT02010840T	0.741905848383482	CPCT02010648T	0.691459114338858	CPCT02090002T	0.520643645085847	WIDE01010138T	0.514325171443849
InsDel_I	ID_I	SP107439	0.967598279828617	SP116456	0.804185705473957	WES::TCGA-13-0889-01A-01W-0420-08	0.692225754987813	SP107439	0.999773004244467	CPCT02140095T	0.703083892494625	SP124415	0.700196291905933	SP107439	0.997679043720841	CPCT02090032T	0.550864708166944	CPCT02460002T	0.533283934045356
InsDel_J	ID_J	SP112959	0.734266867261839	SP112985	0.71306612667676	SP85787	0.560896046066051	SP112959	0.717737931523417	SP112865	0.679604190959305	CPCT02100092T	0.628663037454874	SP112959	0.740483108756291	SP112985	0.699577171353646	SP112969	0.648981084449522
InsDel_K	ID_K	SP112257	0.567227495964193	WES::TCGA-D8-A27V-01A-12D-A17D-09	0.537965101859826	SP80216	0.536053455683023	SP17905	0.857208955241132	SP93227	0.830898466402374	SP111014	0.78800709442902	SP17905	0.857836027319622	SP93227	0.784833014204574	SP90209	0.675567213434015
InsDel_L	ID_L	SP70106	0.586961074990721	DRUP01070059T	0.532665633175537	SP116834	0.491947366247501	CPCT02450014T	0.965794892166284	CPCT02050149T	0.712066866563295	SP125696	0.63700050241829	CPCT02450014T	0.940623718769858	CPCT02050149T	0.646356757825377	CPCT02130146T	0.642538974250689
InsDel_M	ID_M	SP102617	0.719554192924328	SP112777	0.718656820345904	SP116419	0.662089346550628	SP112777	0.999915018165147	CPCT02230098T	0.584799506125904	CPCT02200005T	0.558069529215113	SP112777	0.994583527577986	CPCT02200005T	0.443518972088524	CPCT02230098T	0.434522181179842
InsDel_N_alpha	ID_N	SP111038	0.999111403680095	SP85339	0.998776894243136	SP59312	0.998496484058177	SP93227	0.984044585119664	SP90209	0.977037729169949	SP18946	0.901807393128669	SP90209	0.952243640465706	SP93227	0.94971705179141	SP18946	0.897613911880541
InsDel_N_beta	ID_N	SP111038	0.999111403680095	SP85339	0.998776894243136	SP59312	0.998496484058177	SP111038	0.984978168725015	SP85339	0.980447703289982	SP111095	0.979812834301683	SP111038	0.967306964657898	SP111033	0.967038555237857	SP111076	0.964771573010447
