De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID2 (100.00%), 27.78,  9.25, 0.818, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (78.20%) & Signature ID2 (21.80%), 18.46,  4.79, 0.296, 1.00, 1.00
Signature 83-ID83C, Signature ID1 (38.52%) & Signature ID2 (19.18%) & Signature ID8 (16.08%) & Signature ID19 (26.22%), 45.53,  17.03, 0.289, 0.99, 0.99
Signature 83-ID83D, Signature ID3 (22.40%) & Signature ID5 (48.94%) & Signature ID9 (28.66%), 31.71,  25.34, 0.138, 0.97, 0.96
Signature 83-ID83E, Signature ID14 (100.00%), 59.02,  39.97, 0.301, 0.92, 0.91
