MutationType	ID83A	ID83B	ID83C
1:Del:C:0	0.01614757	0.07935613	0.01294456
1:Del:C:1	0.01067040	0.06305549	0.01144043
1:Del:C:2	0.00606353	0.03345253	0.00905465
1:Del:C:3	0.00306605	0.01191024	0.00537171
1:Del:C:4	0.00172217	0.00855973	0.00143266
1:Del:C:5	0.01095673	0.00292209	0.00727656
1:Del:T:0	0.01364197	0.05723617	0.01503335
1:Del:T:1	0.01185680	0.03831508	0.01174294
1:Del:T:2	0.00916828	0.03344329	0.01137469
1:Del:T:3	0.01407898	0.02880995	0.00392018
1:Del:T:4	0.01843052	0.02046503	0.00628948
1:Del:T:5	0.37138746	0.00403156	0.01456649
1:Ins:C:0	0.07363295	0.00000026	0.00060011
1:Ins:C:1	0.00429529	0.00262546	0.00493198
1:Ins:C:2	0.00179213	0.00335252	0.00088907
1:Ins:C:3	0.00167842	0.00068854	0.00350695
1:Ins:C:4	0.00302052	0.00046478	0.00231425
1:Ins:C:5	0.00951221	0.00596108	0.01554116
1:Ins:T:0	0.01714751	0.00513426	0.01242602
1:Ins:T:1	0.01739628	0.04062115	0.00722331
1:Ins:T:2	0.01134838	0.00923490	0.00511841
1:Ins:T:3	0.00552351	0.00890842	0.00583839
1:Ins:T:4	0.00886555	0.00266419	0.00560561
1:Ins:T:5	0.20431899	0.04553296	0.35726574
2:Del:R:0	0.00455923	0.01779303	0.00891777
2:Del:R:1	0.00648657	0.01894001	0.01572536
2:Del:R:2	0.00120210	0.00587443	0.00423716
2:Del:R:3	0.00145379	0.00072168	0.00447820
2:Del:R:4	0.00116258	0.00027961	0.00214764
2:Del:R:5	0.00363439	0.04184980	0.00077911
3:Del:R:0	0.00117274	0.00830502	0.00289613
3:Del:R:1	0.00283118	0.02914786	0.01596818
3:Del:R:2	0.00019158	0.00607519	0.00303613
3:Del:R:3	0.00000000	0.00345612	0.00105295
3:Del:R:4	0.00022850	0.00534668	0.00035324
3:Del:R:5	0.00000000	0.00721906	0.00112863
4:Del:R:0	0.00145669	0.00384080	0.00657639
4:Del:R:1	0.00305941	0.03553984	0.00578963
4:Del:R:2	0.00251131	0.00611562	0.00134748
4:Del:R:3	0.00098670	0.00553203	0.00201462
4:Del:R:4	0.00000000	0.00444971	0.00013530
4:Del:R:5	0.00045896	0.00113780	0.00039538
5:Del:R:0	0.00606036	0.04326884	0.06296186
5:Del:R:1	0.00261220	0.00728177	0.00620594
5:Del:R:2	0.00024924	0.00251752	0.00115014
5:Del:R:3	0.00044820	0.00012342	0.00030788
5:Del:R:4	0.00000002	0.00000136	0.00000009
5:Del:R:5	0.00000000	0.00074572	0.00000003
2:Ins:R:0	0.01044518	0.00511099	0.01293693
2:Ins:R:1	0.00100872	0.00536053	0.00395360
2:Ins:R:2	0.00082954	0.00354782	0.00089344
2:Ins:R:3	0.00154535	0.00031540	0.00069071
2:Ins:R:4	0.00285400	0.00000001	0.00453005
2:Ins:R:5	0.02075197	0.00260689	0.03155798
3:Ins:R:0	0.00231469	0.00153260	0.00738837
3:Ins:R:1	0.00103719	0.00411704	0.00303071
3:Ins:R:2	0.00038616	0.00030373	0.00016530
3:Ins:R:3	0.00000002	0.00000136	0.00000009
3:Ins:R:4	0.00000000	0.00000051	0.00050601
3:Ins:R:5	0.00117514	0.00003123	0.00338554
4:Ins:R:0	0.00573748	0.00000001	0.01064246
4:Ins:R:1	0.00258172	0.00472248	0.00554201
4:Ins:R:2	0.00041402	0.00000173	0.00133108
4:Ins:R:3	0.00116778	0.00000014	0.00037341
4:Ins:R:4	0.00116452	0.00000031	0.00000000
4:Ins:R:5	0.00135778	0.00017006	0.00339186
5:Ins:R:0	0.01205955	0.00000000	0.10478856
5:Ins:R:1	0.00454501	0.01628407	0.00754402
5:Ins:R:2	0.00065866	0.00111620	0.00118921
5:Ins:R:3	0.00018268	0.00025606	0.00057386
5:Ins:R:4	0.00023661	0.00048164	0.00000001
5:Ins:R:5	0.00024055	0.00063206	0.00040453
2:Del:M:1	0.00775565	0.01982715	0.01553531
3:Del:M:1	0.00103913	0.00390176	0.00343553
3:Del:M:2	0.00337874	0.02029278	0.00676787
4:Del:M:1	0.00046638	0.00480817	0.00262224
4:Del:M:2	0.00239429	0.02018185	0.00350577
4:Del:M:3	0.00228839	0.03000805	0.00240523
5:Del:M:1	0.00526292	0.03674832	0.03852278
5:Del:M:2	0.00580973	0.02331331	0.02025195
5:Del:M:3	0.00375833	0.01468332	0.01166819
5:Del:M:4	0.00325728	0.00863263	0.00147235
5:Del:M:5	0.00540698	0.00870109	0.00967913
