MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	1.55E-04	1.91E-04	8.66E-04	9.18E-04	2.46E-03	1.03E-03	1.39E-03	6.39E-03	1.15E-03
1:Del:C:1	4.24E-05	1.36E-04	2.64E-04	3.57E-03	4.32E-04	3.47E-04	3.81E-04	1.12E-03	5.33E-04
1:Del:C:2	6.95E-05	5.04E-05	1.69E-04	3.03E-03	6.52E-04	8.55E-05	2.25E-04	1.98E-03	3.59E-04
1:Del:C:3	3.94E-05	6.22E-05	7.36E-05	1.16E-03	2.92E-04	1.20E-04	1.40E-04	6.89E-04	1.96E-04
1:Del:C:4	3.42E-04	3.98E-05	5.28E-05	1.20E-03	1.07E-04	6.39E-05	8.16E-05	3.47E-04	1.91E-04
1:Del:C:5	1.32E-03	2.14E-04	4.83E-05	4.87E-03	8.66E-05	4.25E-05	2.38E-04	4.11E-04	2.76E-04
1:Del:T:0	2.95E-05	1.90E-04	1.68E-04	5.00E-03	2.57E-03	7.97E-04	4.29E-04	1.16E-03	8.85E-04
1:Del:T:1	3.34E-05	1.54E-04	1.38E-04	4.23E-03	2.40E-03	6.57E-04	3.03E-04	9.93E-04	6.65E-04
1:Del:T:2	9.19E-05	1.35E-04	2.32E-04	3.57E-03	1.63E-03	5.42E-04	1.03E-04	9.73E-04	4.44E-04
1:Del:T:3	2.82E-04	1.34E-04	2.00E-04	2.32E-03	6.79E-04	3.66E-04	3.80E-05	6.04E-04	3.39E-04
1:Del:T:4	7.03E-04	1.26E-04	3.73E-04	1.99E-03	6.19E-04	3.33E-04	2.58E-05	7.54E-04	3.76E-04
1:Del:T:5	4.48E-03	8.02E-04	9.89E-04	1.73E-02	9.59E-04	1.61E-03	1.11E-03	8.05E-04	1.19E-03
1:Ins:C:0	2.79E-05	0.00E+00	1.14E-04	1.76E-07	5.66E-05	3.05E-08	1.40E-47	0.00E+00	3.68E-03
1:Ins:C:1	7.36E-06	4.88E-05	3.95E-05	4.49E-04	2.13E-04	1.80E-04	1.12E-04	1.33E-04	5.42E-04
1:Ins:C:2	6.00E-06	4.90E-05	2.07E-05	4.80E-04	2.30E-04	1.65E-04	1.02E-04	1.08E-04	2.29E-04
1:Ins:C:3	1.27E-05	4.37E-05	0.00E+00	2.92E-04	1.35E-04	6.51E-05	1.02E-04	1.03E-04	2.25E-04
1:Ins:C:4	3.70E-05	4.70E-05	2.86E-06	1.72E-04	5.93E-05	9.42E-05	9.39E-05	1.43E-04	1.92E-04
1:Ins:C:5	1.52E-04	1.26E-04	3.10E-08	3.81E-04	1.99E-04	1.41E-04	2.25E-04	1.33E-04	3.50E-04
