MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
2:Del:R:0	3.51E-04	7.79E-04	3.02E-04	5.13E-04	1.80E-03	8.99E-04	1.33E-03	1.76E-04	6.29E-04	1.26E-03	1.51E-03	1.93E-03	1.58E-03	1.01E-03	1.10E-03	1.01E-03	6.50E-04	2.32E-03	3.17E-03	1.83E-03
2:Del:R:1	4.23E-04	1.89E-03	8.05E-04	9.32E-04	3.48E-03	2.00E-03	1.91E-03	3.68E-04	1.11E-04	1.41E-03	1.43E-03	2.57E-03	1.37E-03	1.48E-03	2.12E-03	8.82E-04	1.32E-03	3.06E-03	5.06E-03	2.66E-03
2:Del:R:2	2.27E-04	3.91E-04	3.62E-04	2.57E-04	1.15E-03	1.62E-03	4.25E-04	1.03E-04	3.78E-04	5.12E-04	9.14E-04	2.07E-03	6.19E-04	4.15E-04	6.23E-04	7.81E-04	6.81E-04	2.02E-03	1.62E-03	6.67E-04
2:Del:R:3	8.51E-04	1.55E-03	9.09E-04	2.92E-04	4.11E-03	1.16E-03	5.23E-04	4.59E-05	1.64E-04	7.46E-04	2.96E-04	5.77E-04	8.11E-04	7.93E-05	9.56E-04	1.75E-04	1.89E-04	8.69E-04	1.04E-03	1.06E-03
2:Del:R:4	4.52E-04	8.73E-04	4.58E-04	2.12E-04	2.00E-03	6.38E-04	2.51E-04	1.13E-05	1.82E-04	4.33E-04	1.97E-04	4.36E-04	9.32E-04	3.25E-04	5.25E-04	7.17E-05	1.64E-04	5.82E-04	4.88E-04	5.90E-04
2:Del:R:5	1.27E-03	2.39E-03	1.26E-03	1.43E-04	6.82E-03	1.16E-03	7.26E-04	1.29E-05	1.24E-04	9.54E-04	2.70E-04	6.16E-04	1.32E-03	8.74E-05	1.50E-03	3.13E-08	2.39E-08	5.32E-04	1.25E-03	1.31E-03
3:Del:R:0	7.82E-05	2.69E-04	2.41E-04	5.54E-04	9.33E-04	5.13E-04	8.13E-04	2.08E-04	3.20E-04	4.54E-04	6.97E-04	1.29E-03	6.76E-04	1.04E-03	2.43E-04	2.99E-04	0.00E+00	8.19E-04	1.25E-03	7.98E-04
3:Del:R:1	3.40E-04	1.90E-03	4.31E-04	6.95E-04	2.50E-03	4.20E-03	2.96E-03	9.69E-05	5.78E-04	1.48E-03	2.43E-03	1.76E-03	9.76E-04	9.46E-04	2.18E-03	7.54E-04	5.86E-04	2.93E-03	6.50E-03	1.89E-03
3:Del:R:2	1.90E-04	4.05E-04	2.39E-04	1.02E-04	8.08E-04	1.98E-03	7.12E-04	6.99E-05	2.04E-04	3.87E-04	6.03E-04	1.18E-03	4.71E-04	3.39E-04	8.16E-04	3.76E-04	3.91E-04	1.10E-03	1.54E-03	6.03E-04
3:Del:R:3	7.48E-05	2.53E-04	5.27E-05	1.59E-04	2.40E-04	7.46E-04	1.80E-04	3.77E-05	3.29E-05	1.81E-04	2.64E-04	5.27E-04	3.30E-04	1.59E-04	1.59E-04	7.47E-05	1.53E-04	5.63E-04	3.73E-04	3.11E-04
