Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP116536	28	15	19	0	22	0	4	12
SP116539	3	0	5	0	6	3	0	6
SP116542	1	4	3	0	9	0	10	3
SP116545	0	0	8	0	20	0	1	0
SP116548	6	8	6	0	7	0	7	6
SP116550	1	1	0	0	2	0	2	0
SP116553	3	16	1	1	9	1	4	0
SP116557	0	0	0	2	1	5	1	0
SP116559	3	6	5	0	15	0	5	6
SP116562	15	20	1	2	2	0	4	2
SP116564	3	4	11	2	2	6	14	4
SP116571	3	0	12	0	4	1	4	2
SP116393	0	0	0	0	0	2	0	0
SP116442	0	0	0	0	3	0	1	0
SP116446	0	1	2	0	0	1	4	2
SP116419	22	0	16	0	55	2	13	23
SP116383	184	26	155	5	29	51	43	10
SP116385	33	66	21	2	19	27	45	13
SP116440	35	35	23	0	12	8	36	30
SP116450	181	107	67	5	38	0	39	7
SP116493	3	33	3	0	22	3	10	9
SP116391	8	12	29	0	19	3	2	1
SP116401	30	14	3	0	7	0	9	3
SP116409	15	41	19	0	15	4	39	11
SP116416	3	0	5	0	11	3	4	5
SP116424	7	3	1	0	6	2	10	5
SP116515	29	0	10	2	28	13	3	9
SP116499	11	0	55	7	60	23	0	2
SP116505	0	147	91	3	24	10	3	0
SP116509	29	7	59	3	47	20	8	9
SP116437	20	8	4	0	22	0	1	10
SP116512	27	32	33	0	57	4	233	0
SP116465	0	0	59	1	0	17	115	0
SP116496	244	49	57	0	87	53	47	15
SP116525	77	15	51	0	74	5	24	8
SP116481	0	11	6	2	16	5	1	0
SP116586	9	3	6	0	32	11	8	6
SP116528	46	225	24	1	31	10	27	11
SP116589	98	74	64	10	92	54	3	0
SP116406	13	2	37	2	38	7	18	0
SP116484	0	2	7	3	23	2	6	0
SP116453	17	11	13	1	35	0	16	6
SP116469	230	25	16	0	72	38	37	14
SP116578	495	18	31	3	3	143	26	0
SP116531	5	41	8	0	22	2	14	6
SP116593	0	2	7	2	44	1	2	4
SP116487	4	7	2	0	5	7	5	0
SP116456	2	3	4	0	11	0	7	22
SP116472	21	34	77	5	28	47	20	7
SP116518	22	116	215	7	143	21	43	0
SP116412	7	19	38	0	37	0	2	0
SP116534	19	8	23	0	16	17	0	6
SP116596	135	27	14	0	114	27	33	48
SP116490	0	14	68	0	44	23	8	0
SP116459	34	29	45	1	58	10	24	0
SP116475	3	33	31	1	35	2	5	3
SP116520	37	14	53	0	114	15	12	7
SP116431	31	55	40	6	109	4	24	15
SP116582	71	117	72	0	70	47	11	5
SP116599	4	28	78	0	29	1	10	9
SP116478	0	16	49	3	87	9	5	0
SP116462	14	30	23	0	17	5	13	0
SP116523	20	46	36	0	19	6	0	0
SP116434	17	8	2	0	0	0	0	0
SP122725	46	70	65	1	41	18	54	0
SP122476	47	16	23	8	105	37	15	28
SP122372	211	0	0	0	47	0	10	19
SP122489	20	31	32	0	62	3	17	16
SP122560	33	48	29	3	36	23	6	5
SP122590	36	9	34	1	83	11	17	2
SP122714	21	17	11	4	51	13	25	6
SP121870	15	42	78	0	47	7	25	12
SP123010	47	89	23	3	41	13	58	4
SP121865	62	14	46	3	55	4	19	11
SP122676	16	150	55	5	98	23	17	7
SP122412	45	30	8	6	33	25	31	10
SP122392	85	139	95	5	140	198	92	6
SP122634	51	29	31	0	50	15	29	12
SP122702	39	31	34	5	94	6	24	43
SP121828	44	35	8	0	67	18	12	25
SP121783	83	7	17	1	95	28	11	0
SP121774	92	41	58	2	193	32	31	0
SP121790	32	11	34	2	112	23	9	8
SP121859	31	26	29	0	82	13	19	30
SP121808	39	16	5	3	25	2	18	24
SP121781	104	34	95	2	209	30	63	17
SP121763	53	16	10	1	47	21	13	0
SP121811	54	21	4	1	51	53	9	8
SP121852	65	31	33	6	72	25	1	22
SP122361	76	33	283	3	141	32	121	0
SP121837	55	6	11	2	37	16	18	9
SP121824	44	0	0	0	41	16	14	2
SP121841	24	0	28	0	49	1	9	5
SP121831	36	35	41	7	77	24	0	0
SP121761	54	72	34	3	175	22	21	3
SP121816	43	20	30	1	114	15	20	25
SP121861	6	2	0	1	1	1	0	5
SP121847	57	33	31	2	90	17	11	4
DRUP01010001T	123	68	47	27	81	51	109	52
CPCT02010424T	224	117	38	34	103	27	36	72
CPCT02010349T	35	12	6	9	22	9	30	21
CPCT02020325T	0	76	30	89	19	19	58	50
CPCT02030246T	45	45	42	69	64	30	41	24
CPCT02070010T	5	89	43	53	34	17	23	33
CPCT02010370T	52	2	44	37	76	41	1	0
CPCT02010369T	266	168	93	105	99	92	86	57
CPCT02070013T	416	86	115	90	91	62	20	15
CPCT02060018T	0	76	12	62	44	16	32	37
CPCT02060022T	46	74	37	54	32	7	44	30
CPCT02070009T	43	120	74	129	93	34	53	35
CPCT02010398T	371	23	85	148	0	28	31	5
CPCT02010408T	10	75	16	92	26	44	79	42
CPCT02030246TII	35	70	47	27	90	28	52	36
CPCT02010386T	72	181	128	66	131	21	11	5
CPCT02020309T	32	169	71	197	42	13	42	11
CPCT02080045T	678	51	167	43	105	129	51	36
CPCT02020398T	27	34	46	46	9	50	45	9
CPCT02010392T	88	8	11	128	3	0	24	2
CPCT02090003T	0	132	26	93	43	32	10	26
CPCT02060274T	45	119	124	55	42	56	30	69
CPCT02020650T	364	109	25	98	89	0	45	0
CPCT02080181T	44	68	32	56	75	6	56	46
DRUP01340015T	0	66	25	101	1	29	40	398
CPCT02070436T	178	115	299	166	11	1961	28	41
CPCT02050225TII	4	83	55	88	21	20	73	38
DRUP01070031T	0	215	15	63	23	9	19	31
CPCT02070278T	11	45	21	62	12	12	29	32
