InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_M	InsDel_N_alpha	InsDel_N_beta
11	0.0100729	0.0100729	0.0100729	0.0334362	0.0334362	0.0334362	0.0171296	0.0171296	0.007302	0.0405311	0.0405311	0.0405311	0.0120072	0.1010924	0.0033527	0.0618416	0.0080427	0.0023155	0.0102776	0.0236245	0.011336	0.0009551	0.0917716	0.0101716	0.0101716	0.0061514	0.0123714	0.0123714	0.0136758858282537	0.0148568	0.00961937728632244	0.0049389	0.0141976	0.0040262	0.0074825	0.0057501	0.0039575	0.4782492	0.0222224	0.0011649	0.0248534	0.0248534
12	0.0888821	0.0888821	0.0888821	0.5917593	0.5917593	0.5917593	0.0219035	0.0219035	0.0615495	0.0339462	0.0339462	0.0339462	0.0238314	0.0114869	0.0140921	0.0971648	0.0265401	0.0094936	0.0049623	0.034248	0.051891	0.0025889	0.0778771	0.0095137	0.0095137	0.0071957	0.0170284	0.0170284	0.0238751621798905	0.0130888	0.0150376997797023	0.0207446	0.0248884	0.014333	0.023511	0.0229722	0.0194966	0.0158796	0.0149234	0.125994	0.3963854	0.3963854
13	0.0058056	0.0058056	0.0058056	0.0023584	0.0023584	0.0023584	0.0076386	0.0076386	0.0004964	0.0023908	0.0023908	0.0023908	0.003656	0.0009345	0.0039918	0.0065517	0.0164656	0.0004931	0.0021149	0.0149422	0.5545543	0.006529	0.0067624	0.0058066	0.0058066	0.002656	0.0264847	0.0264847	0.00402552218747252	0.0177916	0.0173868982840857	0.2465572	0.0040069	0.0056255	0.0114985	0.1426554	0.0037635	0.0003872	0.0211179	0.0099324	0.0056293	0.0056293
14	0.0012474	0.0012474	0.0012474	0.0005927	0.0005927	0.0005927	0.0050984	0.0050984	0.0003481	0.0062615	0.0062615	0.0062615	0.0020568	0.0006755	0.0020321	0.0047779	0.0083744	0.2289377	0.0029627	0.0041007	0.0185578	0.0084764	0.0009747	0.0056157	0.0056157	0.0018205	0.0055626	0.0055626	0.00354158256310136	0.0046484	0.00589163043176096	0.0551596	0.0023849	0.0037655	0.0034537	0.0034113	0.0018667	0.0003802	0.0057743	0.0054168	0.0012986	0.0012986
15	0.0012823	0.0012823	0.0012823	0.0007484	0.0007484	0.0007484	0.0044275	0.0044275	0.0004572	0.0065314	0.0065314	0.0065314	0.0008987	0.0009776	0.0016414	0.0026903	0.0094528	0.1166344	0.003784	0.0024561	0.0030154	0.01144	0.0002009	0.0035237	0.0035237	0.0023168	0.0024226	0.0024226	0.00450482979510929	0.0026995	0.00480023845654	0.0110826	0.0019929	0.0037864	0.0018487	0.0004892	0.0006905	0.0004983	0.0041436	0.0055277	0.0003281	0.0003281
16	0.0010694	0.0010694	0.0010694	0.0010116	0.0010116	0.0010116	0.0064125	0.0064125	0.0007445	0.0022653	0.0022653	0.0022653	0.000549	0.001993	0.0007302	0.0010266	0.0085525	0.0419436	0.0019279	0.0010626	0.0009415	0.0204671	0.0002392	0.0038535	0.0038535	0.005988	0.0009255	0.0009255	0.00240391680338607	0.0102656	0.0112868313417778	0.0131654	0.0031543	0.0034633	0.001716	0.0002644	0.0017216	0.0014218	0.0070617	6.64e-05	0.0005647	0.0005647
17	0.0014943	0.0014943	0.0014943	0.0021707	0.0021707	0.0021707	0.0065207	0.0065207	0.0003143	0.0007073	0.0007073	0.0007073	0.0001266	0.00442	0.0006912	0.0009777	0.0057193	0.014906	0.0012115	0.0006864	0.0008955	0.0071904	0.0003413	0.0029825	0.0029825	0.0001109	0.0028641	0.0028641	0.00137162630307308	0.0070842	0.0508665326755699	0.0085966	0.0018315	0.0024287	0.0013127	0.0002201	0.0008984	0.0020395	0.0680965	9.26e-05	0.0014574	0.0014574
18	0.0210308	0.0210308	0.0210308	0.0116667	0.0116667	0.0116667	0.0078122	0.0078122	0.0015346	0.0019302	0.0019302	0.0019302	0.0009168	0.0077928	0.0003923	0.0009875	0.0192333	0.004151	0.0020477	0.0032874	0.0018115	0.0021752	0.0005209	0.0050228	0.0050228	0.0019881	0.0023587	0.0023587	0.00280335645671046	0.0159149	0.28553915710496	0.0244223	0.0035403	0.0031069	0.0025517	0.0004224	0.0056914	0.0043262	0.428132	0.0001388	0.0177912	0.0177912
19	0.0080396	0.0080396	0.0080396	0.001531	0.001531	0.001531	0.0186976	0.0186976	0.0005977	0.0079509	0.0079509	0.0079509	0.0069876	0.0044777	0.0059266	0.0093061	0.0042708	0.0005024	0.0040417	0.029507	0.0423097	0.0077532	0.0021512	0.00785	0.00785	0.011272	0.0058114	0.0058114	0.00382294948796988	0.020162	0.00722222431381282	0.0870045	0.0049839	0.0457423	0.003473	0.2128843	0.0086027	0.0038009	0.0044018	0.0040292	0.0047735	0.0047735
20	0.0074091	0.0074091	0.0074091	0.0007658	0.0007658	0.0007658	0.0389525	0.0389525	0.0018934	0.0279846	0.0279846	0.0279846	0.0044394	0.000878	0.004582	0.0117352	0.0248051	0.2381578	0.0119923	0.0142439	0.0206192	0.03978	0.0036986	0.0159687	0.0159687	0.0188873	0.0101912	0.0101912	0.00766161786830794	0.0259755	0.00571316071017791	0.0239096	0.0115535	0.2486949	0.0078896	0.0385111	0.0038133	0.0017716	0.016484	0.027945	0.0022015	0.0022015
21	0.0037578	0.0037578	0.0037578	0.0027938	0.0027938	0.0027938	0.049224	0.049224	0.0005727	0.0341862	0.0341862	0.0341862	0.0021983	0.0282441	0.0019905	0.0032205	0.0173705	0.1444818	0.0152465	0.0107571	0.009054	0.0307189	0.0007693	0.003432	0.003432	0.0079319	0.0050982	0.0050982	0.00696551689523734	0.0108802	0.0228726840815542	0.0195906	0.0014338	0.1672618	0.0030794	0.01584	0.004688	0.0034479	0.0048399	0.0093028	0.0023004	0.0023004
22	0.0045974	0.0045974	0.0045974	0.0024811	0.0024811	0.0024811	0.027205	0.027205	0.0011394	0.0208131	0.0208131	0.0208131	0.0012167	0.0113508	0.0022386	0.0031141	0.0190976	0.0938432	0.015494	0.0118806	0.0047928	0.0073359	0.0021533	0.0042854	0.0042854	0.005507	0.0081092	0.0081092	0.00250876768353542	0.0082163	0.00449509440242059	0.0045598	0.0020134	0.0815	0.0016743	0.0067182	0.0039022	0.0037598	0.0055205	9.78e-05	0.0038157	0.0038157
23	0.0114794	0.0114794	0.0114794	0.003431	0.003431	0.003431	0.0080989	0.0080989	0.0003731	0.010646	0.010646	0.010646	0.001005	0.0046778	0.0003837	0.003425	0.0084357	0.0472838	0.0037105	0.0104594	0.0026621	0.0039362	0.007098	0.0044339	0.0044339	0.0035358	0.0086608	0.0086608	0.00185812539760745	0.0025151	0.00229044382297583	0.0019606	0.0035869	0.0363885	0.0019864	0.0001063	0.0045059	0.035544	0.0202723	0.0018688	0.0093683	0.0093683
24	0.5631372	0.5631372	0.5631372	0.1195339	0.1195339	0.1195339	0.0401988	0.0401988	0.0084239	0.0197339	0.0197339	0.0197339	0.0239146	0.0249276	0.0061227	0.0333122	0.077015	0.037969	0.0222257	0.0560089	0.0588725	0.007415	0.0578519	0.0316639	0.0316639	0.0020413	0.0141252	0.0141252	0.0228808017788742	0.0143827	0.0161597810933672	0.0188188	0.0188188	0.0168942	0.0182611	0.0386523	0.0135354	0.0164258	0.0106224	0.0049828	0.3727045	0.3727045
25	0.0048278	0.0048278	0.0048278	0.0046219	0.0046219	0.0046219	0.0067137	0.0067137	0.025294	0.0231445	0.0231445	0.0231445	0.0061439	0.0044434	0.0058546	0.0136611	0.0066085	4.1e-06	0.0023204	0.0119377	0.0058355	0.0282952	0.0078821	0.0115194	0.0115194	0.029201	0.1048955	0.1048955	0.0251876834500239	0.0059835	0.00263179140893992	0.010694	0.0819115	0.0122365	0.0080651	0.030125	0.0134254	0.0006638	0.0042279	0.0114257	0.0015006	0.0015006
26	0.0084876	0.0084876	0.0084876	0.0085985	0.0085985	0.0085985	0.0131329	0.0131329	0.1270275	0.0201786	0.0201786	0.0201786	0.0061724	0.0172637	0.009277	0.012289	0.019493	0.0013939	0.0064921	0.006438	0.0032526	0.0103169	0.0182714	0.0066215	0.0066215	0.0620393	0.0203926	0.0203926	0.0206814677954604	0.0044756	0.00292951982365838	0.0106152	0.1796533	0.0094207	0.0111097	0.0067652	0.0105299	0.0021788	0.0039189	0.0106921	0.0081574	0.0081574
27	0.002051	0.002051	0.002051	0.0026968	0.0026968	0.0026968	0.0110064	0.0110064	0.0369597	0.0046021	0.0046021	0.0046021	0.0012263	0.0053311	0.0022917	0.0073398	0.0064837	0.0001624	0.0062211	0.0019999	0.0013571	0.0030699	0.0020624	0.0042154	0.0042154	0.0315855	0.0035529	0.0035529	0.00414078574135902	0.0038882	0.00114763674790823	0.0026501	0.0527185	0.0030916	0.0028404	0.0035054	0.0105087	0.0022808	0.0016688	0.0018967	0.0021698	0.0021698
28	0.0007769	0.0007769	0.0007769	0.0050601	0.0050601	0.0050601	0.0076087	0.0076087	0.011343	0.0009056	0.0009056	0.0009056	0.0013572	0.0314921	0.0001885	0.001954	0.0021751	4.1e-06	0.0014458	0.0007691	0.0001267	0.0011581	0.000876	0.002755	0.002755	0.0068923	0.0019512	0.0019512	0.000590725713668302	0.0028463	0.00169213482453856	0.0043263	0.0168713	0.0015807	0.0013895	0.0003058	0.0319851	0.0061216	0.0014285	9.78e-05	0.0010194	0.0010194
29	0.001147	0.001147	0.001147	0.0032402	0.0032402	0.0032402	0.0033314	0.0033314	0.0040408	0.0001736	0.0001736	0.0001736	0.0002103	0.0297933	0.0002206	0.0009701	0.0003451	3e-06	0.0029549	0.0002325	9.01e-05	0.0005992	0.0003369	0.001885	0.001885	0.0012626	0.0004348	0.0004348	0.000401462259014335	0.0017283	0.00446771358001705	0.0024684	0.0088341	0.0045966	0.0007049	5.46e-05	0.0795293	0.00905	0.0048071	0.012967	0.000425	0.000425
30	0.001921	0.001921	0.001921	0.0095623	0.0095623	0.0095623	0.0037096	0.0037096	0.005258	0.0002236	0.0002236	0.0002236	0.0003307	0.0775009	0.0003381	0.0014577	0.0004596	2.3e-06	0.2195714	0.0003415	0.0001851	0.0006827	0.0006581	0.0061147	0.0061147	0.0001833	0.0016368	0.0016368	0.000532282397405012	0.0031892	0.00815005390409266	0.0017346	0.0047265	0.0014416	0.0013198	9.6e-05	0.3042903	0.0079582	0.0028726	0.0432121	0.0006892	0.0006892
31	0.0021597	0.0021597	0.0021597	0.001207	0.001207	0.001207	0.0004692	0.0004692	0.0074639	0.012484	0.012484	0.012484	0.0053993	0.0017526	0.0060099	0.0036896	0.0047608	0.0001709	0.0062235	0.0032085	0.0008462	0.018462	0.0028388	0.002891	0.002891	0.003256	0.0086646	0.0086646	0.018802042612007	0.0050148	0.000449539863378063	0.0036339	0.0044468	0.004666	0.0053541	0.0037312	0.0047166	0.0002669	0.0054198	0.0079326	0.000671	0.000671
32	0.006349	0.006349	0.006349	0.0062816	0.0062816	0.0062816	0.0011148	0.0011148	0.1257746	0.0076342	0.0076342	0.0076342	0.0053774	0.0129282	0.0030075	0.0099854	0.0191398	0.0004741	0.0046906	0.0025114	0.0025645	0.0093998	0.0035789	0.004591	0.004591	0.0015571	0.0133019	0.0133019	0.00508920053164066	0.0173526	0.00137877652369808	0.007683	0.0033589	0.0043362	0.0053229	0.0062609	0.0097554	0.0031995	0.0032204	0.0071834	0.0068677	0.0068677
33	0.0011378	0.0011378	0.0011378	0.0021721	0.0021721	0.0021721	0.0004355	0.0004355	0.0370059	0.0011307	0.0011307	0.0011307	0.0003471	0.0040307	0.000777	0.0019675	0.001738	0.0001717	0.0050207	0.0003396	0.0006157	0.0002859	0.0014424	0.0010045	0.0010045	0.0012266	0.0016276	0.0016276	0.000630041672419232	0.0031301	0.000380403286809133	0.0008993	0.0006748	0.0026117	0.0006863	0.0078847	0.0043977	0.0012416	0.0018919	0.0025761	0.0020328	0.0020328
34	0.0004284	0.0004284	0.0004284	0.0006031	0.0006031	0.0006031	8.89e-05	8.89e-05	0.0081127	0.0002042	0.0002042	0.0002042	0.0003131	0.0033053	0.0001503	0.0005558	0.001072	0.0001828	0.0028045	6.73e-05	0.0001008	0.000737	0.0002545	0.0004744	0.0004744	0.0007742	0.0005549	0.0005549	0.000343443440241528	0.0009213	0.000195316533145227	0.0005775	0.0003548	0.0023858	0.0004253	0.0001458	0.0035421	0.000335	0.0013949	0.0027665	0.0003314	0.0003314
35	0.000188	0.000188	0.000188	0.0003807	0.0003807	0.0003807	5.66e-05	5.66e-05	0.0030629	0.0001482	0.0001482	0.0001482	1.93e-05	0.0016727	7.01e-05	0.0004663	0.0005564	3.5e-06	0.0640711	0.0001191	6.63e-05	0.000489	0.0001303	0.0002882	0.0002882	1.48e-05	0.0001385	0.0001385	0.000145802402760672	0.0008206	0.000317845713401053	0.0006763	0.0001082	0.0012132	0.0006273	8.37e-05	0.0047599	0.0003869	0.0009478	0.0059215	0.0001095	0.0001095
36	9.41e-05	9.41e-05	9.41e-05	0.000395	0.000395	0.000395	4.33e-05	4.33e-05	0.0022255	5.86e-05	5.86e-05	5.86e-05	6.99e-05	0.004285	3.33e-05	0.0005659	0.0004049	3.7e-06	0.1722807	0.0001421	0.0001434	0.0003742	0.0001421	0.0002346	0.0002346	1.98e-05	0.001202	0.001202	0.000119533499231947	0.0008457	0.000389416140850297	0.0003342	0.000718	0.0011666	0.0003635	0.0041884	0.0103158	0.0006139	0.0023143	8.03e-05	9.39e-05	9.39e-05
37	0.001716	0.001716	0.001716	0.0008707	0.0008707	0.0008707	0.0008098	0.0008098	0.0068009	0.0087489	0.0087489	0.0087489	0.0045083	0.0013941	0.0061617	0.0025405	0.0053685	3.1e-06	0.0011988	0.0033082	0.0007247	0.021535	0.0051944	0.0028505	0.0028505	0.0038245	0.0027537	0.0027537	0.0157633022968236	0.0019496	0.000545410770710445	0.00321	0.006074	0.0022745	0.0046007	0.0001138	0.0022858	0.0003676	0.0032204	0.0054063	0.0004044	0.0004044
38	0.005267	0.005267	0.005267	0.0062699	0.0062699	0.0062699	0.0012424	0.0012424	0.0932936	0.0047898	0.0047898	0.0047898	0.0029292	0.0045425	0.0014955	0.0073584	0.0030844	0.0003188	0.0043067	0.0010486	0.0015786	0.0041075	0.0031989	0.0053806	0.0053806	0.0017678	0.0027535	0.0027535	0.00369442663011593	0.0048312	0.00076556018861888	0.0039226	0.0222052	0.0059375	0.0006994	0.0002644	0.0037345	0.0012364	0.0041697	0.0021089	0.0039434	0.0039434
39	0.0016392	0.0016392	0.0016392	0.0024281	0.0024281	0.0024281	0.0003319	0.0003319	0.0239699	0.0006804	0.0006804	0.0006804	0.0009314	0.0035999	0.0003395	0.0019785	0.001359	2e-06	0.0025573	0.000301	0.0002225	0.0005579	0.0007692	0.0032913	0.0032913	4.79e-05	0.001726	0.001726	0.00059919069303735	0.0047782	0.000576632514034478	0.0023197	0.0047152	0.0032157	0.0005112	0.0036888	0.0059463	0.0004714	0.0015404	9.61e-05	0.0011872	0.0011872
40	0.0010401	0.0010401	0.0010401	0.0009207	0.0009207	0.0009207	0.0001218	0.0001218	0.0115841	0.0003946	0.0003946	0.0003946	0.0003617	0.0039826	0.0001144	0.0007603	0.0019733	1.6e-06	0.0345077	0.0001785	0.0001337	0.0004392	0.0003908	0.0026005	0.0026005	4.89e-05	0.0006051	0.0006051	0.000381211231674225	0.0017741	0.000335339016603312	0.0010773	0.0025533	0.0005713	0.0007645	0.0001101	0.0106175	0.0003414	0.00426	0.0026643	8.59e-05	8.59e-05
41	0.0001254	0.0001254	0.0001254	0.0002435	0.0002435	0.0002435	9.72e-05	9.72e-05	0.0044904	0.0001364	0.0001364	0.0001364	2.96e-05	0.0017483	7.74e-05	0.0003981	0.0005436	2.6e-06	0.0412901	4.44e-05	5.96e-05	0.0002554	0.0002394	0.0007084	0.0007084	6.08e-05	0.0014548	0.0014548	0.000249617009624432	0.0008126	0.000373710196888268	0.0002719	0.0037487	0.0001863	0.0005314	0.000255	0.0026893	0.0004741	0.0017292	8.65e-05	3.7e-05	3.7e-05
42	0.0001438	0.0001438	0.0001438	0.0003806	0.0003806	0.0003806	1.64e-05	1.64e-05	0.0010866	1.82e-05	1.82e-05	1.82e-05	5.6e-05	0.0026427	7.89e-05	0.0002076	0.0002331	2.1e-06	0.0108342	4.42e-05	5.67e-05	6.77e-05	0.0001352	0.0002256	0.0002256	1.39e-05	4.28e-05	4.28e-05	4.50841305333779e-05	0.0022255	0.000358993004846368	0.0001523	0.0005884	0.0003488	0.0001516	0.000191	0.0064912	0.0002408	0.0028405	6.99e-05	0.000112	0.000112
43	0.0118442	0.0118442	0.0118442	0.0031651	0.0031651	0.0031651	0.0049347	0.0049347	0.003996	0.0531658	0.0531658	0.0531658	0.0729348	0.0013065	0.2234337	0.0167205	0.0615109	0.0009954	0.0141937	0.03612	0.005336	0.0516666	0.0118352	0.1591015	0.1591015	0.0152633	0.0088791	0.0088791	0.131915791384054	0.0095169	0.00178667471967077	0.00581	0.0149443	0.0096181	0.1450854	0.0001712	0.0045329	0.0003637	0.0149555	0.003734	0.0018583	0.0018583
44	0.0044886	0.0044886	0.0044886	0.0035905	0.0035905	0.0035905	0.0007956	0.0007956	0.0137339	0.0014928	0.0014928	0.0014928	0.0055377	0.0012529	0.0019283	0.0044457	0.0049141	0.0005404	0.001511	0.002402	0.0013446	0.0031335	0.0018408	0.0069309	0.0069309	0.0005409	0.0067069	0.0067069	0.00254016801261087	0.0032613	0.000668510384766345	0.0019201	0.0024334	0.0025144	0.0447567	0.0001364	0.0032613	0.0004082	0.0021972	0.0001712	0.0020299	0.0020299
45	0.0008998	0.0008998	0.0008998	0.0011776	0.0011776	0.0011776	0.0001986	0.0001986	0.0012566	9.61e-05	9.61e-05	9.61e-05	0.0001466	0.0012249	0.0003741	0.0009783	0.0006183	2.7e-06	0.0049052	0.0001608	0.0001682	0.000149	0.0003017	0.0007636	0.0007636	0.0005206	0.0028273	0.0028273	0.000334029584129048	0.0005693	0.00104853338237543	0.0006197	0.002103	0.0023078	0.0037089	5.36e-05	0.0018822	0.0002301	0.0003941	0.0001231	0.0003228	0.0003228
46	0.0002378	0.0002378	0.0002378	0.0004586	0.0004586	0.0004586	0.0001133	0.0001133	0.0004741	5.15e-05	5.15e-05	5.15e-05	0.0001325	0.0014992	5.38e-05	0.0001819	0.0004043	1.8e-06	0.0009698	2.93e-05	4.98e-05	0.0002034	0.0001169	0.0005146	0.0005146	1.43e-05	0.0003992	0.0003992	0.000229565745809255	0.0006681	0.000465207778420086	0.000204	0.0017224	0.0006616	0.0006325	0.0004864	0.0008722	9.32e-05	0.0005829	8.91e-05	0.000113	0.000113
47	6.24e-05	6.24e-05	6.24e-05	0.0001278	0.0001278	0.0001278	2.05e-05	2.05e-05	6.05e-05	3.1e-06	3.1e-06	3.1e-06	1.41e-05	0.0004583	2.49e-05	3.74e-05	7.1e-05	9.4e-06	0.0002762	1.86e-05	1.87e-05	5.64e-05	8.89e-05	8.55e-05	8.55e-05	1e-07	0.000933	0.000933	1.84032147344777e-05	0.0005897	0.000101118898293061	0.000112	0.0009526	0.0003656	0.0002718	3.1e-05	0.0003136	2.1e-05	0.0006747	6.72e-05	1.49e-05	1.49e-05
48	1.51e-05	1.51e-05	1.51e-05	2.53e-05	2.53e-05	2.53e-05	6.9e-06	6.9e-06	0.0001969	1.6e-06	1.6e-06	1.6e-06	6.2e-06	0.0001941	2.56e-05	5.09e-05	0.0001396	5e-07	0.0002013	9.3e-06	1.39e-05	3.77e-05	2.77e-05	2.34e-05	2.34e-05	1.3e-06	3.21e-05	3.21e-05	8.76837022253981e-05	8.41e-05	9.21440731719013e-05	2.81e-05	2.59e-05	0.0001727	0.0002337	5.93e-05	0.0009642	1.2e-06	0.000247	3.23e-05	3.25e-05	3.25e-05
49	0.0074225	0.0074225	0.0074225	0.0021601	0.0021601	0.0021601	0.0081539	0.0081539	0.0005284	0.0054536	0.0054536	0.0054536	0.0064581	0.0019793	0.0015329	0.002776	0.0112943	0.000161	0.0086799	0.0138004	0.0210001	0.0184334	0.0012744	0.0177165	0.0177165	0.001787	0.0028067	0.0028067	0.0018166869514041	0.0151818	0.0123805050521991	0.1093652	0.0037033	0.0126301	0.0043618	0.0273713	0.0143133	0.0006642	0.0032256	0.0081641	0.0026703	0.0026703
50	0.003046	0.003046	0.003046	0.0015463	0.0015463	0.0015463	0.0032561	0.0032561	0.0007185	0.0158236	0.0158236	0.0158236	0.0011733	0.0022371	0.0013968	0.0010506	0.0404033	3e-06	0.0081273	0.0044828	0.0012282	0.0617856	0.0028834	0.0087816	0.0087816	0.0026839	0.011342	0.011342	0.00337626576099877	0.0040521	0.00354566438557796	0.0057135	0.0025958	0.0079503	0.0049485	0.0001345	0.0020973	0.0003213	0.0050354	0.0001284	0.0010731	0.0010731
51	0.0016536	0.0016536	0.0016536	0.0008159	0.0008159	0.0008159	0.001061	0.001061	0.0001561	0.0060065	0.0060065	0.0060065	0.0009255	0.0013563	0.0006173	0.0012671	0.0141347	0.0001761	0.0023936	0.002087	0.0005591	0.0409771	0.0069992	0.0024911	0.0024911	0.0008117	0.0011227	0.0011227	0.00158648445935912	0.0015707	0.00471455929976893	0.0024418	0.0023767	0.0009495	0.0035511	0.0001185	0.001287	0.0002531	0.0023576	9.96e-05	0.0007709	0.0007709
