Sample Names	MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID12	ID14	ID19	ID21
SP23435	1:Del:C:0	0.0007726946664386648	0.004844359090328559	0.0	0.0	0.11147636552920415	0.0	0.0	0.8829065807140286	0.0	0.0	0.0	0.0
SP23435	1:Del:C:1	0.009102426850936514	5.403877520496752e-05	0.0	0.0	0.34901731541015324	0.0	0.0	0.6418262189637053	0.0	0.0	0.0	0.0
SP23435	1:Del:C:2	1.1374004817531655e-16	2.2206241602400247e-05	0.0	0.0	0.9495462810987176	0.0	0.0	0.050431512659679704	0.0	0.0	0.0	0.0
SP23435	1:Del:C:3	0.08320106024942954	0.022404211458057256	0.0	0.0	0.6416145040614255	0.0	0.0	0.25278022423108765	0.0	0.0	0.0	0.0
SP23435	1:Del:C:4	0.0624255863597622	0.07086638425967334	0.0	0.0	0.26397497364800704	0.0	0.0	0.6027330557325573	0.0	0.0	0.0	0.0
SP23435	1:Del:C:5	0.3689086031357122	0.33244112168902873	0.0	0.0	0.2959753561369452	0.0	0.0	0.002674919038313892	0.0	0.0	0.0	0.0
SP23435	1:Del:T:0	0.007914605590974986	0.009913121148145502	0.0	0.0	0.6362251712041789	0.0	0.0	0.34594710205670065	0.0	0.0	0.0	0.0
SP23435	1:Del:T:1	2.4629162044836634e-17	6.1072823056212e-18	0.0	0.0	0.820228190868747	0.0	0.0	0.17977180913125293	0.0	0.0	0.0	0.0
SP23435	1:Del:T:2	0.005580523119366756	0.008713042146760643	0.0	0.0	0.7066138682096577	0.0	0.0	0.27909256652421494	0.0	0.0	0.0	0.0
SP23435	1:Del:T:3	0.014286426977011869	0.02616411927395655	0.0	0.0	0.5751537824874803	0.0	0.0	0.3843956712615514	0.0	0.0	0.0	0.0
SP23435	1:Del:T:4	0.035798827368157635	0.081677309948939	0.0	0.0	0.45293132289052834	0.0	0.0	0.42959253979237516	0.0	0.0	0.0	0.0
SP23435	1:Del:T:5	1.6418808874609408e-17	0.8397289950664905	0.0	0.0	0.15775519337351135	0.0	0.0	0.0025158115599982047	0.0	0.0	0.0	0.0
SP23435	1:Ins:C:0	5.875266481266938e-15	1.456887203735514e-15	0.0	0.0	0.9999999999999873	0.0	0.0	5.23787832963265e-15	0.0	0.0	0.0	0.0
SP23435	1:Ins:C:1	2.470979874645974e-15	0.0352164901021777	0.0	0.0	0.9639976283557051	0.0	0.0	0.0007858815421148142	0.0	0.0	0.0	0.0
SP23435	1:Ins:C:2	9.53274242124535e-16	0.0015679074127932088	0.0	0.0	0.9430385595335369	0.0	0.0	0.05539353305366876	0.0	0.0	0.0	0.0
SP23435	1:Ins:C:3	0.5417144222113663	0.05722099844322084	0.0	0.0	0.4010645793454109	0.0	0.0	1.889570292156237e-15	0.0	0.0	0.0	0.0
SP23435	1:Ins:C:4	0.6875225496922847	0.2329800164613848	0.0	0.0	0.07904377088017933	0.0	0.0	0.00045366296615138705	0.0	0.0	0.0	0.0
SP23435	1:Ins:C:5	0.9113156328290013	0.07028159397753794	0.0	0.0	0.01689494967327977	0.0	0.0	0.0015078235201810598	0.0	0.0	0.0	0.0
SP23435	1:Ins:T:0	0.14229123627454693	0.017199849339036746	0.0	0.0	0.4118186945082665	0.0	0.0	0.4286902198781498	0.0	0.0	0.0	0.0
SP23435	1:Ins:T:1	0.002046494260298168	4.1680396136394e-17	0.0	0.0	0.7102918278787886	0.0	0.0	0.2876616778609131	0.0	0.0	0.0	0.0
SP23435	1:Ins:T:2	0.005939979455284067	0.004140828177050905	0.0	0.0	0.9510345726523025	0.0	0.0	0.038884619715362424	0.0	0.0	0.0	0.0
SP23435	1:Ins:T:3	0.17030442516895414	0.009030977537007712	0.0	0.0	0.7856181278869087	0.0	0.0	0.03504646940712956	0.0	0.0	0.0	0.0
SP23435	1:Ins:T:4	0.555965566924609	0.024198867738362512	0.0	0.0	0.39095926696299693	0.0	0.0	0.028876298374031485	0.0	0.0	0.0	0.0
SP23435	1:Ins:T:5	0.9940919071762707	0.0007263175662196704	0.0	0.0	0.0016684736983463226	0.0	0.0	0.003513301559163047	0.0	0.0	0.0	0.0
