Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID12	ID14	ID19	ID21
SP23435	77	16	0	0	80	0	0	42	0	0	0	0
SP112829	83	0	0	165	163	0	0	0	0	0	0	0
SP112947	62	0	0	0	98	0	0	0	165	0	0	0
SP112985	0	0	0	0	0	0	0	0	32	0	0	0
SP112925	81	0	0	0	104	0	0	0	151	0	0	0
SP112937	25	15	0	0	82	0	0	0	0	0	0	0
SP112989	28	0	0	0	39	0	0	21	0	0	0	34
SP111145	83	39	0	0	80	0	0	67	0	0	0	0
SP111143	82	0	0	0	137	0	0	0	0	0	0	0
SP125584	3	2	0	5	0	4	0	0	0	0	0	0
SP111144	182	0	0	0	0	0	0	133	0	0	0	0
SP116296	17	0	0	0	53	0	0	0	0	0	0	0
SP116254	133	32	0	0	0	89	0	0	0	0	0	0
SP116256	107	28	0	0	0	56	50	0	0	0	0	0
SP116274	45	21	0	0	0	0	0	53	0	0	0	0
SP116259	119	0	0	0	0	0	0	72	0	0	0	0
SP116290	18	0	0	0	65	0	0	0	0	0	0	0
SP116258	110	0	0	0	74	0	42	0	0	0	0	0
SP116261	7	0	0	0	32	0	8	0	0	0	0	0
SP23463	24	0	21	0	0	0	15	0	0	0	0	0
SP116268	15	7	0	0	0	0	14	26	0	0	0	0
SP23471	54	0	0	0	0	0	0	34	0	0	0	0
SP116266	40	0	36	0	52	0	0	0	0	0	0	0
SP116264	81	0	0	0	0	0	42	56	0	0	0	0
SP116269	84	0	0	0	0	0	0	81	0	0	0	0
SP116275	59	25	0	0	0	0	0	57	0	0	0	0
SP23447	39	12	0	0	0	0	0	33	0	0	0	0
SP116255	135	40	0	0	0	90	0	0	0	0	0	0
SP23455	20	9	35	0	31	0	0	0	0	0	0	0
SP23475	16	10	18	0	38	0	0	0	0	0	0	0
SP116227	138	0	0	0	76	0	0	0	0	0	0	0
SP116226	20	0	0	0	47	0	0	0	0	0	0	0
SP23443	97	24	0	0	78	0	0	0	0	0	0	0
SP116260	69	21	0	0	79	0	0	0	0	0	0	0
SP116280	257	49	144	0	0	0	0	0	0	0	0	0
