Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP53460	585	0	335	0	213	0	0	57	0	0
SP50827	848	55	476	117	210	122	0	0	98	0
SP50263	38	46	0	186	88	114	0	0	48	0
SP50317	50	133	0	61	169	0	0	45	72	0
SP54113	2472	63	603	44	419	48	15	156	4	49
SP50406	7	0	0	2	0	0	0	0	4	0
SP51824	410	30	139	107	54	170	0	0	0	0
SP55387	163	0	70	7	26	0	0	0	0	0
SP52779	729	24	393	75	185	132	2	1	39	28
SP55235	1794	58	939	58	0	385	0	0	0	0
SP50713	209	0	88	12	0	104	0	29	0	0
SP50611	1055	0	573	62	203	0	0	0	0	0
SP50485	0	10	33	35	22	31	0	0	24	0
SP51037	25	23	0	105	0	59	0	0	19	0
SP55142	2487	210	796	324	1280	0	0	522	209	0
SP53387	556	0	311	22	191	155	0	0	68	0
SP54745	224	83	168	180	217	152	0	0	76	0
SP52284	34	28	22	175	28	75	1	23	44	5
SP53618	1131	0	736	51	220	190	0	0	0	0
SP52232	563	0	252	0	119	0	0	0	0	0
SP50412	17	5	22	24	0	35	0	0	16	0
SP50321	162	0	143	55	75	162	0	0	0	0
SP53548	0	16	0	85	48	76	0	0	34	0
SP55004	0	0	0	4	5	12	0	0	0	0
SP56079	994	0	398	0	111	0	0	0	0	0
SP56168	59	26	45	121	117	106	3	32	79	9
SP54363	585	44	337	223	162	93	3	29	20	15
SP53810	3118	0	1570	0	754	0	0	0	0	0
SP50518	0	15	0	141	73	134	0	0	39	0
SP56303	0	33	0	155	180	217	0	166	53	0
SP55711	0	0	44	137	96	106	0	0	43	0
SP55509	1139	0	653	80	305	0	0	0	0	0
SP55309	5	2	13	7	8	14	1	6	12	1
SP52607	9	0	14	24	32	19	0	0	15	11
SP52667	569	0	258	0	212	0	0	73	68	0
SP51446	57	1	6	140	68	87	5	8	36	1
SP50592	9	7	17	123	40	77	3	8	55	2
SP53073	432	31	111	52	82	181	0	0	0	0
SP56638	662	33	258	171	107	104	5	59	49	61
SP56537	780	133	170	207	304	139	0	0	0	0
SP57586	493	81	144	179	135	136	7	33	77	24
SP56541	763	22	252	7	136	116	6	96	45	35
SP56553	1327	164	377	281	504	27	9	62	62	11
SP56771	149	52	0	277	127	183	0	0	0	0
SP57941	1177	84	683	119	768	0	0	0	0	0
SP57818	856	44	506	63	266	206	0	108	0	0
SP56460	240	89	26	500	191	142	14	148	27	10
SP56474	27	154	45	223	160	35	1	63	46	15
SP56704	1440	81	342	106	0	211	0	0	0	0
SP56533	385	70	65	154	202	94	3	47	75	10
SP56730	746	107	141	228	222	133	7	34	25	53
SP59245	740	38	206	160	214	111	36	408	67	66
SP57024	364	28	103	155	120	63	2	31	51	22
SP57933	924	124	233	198	422	0	0	1514	0	0
SP56754	368	60	106	143	252	106	0	0	57	0
SP56827	700	31	246	24	162	0	0	0	0	0
SP57084	802	114	198	397	270	100	4	70	5	20
SP57538	772	157	0	120	250	332	0	0	0	0
SP57735	855	116	117	55	263	141	0	0	0	0
SP57669	959	82	217	118	305	119	2	80	40	22
SP56566	178	43	114	274	151	0	0	89	0	0
SP56569	572	82	145	120	237	0	0	61	0	0
SP58342	1147	112	407	402	158	166	0	0	0	154
SP58349	616	72	226	82	317	131	12	231	42	105
SP56644	924	117	219	357	216	142	6	110	44	12
SP57629	277	236	0	906	397	0	0	116	110	0
SP56941	39	0	0	124	0	57	0	0	0	0
SP57619	712	38	238	41	232	102	0	110	0	0
SP58245	957	165	280	70	350	168	0	0	0	0
SP57251	672	107	120	254	492	145	5	46	15	24
SP56502	874	126	156	189	310	51	13	55	72	25
SP58668	1134	105	409	191	207	63	5	64	43	73
SP58101	705	151	231	99	291	195	0	0	0	0
SP58991	423	125	173	355	144	111	5	44	77	11
SP56607	409	36	126	187	0	159	0	0	0	0
SP58326	1640	198	458	332	281	112	8	40	16	48
SP57267	1032	118	289	212	219	56	23	109	25	150
SP57066	928	49	279	496	269	113	8	101	37	45
SP57901	397	49	86	383	263	73	4	60	30	12
