MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
3:Del:R:2	5.08E-05	3.93E-05	3.11E-04	0.00E+00	2.99E-04	4.49E-04	9.85E-05	2.12E-04	2.59E-04	7.98E-04	4.57E-04	0.00E+00	1.36E-03	6.54E-04	4.10E-04	3.74E-09
3:Del:R:3	3.93E-05	3.00E-05	3.40E-05	1.37E-05	5.94E-05	4.77E-05	3.32E-05	2.25E-04	2.96E-05	2.86E-04	3.12E-04	9.27E-05	4.04E-04	2.93E-04	5.30E-04	2.65E-04
3:Del:R:4	4.17E-09	1.69E-09	2.28E-04	2.18E-09	4.35E-06	2.08E-08	2.23E-05	6.43E-06	1.18E-05	1.65E-08	9.95E-06	2.90E-04	5.92E-04	3.60E-06	1.32E-03	1.09E-08
3:Del:R:5	7.25E-09	4.02E-07	2.47E-04	9.38E-06	1.33E-05	2.61E-04	0.00E+00	2.85E-05	3.02E-05	1.10E-07	3.11E-05	3.30E-04	8.80E-04	3.51E-05	1.74E-03	2.18E-08
4:Del:R:0	1.13E-04	1.01E-03	1.61E-04	1.88E-04	7.40E-05	1.50E-03	4.03E-05	1.15E-03	2.68E-04	1.11E-03	1.54E-03	4.06E-04	6.26E-04	1.58E-03	1.13E-03	7.70E-04
4:Del:R:1	4.39E-05	1.13E-04	3.16E-04	3.86E-04	1.31E-04	1.40E-03	3.05E-04	1.42E-03	4.92E-05	2.04E-03	2.40E-03	9.41E-04	3.51E-03	3.09E-03	1.96E-03	4.72E-04
4:Del:R:2	1.07E-04	5.54E-05	1.31E-04	5.74E-05	9.53E-05	1.57E-04	0.00E+00	8.13E-04	7.22E-05	7.97E-04	6.95E-04	2.89E-04	1.40E-03	1.29E-03	9.59E-04	2.88E-04
4:Del:R:3	2.75E-08	2.92E-05	2.09E-04	0.00E+00	3.16E-08	5.84E-04	2.11E-05	1.73E-04	2.24E-09	4.35E-04	6.84E-05	4.21E-04	1.74E-03	2.99E-04	3.23E-03	1.42E-04
4:Del:R:4	1.74E-05	1.54E-05	1.45E-04	1.90E-05	4.57E-06	8.89E-05	3.27E-05	2.18E-05	5.81E-07	1.94E-04	1.93E-07	4.36E-04	9.65E-04	1.97E-04	1.89E-03	2.91E-09
4:Del:R:5	1.26E-05	6.98E-07	4.68E-07	2.30E-05	1.87E-05	3.49E-05	8.11E-06	1.72E-04	3.04E-09	1.56E-04	1.41E-04	5.48E-05	3.21E-04	2.10E-04	2.44E-04	6.40E-05
5:Del:R:0	1.03E-04	6.77E-03	3.38E-04	3.52E-03	2.10E-04	2.55E-03	1.92E-03	1.72E-03	2.54E-03	2.56E-03	1.32E-03	1.13E-03	1.44E-03	6.91E-03	3.10E-03	4.40E-04
5:Del:R:1	1.74E-04	9.25E-05	2.04E-04	2.66E-04	2.37E-04	5.91E-04	8.34E-04	1.72E-03	9.00E-05	1.77E-03	1.59E-03	1.49E-04	3.31E-03	5.58E-03	1.03E-03	1.83E-06
5:Del:R:2	4.20E-47	1.72E-05	1.07E-04	4.99E-05	7.85E-05	2.63E-04	1.39E-04	7.16E-04	7.99E-05	5.26E-04	4.54E-04	1.38E-04	7.50E-04	1.26E-03	1.19E-04	9.26E-05
5:Del:R:3	3.94E-05	2.51E-05	8.04E-06	8.59E-06	2.10E-05	5.01E-05	7.96E-05	2.59E-04	3.55E-06	2.49E-04	1.62E-04	1.17E-04	2.49E-04	3.57E-04	3.37E-04	1.08E-04
5:Del:R:4	4.32E-09	4.38E-09	3.51E-09	3.24E-06	1.31E-05	2.56E-06	3.59E-10	6.60E-05	2.78E-05	3.04E-05	3.49E-05	6.54E-05	1.11E-04	7.11E-05	9.90E-05	4.37E-05
5:Del:R:5	3.98E-06	1.76E-05	9.38E-06	1.67E-05	2.03E-09	1.83E-05	1.30E-09	1.27E-05	9.80E-11	1.18E-05	5.00E-06	1.10E-08	1.18E-07	1.39E-05	1.20E-05	1.02E-05
2:Ins:R:0	1.68E-04	1.13E-04	9.47E-06	6.56E-04	0.00E+00	2.16E-03	6.94E-05	3.55E-03	1.15E-03	2.13E-03	3.03E-03	5.98E-08	3.07E-04	2.43E-03	1.13E-03	4.00E-03
2:Ins:R:1	1.73E-04	2.69E-04	5.21E-06	3.19E-04	7.81E-05	1.19E-03	2.04E-04	2.10E-03	4.81E-04	2.29E-03	2.89E-03	2.63E-04	2.93E-04	1.37E-03	7.94E-04	1.21E-03
2:Ins:R:2	1.07E-04	6.51E-05	6.27E-05	1.47E-04	5.44E-05	4.03E-04	1.69E-04	8.93E-04	2.62E-04	1.39E-03	2.19E-03	2.21E-04	2.48E-04	1.40E-03	2.83E-04	2.52E-04
2:Ins:R:3	1.25E-04	3.71E-05	8.57E-05	1.96E-04	3.63E-05	2.84E-04	1.25E-04	9.68E-04	1.80E-04	4.96E-04	8.04E-04	1.57E-04	4.78E-04	9.76E-04	2.97E-04	2.64E-04
2:Ins:R:4	2.07E-04	5.78E-05	8.04E-05	6.84E-05	1.72E-04	3.59E-04	9.33E-05	9.99E-04	1.40E-47	1.14E-03	9.20E-04	2.86E-04	2.60E-04	7.26E-04	1.81E-04	2.41E-04
2:Ins:R:5	1.60E-03	5.74E-05	1.74E-09	2.89E-04	5.33E-04	1.45E-03	1.65E-04	6.40E-03	2.75E-04	8.33E-03	5.13E-03	1.43E-04	2.16E-04	2.99E-03	5.78E-04	3.98E-04
3:Ins:R:0	1.67E-05	3.93E-05	0.00E+00	4.56E-04	9.20E-05	8.08E-04	1.33E-04	1.67E-03	5.08E-04	1.33E-03	1.72E-03	4.40E-05	2.89E-04	1.57E-03	6.42E-04	1.31E-03
3:Ins:R:1	6.66E-05	1.06E-04	8.80E-05	2.85E-04	2.04E-04	6.12E-04	8.91E-05	9.01E-04	5.68E-05	1.59E-03	1.90E-03	2.56E-04	5.29E-04	1.08E-03	5.42E-04	1.06E-03
3:Ins:R:2	5.84E-06	5.16E-06	4.92E-05	2.03E-05	4.48E-05	3.12E-04	6.15E-05	3.33E-04	1.06E-04	4.78E-04	6.40E-04	2.74E-05	1.84E-05	3.59E-04	1.95E-04	2.27E-04
3:Ins:R:3	6.91E-09	7.66E-06	4.45E-06	3.18E-05	9.71E-10	3.06E-05	8.79E-06	8.13E-05	8.54E-06	5.22E-05	8.12E-05	3.67E-08	8.22E-05	9.72E-05	6.71E-06	2.13E-05
3:Ins:R:4	8.85E-06	3.89E-06	3.66E-05	1.24E-05	2.25E-05	4.56E-05	7.37E-10	6.35E-05	5.04E-05	8.90E-05	1.03E-04	1.56E-09	1.05E-04	1.35E-04	7.66E-05	1.03E-04
3:Ins:R:5	7.56E-05	2.93E-05	6.28E-05	0.00E+00	5.47E-05	1.54E-04	1.96E-05	5.10E-04	7.22E-05	6.83E-04	5.81E-04	1.57E-04	1.85E-05	5.00E-04	2.21E-04	7.39E-05
4:Ins:R:0	1.56E-05	4.84E-05	1.44E-09	8.10E-04	6.19E-08	1.91E-03	1.57E-04	4.03E-03	1.70E-03	1.50E-03	2.45E-03	4.94E-05	2.37E-04	1.99E-03	2.04E-03	3.36E-03
4:Ins:R:1	1.73E-05	7.35E-05	9.37E-06	1.24E-04	2.64E-04	1.59E-03	1.34E-04	1.31E-03	7.32E-04	2.95E-03	3.82E-03	1.14E-04	3.07E-04	1.04E-03	3.04E-04	7.72E-04
4:Ins:R:2	8.41E-06	8.34E-06	3.36E-05	6.81E-05	2.62E-05	1.98E-04	5.43E-05	3.82E-04	0.00E+00	2.96E-04	3.84E-04	4.04E-05	8.04E-05	3.39E-04	5.76E-05	1.71E-04
4:Ins:R:3	7.67E-06	1.97E-06	9.54E-05	7.22E-05	5.18E-05	1.15E-04	1.92E-05	1.85E-04	7.91E-06	2.83E-04	3.66E-04	8.96E-05	2.02E-04	2.47E-04	6.01E-05	1.20E-04
4:Ins:R:4	1.93E-05	5.17E-06	1.23E-05	1.20E-05	2.31E-05	1.29E-04	4.15E-09	3.46E-04	1.62E-05	3.40E-04	2.29E-04	1.02E-04	1.54E-04	4.38E-04	9.45E-05	3.83E-05
4:Ins:R:5	1.03E-04	1.47E-05	4.94E-05	2.15E-06	4.03E-05	1.67E-04	4.24E-10	3.97E-04	3.65E-05	3.92E-04	4.36E-04	2.02E-04	2.16E-04	5.40E-04	2.99E-04	8.10E-05
5:Ins:R:0	1.92E-08	4.27E-09	3.05E-08	4.91E-03	6.79E-08	1.30E-07	2.91E-08	1.25E-02	9.42E-08	1.74E-03	2.04E-03	2.03E-08	5.78E-08	5.52E-05	1.73E-07	7.30E-04
5:Ins:R:1	5.74E-04	1.30E-04	1.47E-03	2.69E-04	2.33E-04	1.27E-03	7.59E-04	2.35E-03	9.99E-04	3.43E-03	3.26E-03	7.14E-04	2.74E-03	4.92E-03	1.59E-03	8.92E-04
5:Ins:R:2	6.57E-05	2.22E-05	5.09E-05	5.31E-05	5.42E-05	2.24E-04	8.92E-05	5.13E-04	5.67E-05	7.36E-04	7.84E-04	1.17E-04	3.07E-04	6.60E-04	2.02E-04	5.12E-04
5:Ins:R:3	4.29E-05	2.71E-05	4.76E-05	1.28E-05	1.14E-05	1.11E-04	0.00E+00	2.29E-04	3.30E-10	2.40E-04	1.89E-04	5.36E-05	5.75E-05	3.17E-04	1.48E-04	5.84E-05
5:Ins:R:4	9.87E-06	4.47E-06	6.59E-05	1.89E-10	4.18E-05	5.93E-05	1.69E-05	4.65E-05	2.12E-05	9.03E-05	1.29E-04	7.35E-05	9.83E-05	1.35E-04	1.23E-04	5.95E-05
5:Ins:R:5	8.81E-06	0.00E+00	3.08E-08	6.91E-09	1.36E-05	3.49E-05	2.19E-06	1.16E-04	3.17E-09	1.11E-04	1.06E-04	1.92E-08	8.30E-05	1.70E-04	3.63E-05	4.08E-06
2:Del:M:1	1.10E-04	1.29E-03	4.86E-04	2.63E-04	3.18E-04	1.87E-03	2.79E-04	2.09E-03	7.50E-04	1.79E-03	2.12E-03	4.03E-03	1.58E-03	1.78E-03	1.51E-03	8.90E-04
3:Del:M:1	5.15E-05	1.21E-03	1.30E-04	6.39E-05	1.88E-04	1.69E-03	1.57E-04	6.67E-04	2.56E-04	1.09E-03	1.55E-03	3.14E-04	5.16E-04	1.79E-03	1.41E-03	3.43E-04
3:Del:M:2	1.65E-04	6.14E-04	2.48E-04	8.66E-05	2.27E-04	1.66E-03	3.47E-04	5.92E-04	3.42E-04	1.78E-03	1.47E-03	7.98E-04	2.65E-03	1.93E-03	1.86E-03	3.18E-04
4:Del:M:1	5.06E-05	9.59E-04	1.96E-04	4.45E-05	1.57E-05	1.59E-03	3.59E-04	1.12E-03	7.36E-05	1.59E-03	1.86E-03	2.61E-04	1.04E-03	1.44E-03	1.34E-03	7.60E-04
4:Del:M:2	1.47E-04	4.39E-04	4.39E-04	1.79E-04	4.93E-05	1.34E-03	3.85E-04	8.21E-04	2.58E-05	8.78E-04	1.20E-03	7.82E-04	1.57E-03	1.20E-03	1.05E-03	4.39E-04
4:Del:M:3	1.89E-04	3.07E-04	3.66E-47	1.29E-05	9.25E-05	1.07E-03	3.03E-04	1.13E-03	1.01E-04	2.67E-03	1.03E-03	1.02E-03	2.91E-03	2.12E-03	1.31E-03	3.31E-04
5:Del:M:1	3.62E-04	4.44E-03	2.04E-03	2.17E-03	3.84E-04	9.71E-04	2.84E-03	2.53E-03	2.15E-03	2.97E-03	2.19E-03	7.92E-04	1.35E-03	3.08E-03	3.41E-03	1.17E-03
5:Del:M:2	2.15E-04	3.04E-03	5.74E-04	6.14E-04	6.48E-04	2.09E-03	2.49E-03	1.18E-03	1.28E-03	2.35E-03	2.21E-03	3.83E-04	1.18E-03	2.28E-03	2.58E-03	3.88E-04
5:Del:M:3	4.45E-05	1.44E-03	1.71E-04	1.61E-04	4.54E-04	1.52E-03	2.65E-03	9.15E-04	3.33E-04	1.47E-03	1.94E-03	4.49E-04	2.04E-03	3.24E-03	8.75E-04	4.51E-04
5:Del:M:4	1.77E-04	5.93E-04	2.79E-04	1.35E-04	0.00E+00	1.16E-03	1.34E-03	6.42E-04	3.63E-04	1.05E-03	1.24E-03	6.50E-04	2.98E-04	1.71E-03	9.13E-04	4.63E-04
5:Del:M:5	1.49E-04	1.44E-04	2.38E-04	3.74E-04	2.25E-04	1.17E-03	4.49E-03	2.21E-03	2.97E-04	1.16E-03	1.50E-03	4.58E-04	2.14E-04	1.25E-02	6.86E-04	7.52E-04
