Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,0.99,NO,N/A,445100.0%,27.31%,181.0%,19.93%,95.25,0.1218,2.3688,0.026,0.694,0.972,0.267
3,1.0,0.99,NO,N/A,53000.0%,16.72%,176.5%,8.12%,91.22,0.0796,2.1549,0.012,0.547,0.986,0.455
4,0.91,0.71,NO,N/A,49900.0%,14.93%,179.75%,6.56%,93.13,0.0682,2.3024,0.01,0.616,0.989,0.366
5,0.91,0.63,YES,2.23e-02,46900.0%,12.88%,172.55%,5.52%,89.52,0.0564,2.0426,0.007,0.502,0.992,0.503
6*,0.87,0.43,YES,2.91e-01,47100.0%,12.16%,164.9%,5.09%,85.63,0.0498,1.7872,0.006,0.395,0.994,0.626
7,0.86,0.6,YES,Most Stab Sigs,49400.0%,11.45%,161.95%,4.77%,85.63,0.0474,1.8233,0.005,0.436,0.995,0.562
8,0.8,0.15,NO,N/A,51300.0%,10.52%,164.35%,4.29%,86.62,0.0435,1.7495,0.005,0.455,0.995,0.541
9,0.68,-0.42,NO,N/A,54600.0%,10.23%,161.4%,3.98%,85.21,0.0418,1.6678,0.004,0.423,0.995,0.577
10,0.56,-0.51,NO,N/A,31100.0%,11.01%,161.1%,4.39%,85.14,0.0429,1.6558,0.004,0.422,0.995,0.578
11,0.48,-0.39,NO,N/A,27800.0%,10.87%,161.15%,4.25%,85.28,0.0425,1.6496,0.004,0.43,0.996,0.567
12,0.41,-0.48,NO,N/A,32800.0%,10.62%,163.1%,4.31%,86.48,0.0422,1.6944,0.004,0.459,0.996,0.535
13,0.37,-0.56,NO,N/A,52600.0%,10.08%,161.5%,4.02%,84.22,0.0409,1.7893,0.004,0.375,0.996,0.641
14,0.34,-0.52,NO,N/A,61200.0%,9.64%,147.85%,3.78%,78.49,0.0385,1.5436,0.003,0.296,0.997,0.712
15,0.31,-0.55,NO,N/A,51500.0%,9.57%,147.0%,3.74%,79.34,0.0388,1.5659,0.003,0.336,0.997,0.663
16,0.3,-0.54,NO,N/A,13900.0%,9.41%,146.9%,3.7%,79.41,0.0373,1.5586,0.003,0.339,0.997,0.659
17,0.27,-0.5,NO,N/A,107700.0%,11.37%,143.0%,4.8%,77.78,0.0417,1.5305,0.003,0.318,0.997,0.681
18,0.25,-0.53,NO,N/A,55500.0%,9.11%,143.35%,3.54%,77.71,0.0366,1.5408,0.003,0.313,0.997,0.686
19,0.24,-0.5,NO,N/A,36100.0%,8.84%,153.75%,3.44%,80.26,0.0358,1.5087,0.002,0.291,0.997,0.732
20,0.21,-0.47,NO,N/A,20400.0%,8.67%,152.7%,3.29%,79.12,0.0348,1.476,0.002,0.25,0.998,0.783
