Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
CPCT02040208T	22	47	74	2	43	181	8	10	0
DRUP01040010T	2391	78	160	958	0	107	40	25	133
CPCT02040315T	944	14	60	431	102	54	24	45	80
CPCT02040313T	319	142	50	18	215	55	0	48	76
CPCT02040312T	107	20	169	26	94	32	39	40	46
CPCT02010727T	1046	188	1625	333	183	227	68	39	68
CPCT02010728T	96	38	53	0	447	188	152	90	0
CPCT02011031T	261	93	127	71	81	100	476	36	63
CPCT02011035T	322	24	153	219	147	59	70	35	66
CPCT02011038T	9	0	3	7	19	16	0	13	15
CPCT02010927T	353	90	300	103	231	52	145	70	62
CPCT02070447T	12	31	795	59	62	57	33	49	59
DRUP01020043T	1	8	29	29	95	31	37	35	5
DRUP01270007T	3	71	307	33	120	43	30	77	33
CPCT02011040T	15	1	60	20	67	46	3	36	48
CPCT02011032T	43	70	28	53	89	62	36	84	25
CPCT02010738T	892	383	425	389	102	190	49	88	78
CPCT02011044T	239	65	212	113	73	26	34	53	45
CPCT02011036T	271	173	544	98	353	73	161	179	59
CPCT02020906T	69	96	669	24	0	164	2533	75	102
CPCT02011046T	395	20	99	67	151	38	48	57	50
CPCT02011047T	72	139	112	29	87	54	86	40	48
CPCT02011050T	45	38174	2677	21	0	0	0	2110	0
CPCT02390011T	77	15	55	0	398	170	224	21	0
CPCT02080188T	3428	286	424	1271	196	254	135	84	113
CPCT02020912T	122	81	140	149	86	40	42	47	44
CPCT02120100T	20	21	46	19	95	118	13	70	24
CPCT02011053T	397	103	301	188	166	53	59	72	66
CPCT02011055T	1129	160	110	597	253	56	46	55	317
DRUP01010119T	30	19	133	22	111	58	101	104	71
DRUP01010116TII	1545	507	201	600	572	120	230	137	551
CPCT02040317T	1754	121	137	163	13	98	110	5	75
CPCT02040320T	1233	96	401	242	54	96	139	41	158
CPCT02010955T	41	1130	328	46	289	51	72	71	101
CPCT02011057T	177	140	543	78	41	91	80	107	64
CPCT02011059T	55	4	53	14	57	48	47	58	45
CPCT02011052T	2510	99	197	486	224	141	168	116	285
CPCT02011056T	119	104	388	41	124	68	176	130	87
CPCT02270046T	577	70	272	213	93	81	39	22	59
CPCT02011042T	21	19	60	23	69	37	53	64	28
CPCT02100145T	674	46	194	312	187	118	111	83	19
CPCT02130173T	8	497	168	80	122	93	90	212	65
CPCT02011067T	18	102	322	88	116	250	70	45	34
CPCT02190029T	57	285	341	81	190	178	106	74	25
CPCT02020925T	1524	127	274	786	99	65	58	98	94
CPCT02011051T	0	96	259	46	122	38	22	55	53
DRUP01010066T	461	143	93	62	146	289	21	41	0
CPCT02011065T	46	79	387	58	126	73	81	102	60
CPCT02011080T	20	36	110	14	27	27	14	11	48
CPCT02010741T	33	86	199	73	116	110	47	64	32
CPCT02011082T	542	496	184	161	59	69	79	137	100
CPCT02011079T	1764	781	239	934	47	115	47	232	115
CPCT02011077T	15	6	260	6	28	37	16	31	15
CPCT02270047T	1178	107	139	149	184	86	54	13	97
CPCT02410018T	1717	84	71	385	156	94	24	0	119
CPCT02011074T	359	61	369	118	65	43	59	57	50
CPCT02011089T	33	91	360	17	194	75	85	90	44
CPCT02011086T	396	6	170	125	21	85	661	20	196
CPCT02011088T	1222	177	396	689	299	111	142	82	161
CPCT02011087T	778	150	398	326	87	61	52	30	45
CPCT02020671T	5574	898	67	2275	232	216	10	111	226
CPCT02011071T	13	32	332	53	80	31	17	41	35
CPCT02040216T	11	100	253	24	26	95	43	39	67
CPCT02140057T	898	196	89	391	614	84	114	8	131
CPCT02040221T	458	396	106	152	248	83	54	80	17
WIDE01010002T	519	77	338	271	185	83	118	99	255
CPCT02010500T	25	314	399	41	140	49	19	51	39
CPCT02010966TII	35	12	221	15	35	86	42	78	264
CPCT02010942TII	37	190	182	52	112	58	26	93	116
WIDE01010003T	9	133	74	9	31	52	39	81	48
CPCT02190031T	49	196	243	90	156	73	67	68	10
CPCT02011093T	15	38	105	6	63	29	52	32	33
CPCT02011097T	652	49	411	140	191	153	241	76	100
DRUP01060011T	16	68	141	56	59	77	39	55	7
CPCT02011069T	765	122	104	383	240	79	69	73	84
DRUP01060014T	0	25	168	35	56	194	31	53	2
DRUP01010064T	135	25	162	28	124	147	23	32	9
CPCT02120107T	631	79	71	117	133	81	38	89	39
CPCT02011102T	20	154	351	34	107	34	39	49	41
CPCT02040330T	1020	64	155	236	97	71	88	23	83
