Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
CPCT02440004T	918	2172	43	47	51	95	3	277	0	44
CPCT02220032T	535	1037	11	0	247	177	552	439	364	134
CPCT02130031T	301	1191	22	121	118	231	42	28	0	160
DRUP01020018T	243	1372	10	1	83	148	140	308	0	121
CPCT02310005T	300	589	40	0	19	83	174	236	262	270
CPCT02250005T	27742	2634	6472	0	45	416	0	541	0	5
CPCT02330080T	468	768	77	304	153	173	48	63	66	120
CPCT02100144T	697	317	44	433	510	95	31	152	286	27
CPCT02330085T	507	1022	67	187	312	149	107	255	305	103
CPCT02010742T	212	986	39	0	65	88	15	46	0	39
DRUP01010123T	128290	33953	30457	3053	100	937	0	0	0	0
DRUP01220007T	207	883	41	0	247	121	200	387	289	85
CPCT02300033T	45	463	13	27	422	188	27	37	147	109
DRUP01010059T	461	676	21	0	8	80	33	198	96	36
DRUP01010070T	169	946	8	0	185	115	88	6	109	82
CPCT02160038T	212	133	22	264	45	57	75	99	217	95
CPCT02440024T	0	0	0	89	6	41	28	31	136	19
CPCT02030442T	220	1407	10	0	36	179	93	899	198	186
CPCT02330089T	335	1408	94	221	85	128	0	52	0	89
CPCT02210042T	358	0	12	217	39	126	26	75	244	43
DRUP01070039T	319	0	24	0	15	263	44	88	140	227
CPCT02220067T	256	924	3	228	189	82	130	405	0	59
CPCT02340057T	592	0	8	512	26	98	26	135	414	58
CPCT02010743T	355	747	3	0	170	159	28	148	50	39
CPCT02030454T	447	712	45	160	72	119	110	94	0	86
CPCT02320001T	737	1285	56	196	951	218	97	171	0	85
CPCT02390017T	369	694	74	98	172	133	75	66	240	112
CPCT02370012T	753	0	177	0	82	157	109	262	2155	202
CPCT02240007TII	217	616	3	222	119	170	100	9	127	137
CPCT02010747T	33	917	5	167	44	104	18	2	0	63
CPCT02010750T	302	920	36	195	84	79	26	38	0	53
CPCT02330092T	121	339	39	0	11	102	59	65	82	45
DRUP01340017T	138184	7106	38405	8099	1038	968	0	859	0	414
CPCT02060259T	388	1310	41	74	129	62	142	40	0	97
CPCT02080197T	310	889	56	292	34	146	74	108	69	94
CPCT02110059T	654	0	27	238	46	104	197	25	196	89
CPCT02220076T	53	1157	30	34	15	59	26	63	0	20
CPCT02010751T	13	376	0	239	17	113	70	14	0	28
CPCT02220077T	231	376	0	64	284	62	143	38	0	21
DRUP01060010T	1042	0	46	371	340	182	57	72	459	122
CPCT02140061T	720	0	91	52	30	110	28	37	415	67
CPCT02270018T	158	767	20	135	46	61	20	47	0	28
CPCT02310007T	142	1157	20	183	155	98	16	32	0	58
CPCT02230087T	269	1699	34	50	71	90	35	72	0	57
CPCT02150048T	436	1702	95	0	250	97	36	1216	0	171
DRUP01010122T	109901	15758	25899	7560	246	703	136	140	0	0
CPCT02330095T	319	1183	38	54	28	107	82	144	114	49
CPCT02340075T	485	2028	58	128	29	127	3	63	0	41
