Koh_476,Koh_89
A[Ins(C):R9]A,"Ins(C):R(7,)"
A[Ins(C):R9]G,"Ins(C):R(7,)"
A[Ins(C):R9]T,"Ins(C):R(7,)"
A[Ins(T):R0]A,"A[Ins(T):R(0,4)]A"
A[Ins(T):R0]C,"A[Ins(T):R(0,4)]C"
A[Ins(T):R0]G,"A[Ins(T):R(0,4)]G"
A[Ins(T):R10]A,"A[Ins(T):R(8,)]A"
A[Ins(T):R10]C,"A[Ins(T):R(8,)]C"
A[Ins(T):R10]G,"A[Ins(T):R(8,)]G"
A[Ins(T):R11]A,"A[Ins(T):R(8,)]A"
A[Ins(T):R11]C,"A[Ins(T):R(8,)]C"
A[Ins(T):R11]G,"A[Ins(T):R(8,)]G"
A[Ins(T):R12]A,"A[Ins(T):R(8,)]A"
A[Ins(T):R12]C,"A[Ins(T):R(8,)]C"
A[Ins(T):R12]G,"A[Ins(T):R(8,)]G"
A[Ins(T):R13]A,"A[Ins(T):R(8,)]A"
A[Ins(T):R13]C,"A[Ins(T):R(8,)]C"
A[Ins(T):R13]G,"A[Ins(T):R(8,)]G"
A[Ins(T):R14]A,"A[Ins(T):R(8,)]A"
A[Ins(T):R14]C,"A[Ins(T):R(8,)]C"
A[Ins(T):R14]G,"A[Ins(T):R(8,)]G"
A[Ins(T):R1]A,"A[Ins(T):R(0,4)]A"
A[Ins(T):R1]C,"A[Ins(T):R(0,4)]C"
A[Ins(T):R1]G,"A[Ins(T):R(0,4)]G"
A[Ins(T):R2]A,"A[Ins(T):R(0,4)]A"
A[Ins(T):R2]C,"A[Ins(T):R(0,4)]C"
A[Ins(T):R2]G,"A[Ins(T):R(0,4)]G"
A[Ins(T):R3]A,"A[Ins(T):R(0,4)]A"
A[Ins(T):R3]C,"A[Ins(T):R(0,4)]C"
A[Ins(T):R3]G,"A[Ins(T):R(0,4)]G"
A[Ins(T):R4]A,"A[Ins(T):R(0,4)]A"
A[Ins(T):R4]C,"A[Ins(T):R(0,4)]C"
A[Ins(T):R4]G,"A[Ins(T):R(0,4)]G"
A[Ins(T):R5]A,"A[Ins(T):R(5,7)]A"
A[Ins(T):R5]C,"A[Ins(T):R(5,7)]C"
A[Ins(T):R5]G,"A[Ins(T):R(5,7)]G"
A[Ins(T):R6]A,"A[Ins(T):R(5,7)]A"
A[Ins(T):R6]C,"A[Ins(T):R(5,7)]C"
A[Ins(T):R6]G,"A[Ins(T):R(5,7)]G"
A[Ins(T):R7]A,"A[Ins(T):R(5,7)]A"
A[Ins(T):R7]C,"A[Ins(T):R(5,7)]C"
A[Ins(T):R7]G,"A[Ins(T):R(5,7)]G"
A[Ins(T):R8]A,"A[Ins(T):R(8,)]A"
A[Ins(T):R8]C,"A[Ins(T):R(8,)]C"
A[Ins(T):R8]G,"A[Ins(T):R(8,)]G"
A[Ins(T):R9]A,"A[Ins(T):R(8,)]A"
A[Ins(T):R9]C,"A[Ins(T):R(8,)]C"
A[Ins(T):R9]G,"A[Ins(T):R(8,)]G"
C[Del(T):R10]A,"C[Del(T):R(8,)]A"
C[Del(T):R10]C,"C[Del(T):R(8,)]C"
C[Del(T):R10]G,"C[Del(T):R(8,)]G"
C[Del(T):R11]A,"C[Del(T):R(8,)]A"
C[Del(T):R11]C,"C[Del(T):R(8,)]C"
C[Del(T):R11]G,"C[Del(T):R(8,)]G"
C[Del(T):R12]A,"C[Del(T):R(8,)]A"
C[Del(T):R12]C,"C[Del(T):R(8,)]C"
C[Del(T):R12]G,"C[Del(T):R(8,)]G"
C[Del(T):R13]A,"C[Del(T):R(8,)]A"
C[Del(T):R13]C,"C[Del(T):R(8,)]C"
C[Del(T):R13]G,"C[Del(T):R(8,)]G"
C[Del(T):R14]A,"C[Del(T):R(8,)]A"
C[Del(T):R14]C,"C[Del(T):R(8,)]C"
