Koh_476,Koh_89
"Ins(5,):U(3,):R2","Ins(2,):R(2,4)"
"Ins(5,):U(3,):R3","Ins(2,):R(2,4)"
"Ins(5,):U(3,):R4","Ins(2,):R(2,4)"
"Ins(5,):U1:R(5,9)","Ins(2,):R(5,)"
"Ins(5,):U1:R1","Ins(5,):R1"
"Ins(5,):U1:R2","Ins(2,):R(2,4)"
"Ins(5,):U1:R3","Ins(2,):R(2,4)"
"Ins(5,):U1:R4","Ins(2,):R(2,4)"
"Ins(5,):U2:R(5,9)","Ins(2,):R(5,)"
"Ins(5,):U2:R1","Ins(5,):R1"
"Ins(5,):U2:R2","Ins(2,):R(2,4)"
"Ins(5,):U2:R3","Ins(2,):R(2,4)"
"Ins(5,):U2:R4","Ins(2,):R(2,4)"
"Ins2:U1:R(5,9)","Ins(2,):R(5,)"
Ins2:U1:R0,"Ins(2,4):R0"
Ins2:U1:R1,"Ins(2,4):R1"
Ins2:U1:R2,"Ins(2,):R(2,4)"
Ins2:U1:R3,"Ins(2,):R(2,4)"
Ins2:U1:R4,"Ins(2,):R(2,4)"
"Ins2:U2:R(5,9)","Ins(2,):R(5,)"
Ins2:U2:R0,"Ins(2,4):R0"
Ins2:U2:R1,"Ins(2,4):R1"
Ins2:U2:R2,"Ins(2,):R(2,4)"
Ins2:U2:R3,"Ins(2,):R(2,4)"
Ins2:U2:R4,"Ins(2,):R(2,4)"
"Ins3:U1:R(5,9)","Ins(2,):R(5,)"
Ins3:U1:R0,"Ins(2,4):R0"
Ins3:U1:R1,"Ins(2,4):R1"
Ins3:U1:R2,"Ins(2,):R(2,4)"
Ins3:U1:R3,"Ins(2,):R(2,4)"
Ins3:U1:R4,"Ins(2,):R(2,4)"
"Ins3:U3:R(5,9)","Ins(2,):R(5,)"
Ins3:U3:R0,"Ins(2,4):R0"
Ins3:U3:R1,"Ins(2,4):R1"
Ins3:U3:R2,"Ins(2,):R(2,4)"
Ins3:U3:R3,"Ins(2,):R(2,4)"
Ins3:U3:R4,"Ins(2,):R(2,4)"
"Ins4:U1:R(5,9)","Ins(2,):R(5,)"
Ins4:U1:R0,"Ins(2,4):R0"
Ins4:U1:R1,"Ins(2,4):R1"
Ins4:U1:R2,"Ins(2,):R(2,4)"
Ins4:U1:R3,"Ins(2,):R(2,4)"
Ins4:U1:R4,"Ins(2,):R(2,4)"
"Ins4:U2:R(5,9)","Ins(2,):R(5,)"
Ins4:U2:R0,"Ins(2,4):R0"
Ins4:U2:R1,"Ins(2,4):R1"
Ins4:U2:R2,"Ins(2,):R(2,4)"
Ins4:U2:R3,"Ins(2,):R(2,4)"
Ins4:U2:R4,"Ins(2,):R(2,4)"
"Ins4:U4:R(5,9)","Ins(2,):R(5,)"
Ins4:U4:R0,"Ins(2,4):R0"
Ins4:U4:R1,"Ins(2,4):R1"
Ins4:U4:R2,"Ins(2,):R(2,4)"
Ins4:U4:R3,"Ins(2,):R(2,4)"
Ins4:U4:R4,"Ins(2,):R(2,4)"
T[Del(C):R10]A,"Del(C):R(6,9)"
T[Del(C):R10]G,"Del(C):R(6,9)"
T[Del(C):R10]T,"Del(C):R(6,9)"
T[Del(C):R11]A,"Del(C):R(6,9)"
T[Del(C):R11]G,"Del(C):R(6,9)"
T[Del(C):R11]T,"Del(C):R(6,9)"
T[Del(C):R12]A,"Del(C):R(6,9)"
T[Del(C):R12]G,"Del(C):R(6,9)"
T[Del(C):R12]T,"Del(C):R(6,9)"
T[Del(C):R1]A,[Del(C):R1]A
T[Del(C):R1]G,"[Del(C):R(1,5)]G"
T[Del(C):R1]T,[Del(C):R1]T
T[Del(C):R2]A,[Del(C):R2]A
T[Del(C):R2]G,"[Del(C):R(1,5)]G"
T[Del(C):R2]T,[Del(C):R2]T
T[Del(C):R3]A,[Del(C):R3]A
T[Del(C):R3]G,"[Del(C):R(1,5)]G"
T[Del(C):R3]T,[Del(C):R3]T
T[Del(C):R4]A,"[Del(C):R(4,5)]A"
T[Del(C):R4]G,"[Del(C):R(1,5)]G"
T[Del(C):R4]T,"[Del(C):R(4,5)]T"
T[Del(C):R5]A,"[Del(C):R(4,5)]A"
T[Del(C):R5]G,"[Del(C):R(1,5)]G"
T[Del(C):R5]T,"[Del(C):R(4,5)]T"
T[Del(C):R6]A,"Del(C):R(6,9)"
T[Del(C):R6]G,"Del(C):R(6,9)"
T[Del(C):R6]T,"Del(C):R(6,9)"
T[Del(C):R7]A,"Del(C):R(6,9)"
T[Del(C):R7]G,"Del(C):R(6,9)"
T[Del(C):R7]T,"Del(C):R(6,9)"
T[Del(C):R8]A,"Del(C):R(6,9)"
T[Del(C):R8]G,"Del(C):R(6,9)"
T[Del(C):R8]T,"Del(C):R(6,9)"
T[Del(C):R9]A,"Del(C):R(6,9)"
T[Del(C):R9]G,"Del(C):R(6,9)"
T[Del(C):R9]T,"Del(C):R(6,9)"
T[Ins(C):R0]A,"Ins(C):R(0,3)"
T[Ins(C):R0]G,"Ins(C):R(0,3)"
T[Ins(C):R0]T,"Ins(C):R(0,3)"
T[Ins(C):R10]A,"Ins(C):R(7,)"
T[Ins(C):R10]G,"Ins(C):R(7,)"
T[Ins(C):R10]T,"Ins(C):R(7,)"
T[Ins(C):R11]A,"Ins(C):R(7,)"
T[Ins(C):R11]G,"Ins(C):R(7,)"
T[Ins(C):R1]A,"Ins(C):R(0,3)"
T[Ins(C):R1]G,"Ins(C):R(0,3)"
T[Ins(C):R1]T,"Ins(C):R(0,3)"
T[Ins(C):R2]A,"Ins(C):R(0,3)"
T[Ins(C):R2]G,"Ins(C):R(0,3)"
T[Ins(C):R2]T,"Ins(C):R(0,3)"
T[Ins(C):R3]A,"Ins(C):R(0,3)"
T[Ins(C):R3]G,"Ins(C):R(0,3)"
T[Ins(C):R3]T,"Ins(C):R(0,3)"
T[Ins(C):R4]A,"Ins(C):R(4,6)"
T[Ins(C):R4]G,"Ins(C):R(4,6)"
T[Ins(C):R4]T,"Ins(C):R(4,6)"
T[Ins(C):R5]A,"Ins(C):R(4,6)"
T[Ins(C):R5]G,"Ins(C):R(4,6)"
T[Ins(C):R5]T,"Ins(C):R(4,6)"
T[Ins(C):R6]A,"Ins(C):R(4,6)"
T[Ins(C):R6]G,"Ins(C):R(4,6)"
T[Ins(C):R6]T,"Ins(C):R(4,6)"
T[Ins(C):R7]A,"Ins(C):R(7,)"
T[Ins(C):R7]G,"Ins(C):R(7,)"
T[Ins(C):R7]T,"Ins(C):R(7,)"
T[Ins(C):R8]A,"Ins(C):R(7,)"
T[Ins(C):R8]G,"Ins(C):R(7,)"
T[Ins(C):R8]T,"Ins(C):R(7,)"
T[Ins(C):R9]A,"Ins(C):R(7,)"
T[Ins(C):R9]G,"Ins(C):R(7,)"
T[Ins(C):R9]T,"Ins(C):R(7,)"
