Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP127630	54	286	273	495	0	0	0	11	31	11	12	35	0	0
SP127634	0	127	0	550	0	127	87	199	68	9	130	42	110	0
SP127636	307	313	0	411	9	38	72	30	1	13	44	0	0	0
SP127628	101	176	4	281	7	26	5	0	20	0	10	0	0	0
SP127640	342	449	0	184	0	97	19	29	20	8	16	0	0	0
SP127638	723	78	524	58	78	0	15	18	0	3	10	149	0	0
SP127632	53	748	532	87	362	15	27	79	184	7	12	0	0	0
SP59388	68	50	109	54	41	0	0	0	27	0	20	0	0	0
SP116649	439	340	0	0	40	71	68	12	14	0	36	0	0	0
SP59416	179	178	0	16	0	4	61	11	5	1	35	0	0	0
SP124977	174	295	141	74	0	32	16	6	37	5	4	18	0	0
SP59356	36	67	87	76	28	33	7	4	11	1	12	43	0	0
SP116612	88	267	194	0	124	68	0	33	41	1	12	40	0	0
SP116659	251	50	128	122	78	59	129	5	23	3	21	0	0	0
SP116668	440	507	0	236	0	218	95	0	0	0	185	0	92	0
SP116630	314	608	465	0	0	48	0	39	0	0	1	41	0	0
SP59412	223	309	132	162	32	46	33	10	90	1	30	0	0	0
SP116686	0	96	0	90	61	57	11	40	5	0	0	10	0	0
SP116694	97	287	0	293	71	86	38	27	0	8	13	0	15	0
SP116712	46	34	0	1	0	12	10	7	7	0	0	0	0	0
SP116726	359	52	334	0	1	80	7	18	84	7	17	0	0	100
SP116723	24	83	0	0	47	44	5	11	0	0	12	3	20	0
SP59276	10	10	50	0	90	13	0	4	1	0	0	0	0	0
SP116703	39	67	17	0	0	20	56	6	15	0	6	0	0	0
SP59312	391	318	171	176	61	0	78	21	47	4	16	0	0	0
SP116701	214	213	73	0	96	63	51	31	35	5	14	32	0	0
SP59296	93	0	128	0	0	37	0	0	0	2	1	0	0	0
SP59280	143	114	0	163	3	51	0	0	5	0	3	0	0	0
SP59344	15	0	12	145	0	16	5	1	11	1	6	0	3	0
SP59460	347	162	61	0	89	0	102	6	25	0	28	0	0	0
SP59404	74	0	123	52	0	7	0	3	0	0	5	11	0	0
SP116709	117	41	127	6	0	0	56	19	35	4	18	16	0	0
SP59448	958	1127	675	0	451	77	25	28	3	0	14	0	0	0
SP116614	386	152	320	211	0	37	83	11	48	0	37	0	0	0
SP59464	45	89	36	14	0	14	39	1	8	1	20	19	0	0
SP59364	93	33	160	4	52	174	21	15	0	0	40	5	0	0
SP116663	406	463	434	411	8	26	1	39	87	13	12	0	0	0
SP59444	79	55	0	0	0	33	10	9	51	0	1	29	10	0
SP116690	161	613	210	0	685	11	9	43	30	10	51	0	0	0
SP59270	33	54	0	0	61	6	0	0	9	0	2	0	0	0
SP59352	49	65	79	167	131	33	36	12	8	0	35	29	0	0
SP116652	30	31	87	0	0	12	0	5	0	0	0	0	20	0
SP116715	549	1054	1000	438	0	129	45	32	81	18	9	87	0	0
SP116718	132	157	73	22	0	19	100	27	27	4	23	0	0	0
SP116720	37	43	52	0	18	64	12	0	21	0	3	0	0	0
SP59284	127	57	245	0	0	0	11	4	15	1	0	0	0	0
SP116618	0	58	91	56	48	49	18	36	15	1	9	0	0	0
SP59436	0	10	0	0	7	0	25	1	0	0	3	3	0	12
SP116645	621	221	127	0	100	45	114	7	48	3	24	4	0	0
SP59320	48	26	116	0	0	0	110	2	5	0	21	0	0	0
SP116672	14	21	28	0	0	29	0	4	8	0	3	16	0	0
SP116635	63	39	107	0	78	52	21	11	19	0	12	0	0	0
SP59328	77	43	32	60	0	25	0	3	0	2	1	8	0	23
SP116627	15	3	132	0	1	0	23	4	11	0	8	31	0	39
