Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,218900.0%,33.9%,199.0%,21.7%,138.12,0.3721,5.3139,0.086,0.985,0.908,-0.022
3,0.88,0.68,NO,N/A,168200.0%,27.98%,198.4%,14.96%,106.38,0.3185,4.8448,0.068,0.961,0.924,-0.025
4,0.93,0.82,NO,N/A,130100.0%,25.69%,198.7%,14.38%,121.87,17.1181,1000.0,0.063,0.975,0.931,-0.022
5,0.97,0.92,NO,N/A,108700.0%,23.17%,198.8%,11.8%,121.97,17.1034,1000.0,0.059,0.98,0.937,-0.024
6,0.95,0.87,YES,8.08e-05,92100.0%,21.14%,198.8%,11.72%,121.78,17.0873,1000.0,0.057,0.98,0.939,-0.023
7*,0.93,0.72,YES,Most Stab Sigs,26300.0%,16.92%,197.5%,7.4%,103.84,8.6434,1000.0,0.05,0.941,0.945,0.002
8,0.8,0.18,NO,N/A,19000.0%,15.97%,197.3%,7.15%,102.59,0.2339,4.3122,0.048,0.933,0.947,0.008
9,0.72,0.15,NO,N/A,18000.0%,14.77%,195.9%,6.64%,105.5,0.2221,3.877,0.047,0.891,0.949,0.057
10,0.49,-0.4,NO,N/A,38400.0%,14.87%,195.7%,6.46%,102.1,0.2188,3.8493,0.045,0.889,0.951,0.059
11,0.43,-0.41,NO,N/A,27400.0%,14.25%,196.1%,6.56%,101.07,0.2166,3.934,0.044,0.893,0.952,0.052
12,0.38,-0.5,NO,N/A,29800.0%,14.16%,197.1%,6.33%,100.1,0.2187,4.2219,0.044,0.918,0.952,0.019
13,0.34,-0.5,NO,N/A,27500.0%,13.47%,195.5%,6.28%,100.0,0.2056,3.7986,0.042,0.893,0.954,0.058
14,0.31,-0.46,NO,N/A,35100.0%,14.02%,195.7%,6.31%,99.7,0.2072,3.846,0.042,0.888,0.954,0.06
15,0.27,-0.46,NO,N/A,32900.0%,13.28%,194.9%,6.11%,99.7,0.2005,3.6738,0.04,0.879,0.957,0.075
16,0.24,-0.37,NO,N/A,114000.0%,14.71%,195.2%,6.87%,99.5,0.2093,3.728,0.039,0.875,0.957,0.076
17,0.23,-0.42,NO,N/A,90000.0%,14.85%,195.1%,7.03%,99.2,0.2032,3.7107,0.039,0.867,0.958,0.085
18,0.21,-0.5,NO,N/A,39800.0%,13.34%,196.2%,5.8%,99.5,0.1959,3.9674,0.036,0.888,0.961,0.054
19,0.18,-0.53,NO,N/A,37600.0%,12.62%,194.3%,5.52%,98.9,0.1947,3.5552,0.038,0.846,0.96,0.111
20,0.17,-0.51,NO,N/A,45200.0%,12.96%,195.7%,5.76%,99.8,0.1899,3.8286,0.035,0.89,0.963,0.059
