Samples	ID83A	ID83B	ID83C
SP1086	1.05E+00	1.49E+00	1.45E+00
SP1003	1.32E+00	2.01E+00	1.76E+00
SP1677	9.75E-01	1.98E+00	1.81E+00
SP1305	1.79E+00	3.49E+00	3.66E+00
SP963	9.16E-01	1.87E+00	1.88E+00
SP1144	7.33E-01	1.52E+00	1.49E+00
SP1132	1.19E+00	2.23E+00	2.06E+00
SP1712	7.26E-01	9.01E-01	6.98E-01
SP1114	1.09E+00	1.46E+00	1.31E+00
SP1431	1.08E+00	1.33E+00	9.48E-01
SP975	1.67E+00	2.46E+00	2.59E+00
SP1059	1.61E+00	2.72E+00	2.47E+00
SP1419	1.79E+00	2.41E+00	2.04E+00
SP1009	8.43E-01	1.68E+00	1.55E+00
SP1724	7.07E-01	1.10E+00	1.00E+00
SP96136	1.52E+00	2.99E+00	2.89E+00
SP967	1.07E+00	1.07E+00	5.64E-01
SP1781	1.88E+00	1.84E+00	1.38E+00
SP1174	2.49E+00	2.53E+00	1.45E+00
SP953	1.84E+00	1.84E+00	1.39E+00
SP1377	8.10E-01	1.15E+00	1.02E+00
SP1365	1.22E+00	2.12E+00	1.97E+00
SP1491	1.26E+00	1.86E+00	1.68E+00
CPCT02060013T	1.71E+00	3.43E+00	3.40E+00
CPCT02100026T	1.52E+00	1.79E+00	1.45E+00
CPCT02070020T	2.23E+00	2.42E+00	2.30E+00
CPCT02030269T	9.28E-01	1.62E+00	1.47E+00
CPCT02010944TIII	1.56E+00	2.02E+00	1.66E+00
CPCT02020867T	1.56E+00	3.23E+00	3.18E+00
CPCT02070272T	3.34E+00	3.99E+00	4.15E+00
CPCT02020648T	1.54E+00	2.19E+00	2.17E+00
CPCT02020362T	2.34E+00	2.46E+00	2.07E+00
CPCT02440020T	2.16E+00	2.44E+00	2.15E+00
CPCT02210077T	1.99E+00	2.25E+00	2.07E+00
CPCT02070445T	1.80E+00	2.21E+00	1.45E+00
CPCT02020894T	1.72E+00	2.08E+00	1.70E+00
CPCT02020896T	1.55E+00	1.78E+00	1.17E+00
CPCT02140101T	3.11E+00	3.04E+00	2.80E+00
CPCT02210040T	2.22E+00	2.26E+00	1.56E+00
DRUP01010020T	4.08E+01	4.18E+01	3.73E+00
CPCT02020902T	1.86E+00	3.00E+00	3.15E+00
CPCT02070443T	2.12E+00	2.30E+00	1.56E+00
CPCT02080295T	2.97E+00	3.12E+00	2.21E+00
CPCT02020916T	1.73E+00	2.41E+00	2.04E+00
CPCT02020915T	1.36E+00	1.52E+00	1.13E+00
CPCT02160036T	1.31E+00	1.97E+00	1.59E+00
CPCT02120184T	1.76E+00	3.18E+00	3.12E+00
CPCT02050315T	9.27E-01	1.54E+00	1.49E+00
CPCT02120182T	1.46E+00	1.97E+00	1.64E+00
CPCT02020940T	7.68E-01	1.94E+00	1.97E+00
CPCT02010712T	3.59E+00	3.62E+00	2.62E+00
CPCT02070294T	1.17E+00	2.32E+00	2.13E+00
CPCT02070299T	2.46E+00	2.93E+00	2.62E+00
CPCT02050437T	2.79E+00	2.90E+00	2.02E+00
CPCT02050436T	2.52E+00	3.14E+00	3.02E+00
CPCT02020952T	2.09E+00	2.78E+00	1.96E+00
CPCT02020642TII	3.30E+00	4.84E+00	4.68E+00
CPCT02020958T	1.59E+00	1.93E+00	1.69E+00
CPCT02020684T	4.88E-01	1.62E+00	1.55E+00
WIDE01010111T	1.86E+00	2.69E+00	2.58E+00
CPCT02020958TII	1.71E+00	2.08E+00	1.87E+00
CPCT02020972T	3.49E+00	3.65E+00	2.59E+00
CPCT02020971T	1.12E+00	1.55E+00	1.31E+00
CPCT02330103T	2.12E+00	2.46E+00	1.99E+00
WIDE01010148T	3.14E+00	3.64E+00	2.66E+00
CPCT02070480T	1.27E+00	1.78E+00	1.56E+00
