Samples	ID83A	ID83B	ID83C	ID83D
SP117655	2.36E+00	8.96E+00	1.30E+01	5.17E+00
SP117556	1.67E+00	2.95E+00	3.39E+00	1.36E+00
SP117627	1.12E+00	2.76E+00	3.79E+00	1.73E+00
SP117775	2.08E+00	4.98E+00	7.80E+00	3.93E+00
SP117332	4.95E-01	1.29E+00	2.17E+00	1.23E+00
SP117712	9.07E-01	4.50E+00	7.90E+00	4.26E+00
SP117017	6.94E-01	2.37E+00	3.29E+00	1.50E+00
SP117031	2.18E+00	3.27E+00	3.51E+00	1.62E+00
SP117759	3.10E+00	6.93E+00	7.99E+00	2.14E+00
SP117621	1.43E+00	5.24E+00	7.46E+00	3.25E+00
SP117425	1.40E+00	3.94E+00	6.14E+00	2.95E+00
SP117930	2.96E+00	5.41E+00	5.99E+00	1.86E+00
SP99287	3.74E-01	1.74E+00	2.76E+00	1.41E+00
SP99293	6.28E-01	2.29E+00	5.15E+00	3.40E+00
SP99289	1.03E+00	5.28E+00	1.26E+01	8.35E+00
SP99297	1.35E-01	4.42E-01	4.26E-01	2.62E-01
SP99301	2.80E+00	4.34E+00	3.38E+00	2.88E-01
SP99305	5.56E-01	2.01E+00	3.41E+00	2.04E+00
SP99309	9.95E-01	4.41E+00	5.38E+00	1.61E+00
SP99313	5.58E-01	2.28E+00	5.98E+00	4.53E+00
SP99317	0.00E+00	1.86E-01	7.31E-01	6.11E-01
SP99321	7.80E-01	1.63E+00	2.54E+00	1.10E+00
SP99325	7.65E+01	8.51E+01	2.19E+01	3.99E+00
SP99329	5.18E-01	4.16E-01	3.61E+00	3.21E+00
SP99333	5.86E-01	2.07E+00	2.64E+00	1.03E+00
SP99337	9.18E-01	2.81E+00	3.37E+00	1.17E+00
SP99341	7.04E-01	2.07E+00	2.56E+00	8.78E-01
SP99345	1.26E-01	4.43E-01	1.18E+00	8.71E-01
SP99113	2.08E-01	4.00E-02	1.50E+00	1.45E+00
SP99185	5.78E-01	1.97E+00	8.35E+00	6.67E+00
SP99209	9.22E-01	4.42E+00	8.80E+00	5.29E+00
SP99213	1.25E+00	2.99E+00	3.41E+00	1.14E+00
SP99221	2.43E-02	1.69E-01	9.42E-01	8.51E-01
SP99225	5.18E-01	1.77E+00	3.26E+00	1.97E+00
SP99241	1.18E+00	5.02E+00	1.40E+01	1.02E+01
CPCT02020318T	1.31E+00	1.97E+00	1.82E+00	1.30E+00
CPCT02010377T	1.06E+00	2.47E+00	3.26E+00	2.03E+00
CPCT02060017T	1.30E+00	2.73E+00	3.23E+00	1.83E+00
CPCT02060166T	1.78E+00	3.73E+00	4.68E+00	2.52E+00
DRUP01080024T	6.35E-01	2.98E+00	3.19E+00	2.29E+00
CPCT02300029T	2.42E+00	4.14E+00	5.12E+00	3.28E+00
CPCT02130024T	1.30E+00	2.69E+00	3.26E+00	2.27E+00
CPCT02370015T	6.96E-01	1.44E+00	2.36E+00	1.92E+00
CPCT02080291T	9.91E-01	1.72E+00	1.64E+00	9.33E-01
CPCT02330082T	7.25E-01	1.43E+00	1.41E+00	9.20E-01
CPCT02130035T	1.93E+00	3.10E+00	4.02E+00	2.72E+00
CPCT02020667T	7.36E-01	2.05E+00	2.74E+00	1.87E+00
