Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP116536	14	8	0	11	5	26	0	3	0	8	0	0	0	8	0	2	15
SP116539	0	0	0	3	1	13	3	0	0	3	0	0	0	0	0	0	0
SP116542	3	0	0	2	1	7	0	8	0	1	0	1	0	7	0	0	0
SP116545	0	0	0	4	13	6	0	0	0	0	5	1	0	0	0	0	0
SP116548	6	0	0	3	4	10	1	0	0	5	4	3	0	4	0	0	0
SP116550	1	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0
SP116553	11	2	0	1	5	1	0	2	2	0	0	0	0	6	5	0	0
SP116557	0	0	1	0	0	3	3	0	1	0	0	0	0	1	0	0	0
SP116559	5	0	0	3	9	10	0	0	1	3	3	0	1	5	0	0	0
SP116562	16	8	2	0	2	0	0	0	0	5	1	2	0	6	0	0	4
SP116564	4	1	0	6	0	3	3	0	5	2	0	6	0	5	5	1	5
SP116571	2	1	0	8	3	3	1	0	1	2	0	3	0	2	0	0	0
SP116393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SP116442	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
SP116446	1	0	0	1	0	3	0	0	4	0	0	1	0	0	0	0	0
SP116419	2	2	0	9	20	9	0	33	0	17	0	0	3	13	1	0	22
SP116383	48	108	3	96	38	30	45	23	0	20	6	22	3	48	0	13	0
SP116385	49	20	0	13	5	0	11	43	0	5	0	10	0	33	29	8	0
SP116440	26	11	0	13	0	12	5	10	0	16	0	2	41	34	0	0	9
SP116450	90	97	3	41	24	15	0	44	0	23	0	16	37	30	13	0	11
SP116493	26	0	0	2	13	14	1	0	0	3	0	3	12	4	3	2	0
SP116391	13	0	0	16	1	9	0	0	0	0	0	0	4	0	3	0	28
SP116401	11	17	0	1	6	11	0	0	0	4	0	6	1	4	0	2	3
SP116409	33	9	0	12	13	4	2	0	0	7	0	16	0	32	0	9	7
SP116416	1	0	0	3	3	5	2	13	0	1	0	1	0	0	0	2	0
SP116424	2	2	0	1	3	0	2	7	0	6	0	4	0	6	0	0	1
SP116515	0	12	2	8	13	8	11	31	1	8	0	0	0	0	0	0	0
SP116499	11	8	5	36	52	0	15	0	2	7	0	2	0	1	10	2	7
SP116505	134	2	2	60	25	0	5	0	0	1	0	1	19	7	11	2	9
SP116509	12	15	2	35	36	21	15	0	0	6	13	4	5	8	6	4	0
SP116437	6	6	0	3	11	15	0	0	0	10	0	0	0	5	2	0	7
SP116512	29	15	0	15	65	0	5	40	0	4	0	177	0	29	0	0	7
SP116465	5	0	0	35	5	0	6	0	0	1	0	44	0	78	15	3	0
SP116496	46	120	0	35	36	107	45	41	0	15	0	19	0	32	0	13	43
SP116525	20	33	0	31	33	47	1	40	0	8	0	4	0	17	15	0	5
SP116481	9	0	1	4	6	0	2	0	0	0	0	0	1	0	0	0	18
SP116586	3	3	0	4	21	14	8	1	0	2	0	1	11	5	1	1	0
SP116528	147	23	0	12	22	34	5	0	1	6	85	12	0	4	19	5	0
SP116589	66	59	7	40	82	0	39	0	0	13	0	6	59	10	5	0	9
SP116406	9	12	0	23	37	0	1	0	0	1	0	8	0	12	14	0	0
SP116484	2	0	2	4	7	0	0	24	0	0	0	1	0	0	0	0	3
SP116453	10	7	1	8	17	7	0	21	0	2	0	4	7	5	8	2	0
SP116469	21	120	0	10	29	28	35	141	0	22	0	24	0	0	0	2	0
SP116578	17	289	0	20	29	83	124	26	0	25	0	31	54	21	0	0	0
SP116531	32	0	0	5	17	7	2	0	0	5	0	6	21	3	0	0	0
SP116593	3	0	1	4	33	5	0	0	0	5	0	0	3	3	5	0	0
SP116487	3	2	0	0	2	0	4	0	0	0	8	3	1	0	0	0	7
SP116456	2	0	0	2	4	11	0	0	0	3	0	1	0	4	0	16	6
SP116472	39	13	3	49	22	6	30	0	0	3	0	5	5	21	13	13	17
SP116518	96	8	4	125	103	37	8	0	0	4	100	14	0	22	24	4	18
SP116412	24	4	0	24	31	0	0	8	1	5	0	4	0	2	0	0	0
SP116534	7	8	0	13	10	11	14	0	0	4	8	0	0	6	0	2	6
SP116596	20	59	0	8	30	2	16	171	0	34	0	12	0	0	0	4	42
SP116490	24	0	0	42	38	0	16	0	0	6	0	3	10	9	9	0	0
SP116459	28	16	1	27	35	21	6	10	0	2	8	11	0	14	2	2	18
SP116475	29	0	1	20	20	0	1	28	0	4	0	0	1	8	0	1	0
SP116520	20	10	0	32	52	11	8	79	0	11	0	2	0	0	0	0	27
SP116431	50	14	4	25	64	0	0	95	0	13	0	14	0	0	0	5	0
SP116582	102	36	0	45	46	43	31	0	0	4	0	5	13	8	22	10	28
SP116599	33	0	0	48	14	12	0	22	0	7	11	5	0	0	3	0	4
SP116478	16	0	2	29	65	0	3	0	0	1	19	3	0	3	2	5	21
SP116462	27	4	0	14	5	9	2	1	0	2	0	4	3	6	5	0	20
SP116523	38	9	0	22	5	0	4	23	0	2	8	0	3	0	0	1	12
SP116434	6	6	0	1	0	3	0	0	0	1	0	1	2	0	7	0	0
SP122725	58	23	1	39	28	22	14	17	0	4	27	31	0	15	5	0	11
SP122476	11	13	6	14	43	7	25	80	0	22	11	5	0	0	0	0	42
SP122372	0	113	0	0	37	38	7	39	0	31	0	13	0	4	5	0	0
SP122489	30	3	1	20	32	36	4	30	0	6	0	7	0	2	0	7	3
SP122560	39	16	0	17	15	0	8	4	0	1	0	4	4	0	26	9	40
SP122590	13	17	0	20	40	3	3	59	0	5	0	5	0	3	6	0	19
SP122714	14	10	2	7	22	11	6	49	0	1	0	3	0	15	6	2	0
SP121870	39	0	1	47	30	42	8	0	0	7	25	9	2	12	1	3	0
SP123010	66	23	1	13	21	35	6	0	0	0	11	13	31	44	3	2	9
SP121865	18	28	3	28	31	29	4	27	0	11	0	8	14	6	7	0	0
SP122676	121	6	4	35	65	0	15	44	0	16	19	9	5	4	2	1	25
SP122412	15	21	4	4	19	25	17	0	0	3	19	8	26	17	10	0	0
SP122392	121	52	3	62	105	48	142	48	0	12	0	32	14	68	46	4	3
