Samples	ID83A	ID83B
SP124389	1.05E+00	1.05E+00
SP124362	1.33E+00	1.33E+00
SP124394	7.80E-01	7.80E-01
SP124334	1.37E+00	1.37E+00
SP124339	1.20E+00	1.20E+00
SP124454	1.32E+00	1.32E+00
SP124380	1.23E+00	1.23E+00
SP124273	1.83E+00	1.83E+00
SP124357	1.41E+00	1.41E+00
SP124399	1.45E+00	1.45E+00
SP124311	1.32E+00	1.32E+00
SP124355	1.03E+00	1.02E+00
SP124434	1.20E+00	1.20E+00
SP124428	1.77E+00	1.77E+00
SP124449	1.69E+00	1.69E+00
SP124298	1.67E+00	1.67E+00
SP124431	9.36E-01	9.36E-01
SP124396	2.11E+00	2.11E+00
SP124409	1.79E+00	1.79E+00
SP124341	1.44E+00	1.44E+00
SP124353	8.30E-01	8.30E-01
SP124278	1.48E+00	1.48E+00
SP124376	1.45E+00	1.45E+00
SP124346	1.59E+00	1.59E+00
SP124439	1.22E+00	1.22E+00
SP124351	8.85E-01	8.85E-01
SP124406	4.54E+00	4.54E+00
SP124323	1.14E+00	1.14E+00
SP124391	1.28E+00	1.28E+00
SP124423	4.89E-01	4.95E-01
SP124382	2.42E+00	2.42E+00
SP124415	1.64E+00	1.64E+00
SP124436	2.78E+00	2.78E+00
SP124460	1.84E+00	1.84E+00
SP124425	7.14E-01	7.14E-01
SP124456	1.04E+00	1.04E+00
SP124367	1.35E+00	1.35E+00
SP124281	9.74E-01	9.73E-01
SP124377	1.01E+00	1.01E+00
SP124412	1.01E+00	1.01E+00
SP124333	9.49E-01	9.49E-01
SP124359	1.69E+00	1.69E+00
SP124286	7.33E-01	7.32E-01
SP124329	4.83E-01	4.83E-01
SP124326	1.71E+00	1.71E+00
SP124458	1.53E+00	1.53E+00
SP124401	2.37E+00	2.37E+00
SP124264	1.74E+00	1.74E+00
SP124384	4.74E+00	4.74E+00
SP124403	4.33E-01	4.33E-01
SP124462	1.96E+00	1.96E+00
SP124271	2.29E+00	2.29E+00
SP124336	1.62E+00	1.61E+00
SP124452	1.11E+00	1.11E+00
SP124386	1.43E+00	1.43E+00
SP124441	1.79E+00	1.79E+00
SP124418	9.00E-01	9.02E-01
SP124291	1.27E+00	1.27E+00
SP124319	8.93E-01	8.93E-01
SP124305	1.55E+00	1.55E+00
SP124447	3.06E+00	3.06E+00
SP124344	1.16E+00	1.16E+00
SP124369	1.59E+00	1.59E+00
SP124348	1.29E+00	1.29E+00
SP124295	1.76E+00	1.76E+00
SP124444	1.42E+00	1.42E+00
SP124365	1.64E+00	1.64E+00
SP124420	1.55E+00	1.55E+00
SP124364	2.67E+01	2.67E+01
SP124307	1.83E+00	1.83E+00
SP82445	1.35E+00	1.35E+00
SP83242	1.30E+00	1.30E+00
SP103894	1.73E+02	1.73E+02
SP83382	1.56E+00	1.56E+00
SP82451	2.69E+00	2.69E+00
SP104330	4.08E-01	4.08E-01
SP83312	1.13E+00	1.13E+00
SP82614	9.75E-01	9.75E-01
SP82431	1.98E+00	1.98E+00
SP82459	1.01E+00	1.01E+00
SP113197	1.28E+00	1.28E+00
SP82532	1.49E+00	1.49E+00
SP82636	1.63E+00	1.63E+00
SP82796	1.30E+00	1.30E+00
SP83482	1.44E+00	1.44E+00
SP104530	2.66E+00	2.66E+00
SP82429	1.15E+00	1.15E+00
SP82644	1.32E+00	1.32E+00
SP82988	1.28E+00	1.28E+00
SP82461	1.32E+00	1.32E+00
SP82900	1.41E+00	1.41E+00
SP82399	1.42E+00	1.42E+00
SP82756	1.41E+00	1.41E+00
SP82836	1.41E+00	1.41E+00
SP82417	8.92E-01	8.92E-01
SP82471	1.63E+00	1.63E+00
SP82435	1.21E+00	1.21E+00
SP104056	2.12E+00	2.12E+00
SP83083	1.12E+00	1.12E+00
SP82433	1.18E+00	1.18E+00
SP82780	9.46E-01	9.46E-01
SP83019	1.36E+00	1.36E+00
SP83099	1.14E+00	1.14E+00
SP83146	1.82E+00	1.82E+00
SP103866	1.40E+00	1.40E+00
SP83844	1.01E+00	1.01E+00
SP83027	1.05E+00	1.05E+00
CPCT02060044T	1.38E+00	1.38E+00
CPCT02030247T	1.22E+00	1.22E+00
CPCT02050043T	1.33E+00	1.33E+00
CPCT02020342T	1.02E+00	1.02E+00
CPCT02010371T	1.31E+00	1.31E+00
CPCT02030256T	1.16E+00	1.16E+00
CPCT02050045T	1.57E+00	1.57E+00
CPCT02050047T	1.74E+00	1.74E+00
CPCT02010393T	1.96E+00	1.96E+00
CPCT02020358T	1.40E+00	1.40E+00
CPCT02090002T	9.03E-01	9.03E-01
CPCT02010403T	6.32E-01	6.32E-01
CPCT02030272T	1.66E+00	1.66E+00
CPCT02020373T	1.74E+00	1.74E+00
CPCT02050052T	5.34E+00	5.34E+00
CPCT02030270T	1.04E+00	1.04E+00
CPCT02050056T	1.17E+00	1.17E+00
CPCT02050055T	2.40E+00	2.40E+00
CPCT02030279T	1.39E+00	1.39E+00
CPCT02020320T	1.39E+00	1.39E+00
CPCT02060037T	6.87E-01	6.88E-01
CPCT02100033T	6.87E-01	6.87E-01
CPCT02010436T	1.18E+00	1.18E+00
CPCT02010439T	9.78E-01	9.78E-01
CPCT02060043T	2.03E+00	2.03E+00
CPCT02030284T	1.64E+00	1.64E+00
CPCT02020410T	8.54E-01	8.54E-01
CPCT02020408T	1.45E+00	1.45E+00
CPCT02030291T	1.22E+00	1.22E+00
CPCT02050079T	8.34E-01	8.34E-01
CPCT02050073T	1.37E+00	1.37E+00
CPCT02220001T	7.18E-01	7.18E-01
CPCT02010440T	1.53E+00	1.53E+00
CPCT02011020T	3.62E+00	3.62E+00
CPCT02340050T	2.21E+00	2.21E+00
CPCT02080280T	1.38E+00	1.38E+00
CPCT02080282T	2.02E+00	2.02E+00
CPCT02060163T	7.34E-01	7.34E-01
CPCT02011025T	1.56E+00	1.56E+00
CPCT02010754TII	1.25E+00	1.25E+00
CPCT02010716T	1.48E+00	1.48E+00
CPCT02170039T	9.98E-01	9.98E-01
CPCT02080284T	6.76E-01	6.76E-01
CPCT02030555T	1.59E+00	1.59E+00
CPCT02011037T	1.34E+00	1.34E+00
CPCT02120180T	1.35E+00	1.35E+00
CPCT02050304T	2.23E+00	2.23E+00
CPCT02020895T	1.39E+00	1.39E+00
CPCT02090032T	1.43E+00	1.43E+00
CPCT02020662T	7.38E-01	7.38E-01
DRUP01080025T	7.68E+00	7.68E+00
CPCT02020891T	1.62E+00	1.62E+00
CPCT02080266TII	1.91E+00	1.91E+00
CPCT02020901T	1.56E+00	1.56E+00
CPCT02080287T	1.14E+00	1.14E+00
CPCT02011045T	1.74E+00	1.74E+00
CPCT02020897T	1.07E+00	1.07E+00
CPCT02120101T	1.17E+00	1.17E+00
CPCT02020910T	1.48E+00	1.48E+00
CPCT02120095T	7.91E-01	7.91E-01
CPCT02080294T	1.45E+00	1.45E+00
CPCT02080292T	8.72E-01	8.72E-01
CPCT02120098T	8.56E-01	8.56E-01
CPCT02120105T	2.89E+00	2.89E+00
CPCT02020914T	1.22E+00	1.22E+00
CPCT02160035T	1.13E+00	1.13E+00
CPCT02050310T	1.77E+00	1.77E+00
CPCT02290061T	1.75E+00	1.75E+00
CPCT02050308T	2.18E+00	2.18E+00
CPCT02090035T	1.58E+00	1.58E+00
CPCT02020933T	2.74E+00	2.74E+00
CPCT02020930T	1.14E+00	1.14E+00
CPCT02020934T	1.29E+00	1.29E+00
CPCT02020939T	1.30E+00	1.30E+00
CPCT02020670T	1.67E+00	1.67E+00
CPCT02020837TII	1.58E+00	1.58E+00
CPCT02030459T	5.75E+00	5.75E+00
