Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP111062	310	0	340	91	3	11	178	7	59	25	0	43	0
SP111006	472	201	686	0	583	73	217	0	157	66	0	94	0
SP110846	160	0	104	55	0	42	134	0	70	33	33	44	0
SP111086	461	114	132	81	701	173	90	0	5	41	306	39	0
SP111096	450	0	298	0	31	86	89	1	0	40	62	20	0
SP111021	0	0	0	0	0	0	0	0	2	0	0	0	0
SP111058	522	20	355	0	833	331	0	10	59	77	106	23	0
SP111092	1009	0	237	0	41	134	60	23	341	638	0	24	0
SP111076	853	279	474	16	47	21	105	0	0	39	10	54	0
SP111098	365	14	411	0	95	87	103	22	97	34	6	41	0
SP111039	0	1	39	11	1	30	55	6	17	0	35	58	0
SP111052	7	0	4	4	17	7	27	3	0	9	33	9	0
SP111166	552	447	681	0	176	137	118	0	30	54	44	39	0
SP111014	19	0	40	71	4	67	24	0	29	8	0	8	0
SP111066	756	204	494	0	345	414	0	2	89	17	8	41	0
SP111094	444	0	263	0	236	183	346	3	163	48	0	31	0
SP111015	133	0	74	0	53	88	27	0	60	33	0	39	96
SP110853	183	0	198	175	133	170	143	0	124	103	0	77	91
SP111051	236	62	229	0	5	40	31	5	117	75	0	41	0
SP110855	500	25	214	0	199	141	226	5	0	78	94	56	0
SP111004	400	0	669	18	20	49	225	0	37	20	106	42	0
SP111078	133	0	95	21	4	58	60	0	16	4	0	27	0
SP110863	170	0	182	0	69	171	77	1	0	21	218	21	0
SP111013	250	109	166	0	40	58	81	0	7	15	94	24	0
SP111042	8	0	12	0	4	12	13	0	33	0	0	0	7
SP111040	37	0	201	0	61	44	45	0	103	52	0	26	15
SP111031	1718	53	817	0	136	138	229	9	66	14	35	44	0
SP23496	261	0	311	12	74	92	121	2	90	34	0	24	0
SP111030	0	53	74	96	13	69	95	0	18	23	74	27	0
SP111019	48	0	57	0	29	139	83	1	62	22	9	21	0
SP111026	412	279	217	0	163	235	67	2	0	28	130	19	0
SP110860	726	9	334	146	110	198	85	0	0	32	240	35	0
SP110851	287	0	590	144	58	72	232	0	50	48	79	38	0
SP111059	401	14	350	59	42	35	142	0	0	94	178	100	0
SP111170	759	320	590	0	96	125	91	0	195	96	0	30	0
SP111054	303	0	507	243	32	234	41	0	54	76	0	74	0
SP111033	865	0	639	0	43	67	60	0	89	79	0	27	0
SP111113	1294	128	377	0	257	463	165	3	108	99	72	41	0
SP110865	574	0	580	0	258	295	110	15	355	642	0	174	49
