Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP18310	118501	14972	0	452	57
SP17172	33815	5834	0	0	231
SP96133	67201	8475	0	1571	141
SP110242	98319	25463	0	644	69
SP114330	99	773	257	136	23
SP21017	95422	16384	0	466	107
SP22383	69853	7411	0	2010	14
SP81312	2664	7942	0	350	633
SP22031	0	3308	14	0	172
SP96112	70	404	175	98	6
SP19215	63959	6952	0	2820	0
SP96120	253	1038	370	166	188
SP16886	0	6871	0	59	733
SP96124	427	889	307	0	14
SP19295	404	3650	91	0	133
SP19670	151	742	233	9	15
SP17905	3940	14778	0	5963	985
SP16934	349	698	159	84	244
SP20993	326	1205	268	52	153
SP19983	673	968	317	67	247
SP18121	70524	29293	0	0	213
SP96122	746	1254	418	0	56
SP119755	878	946	279	187	121
SP96126	609	2255	396	0	40
SP19606	131	379	115	238	137
SP96118	6702	1899	0	864	0
SP21528	126	876	208	47	45
SP21400	491	9582	0	0	478
SP23078	52	302	210	155	334
SP17430	30	298	124	153	21
SP96110	328	523	203	118	73
SP18946	5126	9898	0	1381	396
SP21057	809	822	232	159	110
SP22750	151	734	233	52	56
SP19750	131	890	190	0	21
SP17016	524	599	270	101	18
SP16958	319	992	826	121	23
SP17329	134	442	86	164	37
SP96116	213	769	298	6	33
SP96129	497	723	378	80	29
SP21193	256	493	161	110	21
SP18787	328	1495	413	0	23
SP96114	96	825	237	163	106
SP19582	42	285	0	213	42
SP17294	566	1210	161	105	223
SP80367	0	435	0	155	503
SP82087	81	593	137	116	119
SP80615	714	15317	0	1369	1939
SP80271	306	730	189	104	44
SP81172	259	383	0	454	207
SP81840	654	1320	310	56	24
SP80657	41	414	111	89	27
SP81494	100	563	0	440	82
SP81711	261	1429	268	340	131
SP80423	280	413	152	261	41
SP80754	224	623	11	448	14
SP81440	4	272	90	81	30
SP80950	241	348	137	55	8
SP82103	3	1205	223	39	8
SP81137	0	1038	139	78	1399
DRUP01010006T	294	740	693	28	63
CPCT02020319T	392	583	682	0	154
CPCT02040021T	309	726	615	69	150
CPCT02110003T	53	713	400	0	30
CPCT02140012T	570	717	32	1209	67
CPCT02040027T	873	661	794	27	130
CPCT02100013T	759	527	1118	741	67
CPCT02050048T	253	433	801	47	81
CPCT02060015T	611	622	752	2	185
CPCT02010397T	535	900	812	3	47
CPCT02040040T	273	780	722	49	187
CPCT02110008T	368	467	1097	205	40
CPCT02050057T	397	1298	820	0	58
CPCT02050061T	112	493	361	175	55
CPCT02110011T	372	670	348	30	53
CPCT02020383T	226	486	569	185	183
CPCT02010414T	620	303	629	192	417
CPCT02210001T	554	807	489	35	85
CPCT02210003T	416	1111	834	88	93
CPCT02330007T	84	584	656	102	348
CPCT02050068T	219	223	114	410	16
CPCT02050075T	518	551	723	290	479
CPCT02040058T	465	566	896	55	246
CPCT02330009T	194	452	323	59	27
DRUP01010007T	2322	788	833	2	341
DRUP01070001T	92439	10118	0	2490	135
CPCT02040021TII	511	895	810	32	152
CPCT02340048T	129	643	941	94	532
CPCT02330131T	124	242	520	324	79
CPCT02190027T	212	368	680	217	83
CPCT02050300T	370	508	857	33	140
DRUP01070063T	182	80	1539	635	1714
CPCT02060160T	315	146	1167	278	119
CPCT02030443T	433	457	375	544	424
CPCT02020651T	373	941	855	59	309
DRUP01090009T	332	297	721	80	128
CPCT02070273T	270	735	950	106	280
CPCT02210041T	542	293	740	22	198
CPCT02010750TII	396	682	727	68	241
CPCT02160059T	75	883	513	70	42
DRUP01340003T	0	30	461	403	2602
CPCT02080283T	275	778	686	298	380
DRUP01330002T	702	596	698	441	136
CPCT02330078T	109	1197	635	420	109
CPCT02010730T	610	553	501	372	185
CPCT02050307T	236	425	675	258	50
DRUP01340004T	995	1119	951	484	181
CPCT02120078T	0	623	400	685	77
CPCT02100139T	436	560	521	27	88
CPCT02230077T	259	328	791	1149	117
CPCT02230078T	226	569	588	79	298
CPCT02010735T	159	556	459	74	24
DRUP01010051TII	380	974	931	1	160
CPCT02440004T	1186	1191	977	235	61
CPCT02220032T	656	601	910	1064	265
CPCT02130031T	347	473	1249	18	127
DRUP01020018T	358	590	936	450	92
CPCT02310005T	345	281	831	495	21
CPCT02250005T	34494	450	2341	496	74
CPCT02330080T	500	558	934	84	164
CPCT02100144T	668	675	539	168	542
CPCT02330085T	564	745	993	373	339
CPCT02010742T	312	462	608	35	73
DRUP01010123T	163511	22058	10967	0	254
DRUP01220007T	262	489	804	638	267
CPCT02300033T	0	80	915	36	447
DRUP01010059T	532	300	551	215	11
DRUP01010070T	224	433	789	63	199
CPCT02160038T	165	388	417	200	49
CPCT02440024T	0	154	104	87	5
CPCT02030442T	274	558	1313	1037	46
CPCT02330089T	454	902	944	16	96
CPCT02210042T	284	157	581	77	41
DRUP01070039T	364	0	459	274	23
CPCT02220067T	311	694	508	560	203
CPCT02340057T	476	598	619	147	29
CPCT02010743T	395	223	769	134	178
CPCT02030454T	524	435	615	193	78
CPCT02320001T	847	684	1040	217	1008
CPCT02390017T	414	434	855	142	188
CPCT02370012T	539	632	2153	483	90
CPCT02240007TII	190	414	903	86	127
CPCT02010747T	55	590	659	0	49
CPCT02010750T	376	664	559	41	93
CPCT02330092T	142	86	506	116	13
DRUP01340017T	176873	10661	4394	1893	1252
CPCT02060259T	558	815	583	183	144
CPCT02080197T	346	681	836	169	40
CPCT02110059T	657	222	427	222	48
CPCT02220076T	153	679	531	75	19
CPCT02010751T	0	369	413	69	19
CPCT02220077T	280	250	208	180	301
DRUP01060010T	974	327	935	100	355
CPCT02140061T	736	60	664	57	33
CPCT02270018T	211	532	440	48	51
CPCT02310007T	202	768	706	15	170
CPCT02230087T	433	965	822	76	81
CPCT02150048T	610	745	1028	1348	272
DRUP01010122T	137425	16488	5336	725	369
CPCT02330095T	426	675	771	213	33
CPCT02340075T	685	1190	1046	4	37
DRUP01010072T	154	585	880	81	190
CPCT02330087T	99	263	397	326	429
CPCT02240010T	473	830	777	139	200
CPCT02110062T	95	975	1602	567	186
WIDE01010038T	137	311	220	171	287
CPCT02050325T	378	701	923	315	290
CPCT02050327T	320	731	1046	52	56
CPCT02050329T	468	868	1077	245	239
WIDE01010060T	181	531	324	237	83
WIDE01010100T	354	535	355	38	76
DRUP01340006T	539	540	378	1242	247
CPCT02220036T	402	502	466	182	225
WIDE01010066T	594	440	628	171	72
WIDE01010077T	260	497	674	2	82
CPCT02040226T	356	949	753	0	25
CPCT02330098T	245	0	574	73	26
WIDE01010091T	151	579	491	287	73
CPCT02110064T	159	338	536	260	52
WIDE01010063T	128	339	372	190	62
WIDE01010097T	135	640	376	58	23
WIDE01010096T	267	307	857	427	23
CPCT02370022T	279	896	723	146	169
CPCT02020695T	113	390	1071	230	33
CPCT02100201T	438	783	552	114	44
CPCT02050335T	84	284	551	168	287
CPCT02160040T	295	0	1327	1255	639
CPCT02240012T	302	187	622	341	153
WIDE01010128T	387	935	528	0	239
CPCT02220081T	182	336	368	169	60
CPCT02100165T	317	389	453	193	171
DRUP01230004T	158917	8433	9033	1700	361
DRUP01060002T	2	141	1685	0	246
WIDE01010206T	250	668	267	314	786
WIDE01010001T	257	276	321	11	41
CPCT02120112T	493	1071	1158	33	235
CPCT02120119T	304	316	984	57	8
WIDE01010154T	300	1205	728	525	15
CPCT02370020T	437	407	976	23	39
CPCT02230090T	283	444	1079	265	86
CPCT02210048T	38	68	596	125	151
WIDE01010159T	902	864	821	29	37
WIDE01010179T	329	983	687	12	78
WIDE01010177T	97	805	441	220	140
WIDE01010166T	429	232	1322	235	75
CPCT02130069T	129	619	601	0	79
WIDE01010168T	529	1083	570	140	109
CPCT02340074T	310	225	1210	257	316
CPCT02290032T	241	105	762	0	6
WIDE01010200T	687	926	446	557	78
DRUP01340016T	125636	26346	10081	0	169
WIDE01010228T	223	634	1248	93	25
WIDE01010227T	476	918	827	0	86
WIDE01010232T	422	504	507	0	23
WIDE01010196T	200	623	539	40	75
CPCT02050352T	351	676	591	0	565
CPCT02100173T	297	316	891	12	480
CPCT02210049T	296	327	730	132	170
WIDE01010236T	240	649	489	55	84
CPCT02210050T	242	1306	822	0	101
WIDE01010218T	820	1184	939	0	118
WIDE01010261T	193	936	695	0	47
CPCT02350002T	684	436	1050	86	220
CPCT02130089T	297	41	1329	53	80
WIDE01010251T	125	326	389	102	130
WIDE01010273T	135	409	318	41	32
WIDE01010252T	66	796	619	0	74
WIDE01010258T	225	526	407	263	121
WIDE01010291T	851	333	585	281	41
CPCT02120124T	126	349	774	40	314
WIDE01010269T	228	346	994	399	404
CPCT02060231T	444	886	640	136	773
WIDE01010300T	240	524	640	207	169
WIDE01010319T	146	1557	481	50	1143
WIDE01010327T	199	713	405	39	29
CPCT02230100T	918	1077	1076	10	467
WIDE01010338T	536	1104	954	110	147
CPCT02380040T	186	688	460	280	303
WIDE01010299T	205	331	569	174	464
WIDE01010353T	123	230	387	145	16
CPCT02190017T	47	169	509	105	356
WIDE01010366T	68	1290	714	0	86
CPCT02190037T	116	544	684	73	930
WIDE01010389T	72	201	237	44	22
CPCT02050354T	283	464	586	135	78
CPCT02040122T	83	521	502	212	200
DRUP01070080T	123310	3007	0	6983	85
WIDE01010027T	149	401	240	41	93
CPCT02050358T	562	2132	1330	0	41
WIDE01010407T	530	678	597	656	562
DRUP01050026T	395	0	1372	152	239
CPCT02060136T	691	765	1056	224	1533
CPCT02290036T	67	791	495	0	6
WIDE01010426T	175	372	373	10	27
WIDE01010379T	65	222	381	109	77
CPCT02390022T	24	0	927	65	34
WIDE01010429T	131	707	592	148	241
WIDE01010434T	338	556	210	188	97
CPCT02050355T	265	601	1022	0	74
CPCT02010835T	1371	386	1253	273	89
DRUP01020053T	171718	21867	13480	1033	339
DRUP01040016T	131126	18481	3808	116	115
CPCT02010841T	491	405	874	116	160
WIDE01010441T	467	140	448	558	75
CPCT02010786T	94786	9435	2017	451	115
WIDE01010439T	41	266	373	45	9
CPCT02010839T	259	509	816	53	28
DRUP01050025T	817	0	1736	847	73
WIDE01010446T	335	250	507	178	163
WIDE01010447T	211	843	454	9	52
WIDE01010425T	902	1312	754	63	258
WIDE01010442T	759	1062	947	7	150
WIDE01010451T	3075	1219	1920	184	229
CPCT02160049T	486	427	1239	340	226
WIDE01010456T	276	610	665	312	362
CPCT02330111T	264	900	596	150	24
CPCT02120136T	0	240	285	55	3
CPCT02030493T	48	254	267	95	86
CPCT02020757T	591	874	1229	57	259
DRUP01030018T	183334	16186	11377	576	332
CPCT02060239T	287	288	1036	265	26
CPCT02330112T	387	61	2124	382	51
DRUP01330008T	457	547	879	1001	405
CPCT02330043T	610	782	638	1747	456
CPCT02010873T	144	352	535	26	27
CPCT02010860T	170	375	299	100	5
CPCT02090050T	14	277	518	102	20
CPCT02380047T	194	643	587	421	209
CPCT02050375T	478	1046	699	10	513
CPCT02390027T	111	361	282	113	18
DRUP01050028T	58440	3411	2551	0	40
CPCT02310013T	328	847	937	36	206
CPCT02120145T	0	151	414	54	12
WIDE01010606T	89044	52839	18632	0	354
CPCT02110071T	546	983	1010	562	208
CPCT02320005T	480	739	780	108	495
CPCT02290044T	213	453	792	86	423
CPCT02020758T	43	215	356	0	14
DRUP01010047TII	116916	1557	2413	1228	208
CPCT02010880T	129	334	582	258	51
CPCT02010884T	84	288	422	123	528
WIDE01010460T	168300	24077	11018	615	287
CPCT02010882T	158289	11013	11565	0	282
CPCT02080244T	277	469	659	255	180
CPCT02010881T	471	338	655	84	31
CPCT02170033T	270	109	663	211	103
CPCT02120079T	120	372	713	41	15
CPCT02040258T	530	364	759	346	1224
CPCT02040269T	260	272	979	289	156
CPCT02090059T	498	161	1256	522	247
CPCT02330102T	385	550	394	658	73
CPCT02390033T	294	189	683	55	29
CPCT02030514T	32	653	1402	441	179
CPCT02010898T	0	423	363	49	14
CPCT02110073T	480	423	615	23	24
CPCT02340095T	206	0	657	92	60
CPCT02050387T	137	603	601	0	10
CPCT02390034T	797	656	1141	143	501
CPCT02130144T	86	1847	1330	212	56
CPCT02210064T	2158	959	1000	1	54
CPCT02410008T	49	215	392	38	11
CPCT02170037T	346	361	511	171	1340
CPCT02170035T	124224	10782	6339	837	193
CPCT02020802T	270	750	626	0	69
CPCT02230117T	648	659	1366	122	84
CPCT02350009T	1166	44	1227	438	208
CPCT02210070T	165	540	628	102	51
CPCT02120160T	487	592	723	82	118
CPCT02180072T	161	232	740	32	54
CPCT02350012T	186	519	537	62	75
CPCT02050397T	352	363	485	184	121
CPCT02030528T	487	247	1082	467	424
CPCT02100182T	289	362	442	64	220
DRUP01050031T	913	150	1347	844	89
CPCT02370036T	180	684	969	151	171
CPCT02050398T	96	1304	945	0	23
CPCT02120162T	106	390	647	150	14
CPCT02130137T	148	544	1128	0	43
CPCT02300048T	33	507	612	295	26
CPCT02250011T	198	120	1153	586	1398
CPCT02050261T	409	416	722	44	106
DRUP01160001T	246	0	1177	1136	493
CPCT02150025T	73	377	541	236	41
DRUP01020033T	705	677	902	411	393
CPCT02460002T	248	293	586	948	823
CPCT02040264T	413	466	641	121	190
CPCT02370037T	581	544	1072	155	96
CPCT02100188T	0	0	100	60	2
DRUP01220004T	114	135	252	266	55
CPCT02380011T	105	435	556	415	145
CPCT02160057T	160	274	554	323	188
CPCT02050220T	189	238	744	99	189
CPCT02220059T	39	215	383	73	555
DRUP01090023T	29	357	489	86	25
CPCT02120171T	320	566	694	114	91
CPCT02050269T	44	289	495	48	197
CPCT02230023T	708	0	879	690	15
CPCT02180045T	803	896	911	106	60
CPCT02090023T	130	1005	1446	40	398
CPCT02050238T	44	330	526	88	57
CPCT02070405T	1156	579	1037	231	259
CPCT02060135T	290	529	695	156	78
CPCT02230053T	502	734	940	0	44
CPCT02330052T	488	980	1091	244	138
CPCT02330049T	501	389	941	319	106
DRUP01010047T	132371	1405	6211	959	317
CPCT02370002TII	287	363	1143	503	126
CPCT02190023T	429	609	888	62	121
CPCT02230055T	83	142	1316	571	213
CPCT02030414T	464	1216	970	0	21
DRUP01030026T	525	466	613	4	16
CPCT02050278T	112	633	719	89	39
CPCT02210027T	148	686	1084	91	298
CPCT02230045T	386	538	758	25	54
CPCT02110046T	87	100	636	269	380
CPCT02010674T	239	221	908	0	255
CPCT02050279T	124997	10922	5383	0	99
CPCT02220027T	409	816	683	116	224
CPCT02160034T	2698	920	911	148	76
CPCT02070239T	116	731	1017	0	20
CPCT02340024T	745	625	1077	313	217
CPCT02030382T	585	266	596	30	98
CPCT02120054T	20	64	717	126	144
CPCT02310002T	417	460	593	42	94
CPCT02120066T	638	873	571	874	221
CPCT02440001T	396	731	573	137	63
CPCT02100120T	1674	1670	1389	5	534
DRUP01010051T	112521	13522	4849	294	159
CPCT02340036T	553	592	129	1156	231
CPCT02040165T	187	576	529	457	200
CPCT02450004T	443	457	1003	10	363
CPCT02330051T	254	301	1101	69	153
CPCT02080126T	33	422	516	432	71
CPCT02240007T	53	12	560	18	32
CPCT02340014T	0	120	202	437	2501
CPCT02170016T	318	382	699	62	170
CPCT02330055T	355	260	424	50	77
CPCT02180042T	236	329	531	100	259
CPCT02010666T	203	505	492	141	36
CPCT02340029T	1014	1180	1134	588	189
CPCT02070232T	165	189	591	463	41
CPCT02080042T	452	886	1089	63	70
CPCT02240009T	139	483	1158	61	204
CPCT02230057T	26	93	1009	429	141
CPCT02040183T	0	129	244	122	0
CPCT02050256T	86	186	609	26	105
CPCT02050258T	136	1152	904	0	108
CPCT02330053T	177	664	613	245	235
DRUP01010041T	793	574	985	293	505
DRUP01010044T	2460	618	1329	0	341
CPCT02020611T	361	544	821	824	138
CPCT02050252T	1064	1318	1301	8	645
CPCT02290017T	131	671	739	0	57
CPCT02050259T	1374	106	1196	342	505
CPCT02060155T	128	281	1176	65	67
CPCT02050260T	78	350	780	144	20
CPCT02290016T	231	341	585	137	140
CPCT02050118T	341	562	676	146	67
CPCT02090004T	588	391	811	259	797
CPCT02050115T	557	644	685	16	233
CPCT02210007T	209	1189	669	23	84
CPCT02050175T	272	643	613	18	136
CPCT02380005T	114	581	394	201	110
CPCT02010543T	107	924	595	222	131
CPCT02270001T	326	866	519	493	802
CPCT02100019T	88507	15141	7615	11	372
CPCT02010576T	122	235	0	321	8
CPCT02330024T	272	621	572	46	65
CPCT02120021T	281	852	556	226	24
CPCT02120023T	219	390	336	136	78
CPCT02030343T	155	203	368	28	7
CPCT02330036T	524	503	531	127	107
CPCT02050184T	944	289	825	906	101
DRUP01070017T	460	610	413	494	885
CPCT02210018T	651	1181	686	0	206
CPCT02020521T	93	346	208	331	21
CPCT02110033T	418	0	2002	611	89
CPCT02220019T	193	1191	620	313	752
CPCT02010579T	353	1116	991	0	37
CPCT02010587T	130	344	432	153	118
CPCT02220020T	51	615	727	93	179
CPCT02060096T	390	620	576	9	117
CPCT02070167T	196	558	307	11	23
CPCT02080077T	110	508	384	47	76
CPCT02300017T	82	835	321	372	18
CPCT02010590T	893	759	783	348	533
CPCT02220022T	216	1042	586	85	57
CPCT02120031T	509	677	542	110	214
CPCT02120030T	271	718	541	95	136
DRUP01010025T	133848	12233	1360	1386	189
CPCT02010604T	16	367	470	46	31
CPCT02100086T	182	179	791	281	148
CPCT02050199T	282	428	758	179	159
CPCT02220023T	164	174	92	5838	93
CPCT02010605T	269	1087	568	0	61
CPCT02060103T	1037	615	461	138	144
CPCT02010607T	276	301	400	176	517
